t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP
1652140800,1.4,1.28,1.4,1.28,ok,71238.0,BSFC,,1.32,94034.16,71238.0,1.32
1652227200,1.28,1.19,1.2987,1.06,ok,65528.0,BSFC,,1.1828999999999998,77513.07119999999,136766.0,0.5667568781714754
1652313600,1.2226,1.13,1.2226,1.13,ok,30353.0,BSFC,,1.1608666666666665,35235.785933333325,167119.0,0.21084248908462427
1652400000,1.13,1.14,1.17,1.13,ok,22141.0,BSFC,,1.1466666666666665,25388.346666666665,189260.0,0.13414533798302158
1652659200,1.24,1.18,1.4944,1.15,ok,333645.0,BSFC,,1.2748,425330.64599999995,522905.0,0.8133994626174925
1652745600,1.24,1.23,1.3497,1.16,ok,50231.0,BSFC,,1.2465666666666666,62616.29023333333,573136.0,0.10925206274485172
1652832000,1.2407,1.26,1.3,1.23,ok,17429.0,BSFC,,1.2633333333333334,22018.63666666667,590565.0,0.03728401897617818
1652918400,1.22,1.25,1.32,1.2175,ok,6780.0,BSFC,,1.2625,8559.75,597345.0,0.014329658739924164
1653004800,1.35,1.36,1.39,1.3201,ok,43666.0,BSFC,,1.3567,59241.6622,641011.0,0.09241910388433272
1653264000,1.4,1.39,1.4471,1.31,ok,24613.0,BSFC,,1.3823666666666667,34024.19076666667,665624.0,0.05111623193674907
1653350400,1.26,1.39,1.39,1.2401,ok,7249.0,BSFC,,1.3400333333333332,9713.901633333333,672873.0,0.014436456260443402
1653436800,1.29,1.34,1.45,1.29,ok,74116.0,BSFC,,1.36,100797.76000000001,746989.0,0.1349387474246609
1653523200,1.3,1.35,1.42,1.3,ok,13685.0,BSFC,,1.3566666666666667,18565.983333333334,760674.0,0.024407280034986517
1653609600,1.375,1.38,1.4199,1.334,ok,16274.0,BSFC,59.6153846153846,1.3779666666666666,22425.02953333333,776948.0,0.028862973498011875
1653955200,1.4,1.35,1.4,1.3121,ok,27910.0,BSFC,56.36363636363637,1.3540333333333334,37791.07033333334,804858.0,0.04695371150356129
1654041600,1.4,1.37,1.41,1.28,ok,17483.0,BSFC,68.75000000000003,1.3533333333333335,23660.32666666667,822341.0,0.0287719165974537
1654128000,1.39,1.38,1.41,1.31,ok,27590.0,BSFC,79.06976744186052,1.3666666666666665,37706.33333333333,849931.0,0.04436399346927378
1654214400,1.41,1.37,1.41,1.32,ok,12391.0,BSFC,76.74418604651171,1.3666666666666665,16934.366666666665,862322.0,0.01963810115788147
1654473600,1.46,1.42,1.48,1.35,ok,36500.0,BSFC,77.27272727272734,1.4166666666666667,51708.333333333336,898822.0,0.05752900277622637
1654560000,1.4,1.48,1.54,1.4,ok,30696.0,BSFC,77.77777777777786,1.4733333333333334,45225.44,929518.0,0.04865472212480017
