t,o,c,h,l,s,v,Ticker,RSI
1652140800,1.92,1.91,2.0255,1.9,ok,15743.0,BTTR,
1652227200,2.14,2.01,2.14,1.86,ok,22213.0,BTTR,
1652313600,2.0,2.3,2.31,1.95,ok,112256.0,BTTR,
1652400000,2.3,2.44,2.73,2.2,ok,257136.0,BTTR,
1652659200,2.91,2.21,2.91,2.16,ok,1770020.0,BTTR,
1652745600,2.25,2.17,2.2701,2.05,ok,966842.0,BTTR,
1652832000,2.22,2.11,2.24,2.1,ok,118395.0,BTTR,
1652918400,2.16,2.37,2.4,2.05,ok,270216.0,BTTR,
1653004800,2.37,2.37,2.45,2.33,ok,78697.0,BTTR,
1653264000,2.45,2.41,2.45,2.3,ok,50134.0,BTTR,
1653350400,2.35,2.38,2.43,2.27,ok,43254.0,BTTR,
1653436800,2.35,2.47,2.5,2.29,ok,180860.0,BTTR,
1653523200,2.48,2.47,2.48,2.35,ok,36380.0,BTTR,
1653609600,2.52,2.64,2.7473,2.47,ok,106855.0,BTTR,75.17241379310344
1653955200,2.8,2.61,2.8,2.51,ok,32603.0,BTTR,73.64864864864863
1654041600,2.55,2.46,2.6538,2.26,ok,59413.0,BTTR,64.70588235294117
1654128000,2.65,2.49,2.69,2.32,ok,35889.0,BTTR,57.480314960629926
1654214400,2.51,2.67,2.72,2.49,ok,32822.0,BTTR,58.77862595419847
1654473600,2.9,2.65,2.9,2.62,ok,197897.0,BTTR,69.99999999999999
1654560000,2.68,2.68,2.75,2.6506,ok,104542.0,BTTR,73.39449541284402
1654646400,2.72,2.6933,2.75,2.64,ok,101735.0,BTTR,77.9545672385699
1654732800,2.78,2.68,2.7819,2.64,ok,74046.0,BTTR,69.45769520461963
1654819200,2.64,2.73,2.8,2.593,ok,131375.0,BTTR,71.2615166548547
1655078400,2.66,2.65,2.72,2.55,ok,114322.0,BTTR,63.534852244529645
1655164800,2.65,2.47,2.66,2.47,ok,114440.0,BTTR,54.341115184256246
1655251200,2.53,2.4,2.53,2.35,ok,120760.0,BTTR,46.55715128860907
1655337600,2.34,2.4,2.4,2.09,ok,203741.0,BTTR,46.55715128860907
1655424000,2.4,2.4,2.4,2.3001,ok,85005.0,BTTR,35.825655563430175
1655769600,2.4,2.36,2.4,2.2601,ok,39192.0,BTTR,35.40742470231146
1655856000,2.4,2.33,2.45,2.23,ok,45795.0,BTTR,41.17567200651642
1655942400,2.35,2.32,2.4,2.2534,ok,50618.0,BTTR,38.13843148199828
1656028800,2.34,2.45,2.45,2.22,ok,101627.0,BTTR,33.4983498349835
1656288000,2.4204,2.39,2.4356,2.39,ok,6528.0,BTTR,31.60203792810644
1656374400,2.41,2.32,2.41,2.2877,ok,5767.0,BTTR,25.890704527189897
