t,o,c,h,l,s,v,Ticker,RSI
1652140800,1.18,1.14,1.29,1.1,ok,46064.0,CING,
1652227200,1.157,1.15,1.19,1.1,ok,66497.0,CING,
1652313600,1.0901,1.08,1.14,1.08,ok,57665.0,CING,
1652400000,1.09,1.25,1.46,1.05,ok,103080.0,CING,
1652659200,1.25,1.18,1.25,1.11,ok,6084.0,CING,
1652745600,1.28,1.24,1.28,1.2,ok,8155.0,CING,
1652832000,1.24,1.23,1.25,1.22,ok,9583.0,CING,
1652918400,1.2223,1.22,1.24,1.14,ok,9605.0,CING,
1653004800,1.23,1.19,1.25,1.18,ok,13581.0,CING,
1653264000,1.23,1.21,1.23,1.2,ok,6484.0,CING,
1653350400,1.26,1.13,1.2616,1.11,ok,20836.0,CING,
1653436800,1.2,1.1,1.2,1.04,ok,23169.0,CING,
1653523200,1.08,1.1528,1.16,1.08,ok,20493.0,CING,
1653609600,1.1501,1.13,1.16,1.12,ok,28026.0,CING,49.21334172435494
1653955200,1.09,1.09,1.1923,1.09,ok,57414.0,CING,46.29958555358201
1654041600,1.1108,1.16,1.19,1.1108,ok,6401.0,CING,50.67971723762915
1654128000,1.1908,1.175,1.33,1.1,ok,73728.0,CING,56.979136056420806
1654214400,1.24,1.3225,1.3441,1.1884,ok,50684.0,CING,55.508281416198145
1654473600,1.38,1.27,1.38,1.2,ok,61979.0,CING,57.024664377146436
1654560000,1.28,1.26,1.3722,1.12,ok,89956.0,CING,51.69319336268202
1654646400,1.26,1.32,1.49,1.24,ok,59340.0,CING,57.024664377146436
1654732800,1.38,1.3319,1.41,1.22,ok,25030.0,CING,58.70817120622569
1654819200,1.3299,1.4,1.4399,1.23,ok,104554.0,CING,65.42756391419337
1655078400,1.39,1.2899,1.45,1.22,ok,54821.0,CING,55.18359932528871
1655164800,1.25,1.2201,1.37,1.2,ok,24445.0,CING,55.92373438527286
1655251200,1.36,1.4,1.5,1.29,ok,120886.0,CING,66.47627416520211
1655337600,1.42,1.3179,1.42,1.3,ok,28895.0,CING,58.78471852718953
1655424000,1.31,1.45,1.5874,1.26,ok,221357.0,CING,65.25262154432795
1655769600,1.48,1.48,1.5199,1.45,ok,11897.0,CING,68.76804619826757
1655856000,1.49,1.46,1.49,1.45,ok,6454.0,CING,65.16683518705764
1655942400,1.4601,1.43,1.6,1.2,ok,88054.0,CING,62.699203187251
1656028800,1.43,1.46,1.47,1.34,ok,7550.0,CING,57.75521714608009
1656288000,1.43,1.405,1.43,1.3713,ok,32821.0,CING,57.592800899887514
1656374400,1.4299,1.42,1.6,1.4,ok,52929.0,CING,58.948545861297546
1656460800,1.455,1.44,1.455,1.3799,ok,19657.0,CING,57.02576112412178
1656547200,1.47,1.46,1.4799,1.37,ok,9123.0,CING,57.429532536828674
1656633600,1.422,1.48,1.4977,1.42,ok,10692.0,CING,54.91400491400493
1656979200,1.48,1.49,1.515,1.45,ok,30077.0,CING,64.014567866648
1657065600,1.45,1.55,1.5642,1.45,ok,27506.0,CING,73.4270700184633
1657152000,1.6,1.55,1.6,1.51,ok,9135.0,CING,64.30751621518506
1657238400,1.55,1.6,1.6299,1.53,ok,20895.0,CING,78.66287339971551
1657497600,1.6,1.64,1.64,1.56,ok,21517.0,CING,73.75
1657584000,1.54,1.585,1.62,1.54,ok,13462.0,CING,62.35294117647059
1657670400,1.69,1.58,1.69,1.565,ok,13598.0,CING,64.63414634146343
1657756800,1.57,1.56,1.58,1.54,ok,20570.0,CING,66.25000000000003
1657843200,1.56,1.57,1.57,1.555,ok,2686.0,CING,64.47368421052633
1658102400,1.57,1.38,1.58,1.35,ok,61002.0,CING,47.572815533980574
1658188800,1.37,1.44,1.44,1.34,ok,17077.0,CING,51.785714285714285
1658275200,1.37,1.46,1.46,1.32,ok,36166.0,CING,51.785714285714285
1658361600,1.43,1.43,1.45,1.41,ok,11486.0,CING,47.368421052631575
1658448000,1.38,1.41,1.425,1.38,ok,20045.0,CING,43.85964912280702
1658707200,1.3,1.35,1.37,1.28,ok,9496.0,CING,38.70967741935485
1658793600,1.35,1.24,1.35,1.23,ok,58804.0,CING,26.86567164179104
1658880000,1.2582,1.155,1.2599,1.1501,ok,60011.0,CING,23.84105960264901
1658966400,1.2,1.2,1.23,1.145,ok,19425.0,CING,23.333333333333314
1659052800,1.22,1.23,1.2399,1.18,ok,16175.0,CING,22.297297297297305
1659312000,1.24,1.26,1.29,1.2,ok,55101.0,CING,27.272727272727266
1659398400,1.27,1.24,1.29,1.21,ok,15553.0,CING,26.71232876712328
1659484800,1.28,1.4,1.4081,1.251,ok,54631.0,CING,40.80459770114941
1659571200,1.44,1.75,1.8,1.35,ok,341523.0,CING,57.438016528925615
1659657600,1.67,1.71,1.75,1.56,ok,74227.0,CING,65.56603773584905
1659916800,1.78,1.51,1.78,1.39,ok,113284.0,CING,52.91666666666667
1660003200,1.68,1.57,1.68,1.43,ok,59972.0,CING,54.43548387096774
1660089600,1.49,1.65,1.69,1.49,ok,141990.0,CING,58.52713178294574
1660176000,1.67,1.49,1.67,1.4513,ok,92008.0,CING,52.7972027972028
