t,o,c,h,l,s,v,Ticker,RSI
1652140800,8.856,9.0,9.312,8.729999999999999,ok,3824.866666666667,CNSP,
1652227200,9.0,8.261999999999999,9.0,8.100000000000001,ok,12751.866666666669,CNSP,
1652313600,8.100000000000001,8.235000000000001,8.394,7.83,ok,8043.5,CNSP,
1652400000,8.549999999999999,8.694,9.0,8.235000000000001,ok,25330.0,CNSP,
1652659200,8.7,8.52,8.967,8.094,ok,16912.066666666666,CNSP,
1652745600,8.529,8.501999999999999,8.847,8.316,ok,5591.9,CNSP,
1652832000,7.95,8.583,9.132,7.95,ok,17523.166666666668,CNSP,
1652918400,8.4,8.7,8.7,8.25,ok,8438.466666666667,CNSP,
1653004800,9.0,8.280000000000001,9.0,8.154,ok,12030.666666666666,CNSP,
1653264000,8.100000000000001,8.583,9.0,7.65,ok,26755.9,CNSP,
1653350400,8.805,8.472,8.805,7.515,ok,13526.9,CNSP,
1653436800,8.549999999999999,8.934000000000001,9.3,8.133000000000001,ok,17731.3,CNSP,
1653523200,9.0,9.45,9.6,8.934000000000001,ok,32238.2,CNSP,
1653609600,9.6,8.847,9.726,8.223,ok,14199.3,CNSP,48.10126582278481
1653955200,9.0,9.096,10.485,8.703000000000001,ok,17407.666666666668,CNSP,51.12201963534362
1654041600,8.7,9.0,9.459,8.639999999999999,ok,5519.7,CNSP,60.148514851485174
1654128000,9.3,9.528,10.2,9.0,ok,21722.2,CNSP,65.62726613488033
1654214400,9.243,9.72,10.416,9.243,ok,31497.666666666668,CNSP,63.255813953488364
1654473600,9.45,9.57,9.87,9.0,ok,18165.5,CNSP,63.65054602184088
1654560000,9.54,9.3,10.14,9.075,ok,9848.8,CNSP,59.736456808199144
1654646400,9.3,9.216,9.6,8.85,ok,11684.2,CNSP,57.71762984637892
1654732800,9.216,9.3,9.513,9.0,ok,10656.5,CNSP,57.374631268436595
1654819200,9.033,8.601,9.297,8.100000000000001,ok,10338.6,CNSP,53.69220151828847
1655078400,8.4,8.052000000000001,8.667,7.86,ok,10281.066666666668,CNSP,44.21946440235142
1655164800,8.253,8.01,8.403,7.890000000000001,ok,5416.266666666666,CNSP,44.893899204244036
1655251200,8.397,8.181,8.397,7.890000000000001,ok,9859.966666666667,CNSP,41.10559886605243
1655337600,8.151,8.181,8.25,7.800000000000001,ok,5018.2,CNSP,32.929782082324465
1655424000,8.25,8.4,8.61,8.190000000000001,ok,8032.4,CNSP,43.29432943294332
1655769600,8.676,8.100000000000001,8.676,7.890000000000001,ok,8994.766666666666,CNSP,35.28368794326245
1655856000,8.100000000000001,8.4,9.24,8.100000000000001,ok,5841.066666666667,CNSP,41.638795986622085
1655942400,11.094,8.337,11.304,8.025,ok,405277.3,CNSP,30.9317963496638
1656028800,7.947000000000001,7.943999999999999,8.625,7.71,ok,42931.2,CNSP,23.285198555956683
1656288000,7.83,7.962000000000001,8.4,7.745999999999999,ok,26363.3,CNSP,24.812030075188005
1656374400,7.911,7.887,8.4,7.800000000000001,ok,21401.366666666665,CNSP,26.42642642642646
1656460800,7.890000000000001,8.247,8.549999999999999,7.794,ok,34759.4,CNSP,35.19706691109077
1656547200,7.878,8.4,8.82,7.800000000000001,ok,59315.566666666666,CNSP,36.53500897666069
1656633600,7.83,7.95,8.433,7.503,ok,17942.6,CNSP,39.47623666343357
1656979200,8.202,7.833,8.202,7.65,ok,10024.166666666666,CNSP,45.88500563697856
1657065600,7.800000000000001,7.805999999999999,8.13,7.800000000000001,ok,12242.966666666667,CNSP,46.14512471655328
1657152000,8.202,8.469,8.664,7.95,ok,19768.2,CNSP,54.58891013384321
1657238400,8.591999999999999,8.523,8.639999999999999,8.205,ok,10132.4,CNSP,55.357142857142854
1657497600,8.546999999999999,7.968,8.625,7.815,ok,12499.866666666669,CNSP,43.87755102040816
1657584000,8.363999999999999,8.157,8.363999999999999,7.98,ok,9544.4,CNSP,50.834064969271274
1657670400,8.07,7.953,8.4,7.833,ok,8176.4,CNSP,43.27009936766036
1657756800,7.95,7.767,8.34,7.5,ok,15363.4,CNSP,41.72473867595821
1657843200,7.532999999999999,8.100000000000001,8.31,7.05,ok,14540.466666666667,CNSP,52.30496453900712
1658102400,7.95,7.131,7.95,6.6,ok,31736.4,CNSP,40.41522491349482
1658188800,7.356,7.0200000000000005,7.428,6.627000000000001,ok,8209.866666666667,CNSP,40.08236101578587
1658275200,6.987,6.9,7.347,6.762,ok,7620.0,CNSP,33.696441539578814
1658361600,6.9,6.99,7.167,6.675,ok,18092.1,CNSP,32.669616519174056
1658448000,7.14,6.735,7.14,6.675,ok,5144.1,CNSP,34.31448489542993
1658707200,6.795,6.9,7.065,6.609,ok,6464.5,CNSP,38.1025248661056
1658793600,6.648,6.189,6.9,6.0,ok,19872.366666666665,CNSP,32.44299674267103
1658880000,6.357,6.6,6.897,6.192,ok,10150.6,CNSP,28.532046864231575
1658966400,6.684,6.483,6.684,6.3,ok,1126.3666666666666,CNSP,26.90217391304347
1659052800,6.603,6.591,6.627000000000001,6.119999999999999,ok,9162.2,CNSP,32.653061224489804
1659312000,6.87,6.6,6.9,6.119999999999999,ok,7712.6,CNSP,29.453681710213786
1659398400,6.891,6.396,6.891,6.0,ok,8111.7,CNSP,29.453681710213786
1659484800,6.165,6.588,6.6,6.165,ok,6946.066666666667,CNSP,34.46640316205534
1659571200,6.6,6.9,7.0680000000000005,6.468,ok,5753.5,CNSP,34.101748807631154
1659657600,6.78,6.7860000000000005,7.35,6.78,ok,8153.0,CNSP,44.09044193216856
1659916800,7.227,7.760999999999999,7.800000000000001,6.807,ok,20764.966666666667,CNSP,59.79381443298968
1660003200,7.800000000000001,7.505999999999999,7.95,7.257,ok,7741.066666666667,CNSP,57.733537519142416
1660089600,7.281,7.536,7.947000000000001,7.281,ok,3997.7,CNSP,57.07620528771384
1660176000,7.545,7.785,7.800000000000001,7.35,ok,5077.7,CNSP,63.62928348909657
1660262400,7.788,7.668,7.788,7.5,ok,3222.6,CNSP,60.09463722397476
1660521600,7.800000000000001,7.767,8.078999999999999,7.5,ok,7260.866666666667,CNSP,74.71804511278197
1660608000,7.532999999999999,7.199999999999999,7.767,7.199999999999999,ok,5687.6,CNSP,58.96057347670251
1660694400,7.800000000000001,7.35,7.86,6.9,ok,4031.7,CNSP,62.82165039929014
1660780800,7.35,7.395,7.715999999999999,6.606,ok,7305.2,CNSP,62.11573236889692
1660867200,7.5,7.41,7.56,6.633,ok,4388.066666666667,CNSP,62.18411552346571
1661126400,6.66,7.215,7.407,6.633,ok,4524.866666666667,CNSP,62.35294117647057
1661212800,7.199999999999999,7.422000000000001,7.497,7.199999999999999,ok,1597.9,CNSP,62.52252252252252
1661299200,7.455,7.647,7.947000000000001,7.199999999999999,ok,12881.6,CNSP,61.51711378353375
1661385600,7.800000000000001,7.92,8.097,7.503,ok,5766.166666666667,CNSP,66.66666666666666
1661472000,8.100000000000001,7.722,8.100000000000001,7.542000000000001,ok,1468.3666666666666,CNSP,49.25714285714289
1661731200,7.602,7.773,8.100000000000001,7.515,ok,13159.066666666668,CNSP,55.51425030978935
1661817600,7.92,7.563,7.935,7.554,ok,3310.866666666667,CNSP,50.51903114186852
1661904000,7.565999999999999,7.332,8.097,6.843,ok,32046.366666666665,CNSP,41.23112659698025
1661990400,7.311,7.215,8.066999999999998,6.915,ok,18575.966666666667,CNSP,41.23112659698025
1662076800,7.199999999999999,7.434,7.797000000000001,7.0200000000000005,ok,6792.7,CNSP,43.84017758046615
1662422400,7.229999999999999,7.164000000000001,7.647,7.014,ok,2362.5,CNSP,49.25187032418955
1662508800,6.933,7.199999999999999,7.353000000000001,6.933,ok,2986.9,CNSP,46.727748691099464
1662595200,6.930000000000001,7.08,7.5,6.87,ok,1200.3666666666666,CNSP,43.346007604562736
1662681600,7.023,7.026,7.5,7.023,ok,3803.366666666667,CNSP,42.01995012468826
1662940800,7.05,7.05,7.5,7.05,ok,3487.866666666667,CNSP,46.30872483221476
1663027200,7.365,7.296,8.25,7.274999999999999,ok,40617.86666666667,CNSP,47.22955145118733
1663113600,7.65,7.199999999999999,8.639999999999999,7.05,ok,56550.7,CNSP,39.580419580419544
1663200000,8.097,7.38,8.097,7.199999999999999,ok,5655.9,CNSP,36.84210526315788
1663286400,7.05,7.14,7.497,7.05,ok,3573.0,CNSP,36.10315186246416
1663545600,7.199999999999999,6.75,7.575,6.39,ok,10995.7,CNSP,28.97657213316893
1663632000,6.6,6.708,6.87,6.6,ok,525.2,CNSP,31.125827814569547
1663718400,7.041,6.495,7.041,4.986,ok,13905.9,CNSP,31.375166889185593
1663804800,6.036,5.718,6.222,5.46,ok,4142.766666666666,CNSP,24.25180598555211
1663891200,5.7,5.754,6.0600000000000005,5.46,ok,3282.2,CNSP,19.16299559471365
1664150400,5.907,5.847,6.0,5.46,ok,2987.9,CNSP,24.14605418138987
1664236800,6.222,5.702999999999999,6.897,5.043,ok,5011.2,CNSP,21.807909604519807
1664323200,5.43,5.853,5.970000000000001,5.43,ok,2268.6666666666665,CNSP,27.15083798882685
1664409600,5.64,5.658,6.3,5.157,ok,2614.3,CNSP,25.79617834394908
1664496000,5.7,5.37,6.075,5.37,ok,4649.8,CNSP,22.815533980582558
1664755200,6.0,5.4,6.0,5.175,ok,1588.9,CNSP,17.01461377870568
1664841600,5.7,5.439,5.922,5.178,ok,5151.566666666667,CNSP,18.74334398296064
1664928000,5.562,5.472,6.075,5.4,ok,3299.6,CNSP,14.269662921348342
1665014400,5.892,5.634,5.898,5.4,ok,3215.2,CNSP,20.949074074074105
1665100800,5.4030000000000005,5.781000000000001,6.18,5.4030000000000005,ok,6178.4,CNSP,29.37420178799492
1665360000,5.82,5.958,6.18,5.82,ok,2972.5,CNSP,34.90338164251209
1665446400,5.925000000000001,6.194999999999999,6.9,5.8500000000000005,ok,13394.366666666669,CNSP,44.01913875598085
1665532800,6.147,6.294,6.78,6.0,ok,4028.6,CNSP,65.73770491803276
1665619200,6.0,6.063,6.291,6.0,ok,1302.0,CNSP,57.629629629629626
1665705600,6.045,6.144,6.561,6.0,ok,1056.5666666666666,CNSP,57.377049180327866
1665964800,6.453,5.82,6.453,5.82,ok,2180.0666666666666,CNSP,52.66757865937074
1666051200,6.03,5.582999999999999,6.561,5.55,ok,2808.6,CNSP,44.07894736842104
1666137600,5.55,5.702999999999999,6.3,5.55,ok,2658.3,CNSP,51.020408163265294
1666224000,5.52,5.586,5.997,5.52,ok,2721.6666666666665,CNSP,55.30973451327434
1666310400,6.561,5.565,6.561,5.553,ok,3558.866666666667,CNSP,54.07407407407408
1666569600,5.025,5.22,5.34,5.025,ok,3278.0,CNSP,45.3024453024453
1666656000,5.79,5.537999999999999,6.3,5.103,ok,2077.7,CNSP,51.26146788990823
1666742400,5.537999999999999,5.526,5.79,5.256,ok,966.0666666666668,CNSP,47.81021897810218
1666828800,5.256,5.265,5.475,5.253,ok,688.0,CNSP,39.99999999999998
1666915200,5.55,5.4,5.55,5.217,ok,3995.6666666666665,CNSP,39.00709219858157
1667174400,4.95,4.8,5.34,4.8,ok,4516.666666666667,CNSP,25.95656670113756
1667260800,5.376,5.1000000000000005,5.697,5.1000000000000005,ok,5128.3,CNSP,30.7543520309478
1667347200,5.4,5.994,6.225,5.253,ok,12368.2,CNSP,49.083665338645424
1667433600,6.0,6.0,6.204000000000001,5.484,ok,4032.266666666667,CNSP,48.048780487804876
1667520000,6.207,5.715,6.207,5.553,ok,2507.2,CNSP,48.5620377978636
1667779200,6.297,5.702999999999999,6.297,5.4,ok,3861.8,CNSP,51.75131348511385
1667865600,5.7,5.706,6.222,5.604,ok,1733.9666666666667,CNSP,50.04533091568452
1667952000,5.7,5.544,6.0,5.4030000000000005,ok,1447.6666666666667,CNSP,49.37388193202146
1668038400,5.55,5.577,5.7,5.4,ok,1780.2,CNSP,50.17825311942958
1668124800,5.6850000000000005,5.67,5.6850000000000005,5.4030000000000005,ok,1789.0,CNSP,57.22543352601156
1668384000,5.697,5.832,5.8500000000000005,5.475,ok,3116.4666666666667,CNSP,54.96957403651115
1668470400,5.679,5.702999999999999,6.0,5.64,ok,1056.1666666666667,CNSP,52.878048780487795
1668556800,5.604,5.892,5.982,5.424,ok,5227.966666666666,CNSP,60.43956043956043
1668643200,5.757,5.8500000000000005,6.15,5.706,ok,6847.4,CNSP,57.731958762886585
1668729600,5.8500000000000005,6.0,6.141,5.8500000000000005,ok,2068.366666666667,CNSP,74.390243902439
1668988800,6.0,6.21,6.528,5.8500000000000005,ok,4855.5,CNSP,73.4177215189873
1669075200,6.3,6.3,6.561,6.216,ok,2478.6666666666665,CNSP,59.770114942528714
1669161600,6.3,6.555,6.555,6.3,ok,1072.4666666666667,CNSP,65.28925619834708
1669334400,6.423,6.3,6.597,6.3,ok,2265.1,CNSP,66.38655462184872
1669593600,6.3,5.013,6.428999999999999,4.8,ok,25305.0,CNSP,38.725490196078454
1669680000,4.28,4.05,4.57,4.0153,ok,86182.0,CNSP,29.40298507462687
1669766400,4.05,3.03,4.0502,2.8701,ok,136198.0,CNSP,24.23124231242312
1669852800,3.1,2.9,3.37,2.85,ok,139157.0,CNSP,23.095477386934675
1669939200,2.87,2.76,2.98,2.72,ok,91392.0,CNSP,21.027479091995218
1670198400,2.76,2.54,2.87,2.54,ok,45618.0,CNSP,17.5984251968504
1670284800,2.6,2.51,2.6,2.39,ok,57992.0,CNSP,17.94820317205381
1670371200,2.5,2.37,2.5104,2.2,ok,33334.0,CNSP,14.294403892944032
1670457600,2.4392,2.35,2.44,2.28,ok,16187.0,CNSP,14.35845213849285
1670544000,2.35,2.79,2.8499,2.35,ok,39857.0,CNSP,19.134615384615373
1670803200,2.87,2.5,3.0,2.4,ok,76324.0,CNSP,14.86742424242425
1670889600,2.55,2.34,2.55,2.34,ok,19223.0,CNSP,12.99065420560747
1670976000,2.34,2.52,2.55,2.32,ok,22134.0,CNSP,11.753554502369667
1671062400,2.5401,2.55,2.7998,2.4,ok,34156.0,CNSP,12.871287128712865
1671148800,2.5601,2.931,3.0699,2.5601,ok,64317.0,CNSP,24.879343629343637
1671408000,2.94,2.94,3.06,2.8,ok,16791.0,CNSP,32.60188087774296
1671494400,3.0986,2.78,3.0986,2.77,ok,36840.0,CNSP,44.63519313304721
1671580800,2.78,2.49,2.78,2.4222,ok,19731.0,CNSP,41.76706827309237
1671667200,2.4804,2.1,2.4899,2.05,ok,37939.0,CNSP,37.956204379562045
1671753600,2.1,2.19,2.205,2.1,ok,8725.0,CNSP,43.29501915708813
1672099200,2.13,2.14,2.2499,2.13,ok,3471.0,CNSP,42.96577946768061
1672185600,2.13,2.15,2.2118,2.13,ok,4979.0,CNSP,45.599999999999994
1672272000,2.13,2.24,2.6,2.13,ok,39188.0,CNSP,47.85992217898832
1672358400,2.288,2.4,2.47,2.2551,ok,35814.0,CNSP,41.48471615720523
1672704000,2.4,2.66,2.67,2.35,ok,67557.0,CNSP,53.53982300884957
