t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP
1652140800,3.25,3.16,3.2703,3.15,ok,8021.0,DAIO,,3.1934333333333336,25614.52876666667,8021.0,3.1934333333333336
1652227200,3.15,3.15,3.19,3.1,ok,5871.0,DAIO,,3.1466666666666665,18474.079999999998,13892.0,1.3298358767636047
1652313600,3.1,3.0215,3.14,3.02,ok,4889.0,DAIO,,3.0604999999999998,14962.7845,18781.0,0.7966979660294978
1652400000,3.15,3.06,3.15,3.0101,ok,12344.0,DAIO,,3.073366666666667,37937.638133333334,31125.0,1.2188799400267738
1652659200,3.03,3.04,3.1436,3.01,ok,9100.0,DAIO,,3.0645333333333333,27887.253333333334,40225.0,0.693281624197224
1652745600,3.05,3.02,3.1126,3.015,ok,4144.0,DAIO,,3.0492000000000004,12635.884800000002,44369.0,0.28479084045166675
1652832000,3.06,3.0,3.06,3.0,ok,18246.0,DAIO,,3.02,55102.92,62615.0,0.8800274694562006
1652918400,2.95,3.02,3.23,2.95,ok,3927.0,DAIO,,3.0666666666666664,12042.8,66542.0,0.1809804334104776
1653004800,3.02,3.05,3.11,2.9681,ok,19189.0,DAIO,,3.0427,58386.3703,85731.0,0.6810415170708379
1653264000,3.08,3.14,3.28,3.03,ok,3545.0,DAIO,,3.15,11166.75,89276.0,0.12508120883552132
1653350400,3.07,3.09,3.1499,3.02,ok,14291.0,DAIO,,3.0866333333333333,44111.07696666667,103567.0,0.42591826514880865
1653436800,3.11,3.08,3.11,3.0108,ok,23928.0,DAIO,,3.0669333333333335,73385.58080000001,127495.0,0.5755957551276522
1653523200,3.0773,3.22,3.39,3.0238,ok,30774.0,DAIO,,3.211266666666667,98823.52040000001,158269.0,0.6244022543896783
1653609600,3.28,3.29,3.33,3.28,ok,5053.0,DAIO,60.04636785162286,3.2999999999999994,16674.899999999998,163322.0,0.10209830886224758
1653955200,3.23,3.27,3.2836,3.17,ok,8024.0,DAIO,58.24587706146925,3.2411999999999996,26007.388799999997,171346.0,0.15178287675230234
1654041600,3.24,3.27,3.31,3.175,ok,2713.0,DAIO,59.13242009132421,3.2516666666666665,8821.771666666666,174059.0,0.050682651667921026
1654128000,3.2655,3.23,3.31,3.11,ok,8927.0,DAIO,68.33773087071238,3.216666666666667,28715.183333333334,182986.0,0.1569255753627782
1654214400,3.23,3.1936,3.2616,3.15,ok,4543.0,DAIO,61.79378531073446,3.2017333333333333,14545.474533333334,187529.0,0.07756386763291723
1654473600,3.28,3.32,3.33,3.2389,ok,7005.0,DAIO,70.80856123662305,3.2963,23090.5815,194534.0,0.11869689360214666
1654560000,3.33,3.4,3.585,3.2301,ok,7652.0,DAIO,75.92794759825327,3.4050333333333334,26055.315066666666,202186.0,0.12886804757335654
1654646400,3.2301,3.42,3.5,3.2301,ok,1917.0,DAIO,78.65720524017466,3.383366666666667,6485.9139000000005,204103.0,0.031777650989941356
1654732800,3.3986,3.55,3.55,3.3401,ok,7488.0,DAIO,81.44280968201232,3.4800333333333335,26058.4896,211591.0,0.12315499997636951
1654819200,3.1326,3.4,3.46,3.1326,ok,3824.0,DAIO,68.17615288741172,3.3308666666666666,12737.234133333333,215415.0,0.05912881708949392
1655078400,3.56,3.03,3.56,3.0,ok,8053.0,DAIO,45.57450917283552,3.1966666666666668,25742.756666666668,223468.0,0.11519661278870652
1655164800,3.03,3.06,3.06,3.03,ok,2465.0,DAIO,48.77330716388617,3.0500000000000003,7518.250000000001,225933.0,0.033276458065001575
1655251200,3.095,3.05,3.095,3.01,ok,6769.0,DAIO,48.77330716388616,3.051666666666667,20656.73166666667,232702.0,0.08876903364245546
1655337600,3.03,3.04,3.07,3.01,ok,5452.0,DAIO,41.76427525622254,3.0400000000000005,16574.08,238154.0,0.06959396021062003
1655424000,3.01,3.1,3.1,3.01,ok,7641.0,DAIO,41.2264499445881,3.07,23457.87,245795.0,0.09543672572672349
1655769600,3.1,3.14,3.23,3.1,ok,2633.0,DAIO,44.10591222343128,3.1566666666666667,8311.503333333334,248428.0,0.033456387095389145
1655856000,3.15,3.05,3.2888,3.01,ok,3957.0,DAIO,40.77800134138162,3.1162666666666667,12331.0672,252385.0,0.048858161935138776
1655942400,3.06,3.1,3.18,3.05,ok,5543.0,DAIO,44.59594280013303,3.11,17238.73,257928.0,0.06683543469495364
1656028800,3.1,3.0,3.11,3.0,ok,26320.0,DAIO,42.356285533796594,3.0366666666666666,79925.06666666667,284248.0,0.28118075295751127
1656288000,3.07,3.01,3.09,3.01,ok,1875.0,DAIO,36.52173913043479,3.0366666666666666,5693.75,286123.0,0.01989965853846073
1656374400,3.0,3.01,3.06,3.0,ok,2052.0,DAIO,31.775700934579447,3.0233333333333334,6203.88,288175.0,0.021528168647523205
1656460800,3.036,3.01,3.036,3.0,ok,1419.0,DAIO,30.47619047619048,3.015333333333333,4278.758,289594.0,0.014775022963182938
