t,o,c,h,l,s,v,Ticker,RSI
1652140800,3.45,3.45,3.55,3.45,ok,2601.0,DUOT,
1652227200,3.4538,3.6,3.6,3.4501,ok,979.0,DUOT,
1652313600,3.66,3.36,3.66,3.3,ok,11594.0,DUOT,
1652400000,3.5027,3.415,3.565,3.371,ok,2210.0,DUOT,
1652659200,3.6,3.61,3.61,3.6,ok,635.0,DUOT,
1652745600,3.4103,3.4834,3.4834,3.3899,ok,1821.0,DUOT,
1652832000,3.47,3.36,3.47,3.36,ok,1683.0,DUOT,
1652918400,3.4,3.31,3.59,3.31,ok,2649.0,DUOT,
1653004800,3.68,3.45,3.69,3.32,ok,6795.0,DUOT,
1653350400,3.47,3.26,3.47,3.26,ok,1086.0,DUOT,
1653436800,3.3,3.456,3.485,3.3,ok,4950.0,DUOT,
1653523200,3.354,3.52,3.64,3.354,ok,2042.0,DUOT,
1653955200,3.52,3.52,3.93,3.52,ok,6964.0,DUOT,
1654041600,3.52,4.025,4.025,3.52,ok,3107.0,DUOT,64.12776412776412
1654128000,4.25,4.185,4.435,4.1206,ok,2819.0,DUOT,66.74259681093393
1654214400,4.2,4.22,4.22,4.2,ok,456.0,DUOT,64.90384615384613
1654473600,4.525,4.48,4.525,4.48,ok,596.0,DUOT,76.66666666666667
1654560000,4.5128,4.49,4.5783,4.49,ok,1904.0,DUOT,76.15571776155717
1654646400,4.59,4.5,4.69,4.3985,ok,2650.0,DUOT,73.79679144385027
1654732800,4.4146,4.45,4.46,4.4146,ok,1472.0,DUOT,76.94881231180997
1655078400,4.5,4.2503,4.6734,4.2503,ok,1166.0,DUOT,73.80863240091995
1655164800,4.6,4.11,4.6,4.11,ok,13445.0,DUOT,70.40816326530613
1655251200,4.16,4.04,4.45,4.04,ok,1955.0,DUOT,65.6084656084656
1655337600,4.02,4.0,4.39,3.75,ok,10655.0,DUOT,71.26436781609196
1655424000,4.129,4.15,4.15,3.95,ok,3084.0,DUOT,70.4840613931523
1655769600,4.32,4.28,4.35,4.28,ok,1735.0,DUOT,71.5909090909091
1655856000,3.96,3.96,3.96,3.96,ok,319.0,DUOT,60.57692307692307
1655942400,4.145,4.15,4.195,4.05,ok,3669.0,DUOT,53.54107648725212
1656028800,4.3,3.91,4.34,3.91,ok,13114.0,DUOT,42.547425474254766
1656288000,4.05,3.905,4.05,3.905,ok,994.0,DUOT,41.322314049586794
1656374400,3.75,3.75,3.925,3.536,ok,19393.0,DUOT,28.65497076023391
1656460800,3.7912,3.75,4.05,3.62,ok,8363.0,DUOT,28.235294117647072
1656547200,3.75,3.83,3.83,3.75,ok,1201.0,DUOT,31.07344632768364
1656633600,4.11,4.11,4.11,4.11,ok,209.0,DUOT,41.50000000000001
1656979200,4.0,3.72,4.0,3.72,ok,1277.0,DUOT,37.89435237182122
1657065600,3.69,3.69,3.69,3.69,ok,306.0,DUOT,39.90384615384616
1657152000,3.88,3.88,3.88,3.88,ok,733.0,DUOT,46.36363636363636
1657238400,3.73,3.85,3.85,3.73,ok,772.0,DUOT,46.57534246575343
1657497600,3.85,3.85,3.85,3.85,ok,704.0,DUOT,42.64705882352941
1657584000,3.55,3.55,3.55,3.55,ok,534.0,DUOT,33.48416289592761
1657670400,3.57,3.645,3.8399,3.54,ok,1566.0,DUOT,42.065491183879104
1657756800,3.6501,3.6501,3.6501,3.65,ok,1460.0,DUOT,36.11466029665019
1657843200,3.65,3.65,3.65,3.65,ok,186.0,DUOT,41.66773490578131
1658102400,3.71,3.71,3.71,3.71,ok,512.0,DUOT,43.96359583952453
1658188800,3.8065,3.92,3.92,3.8,ok,1368.0,DUOT,55.089210872949344
1658275200,3.8,3.8,3.8,3.8,ok,426.0,DUOT,51.396492012065686
1658361600,3.75,3.81,3.9,3.7332,ok,5959.0,DUOT,49.41867224741309
1658448000,3.9,3.805,3.9,3.7101,ok,2344.0,DUOT,39.44782729034045
1658707200,3.88,3.99,4.0,3.88,ok,2129.0,DUOT,60.88534107402031
1658793600,3.9999,4.0,4.0,3.9709,ok,3361.0,DUOT,62.70283560072119
1658880000,4.0,4.0,4.0368,4.0,ok,2409.0,DUOT,55.824111822947
1658966400,4.12,4.06,4.12,4.0355,ok,2019.0,DUOT,59.903791737408014
1659052800,4.4,4.0001,4.41,4.0,ok,3063.0,DUOT,56.70029461655208
1659312000,4.1,4.16,4.1612,4.1,ok,5417.0,DUOT,81.12244897959184
1659398400,4.1,3.9,4.1025,3.9,ok,4027.0,DUOT,61.13537117903929
1659484800,3.87,3.735,3.87,3.5201,ok,6625.0,DUOT,53.25312284466241
1659571200,3.8,3.8,3.81,3.8,ok,682.0,DUOT,55.47525186158563
1659657600,3.87,3.9,4.025,3.87,ok,1007.0,DUOT,56.73854447439352
1659916800,4.01,4.21,4.21,4.01,ok,6282.0,DUOT,59.603921049145576
1660003200,4.21,4.15,4.21,3.8851,ok,1568.0,DUOT,62.07063043178372
1660089600,4.11,4.181,4.181,4.11,ok,1363.0,DUOT,62.61218384552625
1660176000,3.9278,4.19,4.19,3.9278,ok,629.0,DUOT,63.052617304041235
1660262400,4.06,4.45,4.74,4.06,ok,12046.0,DUOT,64.84062459672217
1660521600,4.45,3.94,4.8,3.905,ok,68497.0,DUOT,48.53644257976388
1660608000,4.1199,4.01,4.1199,3.96,ok,11695.0,DUOT,50.235871308614016
1660694400,4.04,4.16,4.289,4.0,ok,6694.0,DUOT,52.26264820345733
1660780800,4.14,4.34,4.35,4.112,ok,4908.0,DUOT,57.29430447658698
1660867200,4.29,4.375,4.5,4.2277,ok,11277.0,DUOT,54.87528344671201
1661126400,4.46,4.39,4.46,4.28,ok,1666.0,DUOT,62.5
1661212800,4.341,4.5,4.5,4.25,ok,2384.0,DUOT,70.07874015748033
1661299200,4.26,4.2,4.26,4.18,ok,763.0,DUOT,59.34579439252338
1661385600,4.35,4.5,4.8399,4.35,ok,6394.0,DUOT,62.820512820512825
1661472000,4.425,4.35,4.425,4.35,ok,1464.0,DUOT,53.21100917431192
1661731200,4.35,4.3,4.35,4.3,ok,382.0,DUOT,53.45622119815667
1661817600,4.3395,4.17,4.3395,4.07,ok,3454.0,DUOT,49.7576024680476
1661904000,4.2205,4.18,4.33,4.12,ok,2646.0,DUOT,49.779735682819364
1661990400,4.15,4.15,4.15,4.15,ok,391.0,DUOT,42.64705882352941
1662076800,4.01,4.1,4.1,4.01,ok,2098.0,DUOT,55.0632911392405
1662422400,4.17,4.17,4.17,4.17,ok,298.0,DUOT,55.06329113924051
1662508800,4.255,4.255,4.255,4.255,ok,208.0,DUOT,53.13531353135313
1662595200,4.02,4.2511,4.2511,4.02,ok,642.0,DUOT,46.68011053850176
1662681600,4.2,4.03,4.2,4.03,ok,698.0,DUOT,38.688524590163944
1662940800,4.15,4.35,4.39,4.15,ok,2296.0,DUOT,48.907103825136616
1663027200,4.3077,4.3299,4.375,4.1,ok,10479.0,DUOT,45.11234986495029
1663113600,4.24,4.06,4.3199,4.06,ok,6251.0,DUOT,45.906432748537995
1663200000,4.07,4.15,4.26,4.05,ok,4920.0,DUOT,38.33333333333334
1663286400,4.0532,4.17,4.17,4.0532,ok,3484.0,DUOT,43.430656934306576
1663545600,4.14,4.075,4.14,4.01,ok,4151.0,DUOT,42.04946996466432
1663632000,4.08,3.9,4.08,3.9,ok,6451.0,DUOT,40.75342465753424
1663718400,3.86,3.79,3.86,3.79,ok,3199.0,DUOT,37.5
1663804800,3.78,3.79,3.79,3.725,ok,2137.0,DUOT,38.23529411764705
1663891200,3.53,3.675,3.7,3.53,ok,717.0,DUOT,36.677115987460816
1664150400,3.71,3.769,3.7845,3.71,ok,1407.0,DUOT,37.615812229771464
1664236800,3.91,3.91,3.91,3.91,ok,406.0,DUOT,39.701492537313435
1664409600,3.65,3.65,3.65,3.65,ok,565.0,DUOT,34.43633162446274
1664496000,3.8,4.06,4.225,3.8,ok,4561.0,DUOT,50.707547169811306
1664755200,4.0,3.61,4.0,3.61,ok,16904.0,DUOT,33.55555555555557
1664841600,3.5,3.55,3.7,3.5,ok,2908.0,DUOT,32.970872090484306
1664928000,3.5501,3.5,3.65,3.5,ok,16387.0,DUOT,36.47342995169083
1665014400,3.5123,3.55,3.75,3.5,ok,29294.0,DUOT,35.221674876847274
1665100800,3.53,3.56,3.925,3.51,ok,20706.0,DUOT,34.9009900990099
1665360000,4.04,3.65,4.04,3.5509,ok,3540.0,DUOT,39.454094292803966
1665446400,3.78,3.62,3.78,3.5001,ok,3596.0,DUOT,42.51336898395722
1665532800,3.7232,3.6,3.7232,3.6,ok,1245.0,DUOT,44.66292134831461
1665619200,3.6093,3.6093,3.6093,3.6093,ok,999.0,DUOT,44.950539317051366
1665705600,3.6,3.6,3.6,3.6,ok,214.0,DUOT,47.77263007840343
1665964800,3.56,3.6473,3.65,3.56,ok,1301.0,DUOT,46.282607367585065
1666051200,3.65,3.72,3.846,3.65,ok,6114.0,DUOT,43.943644013770246
1666137600,3.75,3.6,3.75,3.5811,ok,6767.0,DUOT,48.25003499930002
1666224000,4.1,3.98,4.1049,3.8101,ok,15386.0,DUOT,47.13999713999715
1666310400,3.99,4.0,4.045,3.99,ok,7713.0,DUOT,70.13214949411523
1666656000,3.8,4.0,4.0,3.8,ok,936.0,DUOT,74.76337222099936
1666742400,4.0,3.81,4.0,3.81,ok,3743.0,DUOT,64.78161358001145
1666828800,3.83,3.8,3.975,3.6,ok,10862.0,DUOT,62.393416617092996
1666915200,3.69,3.49,3.79,3.49,ok,6723.0,DUOT,47.32538590860462
1667174400,3.5,3.25,3.52,3.25,ok,8908.0,DUOT,36.28822158233923
1667260800,3.25,3.2,3.33,3.2,ok,10022.0,DUOT,35.797375896117956
1667347200,3.2,3.3,3.53,3.2,ok,5152.0,DUOT,40.3759784421917
1667433600,3.58,3.33,3.58,3.33,ok,1591.0,DUOT,41.15747483062116
1667520000,3.35,3.34,3.35,3.33,ok,2137.0,DUOT,41.772151898734165
1667779200,3.5351,3.6342,3.6342,3.5351,ok,877.0,DUOT,49.641469155399854
1667952000,3.59,3.48,3.6899,3.48,ok,7417.0,DUOT,43.712010060783896
1668038400,3.4646,3.3001,3.4999,3.3001,ok,4413.0,DUOT,42.38175074937763
1668124800,3.3,3.3048,3.5199,3.3,ok,3071.0,DUOT,28.807281858129315
1668384000,3.4545,3.4,3.4545,3.3,ok,11410.0,DUOT,32.01654477880349
1668470400,3.48,3.15,3.49,3.1,ok,49863.0,DUOT,27.843811906996137
1668556800,3.24,3.0,3.2499,3.0,ok,13484.0,DUOT,28.436801192631236
1668643200,3.15,2.8,3.15,2.72,ok,46482.0,DUOT,25.824388357025427
1668729600,2.8,2.8,2.8,2.775,ok,4265.0,DUOT,30.3776589694005
1668988800,2.71,2.705,2.78,2.7,ok,8018.0,DUOT,33.1081081081081
1669075200,2.78,2.81,2.9841,2.76,ok,24957.0,DUOT,38.31075410622227
1669161600,3.12,2.91,3.12,2.61,ok,14427.0,DUOT,38.310754106222284
1669334400,2.8604,2.9,2.9,2.8604,ok,865.0,DUOT,36.95546656959107
1669593600,2.9,2.8,2.9,2.8,ok,6536.0,DUOT,34.466689678978256
1669680000,2.883,2.79,2.98,2.79,ok,2117.0,DUOT,20.96973865199449
1669766400,2.75,2.55,2.845,2.55,ok,31448.0,DUOT,19.80127289258344
1669852800,2.574,2.74,2.91,2.574,ok,7718.0,DUOT,31.931092328537332
1669939200,2.7762,2.718,2.7762,2.718,ok,2260.0,DUOT,31.27871362940276
1670198400,2.6068,2.705,2.8,2.6068,ok,10312.0,DUOT,26.599326599326616
1670284800,2.6,2.18,2.62,2.01,ok,17640.0,DUOT,22.44318181818184
1670371200,2.35,2.145,2.478,2.08,ok,14240.0,DUOT,24.012158054711264
