t,o,c,h,l,s,v,Ticker,RSI
1652140800,24.3,22.764,24.852,22.5,ok,19761.6,EBON,
1652227200,22.5,21.726,23.700000000000003,21.645,ok,31426.6,EBON,
1652313600,20.865,20.7,21.3,17.91,ok,61204.96666666667,EBON,
1652400000,22.35,22.065,25.467,21.0,ok,63923.8,EBON,
1652659200,22.8,22.152,23.700000000000003,21.975,ok,22942.9,EBON,
1652745600,23.019,22.917,23.967,22.479,ok,18970.3,EBON,
1652832000,22.038,21.948,24.048,21.93,ok,16871.2,EBON,
1652918400,21.81,22.326,23.151000000000003,21.0,ok,15508.2,EBON,
1653004800,23.772,21.3,23.772,20.403,ok,25770.3,EBON,
1653264000,21.3,21.621,22.479,20.7,ok,11599.7,EBON,
1653350400,21.6,21.384,22.146,20.4,ok,8994.7,EBON,
1653436800,20.754,21.009,22.2,20.4,ok,14431.6,EBON,
1653523200,21.0,22.8,23.109,20.46,ok,26554.1,EBON,
1653609600,22.839,22.911,23.700000000000003,21.3,ok,27317.9,EBON,50.774581093898206
1653955200,24.0,23.997,24.831,22.842,ok,28555.5,EBON,55.829787234042556
1654041600,23.946,23.145,24.255,21.3,ok,12616.3,EBON,56.82933872365002
1654128000,23.055,23.409,23.997,22.503,ok,10781.866666666669,EBON,64.06980367715799
1654214400,23.4,23.478,23.91,22.5,ok,7893.1,EBON,58.480374504861366
1654473600,24.84,22.89,24.84,22.653,ok,17111.566666666666,EBON,54.17798913043478
1654560000,22.074,23.052,24.561,22.074,ok,23007.966666666667,EBON,50.82026977761574
1654646400,23.193,24.45,25.5,23.106,ok,17851.866666666665,EBON,64.44906444906445
1654732800,23.907,23.895,24.627,23.373,ok,11663.3,EBON,58.87945670628183
1654819200,23.4,22.5,24.18,22.5,ok,12544.9,EBON,56.51890482398957
1655078400,20.7,19.683,24.837,18.003,ok,101068.56666666668,EBON,41.71794871794872
1655164800,21.3,20.46,24.0,20.4,ok,41052.7,EBON,46.22549019607843
1655251200,19.98,19.8,21.0,18.372,ok,96501.96666666666,EBON,45.17365269461078
1655337600,21.489,16.203,22.65,16.200000000000003,ok,129996.7,EBON,26.983462424115558
1655424000,16.5,13.566,16.806,13.2,ok,443303.26666666666,EBON,22.281544758853883
1655769600,14.247,15.87,16.458,14.157,ok,137589.16666666666,EBON,27.518672199170126
1655856000,14.823,14.4,15.246,14.4,ok,54106.1,EBON,26.608891028727328
1655942400,14.4,13.947,14.7,13.578,ok,81204.46666666666,EBON,24.94439148395297
1656028800,14.7,11.121,15.6,11.121,ok,148057.0,EBON,21.447386662969635
1656288000,12.606,13.02,13.5,12.0,ok,139377.46666666667,EBON,28.49673202614379
1656374400,12.945,14.331,14.661,12.075,ok,146595.06666666668,EBON,31.905888211129096
1656460800,13.62,13.035,13.764,12.924,ok,36805.0,EBON,26.215776972121517
1656547200,12.6,12.03,13.032,12.0,ok,32452.9,EBON,25.733218799852736
1656633600,12.093,12.744,12.9,12.0,ok,37202.36666666667,EBON,29.474880080787685
1656979200,12.918,13.659,13.8,12.333,ok,35017.166666666664,EBON,36.223929747530185
1657065600,13.044,13.476,13.716,12.939,ok,22346.666666666668,EBON,33.582510578279255
1657152000,13.2,16.803,18.9,12.948,ok,610238.4,EBON,43.73981701967665
1657238400,16.200000000000003,16.596,18.3,16.200000000000003,ok,88533.8,EBON,50.95634399182363
1657497600,16.8,18.18,19.02,16.596,ok,102551.46666666666,EBON,61.834410587873194
1657584000,17.751,16.947,18.3,16.733999999999998,ok,45041.066666666666,EBON,52.922976713890236
1657670400,15.9,15.534,16.689,14.49,ok,39236.46666666667,EBON,53.08722639660242
1657756800,15.0,16.662,17.043000000000003,15.0,ok,50986.26666666667,EBON,57.129352449976366
1657843200,16.5,16.41,16.796999999999997,16.152,ok,13947.2,EBON,66.05939151029332
1658102400,16.8,16.62,17.855999999999998,16.5,ok,50659.3,EBON,62.180267965895254
1658188800,16.8,17.217,17.997,16.523999999999997,ok,74483.3,EBON,60.260238907849825
1658275200,17.4,17.877,18.3,17.099999999999998,ok,48575.66666666666,EBON,68.02949061662198
1658361600,17.7,16.971,17.703,16.433999999999997,ok,34140.26666666667,EBON,68.5347738014855
1658448000,17.235,15.611999999999998,17.7,15.03,ok,42097.36666666667,EBON,60.26191498497209
1658707200,15.0,15.033,15.611999999999998,14.88,ok,33229.36666666667,EBON,55.037395512538495
1658793600,14.418,13.365,14.709,13.119,ok,45248.16666666666,EBON,49.633009323546915
1658880000,14.703,14.151,15.24,13.5,ok,129085.16666666669,EBON,39.46113495469717
1658966400,13.8,14.646,14.673,13.65,ok,33076.36666666667,EBON,42.42424242424243
1659052800,14.259,14.7,15.237,14.259,ok,19034.1,EBON,34.656084656084644
1659312000,14.472,14.364,14.697,14.1,ok,12431.966666666667,EBON,37.63286411950589
1659398400,13.932,14.163,14.67,13.875,ok,19627.066666666666,EBON,42.5739356516087
1659484800,14.4,14.4,14.94,14.166,ok,29600.7,EBON,36.43884892086331
1659571200,14.7,14.865,15.6,14.571000000000002,ok,37523.76666666667,EBON,40.96808137495614
1659657600,16.5,17.319000000000003,17.4,15.06,ok,196111.4,EBON,53.23701028063352
1659916800,17.7,16.809,18.0,16.611,ok,47690.46666666667,EBON,48.09523809523811
1660003200,17.052,15.980999999999998,17.052,15.354,ok,21844.466666666667,EBON,41.285162713734145
1660089600,16.641,16.503,16.8,15.975,ok,22545.066666666666,EBON,47.77015437392796
1660176000,17.4,17.151,18.0,16.662,ok,29512.466666666667,EBON,57.8656853725851
1660262400,17.025,18.0,18.702,16.806,ok,47847.4,EBON,64.7567890182035
1660521600,18.0,18.174,18.564,17.694,ok,20273.0,EBON,78.09323519102696
1660608000,18.0,16.770000000000003,18.0,16.521,ok,19654.6,EBON,64.26936907486109
1660694400,16.806,16.796999999999997,17.096999999999998,16.242,ok,17336.1,EBON,62.34929383396484
1660780800,16.8,16.209,17.099999999999998,15.015,ok,26235.7,EBON,58.16293411230121
1660867200,15.6,15.36,16.167,15.0,ok,23463.266666666663,EBON,55.104551045510455
1661126400,14.7,14.325,15.3,13.923,ok,22860.6,EBON,50.76487252124646
1661212800,14.175,14.163,15.009,13.944,ok,16523.066666666666,EBON,48.87303851640513
1661299200,14.49,14.4,14.883,14.1,ok,15356.7,EBON,47.73986585010207
1661385600,14.7,14.868,15.3,14.55,ok,9857.466666666667,EBON,35.23671846765447
1661472000,15.48,14.559,15.48,14.304,ok,14017.7,EBON,36.111111111111086
1661731200,14.4,14.463,14.631,14.244,ok,10619.7,EBON,39.69869706840391
1661817600,14.328,13.65,14.601,13.53,ok,9973.9,EBON,31.37485311398352
1661904000,13.8,14.025,14.127,13.563,ok,8620.666666666666,EBON,28.838342810722963
1661990400,14.1,13.8,14.1,13.5,ok,7361.4,EBON,18.94409937888193
1662076800,13.95,14.28,14.829,13.638,ok,9521.8,EBON,22.453310696095016
1662422400,14.4,14.1,14.4,13.53,ok,7033.7,EBON,27.156057494866445
1662508800,13.677,14.193,14.31,13.677,ok,5480.7,EBON,27.969543147208128
1662595200,13.911,14.1,14.4,13.866,ok,10469.266666666666,EBON,30.52631578947367
1662681600,14.4,14.913,15.3,14.28,ok,17965.666666666668,EBON,45.84495259341886
1662940800,15.3,15.096,15.819,14.406,ok,21874.4,EBON,58.51557322730286
