t,o,c,h,l,s,v,Ticker,RSI
1652140800,7.4,7.4543,7.4543,7.35,ok,30531.0,FEIM,
1652227200,7.45,7.45,7.45,7.45,ok,559.0,FEIM,
1652313600,7.3472,7.3472,7.3472,7.3472,ok,478.0,FEIM,
1652400000,7.4,7.58,7.58,7.1838,ok,24289.0,FEIM,
1652659200,7.49,7.2,7.5,7.2,ok,4157.0,FEIM,
1652745600,7.33,7.41,7.63,7.33,ok,1629.0,FEIM,
1652832000,7.67,7.65,7.67,7.585,ok,927.0,FEIM,
1652918400,7.66,7.69,7.7,7.35,ok,5106.0,FEIM,
1653004800,7.8882,7.53,7.8882,7.53,ok,1216.0,FEIM,
1653264000,7.7,7.5101,7.7,7.5101,ok,689.0,FEIM,
1653350400,7.52,7.52,7.52,7.52,ok,592.0,FEIM,
1653436800,7.6371,7.53,7.6371,7.52,ok,528.0,FEIM,
1653523200,7.5201,7.33,7.5201,7.33,ok,2687.0,FEIM,
1653609600,7.5967,7.5,7.5967,7.5,ok,2827.0,FEIM,51.28392425689724
1653955200,7.5482,7.87,7.87,7.5482,ok,747.0,FEIM,59.668790994092205
1654041600,7.73,7.39,7.75,7.39,ok,1889.0,FEIM,48.857316980269665
1654128000,7.64,7.5,7.64,7.5,ok,1301.0,FEIM,52.902073995289825
1654214400,7.8572,7.8572,7.8572,7.8572,ok,477.0,FEIM,55.027203482045685
1654473600,7.85,7.7712,7.85,7.52,ok,1097.0,FEIM,61.59561510353228
1654560000,7.51,7.2,7.59,7.0,ok,211075.0,FEIM,46.282132993414066
1654646400,7.29,7.35,7.425,7.11,ok,10793.0,FEIM,44.513934606100484
1654732800,7.15,7.15,7.15,7.15,ok,412.0,FEIM,40.670997166747284
1654819200,7.15,7.16,7.4118,7.15,ok,3370.0,FEIM,43.258508855039715
1655078400,7.14,7.05,7.15,7.05,ok,1509.0,FEIM,41.883357442754814
1655164800,7.01,7.0,7.01,7.0,ok,1849.0,FEIM,40.95463401057612
1655251200,7.05,7.06,7.2436,6.98,ok,3864.0,FEIM,41.96416358911228
1655337600,7.0,7.05,7.2,6.99,ok,1683.0,FEIM,44.880046811000575
1655424000,7.05,7.17,7.17,7.05,ok,1284.0,FEIM,43.8533750558784
1655769600,7.3,7.33,7.34,7.2,ok,1386.0,FEIM,39.088263821532486
1655856000,7.35,7.36,7.36,7.05,ok,4286.0,FEIM,49.25903971547127
1655942400,7.0,6.99,7.29,6.99,ok,907.0,FEIM,38.83733146559271
1656028800,7.71,7.08,7.71,7.07,ok,1505.0,FEIM,30.73567321039063
1656288000,6.98,6.98,6.98,6.98,ok,561.0,FEIM,30.52382827884992
1656374400,7.15,6.85,7.15,6.8,ok,4225.0,FEIM,38.99371069182387
1656460800,6.82,6.82,6.82,6.82,ok,248.0,FEIM,31.972789115646265
1656547200,7.05,7.3,7.3,7.0,ok,6045.0,FEIM,54.28571428571428
1656633600,7.17,7.18,7.18,7.17,ok,377.0,FEIM,50.537634408602145
1656979200,7.18,7.01,7.18,7.01,ok,1959.0,FEIM,48.958333333333336
1657065600,7.03,7.04,7.18,7.03,ok,2141.0,FEIM,51.05263157894737
1657152000,7.05,7.1675,7.19,7.05,ok,3618.0,FEIM,52.73189326556546
1657497600,7.13,7.05,7.18,7.05,ok,670.0,FEIM,50.0
1657584000,7.2,7.03,7.26,7.03,ok,3156.0,FEIM,46.45569620253166
1657670400,7.24,7.15,7.25,7.15,ok,3832.0,FEIM,45.34883720930233
1657756800,6.48,6.13,6.4911,5.9,ok,58673.0,FEIM,28.974358974358978
1657843200,6.03,6.25,6.4828,6.03,ok,2913.0,FEIM,36.16822429906542
1658102400,6.2,6.1,6.3,6.05,ok,2979.0,FEIM,32.08409506398537
1658188800,6.07,6.1,6.165,6.05,ok,7524.0,FEIM,33.301707779886144
1658275200,6.1,6.13,6.156,6.1,ok,13602.0,FEIM,35.79881656804734
1658361600,6.13,6.32,6.32,6.13,ok,4734.0,FEIM,40.723562152133596
1658448000,6.26,6.15,6.36,6.15,ok,2915.0,FEIM,25.89098532494762
1658707200,6.31,6.18,6.34,6.14,ok,4532.0,FEIM,28.213507625272342
1658793600,6.2626,6.15,6.38,6.07,ok,3048.0,FEIM,30.046403712297007
1658880000,6.455,6.52,6.52,6.35,ok,5763.0,FEIM,39.57915831663326
1658966400,6.43,6.37,6.43,6.17,ok,4647.0,FEIM,34.16087388282024
1659052800,6.5,6.6,6.79,6.5,ok,6932.0,FEIM,41.44486692015208
1659312000,6.5,6.56,6.71,6.5,ok,8395.0,FEIM,41.13207547169809
1659398400,6.52,6.5,6.53,6.5,ok,2158.0,FEIM,37.451737451737436
1659484800,6.35,6.54,6.6,6.35,ok,5204.0,FEIM,62.73291925465841
1659571200,6.55,6.5,6.6899,6.46,ok,4383.0,FEIM,58.16993464052289
1659657600,6.475,6.5,6.51,6.45,ok,1696.0,FEIM,64.49275362318845
1659916800,6.55,6.57,6.65,6.55,ok,1593.0,FEIM,66.20689655172418
1660003200,6.57,6.5,6.63,6.5,ok,7295.0,FEIM,62.41610738255036
1660089600,6.52,6.5,6.61,6.5,ok,37637.0,FEIM,56.92307692307693
1660176000,6.58,6.58,6.58,6.5,ok,1484.0,FEIM,67.76859504132234
1660262400,6.5,6.5,6.56,6.5,ok,2021.0,FEIM,62.69841269841273
1660521600,6.5,6.5,6.5,6.5,ok,892.0,FEIM,64.22764227642276
1660608000,6.5,6.5,6.55,6.45,ok,22010.0,FEIM,48.837209302325604
1660694400,6.5,6.395,6.5,6.37,ok,10989.0,FEIM,51.53374233128831
1660780800,6.45,6.33,6.45,6.26,ok,3893.0,FEIM,29.230769230769283
1660867200,6.33,6.2,6.4,6.2,ok,13697.0,FEIM,25.67567567567572
1661126400,6.2,6.18,6.29,6.18,ok,6917.0,FEIM,27.142857142857153
1661212800,6.27,6.47,6.48,6.27,ok,1090.0,FEIM,46.3157894736842
1661299200,6.41,6.67,6.67,6.335,ok,12608.0,FEIM,57.657657657657644
1661385600,6.4504,6.74,6.745,6.4504,ok,1060.0,FEIM,60.16949152542372
