t,o,c,h,l,s,v,Ticker,RSI
1652140800,8.12,7.844,8.12,7.75,ok,15144.0,FNCB,
1652227200,7.97,7.62,7.9899,7.62,ok,49899.0,FNCB,
1652313600,7.89,7.5873,7.89,7.51,ok,15177.0,FNCB,
1652400000,8.05,7.67,8.05,7.67,ok,5308.0,FNCB,
1652659200,7.55,7.38,7.59,7.38,ok,18696.0,FNCB,
1652745600,7.5,7.8,7.82,7.44,ok,37853.0,FNCB,
1652832000,7.76,7.51,7.852,7.51,ok,18803.0,FNCB,
1652918400,7.5796,7.55,7.62,7.55,ok,2321.0,FNCB,
1653004800,7.64,7.51,7.64,7.51,ok,5639.0,FNCB,
1653264000,7.37,7.72,7.91,7.37,ok,12919.0,FNCB,
1653350400,7.745,8.02,8.03,7.7102,ok,43230.0,FNCB,
1653436800,8.0,7.9238,8.08,7.75,ok,35131.0,FNCB,
1653523200,7.7737,7.8,7.845,7.7737,ok,2446.0,FNCB,
1653609600,7.81,7.83,7.85,7.77,ok,3323.0,FNCB,49.67881068183904
1653955200,7.7501,7.77,7.8,7.7501,ok,2228.0,FNCB,48.347771724569064
1654041600,7.77,7.74,7.79,7.74,ok,4896.0,FNCB,52.93341155764154
1654128000,7.6918,7.73,7.84,7.69,ok,10717.0,FNCB,53.527463291639904
1654214400,7.964,7.96,7.964,7.9078,ok,2034.0,FNCB,56.68202764976959
1654473600,7.7674,7.85,8.15,7.7201,ok,3229.0,FNCB,61.80904522613065
1654560000,7.74,7.46,7.815,7.46,ok,14429.0,FNCB,41.326530612244895
1654646400,7.59,7.7,7.86,7.59,ok,8419.0,FNCB,54.9738219895288
1654732800,7.63,7.46,7.71,7.46,ok,6544.0,FNCB,47.86729857819906
1654819200,7.59,7.6,7.83,7.36,ok,8710.0,FNCB,52.03619909502262
1655078400,7.59,7.59,7.71,7.55,ok,5815.0,FNCB,46.766169154228855
1655164800,7.52,7.52,7.7624,7.47,ok,7731.0,FNCB,35.95505617977528
1655251200,7.98,8.24,8.25,7.6,ok,87741.0,FNCB,56.57708628005659
1655337600,8.21,8.24,8.26,7.85,ok,17890.0,FNCB,59.64912280701755
1655424000,8.13,8.08,8.25,7.87,ok,13643.0,FNCB,55.18672199170124
1655769600,8.0,8.16,8.16,7.972,ok,7289.0,FNCB,58.0246913580247
1655856000,8.14,8.14,8.14,8.1099,ok,8290.0,FNCB,58.26446280991736
1655942400,7.91,7.95,8.1634,7.91,ok,3247.0,FNCB,54.230769230769226
1656028800,7.95,7.89,7.96,7.89,ok,9880.0,FNCB,48.559670781893004
1656288000,7.89,8.04,8.11,7.89,ok,5127.0,FNCB,53.84615384615383
1656374400,8.06,8.11,8.11,8.0,ok,10039.0,FNCB,65.11627906976742
1656460800,8.0,7.98,8.0738,7.86,ok,8418.0,FNCB,56.86274509803922
1656547200,8.0132,8.0,8.045,7.882,ok,5098.0,FNCB,64.83516483516485
1656633600,7.89,7.83,8.07,7.71,ok,14733.0,FNCB,56.216216216216225
1656979200,7.85,7.67,7.85,7.54,ok,5235.0,FNCB,51.99999999999999
1657065600,7.785,7.69,7.81,7.62,ok,3228.0,FNCB,54.358974358974386
1657152000,7.6228,7.83,7.88,7.6228,ok,1450.0,FNCB,35.036496350364956
1657238400,7.78,7.7,7.78,7.7,ok,923.0,FNCB,31.999999999999986
1657497600,7.77,7.78,7.78,7.75,ok,1235.0,FNCB,39.43661971830986
1657584000,7.8,7.83,7.83,7.8,ok,1124.0,FNCB,38.12949640287769
1657670400,7.72,7.81,7.81,7.67,ok,2810.0,FNCB,38.129496402877656
1657756800,7.7013,7.69,7.72,7.69,ok,1656.0,FNCB,40.151515151515156
1657843200,7.7,7.67,7.72,7.67,ok,801.0,FNCB,41.40624999999999
1658102400,7.7,7.77,7.8124,7.7,ok,2763.0,FNCB,39.024390243902445
1658188800,7.84,7.71,7.84,7.71,ok,3672.0,FNCB,33.60655737704917
1658275200,7.72,7.62,7.73,7.62,ok,11381.0,FNCB,34.74576271186439
1658361600,7.715,7.67,7.715,7.5701,ok,9081.0,FNCB,36.36363636363635
1658448000,7.7499,7.61,7.7499,7.61,ok,2753.0,FNCB,40.0
1658707200,7.7085,7.64,7.8,7.64,ok,1147.0,FNCB,48.453608247422665
1658793600,7.7799,7.62,7.7799,7.49,ok,3224.0,FNCB,46.391752577319565
1658880000,7.7,7.76,7.76,7.7,ok,1116.0,FNCB,46.391752577319565
1658966400,7.84,7.8,7.84,7.77,ok,4098.0,FNCB,55.68181818181818
1659052800,7.8199,7.88,7.88,7.8199,ok,6011.0,FNCB,55.68181818181818
1659312000,7.8,7.94,7.94,7.8,ok,19373.0,FNCB,56.17977528089891
1659398400,7.98,8.02,8.1899,7.97,ok,4756.0,FNCB,61.052631578947405
