t,o,c,h,l,s,v,Ticker,RSI
1652140800,8.7,8.47,8.7,8.19,ok,722364.0,FOSL,
1652227200,8.5,8.01,8.58,7.815,ok,908770.0,FOSL,
1652313600,7.6,7.61,7.78,6.8,ok,2787345.0,FOSL,
1652400000,7.73,7.99,8.25,7.63,ok,849515.0,FOSL,
1652659200,7.96,7.55,8.03,7.525,ok,714080.0,FOSL,
1652745600,7.83,7.52,7.97,7.38,ok,610503.0,FOSL,
1652832000,7.36,7.14,7.44,7.06,ok,1034057.0,FOSL,
1652918400,6.99,6.92,7.23,6.855,ok,1050735.0,FOSL,
1653004800,7.07,6.75,7.09,6.51,ok,808193.0,FOSL,
1653264000,6.85,6.73,6.97,6.6,ok,604899.0,FOSL,
1653350400,6.59,6.34,6.655,6.24,ok,817474.0,FOSL,
1653436800,6.25,6.59,6.77,6.25,ok,765699.0,FOSL,
1653523200,6.69,7.04,7.16,6.68,ok,634476.0,FOSL,
1653609600,7.07,7.4,7.44,6.905,ok,426580.0,FOSL,36.45569620253164
1653955200,7.31,7.34,7.45,7.01,ok,627779.0,FOSL,35.91022443890273
1654041600,7.45,7.13,7.55,7.07,ok,443531.0,FOSL,38.297872340425535
1654128000,7.19,7.2,7.39,7.13,ok,567396.0,FOSL,44.02332361516035
1654214400,7.13,7.14,7.2,6.9827,ok,526417.0,FOSL,36.334405144694536
1654473600,7.23,7.18,7.28,7.02,ok,655812.0,FOSL,43.17343173431735
1654560000,7.04,7.26,7.31,6.96,ok,916409.0,FOSL,45.28985507246377
1654646400,7.28,7.06,7.335,7.05,ok,407951.0,FOSL,48.44961240310077
1654732800,7.05,6.77,7.05,6.77,ok,458286.0,FOSL,47.16981132075472
1654819200,6.6,6.5,6.71,6.47,ok,515398.0,FOSL,45.45454545454546
1655078400,6.26,6.01,6.34,5.96,ok,498625.0,FOSL,38.81987577639751
1655164800,6.05,6.0,6.145,5.96,ok,438939.0,FOSL,44.014084507042256
1655251200,6.11,6.26,6.44,6.05,ok,656695.0,FOSL,44.21052631578947
1655337600,6.07,5.65,6.09,5.57,ok,809433.0,FOSL,26.910299003322265
1655424000,5.65,5.83,5.83,5.53,ok,1472582.0,FOSL,22.261484098939917
1655769600,6.05,5.84,6.14,5.82,ok,566460.0,FOSL,23.02158273381295
1655856000,5.74,5.87,6.04,5.7,ok,415884.0,FOSL,25.76923076923076
1655942400,5.88,5.96,5.995,5.75,ok,340058.0,FOSL,26.33587786259541
1656028800,6.03,6.15,6.3,6.0,ok,592848.0,FOSL,32.0
1656288000,6.21,5.97,6.27,5.94,ok,449921.0,FOSL,29.06574394463668
1656374400,6.04,5.77,6.25,5.76,ok,495026.0,FOSL,25.249169435215947
1656460800,5.8,5.59,5.8,5.445,ok,923249.0,FOSL,25.418060200668904
1656547200,5.45,5.17,5.45,5.1,ok,579896.0,FOSL,24.358974358974365
1656633600,5.14,5.1,5.185,4.86,ok,681911.0,FOSL,26.027397260273958
1656979200,4.99,5.33,5.335,4.82,ok,818888.0,FOSL,37.21804511278196
1657065600,5.32,5.17,5.5065,5.09,ok,758212.0,FOSL,35.231316725978644
1657152000,5.25,5.73,5.74,5.25,ok,782933.0,FOSL,41.479099678456606
1657238400,5.69,5.83,5.895,5.62,ok,328811.0,FOSL,53.46153846153845
1657497600,5.72,5.54,5.815,5.49,ok,344746.0,FOSL,44.64944649446495
1657584000,5.54,5.82,5.925,5.54,ok,365021.0,FOSL,49.664429530201346
1657670400,5.69,5.92,5.96,5.66,ok,346790.0,FOSL,50.81967213114754
1657756800,5.81,5.74,5.82,5.635,ok,301793.0,FOSL,46.49681528662421
1657843200,5.88,5.82,5.91,5.63,ok,247747.0,FOSL,44.554455445544555
1658102400,5.9,5.85,6.09,5.82,ok,271661.0,FOSL,47.916666666666664
1658188800,5.96,6.28,6.325,5.96,ok,503886.0,FOSL,58.19935691318329
1658275200,6.25,6.82,6.86,6.25,ok,501822.0,FOSL,67.72334293948127
1658361600,6.79,6.54,6.79,6.41,ok,331573.0,FOSL,70.57057057057057
1658448000,6.54,6.45,6.66,6.27,ok,358150.0,FOSL,70.1492537313433
1658707200,6.44,6.4,6.51,6.3,ok,285675.0,FOSL,66.87697160883282
1658793600,6.28,5.94,6.28,5.93,ok,267392.0,FOSL,61.095100864553324
1658880000,6.04,6.14,6.17,5.91,ok,212236.0,FOSL,56.591639871382625
1658966400,6.22,6.28,6.35,6.07,ok,402490.0,FOSL,57.142857142857146
1659052800,6.28,6.03,6.35,6.03,ok,424058.0,FOSL,57.87781350482315
1659312000,6.0,6.3,6.5,5.84,ok,432809.0,FOSL,57.74193548387096
1659398400,6.2,6.15,6.35,6.11,ok,340838.0,FOSL,53.65079365079366
