t,o,c,h,l,s,v,Ticker
1652140800,7.55,7.55,7.83,6.88,ok,1325383.0,FULC
1652227200,7.52,7.2,7.72,7.04,ok,909665.0,FULC
1652313600,7.2,7.57,7.82,7.07,ok,774396.0,FULC
1652400000,7.54,8.28,8.43,7.51,ok,751230.0,FULC
1652659200,8.24,8.3,8.5799,8.02,ok,525874.0,FULC
1652745600,8.54,8.74,8.76,8.43,ok,630497.0,FULC
1652832000,8.51,8.5,8.86,8.34,ok,466860.0,FULC
1652918400,8.53,8.64,9.03,8.42,ok,482192.0,FULC
1653004800,8.74,8.51,8.78,8.12,ok,430386.0,FULC
1653264000,8.61,8.34,8.61,8.01,ok,401983.0,FULC
1653350400,8.23,8.36,8.55,7.97,ok,739624.0,FULC
1653436800,8.37,7.76,8.45,7.67,ok,446333.0,FULC
1653523200,7.82,7.4,7.87,7.32,ok,468970.0,FULC
1653609600,7.48,7.64,7.71,7.23,ok,395250.0,FULC
1653955200,7.65,7.12,7.775,7.01,ok,601850.0,FULC
1654041600,7.3,6.92,7.3,6.57,ok,621021.0,FULC
1654128000,6.9,7.52,7.955,6.63,ok,1205694.0,FULC
1654214400,7.5,7.97,8.05,7.36,ok,356249.0,FULC
1654473600,8.28,7.53,8.6,7.51,ok,576233.0,FULC
1654560000,7.4,8.06,8.35,7.38,ok,1255215.0,FULC
1654646400,8.01,8.3,8.69,7.97,ok,665899.0,FULC
1654732800,8.17,8.09,8.43,7.91,ok,639167.0,FULC
1654819200,6.68,4.92,6.8,3.21,ok,8414567.0,FULC
1655078400,4.58,4.2,4.68,4.13,ok,1775115.0,FULC
1655164800,4.11,4.27,4.43,4.0,ok,650730.0,FULC
1655251200,4.09,4.41,4.45,4.08,ok,943993.0,FULC
1655337600,4.27,4.36,4.45,4.0832,ok,607406.0,FULC
1655424000,4.36,4.59,4.91,4.32,ok,864362.0,FULC
1655769600,4.67,4.49,4.98,4.48,ok,486676.0,FULC
1655856000,4.46,4.92,5.15,4.46,ok,785230.0,FULC
1655942400,4.96,5.11,5.14,4.83,ok,509873.0,FULC
1656028800,5.13,5.14,5.24,4.96,ok,1103717.0,FULC
1656288000,5.12,5.22,5.28,4.89,ok,536572.0,FULC
1656374400,5.24,4.85,5.3,4.805,ok,638947.0,FULC
1656460800,4.84,4.95,4.99,4.67,ok,430697.0,FULC
1656547200,4.84,4.9,5.0197,4.66,ok,477799.0,FULC
1656633600,4.92,4.92,5.08,4.77,ok,392215.0,FULC
1656979200,4.87,5.48,5.51,4.81,ok,432164.0,FULC
1657065600,5.1212,5.37,5.63,5.1212,ok,497573.0,FULC
1657152000,5.4,5.87,5.915,5.19,ok,405249.0,FULC
1657238400,5.76,5.93,6.05,5.67,ok,330017.0,FULC
1657497600,5.85,5.69,5.86,5.58,ok,183523.0,FULC
1657584000,5.05,5.25,5.63,5.0,ok,1029155.0,FULC
1657670400,5.13,5.25,5.47,5.04,ok,519743.0,FULC
