t,o,c,h,l,s,v,Ticker
1652140800,10.08,10.08,10.08,10.08,ok,188.0,GBRG
1652313600,10.08,10.08,10.085,10.07,ok,274788.0,GBRG
1652745600,10.1,10.1,10.1,10.09,ok,91244.0,GBRG
1652918400,10.5,10.11,10.5,10.08,ok,501.0,GBRG
1653004800,10.5,10.11,10.5,10.1,ok,827.0,GBRG
1653264000,10.09,10.09,10.09,10.09,ok,620.0,GBRG
1653350400,10.11,10.11,10.11,10.11,ok,103.0,GBRG
1653436800,10.11,10.11,10.11,10.11,ok,8300.0,GBRG
1653523200,10.3,10.11,10.3,10.11,ok,119900.0,GBRG
1653609600,10.14,10.12,10.14,10.12,ok,3233.0,GBRG
1653955200,10.1386,10.135,10.14,10.135,ok,5620.0,GBRG
1654214400,10.14,10.14,10.14,10.14,ok,503.0,GBRG
1654473600,10.15,10.12,10.15,10.12,ok,1469.0,GBRG
1654560000,10.12,10.12,10.12,10.12,ok,2021.0,GBRG
1654646400,10.12,10.12,10.12,10.12,ok,2418.0,GBRG
1654732800,10.135,10.135,10.135,10.135,ok,1082.0,GBRG
1655078400,10.65,10.13,10.65,10.13,ok,3183.0,GBRG
1655164800,10.13,10.13,10.13,10.13,ok,11447.0,GBRG
1655251200,10.13,10.13,10.13,10.13,ok,423.0,GBRG
1655337600,10.13,10.13,10.13,10.13,ok,1146.0,GBRG
1655942400,10.14,10.14,10.14,10.14,ok,209.0,GBRG
1656028800,10.1303,10.1303,10.1303,10.1303,ok,147.0,GBRG
1656288000,10.14,10.14,10.14,10.14,ok,101.0,GBRG
1656633600,10.13,10.13,10.13,10.13,ok,2770.0,GBRG
1657065600,10.13,10.13,10.13,10.13,ok,1102.0,GBRG
1657497600,10.13,10.13,10.13,10.13,ok,10100.0,GBRG
1657670400,10.15,10.16,10.16,10.15,ok,2667.0,GBRG
1657843200,10.16,10.16,10.16,10.16,ok,3504.0,GBRG
1658102400,10.18,10.17,10.18,10.17,ok,304.0,GBRG
1658275200,10.16,10.16,10.16,10.16,ok,135.0,GBRG
1658361600,10.17,10.17,10.1702,10.17,ok,3595.0,GBRG
1658707200,10.17,10.17,10.17,10.17,ok,17500.0,GBRG
1658793600,10.17,10.17,10.18,10.16,ok,28440.0,GBRG
1658880000,10.1876,10.17,10.1876,10.17,ok,1082.0,GBRG
1659312000,10.18,10.18,10.18,10.18,ok,300.0,GBRG
1659398400,10.18,10.18,10.18,10.18,ok,101.0,GBRG
1659657600,10.1892,10.1892,10.1892,10.1892,ok,140.0,GBRG
1659916800,10.19,10.19,10.19,10.19,ok,1136.0,GBRG
1660089600,10.19,10.19,10.19,10.19,ok,113.0,GBRG
1660780800,10.1993,10.2,10.2,10.1993,ok,6505.0,GBRG
1660867200,10.2,10.2,10.2,10.2,ok,156.0,GBRG
1661385600,10.2001,10.2,10.2001,10.2,ok,2505.0,GBRG
1661990400,10.28,10.2445,10.28,10.2445,ok,365.0,GBRG
1662595200,10.24,10.23,10.24,10.225,ok,23410.0,GBRG
1662940800,10.24,10.24,10.24,10.24,ok,4950.0,GBRG
1663027200,10.27,10.27,10.27,10.27,ok,100.0,GBRG
1663113600,10.26,10.26,10.26,10.26,ok,4650.0,GBRG
1663286400,10.27,10.27,10.27,10.27,ok,108.0,GBRG
1663545600,10.26,10.26,10.26,10.26,ok,56926.0,GBRG
1663718400,10.27,10.26,10.27,10.26,ok,1505.0,GBRG
1664236800,10.26,10.26,10.26,10.255,ok,7900.0,GBRG
1664755200,10.28,10.28,10.28,10.28,ok,104.0,GBRG
1664841600,10.29,10.29,10.29,10.29,ok,22606.0,GBRG
1665014400,10.29,10.29,10.29,10.29,ok,101227.0,GBRG
1665446400,10.29,10.28,10.29,10.28,ok,11130.0,GBRG
1666569600,10.3,10.31,10.31,10.3,ok,18734.0,GBRG
1666656000,10.32,10.32,10.32,10.32,ok,8000.0,GBRG
1666828800,10.32,10.33,10.3301,10.31,ok,11968.0,GBRG
1666915200,10.34,10.34,10.34,10.34,ok,5500.0,GBRG
1667174400,10.35,10.3523,10.37,10.33,ok,15501.0,GBRG
1667260800,10.35,10.36,10.36,10.35,ok,45320.0,GBRG
1667433600,10.32,10.34,10.36,10.32,ok,5205.0,GBRG
1667865600,10.37,10.39,10.41,10.3696,ok,259300.0,GBRG
1668124800,10.33,10.33,10.33,10.33,ok,3000.0,GBRG
1668384000,10.37,10.38,10.41,10.37,ok,153003.0,GBRG
1668470400,10.4,10.4,10.4,10.38,ok,6629.0,GBRG
1668556800,10.39,10.38,10.4002,10.38,ok,52428.0,GBRG
1668643200,10.27,10.38,10.43,10.27,ok,2600.0,GBRG
1668729600,10.35,10.36,10.4101,10.35,ok,8303.0,GBRG
1668988800,10.36,10.3701,10.45,10.36,ok,4710.0,GBRG
1669075200,10.745,10.36,10.745,10.35,ok,2297.0,GBRG
1669334400,10.35,10.3605,10.37,10.35,ok,1600.0,GBRG
1669593600,10.438,10.35,10.438,10.35,ok,505.0,GBRG
1669680000,10.4,10.4,10.4,10.4,ok,696.0,GBRG
1669766400,10.35,10.265,10.35,10.265,ok,95267.0,GBRG
1669852800,10.305,10.26,10.305,10.26,ok,2892.0,GBRG
1669939200,10.3237,10.29,10.3237,10.29,ok,429.0,GBRG
1670198400,10.29,10.29,10.29,10.27,ok,5396.0,GBRG
1670284800,10.29,10.29,10.29,10.29,ok,4517.0,GBRG
1670371200,10.29,10.29,10.29,10.29,ok,3768.0,GBRG
1670457600,10.29,10.29,10.29,10.29,ok,284.0,GBRG
1670544000,10.3,10.3,10.3,10.3,ok,245.0,GBRG
1670803200,10.3,10.3,10.3,10.3,ok,606.0,GBRG
1670889600,10.3,10.3,10.3,10.3,ok,301.0,GBRG
1670976000,10.27,10.29,10.3,10.27,ok,14120.0,GBRG
1671062400,10.31,10.31,10.31,10.31,ok,8465.0,GBRG
1671148800,10.29,10.29,10.29,10.29,ok,80000.0,GBRG
1672185600,10.35,10.35,10.35,10.35,ok,101.0,GBRG
1672963200,10.35,10.35,10.35,10.35,ok,270.0,GBRG
1673222400,10.35,10.35,10.35,10.35,ok,1259.0,GBRG
1673481600,10.4,10.4,10.4,10.4,ok,100.0,GBRG
1673568000,10.4,10.42,10.42,10.4,ok,41104.0,GBRG
1673913600,10.4,10.44,10.44,10.3994,ok,18524.0,GBRG
1674000000,10.39,10.4,10.4,10.39,ok,3101.0,GBRG
1674086400,10.43,10.45,10.46,10.4,ok,9117.0,GBRG
1674172800,10.45,10.41,10.46,10.4,ok,11080.0,GBRG
1674518400,10.41,10.45,10.45,10.41,ok,9338.0,GBRG
1674604800,10.45,10.41,10.45,10.41,ok,4437.0,GBRG
1674777600,10.45,10.445,10.45,10.445,ok,5912.0,GBRG
1675123200,10.45,10.445,10.45,10.445,ok,6025.0,GBRG
