t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP,Price % Change,Spike
1652140800,14.53,14.06,14.53,14.05,ok,4857.0,GECC,,14.213333333333331,69034.16,4857.0,14.213333333333336,,0
1652227200,14.25,13.9705,14.25,13.9,ok,22854.0,GECC,,14.040166666666666,320873.969,27711.0,11.57929952004619,,0
1652313600,13.76,13.47,13.9271,13.44,ok,21965.0,GECC,,13.612366666666668,298995.6338333333,49676.0,6.018915247470274,,0
1652400000,13.45,12.87,13.535,12.73,ok,28727.0,GECC,,13.045,374743.715,78403.0,4.7797114268586665,,0
1652659200,13.5,12.74,13.5,12.71,ok,52437.0,GECC,,12.983333333333334,680807.05,130840.0,5.203355625191073,,0
1652745600,12.72,12.6,13.1549,12.6,ok,24245.0,GECC,,12.784966666666667,309971.51683333336,155085.0,1.998720165285704,,0
1652832000,12.68,12.9,13.05,12.28,ok,34143.0,GECC,,12.743333333333332,435095.63,189228.0,2.299319498171517,-0.08250355618776672,0
1652918400,12.89,12.78,13.0,12.59,ok,26165.0,GECC,,12.79,334650.35,215393.0,1.5536732855756683,-0.08521527504384241,0
1653004800,12.55,12.52,12.69,12.4501,ok,11242.0,GECC,,12.553366666666667,141124.94806666666,226635.0,0.6226970594421279,-0.0705270972531552,0
1653264000,12.5,12.5,12.6499,12.41,ok,10450.0,GECC,,12.519966666666669,130833.65166666669,237085.0,0.5518428060259682,-0.028749028749028738,0
1653350400,12.41,12.4,12.57,12.3,ok,10791.0,GECC,,12.423333333333334,134060.19,247876.0,0.5408357001081185,-0.026687598116169498,0
1653436800,12.44,12.4567,12.5,12.3,ok,19424.0,GECC,,12.4189,241224.7136,267300.0,0.9024493587729144,-0.011373015873015868,0
1653523200,12.5,12.4523,12.55,12.425,ok,14491.0,GECC,,12.475766666666669,180786.33476666667,281791.0,0.6415617772273304,-0.03470542635658924,0
1653609600,12.51,12.475,12.55,12.45,ok,15263.0,GECC,16.187388002389298,12.491666666666667,190660.30833333332,297054.0,0.6418372024390627,-0.02386541471048509,0
1653955200,12.55,12.54,12.56,12.46,ok,55651.0,GECC,18.44902025905013,12.52,696750.52,352705.0,1.9754483775393037,0.0015974440894568342,0
1654041600,12.62,12.48,12.65,12.45,ok,75051.0,GECC,18.677762367082764,12.526666666666666,940138.86,427756.0,2.197839095185105,-0.0015999999999999348,0
1654128000,12.54,12.49,12.57,12.47,ok,57241.0,GECC,24.057602710715784,12.51,716084.91,484997.0,1.476472864780607,0.007258064516129092,0
1654214400,12.5682,12.49,12.5886,12.49,ok,65036.0,GECC,35.25760397268779,12.522866666666667,814437.1565333334,550033.0,1.480705987701344,0.0026732601732402106,0
1654473600,12.55,12.49,12.64,12.47,ok,87708.0,GECC,39.21297894373489,12.533333333333331,1099273.6,637741.0,1.7236991192349247,0.003027553142793016,0
1654560000,12.5,12.49,12.52,12.4274,ok,67828.0,GECC,44.601491951315296,12.479133333333335,846434.6557333334,705569.0,1.1996483061661347,0.0012024048096193063,0
1654646400,12.55,12.49,12.5582,12.4317,ok,36712.0,GECC,21.48024485253191,12.4933,458654.0296,742281.0,0.6178981135176571,-0.003987240829345984,0
1654732800,12.46,12.59,12.59,12.46,ok,10141.0,GECC,36.40526617057811,12.546666666666669,127235.74666666667,752422.0,0.1691015768633382,0.008814102564102422,0
1654819200,12.53,12.43,12.6,12.43,ok,21372.0,GECC,42.48496993987973,12.486666666666666,266865.04,773794.0,0.3448786627965582,-0.0048038430744595795,0
1655078400,12.44,12.36,12.54,12.3,ok,22110.0,GECC,39.21085080147957,12.4,274164.0,795904.0,0.3444686796397555,-0.01040832666132907,0
1655164800,12.4,12.58,12.58,12.34,ok,17727.0,GECC,61.706555671175856,12.5,221587.5,813631.0,0.2723439741111143,0.007205764611689425,0
1655251200,12.59,12.66,12.66,12.4,ok,25927.0,GECC,62.83297563438964,12.573333333333332,325988.8133333333,839558.0,0.3882862331528415,0.013610888710968716,0
1655337600,12.6,12.425,12.6,12.34,ok,80892.0,GECC,48.66529774127317,12.454999999999998,1007509.86,920450.0,1.094584018686512,-0.005204163330664535,0
1655424000,12.45,12.62,12.7,12.4456,ok,19439.0,GECC,56.06694560669456,12.588533333333332,244708.49946666663,939889.0,0.2603589354345743,0.002382843526608447,0
1655769600,12.79,13.02,13.04,12.62,ok,85203.0,GECC,65.68627450980395,12.89333333333333,1098550.6799999997,1025092.0,1.0716605729046755,0.047465808527755504,0
1655856000,12.3,12.3,12.39,12.0099,ok,45484.0,GECC,45.89041095890411,12.2333,556419.4172,1070576.0,0.519738362526341,-0.004854368932038722,0
1655942400,12.1,12.49,12.5116,12.09,ok,60204.0,GECC,50.0,12.363866666666668,744354.2288,1130780.0,0.6582661780363996,-0.007154213036565937,0
1656028800,12.47,12.5,12.54,12.3544,ok,18161.0,GECC,50.21008403361344,12.4648,226373.2328,1148941.0,0.1970277262278915,-0.012638230647709303,0
1656288000,12.37,12.56,12.6,12.37,ok,42676.0,GECC,51.43442622950821,12.51,533876.76,1191617.0,0.4480271429494544,0.010865191146881337,0
1656374400,12.52,12.75,12.75,12.4274,ok,19541.0,GECC,54.94296577946768,12.642466666666666,247046.4411333333,1211158.0,0.2039754029889851,0.01030110935023787,0
1656460800,12.75,12.71,12.75,12.43,ok,1705.0,GECC,54.11985018726593,12.63,21534.15,1212863.0,0.0177548082512204,-0.023809523809523725,0
1656547200,12.79,12.5,12.8,12.43,ok,14845.0,GECC,48.381294964028775,12.576666666666668,186700.6166666667,1227708.0,0.1520724933507533,0.016260162601625883,0
1656633600,13.49,12.7,14.5,12.5,ok,9925.0,GECC,54.7872340425532,13.233333333333334,131340.83333333334,1237633.0,0.1061226012342377,0.01681345076060836,0
1656979200,12.44,12.54,12.7499,12.3401,ok,11193.0,GECC,53.09278350515464,12.543333333333331,140397.52999999997,1248826.0,0.1124236122566314,0.0031999999999998696,0
1657065600,12.41,12.5,12.6626,12.34,ok,10128.0,GECC,48.534798534798526,12.500866666666669,126608.7776,1258954.0,0.1005666431021308,-0.004777070063694322,0
1657152000,12.35,12.5,12.5,12.35,ok,4016.0,GECC,46.98113207547169,12.45,49999.2,1262970.0,0.0395885888025843,-0.019607843137254943,0
