t,o,c,h,l,s,v,Ticker,RSI
1652140800,1.72,1.9659,1.9659,1.72,ok,95932.0,GEG,
1652227200,1.99,1.85,1.99,1.83,ok,17447.0,GEG,
1652313600,1.94,2.0673,2.09,1.85,ok,55678.0,GEG,
1652400000,2.02,2.13,2.13,2.0,ok,127709.0,GEG,
1652659200,2.02,2.13,2.19,2.01,ok,46109.0,GEG,
1652745600,2.18,2.1502,2.18,2.08,ok,21271.0,GEG,
1652832000,2.14,2.07,2.14,2.0035,ok,16984.0,GEG,
1652918400,2.11,2.2,2.2,2.04,ok,85807.0,GEG,
1653004800,2.1999,2.225,2.225,2.1701,ok,39789.0,GEG,
1653264000,2.25,2.23,2.28,2.08,ok,116887.0,GEG,
1653350400,2.24,2.21,2.25,2.13,ok,15473.0,GEG,
1653436800,2.21,2.31,2.31,2.16,ok,27402.0,GEG,
1653523200,2.35,2.3,2.42,2.275,ok,27285.0,GEG,
1653609600,2.24,2.3085,2.35,2.24,ok,18782.0,GEG,71.55259184700552
1653955200,2.38,2.31,2.38,2.1378,ok,32809.0,GEG,71.60617857591359
1654041600,2.36,2.4,2.43,2.28,ok,84091.0,GEG,85.69574247144337
1654128000,2.35,2.42,2.45,2.3361,ok,25856.0,GEG,80.77124411097536
1654214400,2.47,2.44,2.49,2.37,ok,24093.0,GEG,79.22322775263949
1654473600,2.44,2.44,2.47,2.4,ok,33890.0,GEG,79.22322775263949
1654560000,2.43,2.4,2.5,2.4,ok,67552.0,GEG,72.70083605961466
1654646400,2.4,2.39,2.455,2.32,ok,20175.0,GEG,83.33333333333333
1654732800,2.35,2.28,2.3953,2.28,ok,481916.0,GEG,58.695652173913
1654819200,2.29,2.4,2.48,2.2456,ok,51218.0,GEG,65.76576576576574
1655078400,2.31,2.33,2.43,2.3,ok,11693.0,GEG,58.064516129032256
1655164800,2.48,2.42,2.51,2.4,ok,310492.0,GEG,65.21739130434781
1655251200,2.4,2.47,2.5,2.31,ok,102634.0,GEG,62.50000000000001
1655337600,2.42,2.52,2.54,2.4,ok,63217.0,GEG,66.1764705882353
1655424000,2.55,2.43,2.55,2.35,ok,19934.0,GEG,57.97767564018386
1655769600,2.51,2.38,2.51,2.28,ok,24909.0,GEG,54.32098765432097
1655856000,2.41,2.25,2.41,2.19,ok,11368.0,GEG,41.1764705882353
1655942400,2.2,2.23,2.3599,2.2,ok,9027.0,GEG,38.8235294117647
1656028800,2.25,2.29,2.3399,2.22,ok,2331.0,GEG,41.57303370786517
1656288000,2.4,2.29,2.4,2.27,ok,16930.0,GEG,41.57303370786517
1656374400,2.39,2.2,2.39,2.2,ok,9708.0,GEG,39.36170212765958
1656460800,2.21,2.17,2.23,2.14,ok,11067.0,GEG,38.541666666666664
1656547200,2.17,2.15,2.18,2.1,ok,23543.0,GEG,42.52873563218392
1656633600,2.11,2.11,2.1899,2.1,ok,8465.0,GEG,31.645569620253156
1656979200,2.21,2.1,2.21,2.1,ok,11514.0,GEG,34.246575342465746
1657065600,2.13,2.11,2.19,2.11,ok,4719.0,GEG,26.153846153846146
1657152000,2.07,2.1,2.1599,2.05,ok,12455.0,GEG,19.672131147540938
1657238400,2.08,2.08,2.19,2.07,ok,5228.0,GEG,12.068965517241352
1657497600,2.06,1.9301,2.0775,1.92,ok,7907.0,GEG,10.939209251445519
1657584000,1.88,1.905,2.04,1.88,ok,10936.0,GEG,11.38211382113819
1657670400,1.86,1.9073,1.91,1.82,ok,13662.0,GEG,14.836856146111202
1657756800,1.87,1.87,1.9,1.865,ok,3219.0,GEG,14.328180737217565
1657843200,1.9,1.94,1.94,1.9,ok,5943.0,GEG,15.99300427516512
1658102400,1.9534,2.0,2.0532,1.9534,ok,7854.0,GEG,24.765053950574284
1658188800,2.0,1.96,2.06,1.96,ok,5072.0,GEG,27.125428898208114
1658275200,2.01,2.01,2.01,1.95,ok,9574.0,GEG,35.31031950055082
1658361600,2.12,2.05,2.145,2.02,ok,7165.0,GEG,41.14417286574564
1658448000,2.0,2.02,2.1001,1.95,ok,68377.0,GEG,41.88604399567256
1658707200,1.961,1.97,1.97,1.9501,ok,1131.0,GEG,39.06828119744364
1658793600,1.95,1.99,2.0,1.95,ok,3251.0,GEG,40.076083360899766
1658880000,2.01,2.125,2.31,2.01,ok,42691.0,GEG,51.71326754385964
1658966400,2.19,2.12,2.19,2.0801,ok,11650.0,GEG,52.798768541841596
1659052800,2.06,2.15,2.15,2.0301,ok,7739.0,GEG,68.48831343534559
1659312000,2.145,2.15,2.15,2.06,ok,3295.0,GEG,71.50632022471912
1659398400,2.09,2.05,2.23,2.0131,ok,11686.0,GEG,60.6923422748389
1659484800,2.03,2.06,2.1,1.99,ok,3767.0,GEG,64.84375
1659571200,2.09,2.03,2.09,2.0,ok,2436.0,GEG,57.49999999999999
