t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP,Price % Change,Spike
1652140800,2.08,2.035,2.3654,1.99,ok,6440.0,GGE,,2.1301333333333337,13718.05866666667,6440.0,2.1301333333333337,,0.0
1652227200,1.96,1.66,1.96,1.66,ok,11142.0,GGE,,1.76,19609.92,17582.0,1.115340689341372,,0.0
1652313600,1.7,1.88,2.09,1.7,ok,9797.0,GGE,,1.89,18516.33,27379.0,0.6762967968150772,,0.0
1652400000,2.01,2.015,2.015,2.01,ok,791.0,GGE,,2.0133333333333336,1592.5466666666669,28170.0,0.0565334279966867,,0.0
1652659200,2.14,1.98,2.23,1.2673,ok,22547.0,GGE,,1.8257666666666663,41165.56103333333,50717.0,0.811671846389442,,0.0
1652745600,1.99,1.8003,1.99,1.8,ok,7620.0,GGE,,1.8634333333333333,14199.362,58337.0,0.2434023347103896,,0.0
1652832000,1.73,1.7999,1.96,1.73,ok,10217.0,GGE,,1.8299666666666667,18696.76943333333,68554.0,0.2727305399150062,-0.11552825552825552,0.0
1652918400,1.7172,1.725,1.8,1.7,ok,8068.0,GGE,,1.7416666666666665,14051.766666666665,76622.0,0.1833907580938459,0.03915662650602414,0.0
1653004800,1.6,1.5446,1.6,1.4,ok,17534.0,GGE,,1.5148666666666666,26561.672133333333,94156.0,0.2821028095217865,-0.17840425531914894,0.0
1653264000,1.542,1.4944,1.67,1.4,ok,11920.0,GGE,,1.5214666666666667,18135.88266666667,106076.0,0.1709706499742323,-0.258362282878412,0.0
1653436800,1.32,1.49,1.49,1.31,ok,6834.0,GGE,,1.43,9772.62,112910.0,0.0865522982906739,-0.24747474747474751,0.0
1653523200,1.3,1.43,1.48,1.3,ok,2953.0,GGE,,1.403333333333333,4144.043333333333,115863.0,0.035766753263193,-0.2056879408987391,0.0
1653609600,1.31,1.3,1.43,1.3,ok,3913.0,GGE,,1.3433333333333335,5256.463333333334,119776.0,0.0438857812360851,-0.2777376520917829,0.0
1653955200,1.45,1.32,1.45,1.32,ok,2033.0,GGE,25.597269624573386,1.3633333333333333,2771.6566666666668,121809.0,0.0227541205220194,-0.23478260869565215,0.0
1654041600,1.43,1.34,1.44,1.34,ok,2054.0,GGE,26.5993265993266,1.3733333333333333,2820.8266666666664,123863.0,0.022773763486002,-0.13246147869998703,0.0
1654128000,1.43,1.43,1.43,1.43,ok,924.0,GGE,40.41666666666666,1.43,1321.32,124787.0,0.010588602979477,-0.04309421841541761,0.0
1654214400,1.34,1.34,1.37,1.34,ok,1869.0,GGE,24.76635514018692,1.35,2523.15,126656.0,0.0199212828448711,-0.10067114093959728,0.0
1654473600,1.34,1.31,1.36,1.21,ok,7571.0,GGE,13.471502590673566,1.2933333333333334,9791.826666666668,134227.0,0.0729497542719919,-0.08391608391608385,0.0
1654560000,1.26,1.31,1.34,1.26,ok,3556.0,GGE,13.978494623655903,1.3033333333333337,4634.653333333334,137783.0,0.0336373379396103,0.007692307692307665,0.0
1654646400,1.38,1.38,1.38,1.38,ok,394.0,GGE,24.381323905888067,1.38,543.7199999999999,138177.0,0.0039349529950715,0.045454545454545414,0.0
1654732800,1.27,1.2,1.3899,1.09,ok,7634.0,GGE,20.00200020001997,1.2266333333333332,9364.118866666666,145811.0,0.0642209357775933,-0.10447761194029859,0.0
1654819200,1.2,1.24,1.24,1.2,ok,6425.0,GGE,24.870466321243512,1.2266666666666666,7881.333333333333,152236.0,0.0517704966849715,-0.1328671328671328,0.0
1655078400,1.12,1.23,1.23,1.12,ok,5632.0,GGE,30.20387616410771,1.1933333333333334,6720.8533333333335,157868.0,0.0425726134069813,-0.08208955223880599,0.0
1655164800,1.04,1.0934,1.14,1.04,ok,6169.0,GGE,27.241770715096465,1.0911333333333333,6731.201533333333,164037.0,0.041034653970344,-0.16534351145038173,0.0
1655251200,1.1,1.1899,1.22,1.05,ok,4448.0,GGE,34.58020758400987,1.1533,5129.8784,168485.0,0.030447092619521,-0.09167938931297714,0.0
1655337600,0.9599,1.06,1.09,0.9599,ok,5387.0,GGE,32.262703739213805,1.0366333333333333,5584.343766666667,173872.0,0.0321175564016441,-0.2318840579710144,0.0
1655424000,0.874,1.07,1.07,0.874,ok,959.0,GGE,37.5406283856988,1.0046666666666668,963.4753333333334,174831.0,0.0055108952836358,-0.10833333333333328,0.0
1655769600,1.09,1.21,2.95,1.07,ok,6037073.0,GGE,44.7267497603068,1.7433333333333334,10524630.596666668,6211904.0,1.6942680692854666,-0.024193548387096753,0.0
1655856000,1.33,1.4,1.65,1.23,ok,710156.0,GGE,52.47320692497939,1.4266666666666663,1013155.8933333332,6922060.0,0.1463662397224718,0.1382113821138211,0.0
1655942400,1.44,1.33,1.44,1.19,ok,215728.0,GGE,45.80888516345348,1.32,284760.96,7137788.0,0.0398948469750012,0.2163892445582587,0.0
1656028800,1.33,1.2901,1.34,1.16,ok,141715.0,GGE,47.8169568641176,1.2633666666666663,179038.00716666665,7279503.0,0.0245948119214548,0.08420875703840669,0.0
1656288000,1.325,1.3401,1.36,1.2601,ok,57646.0,GGE,51.294178347235366,1.3200666666666667,76096.56306666667,7337149.0,0.0103714076225883,0.26424528301886796,0.0
1656374400,1.42,1.47,1.5,1.3401,ok,75252.0,GGE,56.18811881188118,1.4367,108114.5484,7412401.0,0.0145856313494102,0.3738317757009344,0.0
1656460800,1.49,1.4201,1.49,1.405,ok,54350.0,GGE,51.57539090123359,1.4383666666666668,78175.22833333335,7466751.0,0.0104697783993779,0.1736363636363636,0.0
1656547200,1.49,1.45,1.51,1.41,ok,54927.0,GGE,61.13486549082487,1.4566666666666668,80010.33,7521678.0,0.0106372979539937,0.03571428571428581,0.0
1656633600,1.42,1.4601,1.54,1.42,ok,104217.0,GGE,60.071382813214974,1.4733666666666665,153549.8539,7625895.0,0.0201353223326573,0.09781954887218025,0.0
1656979200,1.54,1.67,1.7,1.46,ok,62219.0,GGE,67.01995977100418,1.61,100172.59,7688114.0,0.013029540144696,0.29447329664367095,0.0
1657065600,1.65,1.69,1.7,1.6406,ok,15296.0,GGE,75.3656462585034,1.6768666666666665,25649.35253333333,7703410.0,0.0033296102029274,0.2610999179165734,0.0
1657152000,1.6447,1.665,1.665,1.61,ok,7816.0,GGE,71.50746944318698,1.6466666666666667,12870.346666666666,7711226.0,0.001669040262426,0.13265306122448983,0.0
1657238400,1.64,1.57,1.67,1.5,ok,14300.0,GGE,73.84068810770383,1.58,22594.0,7725526.0,0.002924590506847,0.10555594676431257,0.0
1657497600,1.57,1.57,1.5966,1.52,ok,2727.0,GGE,73.59380898452247,1.5622,4260.1194000000005,7728253.0,0.0005512396397995,0.08275862068965534,0.0
1657584000,1.55,1.74,1.83,1.51,ok,38486.0,GGE,74.32085168869311,1.6933333333333334,65169.62666666667,7766739.0,0.0083908609091494,0.1916991986850216,0.0
1657670400,1.66,1.66,1.85,1.66,ok,17278.0,GGE,63.27072274397713,1.7233333333333334,29775.75333333333,7784017.0,0.0038252425878994,-0.005988023952095856,0.0
