t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP
1652140800,45.0,42.92,47.0,38.31,ok,18538.04,GMBL,,42.74333333333334,792377.6230666668,18538.04,42.74333333333334
1652227200,42.48,38.23,44.0,37.330000000000005,ok,9690.25,GMBL,,39.85333333333333,386188.7633333333,28228.29,13.68091242272675
1652313600,38.0,41.5,43.8,37.0,ok,6490.3,GMBL,,40.766666666666666,264587.89666666667,34718.590000000004,7.6209286341025555
1652400000,46.57,46.400000000000006,49.0,43.01,ok,6875.14,GMBL,,46.13666666666666,317196.04246666667,41593.73,7.626054274686753
1652659200,45.01,45.99,48.5,45.0,ok,6072.49,GMBL,,46.49666666666667,282350.54336666665,47666.22,5.923493479589249
1652745600,44.99,46.650000000000006,47.0,43.61,ok,3617.39,GMBL,,45.75333333333333,165507.65046666664,51283.61,3.2273010902833605
1652832000,46.8,48.31,49.0,45.04,ok,2396.61,GMBL,,47.449999999999996,113719.1445,53680.22,2.1184552615469907
1652918400,47.65,51.0,54.0,46.95,ok,4804.22,GMBL,,50.65,243333.74300000002,58484.44,4.1606578262525895
1653004800,51.55,46.95,51.55,45.81,ok,3530.72,GMBL,,48.10333333333333,169839.40106666664,62015.16,2.7386755281558033
1653264000,49.0,43.75,49.87,42.73,ok,4805.16,GMBL,,45.449999999999996,218394.52199999997,66820.32,3.2683848565825477
1653350400,43.76,35.86,46.8,35.23,ok,18216.47,GMBL,,39.29666666666667,715846.5494333333,85036.79000000001,8.418080567638233
1653436800,37.8,37.0,41.68,30.0,ok,11547.16,GMBL,,36.22666666666667,418315.1162666667,96583.95000000001,4.331103835230042
1653523200,37.0,36.65,39.36,36.0,ok,5511.72,GMBL,,37.336666666666666,205789.2524,102095.67000000001,2.015651128005722
1653609600,36.56,39.08,39.8,36.13,ok,5771.44,GMBL,44.8580610605249,38.336666666666666,221257.77146666666,107867.11000000002,2.051207003382835
1653955200,39.900000000000006,46.0,52.06,39.08,ok,12023.08,GMBL,53.47943967464979,45.71333333333333,549615.0637333333,119890.19000000002,4.584320566456131
1654041600,43.0,41.02,47.0,41.0,ok,3743.46,GMBL,53.131313131313135,43.00666666666667,160993.7364,123633.65000000002,1.3021838019018281
1654128000,40.0,40.510000000000005,43.05,37.16,ok,6232.53,GMBL,48.81550610193827,40.24,250797.0072,129866.18000000002,1.9311956908257404
1654214400,40.5,44.3,45.43,40.5,ok,4446.71,GMBL,47.41887905604719,43.410000000000004,193031.68110000002,134312.89,1.4371791203361046
1654473600,43.64,43.84,49.0,42.13,ok,6672.12,GMBL,47.36066781242328,44.99,300178.6788,140985.01,2.12915315465098
1654560000,47.84,47.83,50.0,43.74,ok,5021.44,GMBL,51.33908306854289,47.19,236961.75359999997,146006.45,1.6229540105933673
1654646400,46.59,48.72,49.5,46.0,ok,1869.07,GMBL,50.47355047355048,48.07333333333333,89852.42513333332,147875.52000000002,0.6076220400329501
1654732800,48.0,49.46,52.06,46.71,ok,2907.41,GMBL,48.13739719400097,49.410000000000004,143655.1281,150782.93000000002,0.9527280581429209
1654819200,47.36,45.0,50.0,41.0,ok,4749.91,GMBL,47.66467065868263,45.333333333333336,215329.25333333333,155532.84000000003,1.384461656672207
1655078400,43.2,38.59,43.2,38.5,ok,4647.03,GMBL,44.26156583629893,40.09666666666667,186330.41290000002,160179.87000000002,1.1632573612402108
1655164800,39.0,36.120000000000005,41.27,35.43,ok,6579.58,GMBL,50.32878098128478,37.60666666666667,247436.0718666667,166759.45,1.4837904050814912
1655251200,36.1,36.0,39.0,36.0,ok,2663.56,GMBL,48.701973001038425,37.0,98551.72,169423.01,0.5816902910649504
1655337600,36.05,42.0,42.0,36.0,ok,4869.83,GMBL,56.056146705908986,40.0,194793.2,174292.84,1.1176202074623376
1655424000,41.49,39.62,48.0,39.62,ok,6813.7,GMBL,50.61196736174071,42.413333333333334,288991.7293333333,181106.54,1.595700129511244
1655769600,39.1,39.62,44.99,39.0,ok,3134.28,GMBL,41.42473118279569,41.20333333333334,129142.78360000002,184240.82,0.7009455537594764
1655856000,39.86,42.6,42.71,39.42,ok,3654.7,GMBL,52.24431818181818,41.57666666666666,151950.24366666665,187895.52000000002,0.8086954051201787
1655942400,42.0,44.21,45.0,40.86,ok,2457.56,GMBL,55.09641873278237,43.35666666666666,106551.60973333332,190353.08000000002,0.5597577393196543
1656028800,48.0,43.9,48.2,43.9,ok,3554.51,GMBL,49.39061547836685,45.333333333333336,161137.78666666668,193907.59000000003,0.8310029879009205
1656288000,45.57,44.66,47.84,43.0,ok,1904.89,GMBL,51.237922705314,45.166666666666664,86037.53166666666,195812.48000000004,0.4393873754454601
1656374400,45.36,41.8,47.0,41.0,ok,3809.52,GMBL,40.57517974366989,43.26666666666667,164825.23200000002,199622.00000000003,0.8256867078778892
1656460800,40.55,40.26,43.05,40.0,ok,2655.3,GMBL,37.04044117647059,41.10333333333333,109141.681,202277.30000000002,0.5395646520889886
1656547200,40.0,41.0,41.81,38.5,ok,3144.76,GMBL,37.04044117647059,40.43666666666667,127163.61186666667,205422.06000000003,0.6190358127392289
1656633600,42.02,40.1,42.99,39.0,ok,2568.66,GMBL,41.57496561210454,40.696666666666665,104535.89979999998,207990.72000000003,0.5025988649878224
1656979200,40.0,42.49,44.0,39.07,ok,1950.36,GMBL,57.78132482043096,41.85333333333333,81629.06719999999,209941.08000000002,0.3888189352936547
1657065600,41.22,41.260000000000005,42.82,40.24,ok,848.09,GMBL,60.789252728799326,41.440000000000005,35144.84960000001,210789.17,0.1667298637781059
1657152000,41.260000000000005,43.66,45.0,41.0,ok,1764.28,GMBL,64.67432950191571,43.22,76252.1816,212553.45,0.3587435612077809
1657238400,43.9,46.53,48.0,43.0,ok,3481.28,GMBL,59.86068785372225,45.843333333333334,159593.47946666667,216034.73,0.73873992143146
1657497600,46.0,43.54,46.0,41.0,ok,1923.36,GMBL,58.31212892281595,43.51333333333333,83691.80479999998,217958.09,0.3839811809692404
1657584000,42.23,41.43,44.34,40.510000000000005,ok,1934.87,GMBL,53.522771506422735,42.093333333333334,81445.12786666666,219892.96,0.37038533596831236
1657670400,40.87,40.22,41.82,38.01,ok,3422.67,GMBL,45.02508361204012,40.016666666666666,136963.8445,223315.63,0.6133195625402486
1657756800,40.0,40.49,41.5,38.0,ok,2629.77,GMBL,41.76262178919398,39.99666666666667,105182.0341,225945.4,0.46551969679400423
1657843200,41.0,39.900000000000006,41.0,37.41,ok,4891.51,GMBL,41.251093613298345,39.43666666666667,192904.8493666667,230836.91,0.8356759296711548
1658102400,40.27,41.0,41.49,39.51,ok,2976.02,GMBL,42.112068965517246,40.666666666666664,121024.81333333332,233812.93,0.5176138605052053
