t,o,c,h,l,s,v,Ticker
1652140800,25.2,28.003500000000003,30.093,25.2,ok,4649.0,GMVD
1652227200,27.1635,26.25,31.150000000000002,25.8055,ok,4298.428571428572,GMVD
1652313600,28.7,25.55,28.7,25.2,ok,1930.6,GMVD
1652400000,30.7965,26.6,30.7965,26.6,ok,2105.942857142857,GMVD
1652659200,26.838,26.18,29.253,24.849999999999998,ok,1774.142857142857,GMVD
1652745600,26.95,26.25,26.95,25.0845,ok,1785.2571428571428,GMVD
1652832000,25.9,24.857000000000003,27.681500000000003,24.15,ok,6462.828571428571,GMVD
1652918400,24.15,22.75,26.25,22.75,ok,5994.2,GMVD
1653004800,22.0675,22.68,24.5,21.735,ok,3089.1428571428573,GMVD
1653264000,22.743000000000002,22.925,23.8,21.150499999999997,ok,4119.228571428572,GMVD
1653350400,22.68,21.608999999999998,22.68,21.105,ok,586.2285714285714,GMVD
1653436800,22.400000000000002,22.400000000000002,23.625,22.05,ok,933.6,GMVD
1653523200,22.358,23.051,23.555,22.358,ok,585.6,GMVD
1653609600,21.776999999999997,23.8875,24.99,21.776999999999997,ok,809.8,GMVD
1653955200,23.569,25.837,26.495,22.617,ok,431.0,GMVD
1654041600,25.759999999999998,23.177,25.759999999999998,23.079,ok,2393.4285714285716,GMVD
1654128000,24.409,21.349999999999998,24.409,21.0735,ok,3055.5714285714284,GMVD
1654214400,21.776999999999997,19.953500000000002,22.2215,19.67,ok,6027.714285714285,GMVD
1654473600,19.7925,20.202,22.400000000000002,19.25,ok,30217.17142857143,GMVD
1654560000,19.6,18.2805,19.95,17.9165,ok,12121.42857142857,GMVD
1654646400,18.55,18.025000000000002,18.55,15.75,ok,6177.8,GMVD
1654732800,17.752,16.45,22.400000000000002,16.1,ok,8477.628571428571,GMVD
1654819200,20.0655,12.0785,26.25,11.1965,ok,249902.22857142857,GMVD
1655078400,19.25,22.7465,29.3895,17.15,ok,1729098.8,GMVD
1655164800,25.62,23.453500000000002,27.650000000000002,21.349999999999998,ok,287197.22857142857,GMVD
1655251200,23.4465,22.75,24.8465,21.035,ok,65202.6,GMVD
1655337600,22.673000000000002,25.1895,26.95,22.0465,ok,129228.14285714286,GMVD
1655424000,23.975,23.1,25.55,22.855,ok,51085.02857142857,GMVD
1655769600,25.9,33.6,41.3,25.55,ok,635739.1142857143,GMVD
