t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP
1652140800,0.6984,0.66,0.75,0.56,ok,357730.0,GOVX,,0.6566666666666667,234909.3666666667,357730.0,0.6566666666666667
1652227200,0.6727,0.636,0.7,0.58,ok,162522.0,GOVX,,0.6386666666666666,103797.38399999999,520252.0,0.19951366645394922
1652313600,0.6205,0.6196,0.63,0.5495,ok,93639.0,GOVX,,0.5997,56155.308300000004,613891.0,0.0914743957803584
1652400000,0.6133,0.67,0.738,0.6002,ok,128483.0,GOVX,,0.6694,86006.5202,742374.0,0.11585335720270376
1652659200,0.6464,0.6462,0.74,0.6402,ok,79688.0,GOVX,,0.6754666666666665,53826.58773333333,822062.0,0.06547752813453647
1652745600,0.65,0.6801,0.697,0.64,ok,55284.0,GOVX,,0.6723666666666667,37171.1188,877346.0,0.042367684813061204
1652832000,0.67,0.6709,0.697,0.65,ok,52191.0,GOVX,,0.6726333333333333,35105.406299999995,929537.0,0.03776655076667201
1652918400,0.6706,0.7309,0.83,0.6706,ok,1307980.0,GOVX,,0.7438333333333333,972919.1233333333,2237517.0,0.43482088553219184
1653004800,0.8,1.39,1.59,0.76,ok,35214103.0,GOVX,,1.2466666666666668,43900248.40666667,37451620.0,1.17218556651666
1653264000,1.99,2.32,2.85,1.65,ok,166091777.0,GOVX,,2.2733333333333334,377581973.0466667,203543397.0,1.8550440771442303
1653350400,2.77,2.29,3.38,2.23,ok,160847515.0,GOVX,,2.6333333333333333,423565122.8333333,364390912.0,1.1623921148542071
1653436800,2.39,1.67,2.72,1.45,ok,60535762.0,GOVX,,1.9466666666666665,117842950.02666666,424926674.0,0.277325376911186
1653523200,1.91,2.07,2.14,1.81,ok,33895059.0,GOVX,,2.0066666666666664,68016085.05999999,458821733.0,0.14824076578778797
1653609600,2.05,2.01,2.3,1.95,ok,16573566.0,GOVX,73.14179923203511,2.0866666666666664,34583507.72,475395299.0,0.07274684413738806
1653955200,1.82,1.76,2.1399,1.7,ok,10896247.0,GOVX,67.36768978148288,1.8666333333333334,20339297.858433332,486291546.0,0.041825316573431304
1654041600,1.75,1.95,2.13,1.7,ok,13257625.0,GOVX,69.71315410465675,1.9266666666666667,25543024.166666668,499549171.0,0.05113215204728398
1654128000,1.97,2.07,2.18,1.86,ok,7291556.0,GOVX,71.10348038645094,2.0366666666666666,14850469.053333333,506840727.0,0.02930007053938531
1654214400,2.05,1.97,2.05,1.82,ok,3966319.0,GOVX,68.64601262191624,1.9466666666666665,7721100.986666666,510807046.0,0.015115494289142335
1654473600,1.97,1.85,2.4,1.771,ok,18419964.0,GOVX,66.80252358885602,2.0069999999999997,36968867.747999996,529227010.0,0.06985446141155946
1654560000,1.86,1.89,2.09,1.86,ok,3957981.0,GOVX,66.85895828108019,1.9466666666666665,7704869.68,533184991.0,0.01445064998088065
1654646400,1.9,1.77,1.99,1.7,ok,2742792.0,GOVX,64.8563164012868,1.82,4991881.44,535927783.0,0.009314466609767086
1654732800,1.74,1.53,1.79,1.53,ok,2467789.0,GOVX,60.30006960377407,1.616666666666667,3989592.2166666673,538395572.0,0.007410150499281349
1654819200,1.56,1.42,1.57,1.36,ok,1617144.0,GOVX,50.45045045045046,1.45,2344858.8,540012716.0,0.00434222885966263
1655078400,1.25,1.15,1.32,1.11,ok,1911435.0,GOVX,28.089887640449437,1.1933333333333334,2280979.1,541924151.0,0.00420903754850372
1655164800,1.13,1.42,1.6,1.06,ok,9681015.0,GOVX,35.05154639175257,1.36,13166180.4,551605166.0,0.023868848973035182
1655251200,1.3,1.26,1.365,1.18,ok,1712659.0,GOVX,41.63265306122449,1.2683333333333333,2172222.4983333335,553317825.0,0.003925813339437119
1655337600,1.17,1.2,1.34,1.15,ok,1851467.0,GOVX,29.383886255924168,1.2300000000000002,2277304.41,555169292.0,0.004101999953556509
1655424000,1.14,1.19,1.265,1.1362,ok,1093799.0,GOVX,30.097087378640765,1.1970666666666667,1309350.3229333335,556263091.0,0.002353832825002825
1655769600,1.18,1.25,1.34,1.1709,ok,1843781.0,GOVX,36.36363636363636,1.2536333333333334,2311425.3209666666,558106872.0,0.0041415460674826925
1655856000,1.25,1.31,1.41,1.24,ok,1828697.0,GOVX,31.60919540229885,1.32,2413880.04,559935569.0,0.004310996074621578
