t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP
1652140800,32.611,31.9,32.611,31.593,ok,1524.2,HALL,,32.03466666666666,48827.23893333333,1524.2,32.03466666666666
1652227200,31.9,32.9,33.3,30.5,ok,3971.1,HALL,,32.23333333333333,128001.78999999998,5495.3,23.292957618328384
1652313600,30.9,31.7,32.1,30.801,ok,5102.3,HALL,,31.533666666666665,160894.22743333332,10597.6,15.182138166503107
1652400000,27.5,29.1,29.8,26.699,ok,10264.2,HALL,,28.533,292868.41860000003,20861.800000000003,14.03850188382594
1652659200,28.1,28.2,29.4,28.1,ok,3527.8,HALL,,28.566666666666666,100777.48666666666,24389.600000000002,4.1319860377647295
1652745600,28.5,28.2,29.3,27.8,ok,13223.5,HALL,,28.433333333333334,375988.18333333335,37613.100000000006,9.996203007285581
1652832000,28.2,26.8,28.2,26.8,ok,5783.8,HALL,,27.266666666666666,157704.94666666666,43396.90000000001,3.634014103926009
1652918400,27.5,26.200000000000003,27.5,25.8,ok,7634.3,HALL,,26.5,202308.95,51031.20000000001,3.9644168665443877
1653004800,26.0,26.1,26.4,25.701,ok,7033.3,HALL,,26.066999999999997,183337.0311,58064.500000000015,3.1574719682422123
1653264000,26.0,27.4,27.8,25.8,ok,2397.4,HALL,,27.0,64729.8,60461.900000000016,1.070588254752166
1653350400,26.3,27.200000000000003,27.306,26.3,ok,1756.2,HALL,,26.935333333333336,47303.83240000001,62218.10000000001,0.7602905328192278
1653436800,26.9,27.3,27.5,26.8,ok,1209.9,HALL,,27.2,32909.28,63428.000000000015,0.5188446742763447
1653523200,26.7,28.4,28.9,26.7,ok,3466.8,HALL,,28.0,97070.40000000001,66894.80000000002,1.4510903687581096
1653609600,28.5,28.3,28.8,28.3,ok,4463.8,HALL,33.018867924528294,28.46666666666667,127069.50666666668,71358.60000000002,1.7807174841808366
1653955200,28.3,28.6,28.9,28.023,ok,3724.9,HALL,34.8623853211009,28.507666666666665,106188.20756666666,75083.50000000001,1.414268215608844
1654041600,28.3,28.6,28.8,27.55,ok,8688.2,HALL,28.282828282828262,28.316666666666666,246020.86333333334,83771.70000000001,2.936801608816979
1654128000,28.9,29.1,29.2,28.8,ok,1585.4,HALL,35.8695652173913,29.03333333333333,46029.44666666666,85357.1,0.5392573865169583
1654214400,29.3,29.05,29.5,29.0,ok,1950.5,HALL,49.62406015037593,29.183333333333334,56922.09166666667,87307.6,0.6519717832888163
1654473600,29.0,29.0,29.1,29.0,ok,2589.9,HALL,56.89655172413795,29.03333333333333,75193.43,89897.5,0.8364351622681386
1654560000,29.0,28.4,29.3,28.0,ok,9810.0,HALL,51.5625,28.566666666666663,280238.99999999994,99707.5,2.810611037284055
1654646400,28.2,27.7,28.4,27.3,ok,2485.4,HALL,57.89473684210526,27.8,69094.12000000001,102192.9,0.6761146811569102
1654732800,27.4,27.7,28.1,27.4,ok,2508.9,HALL,64.70588235294117,27.733333333333334,69580.16,104701.79999999999,0.664555528176211
1654819200,27.4,26.6,27.4,26.6,ok,3627.9,HALL,54.09836065573771,26.866666666666664,97469.57999999999,108329.69999999998,0.8997493762098483
1655078400,25.6,25.4,27.7,25.1,ok,6390.6,HALL,33.333333333333314,26.066666666666663,166581.63999999998,114720.29999999999,1.4520676811340278
1655164800,25.5,25.2,25.73,25.2,ok,4116.0,HALL,33.3333333333333,25.376666666666665,104450.36,118836.29999999999,0.8789432185283453
1655251200,25.3,25.0,25.391,25.0,ok,5495.0,HALL,31.147540983606547,25.13033333333333,138091.18166666664,124331.29999999999,1.1106710994469347
1655337600,24.8,23.8,24.8,23.699,ok,8158.7,HALL,12.90322580645163,24.099666666666668,196621.95043333335,132490.0,1.4840512524215665
1655424000,24.1,23.6,25.2,23.1,ok,10462.6,HALL,12.698412698412696,23.96666666666667,250753.6466666667,142952.6,1.7541034347515658
1655769600,23.700000000000003,24.2,24.4,23.700000000000003,ok,3539.1,HALL,16.666666666666643,24.099999999999998,85292.30999999998,146491.7,0.5822330548420148
1655856000,24.2,24.700000000000003,24.8,24.2,ok,4844.1,HALL,22.535211267605646,24.566666666666666,119003.39000000001,151335.80000000002,0.7863531960051753
1655942400,24.8,24.85,25.744,24.8,ok,5945.6,HALL,18.51851851851852,25.131333333333334,149420.8554666667,157281.40000000002,0.9500224150259768
1656028800,24.0,25.3,25.8,24.0,ok,3032.1,HALL,23.776223776223773,25.03333333333333,75903.56999999999,160313.50000000003,0.4734696079868506
1656288000,25.4,25.25,25.4,25.2,ok,2002.0,HALL,23.776223776223773,25.28333333333333,50617.23333333333,162315.50000000003,0.3118447303759242
1656374400,25.2,24.05,25.3,24.0,ok,2081.0,HALL,21.935483870967744,24.45,50880.45,164396.50000000003,0.3094983773985455
1656460800,23.871,23.700000000000003,23.9,23.2,ok,1609.2,HALL,22.97297297297297,23.599999999999998,37977.119999999995,166005.70000000004,0.22876997597070453
1656547200,23.2,24.2,24.2,23.2,ok,4406.1,HALL,27.84810126582275,23.866666666666664,105158.92,170411.80000000005,0.6170870796505874
1656633600,24.51,23.9,24.8,23.9,ok,527.8,HALL,30.9859154929577,24.2,12772.759999999998,170939.60000000003,0.07472089556779117
1656979200,23.6,23.4,23.601,23.25,ok,2617.5,HALL,34.37499999999997,23.417,61293.997500000005,173557.10000000003,0.3531632961140742
1657065600,23.6,23.2,23.994,23.1,ok,1987.3,HALL,34.37499999999997,23.43133333333333,46565.08873333333,175544.40000000002,0.26526103215672686
1657152000,23.1,24.8,24.8,23.1,ok,25145.0,HALL,48.71794871794872,24.233333333333334,609347.1666666667,200689.40000000002,3.0362698112938036
1657238400,24.1,24.6,24.918,24.1,ok,761.7,HALL,55.882352941176485,24.53933333333333,18691.6102,201451.10000000003,0.09278485051707336
1657497600,24.8,24.3,24.8,24.3,ok,300.5,HALL,55.07246376811594,24.46666666666667,7352.233333333334,201751.60000000003,0.03644200756441749
