t,o,c,h,l,s,v,Ticker
1652140800,12.495000000000001,12.0,12.742500000000001,11.75,ok,13887.64,HOTH
1652227200,11.75,10.612499999999999,11.967500000000001,10.5475,ok,31771.04,HOTH
1652313600,10.0,11.4525,11.5,10.0,ok,14146.52,HOTH
1652400000,11.25,11.975,12.4925,11.25,ok,11438.64,HOTH
1652659200,11.89,11.575000000000001,13.15,11.537500000000001,ok,55407.36,HOTH
1652745600,12.3375,11.15,12.3375,10.505,ok,18375.84,HOTH
1652832000,11.5,10.5,11.5,10.315000000000001,ok,18194.16,HOTH
1652918400,10.325,10.7475,11.2475,10.0,ok,10650.72,HOTH
1653004800,11.262500000000001,10.8325,11.262500000000001,10.6275,ok,10836.92,HOTH
1653264000,10.835,10.6375,11.2425,10.5,ok,11578.56,HOTH
1653350400,11.25,10.255,11.25,10.095,ok,10363.28,HOTH
1653436800,10.3225,10.75,11.1225,10.25,ok,6450.44,HOTH
1653523200,11.5,10.780000000000001,11.5,10.6275,ok,6994.52,HOTH
1653609600,10.75,11.06,12.0625,10.75,ok,7175.32,HOTH
1653955200,11.25,10.935,11.745,10.525,ok,16691.64,HOTH
1654041600,10.8975,10.8775,11.360000000000001,10.685,ok,4319.44,HOTH
1654128000,10.625,11.075,11.16,10.625,ok,8596.92,HOTH
1654214400,10.9025,11.0,11.0,10.75,ok,4901.64,HOTH
1654473600,10.8525,10.5625,11.1775,10.549999999999999,ok,8591.44,HOTH
1654560000,10.725,10.4725,10.7475,10.2825,ok,12535.88,HOTH
1654646400,10.6175,10.9225,11.2475,10.5,ok,8414.32,HOTH
1654732800,10.75,10.6275,10.9975,10.5075,ok,10356.84,HOTH
1654819200,10.505,10.440000000000001,10.975,10.13,ok,10069.24,HOTH
1655078400,10.025,10.17,10.3725,10.025,ok,8774.08,HOTH
1655164800,10.25,10.1775,10.75,10.0,ok,13313.52,HOTH
1655251200,10.1625,10.625,10.6325,10.125,ok,3336.76,HOTH
1655337600,10.0,10.105,10.67,10.0,ok,8587.28,HOTH
1655424000,10.465,9.5,10.5,9.5,ok,31010.44,HOTH
1655769600,9.5,9.89,11.75,9.5,ok,167891.88,HOTH
1655856000,9.637500000000001,9.555,10.227500000000001,9.5075,ok,17631.92,HOTH
1655942400,9.700000000000001,10.0,10.227500000000001,9.555,ok,123868.16,HOTH
1656028800,11.497499999999999,10.4525,11.497499999999999,10.2625,ok,109844.28,HOTH
1656288000,10.7475,10.75,10.75,10.1725,ok,14924.0,HOTH
1656374400,10.75,10.352500000000001,10.75,10.012500000000001,ok,12238.4,HOTH
1656460800,10.4125,10.74,11.25,10.032499999999999,ok,73734.8,HOTH
1656547200,10.475,10.48,10.6775,9.75,ok,23718.52,HOTH
1656633600,10.0,10.375,10.7275,10.0,ok,10372.2,HOTH
1656979200,10.040000000000001,10.4,10.5,10.015,ok,15661.24,HOTH
1657065600,10.252500000000001,10.377500000000001,10.7825,10.252500000000001,ok,5556.68,HOTH
1657152000,10.48,10.2025,10.74,9.805,ok,28690.84,HOTH
1657238400,10.209999999999999,10.1525,10.25,9.7775,ok,14018.32,HOTH
1657497600,10.0,10.084999999999999,10.25,9.879999999999999,ok,3864.6,HOTH
1657584000,10.0275,10.3475,17.4875,9.9625,ok,680062.2,HOTH
1657670400,10.0025,10.059999999999999,10.4125,9.9,ok,64945.52,HOTH
1657756800,10.075000000000001,9.879999999999999,10.24,9.5425,ok,31800.28,HOTH
1657843200,9.8825,10.0,10.4975,9.7875,ok,12554.56,HOTH
1658102400,10.75,10.005,10.9875,10.0,ok,10343.44,HOTH
1658188800,9.875,10.0025,10.45,9.875,ok,12425.88,HOTH
1658275200,9.8,10.2475,10.6,9.8,ok,26998.68,HOTH
1658361600,10.0275,10.345,10.5475,10.0275,ok,12081.68,HOTH
1658448000,10.25,10.17,10.5,9.9025,ok,25137.68,HOTH
1658707200,10.0,10.102500000000001,10.475,10.0,ok,14931.76,HOTH
1658793600,10.25,9.9,10.25,9.9,ok,6419.36,HOTH
1658880000,10.03,10.15,10.299999999999999,9.75,ok,15937.92,HOTH
1658966400,10.0,10.037500000000001,10.245,10.0,ok,4046.8,HOTH
1659052800,10.037500000000001,10.2,10.377500000000001,10.037500000000001,ok,14496.36,HOTH
1659312000,10.037500000000001,10.36,10.4975,10.037500000000001,ok,5078.4,HOTH
1659398400,10.5,10.595,11.0,10.362499999999999,ok,23479.0,HOTH
1659484800,10.705,11.8825,12.745000000000001,10.5025,ok,82493.8,HOTH
1659571200,12.2625,11.74,12.3375,11.25,ok,26482.56,HOTH
1659657600,11.75,11.75,12.0,11.475,ok,11430.6,HOTH
1659916800,11.78,11.747499999999999,12.0,11.3725,ok,12603.56,HOTH
1660003200,11.5,11.25,11.75,10.8125,ok,7009.68,HOTH
1660089600,11.5,11.282499999999999,11.747499999999999,11.0,ok,9075.6,HOTH
1660176000,11.265,11.355,11.72,11.15,ok,3327.64,HOTH
1660262400,11.497499999999999,11.3125,11.497499999999999,11.0,ok,2976.48,HOTH
1660521600,11.25,11.5925,12.2475,11.25,ok,9297.76,HOTH
1660608000,11.6275,11.254999999999999,11.75,11.0275,ok,6168.32,HOTH
1660694400,11.25,10.795,11.695,10.775,ok,13416.12,HOTH
1660780800,10.549999999999999,10.75,11.125,10.5025,ok,6651.68,HOTH
1660867200,10.5,10.255,11.07,10.125,ok,9096.36,HOTH
1661126400,10.25,10.5125,11.125,10.0775,ok,14155.4,HOTH
1661212800,10.5,10.25,10.742500000000001,10.125,ok,4362.68,HOTH
1661299200,10.15,10.875,11.495,10.15,ok,5546.68,HOTH
1661385600,11.195,10.917499999999999,11.97,10.424999999999999,ok,35572.64,HOTH
1661472000,11.0125,10.67,11.0725,10.5,ok,5809.28,HOTH
1661731200,10.25,11.2525,11.747499999999999,10.25,ok,9836.12,HOTH
1661817600,11.0125,11.0,11.5,10.75,ok,8791.24,HOTH
1661904000,10.6225,10.75,11.4725,10.6225,ok,5958.8,HOTH
1661990400,11.05,10.815,11.05,10.5,ok,3136.36,HOTH
1662076800,10.5,10.7375,11.0,10.5,ok,6663.36,HOTH
1662422400,10.5,10.274999999999999,10.75,10.13,ok,50729.8,HOTH
1662508800,10.125,10.397499999999999,10.7475,10.125,ok,6707.64,HOTH
1662595200,10.725,10.252500000000001,10.895000000000001,10.05,ok,12732.04,HOTH
1662681600,10.037500000000001,10.055,10.487499999999999,9.975000000000001,ok,8913.76,HOTH
1662940800,10.45,10.252500000000001,10.674999999999999,10.14,ok,3328.92,HOTH
1663027200,10.25,10.025,10.445,10.0075,ok,5627.8,HOTH
1663113600,10.055,10.125,10.7,10.0,ok,4320.88,HOTH
1663200000,10.15,10.1925,10.4975,10.0,ok,7548.32,HOTH
1663286400,10.125,9.625,10.47,9.605,ok,8907.28,HOTH
1663545600,9.975000000000001,9.6675,10.0,9.5025,ok,6339.08,HOTH
1663632000,9.6675,9.4,9.872499999999999,8.774999999999999,ok,12417.16,HOTH
1663718400,9.405,9.31,9.700000000000001,8.8275,ok,5782.92,HOTH
1663804800,9.030000000000001,9.15,9.700000000000001,9.0,ok,9090.12,HOTH
1663891200,9.45,9.075,9.45,8.5275,ok,5116.92,HOTH
1664150400,8.987499999999999,9.25,9.25,8.7625,ok,803.48,HOTH
1664236800,9.0025,9.165,9.25,9.0,ok,1616.12,HOTH
1664323200,9.25,9.2525,10.0,8.9375,ok,7335.2,HOTH
1664409600,9.475,9.1275,9.5,8.952499999999999,ok,5802.92,HOTH
1664496000,9.75,8.6975,9.75,8.6975,ok,1651.44,HOTH
1664755200,8.5275,8.1875,9.1,8.0,ok,29418.68,HOTH
1664841600,8.1875,8.459999999999999,8.6775,8.1075,ok,3052.08,HOTH
1664928000,8.7225,8.5,8.7225,8.5,ok,1736.68,HOTH
1665014400,8.6975,8.84,9.120000000000001,8.5,ok,3180.84,HOTH
1665100800,8.725,8.805,9.4,8.725,ok,4211.16,HOTH
1665360000,8.799999999999999,8.275,9.0025,7.8549999999999995,ok,8359.84,HOTH
1665446400,8.0,7.9275,8.450000000000001,7.875,ok,3413.72,HOTH
1665532800,8.125,8.125,8.7475,7.754999999999999,ok,1732.44,HOTH
1665619200,8.505,8.1625,8.7475,8.0125,ok,1497.68,HOTH
1665705600,8.25,8.165,8.3775,8.0875,ok,2447.68,HOTH
1665964800,8.025,8.0525,8.200000000000001,7.8625,ok,1510.6,HOTH
1666051200,8.2525,8.412500000000001,8.5025,8.2525,ok,1965.72,HOTH
1666137600,8.5,8.38,8.862499999999999,8.2725,ok,5082.92,HOTH
1666224000,8.2725,8.375,8.9725,8.2725,ok,806.96,HOTH
1666310400,8.375,8.0775,8.665000000000001,8.0025,ok,3870.2,HOTH
1666569600,8.0,8.157499999999999,8.375,7.870000000000001,ok,14482.44,HOTH
1666656000,6.3549999999999995,6.0075,6.7425,5.91,ok,73226.24,HOTH
1666742400,6.0,5.92,6.24,5.7605,ok,112784.0,HOTH
1666828800,5.93,5.87,6.01,5.6801,ok,33624.0,HOTH
1666915200,5.61,5.685,5.9164,5.61,ok,33778.0,HOTH
1667174400,5.66,5.6,7.8999,5.33,ok,2629036.0,HOTH
1667260800,5.4,5.1934,5.76,5.15,ok,184518.0,HOTH
1667347200,5.29,5.1496,5.3499,4.88,ok,40838.0,HOTH
1667433600,5.01,5.0,5.2,4.887,ok,15802.0,HOTH
1667520000,4.85,4.38,4.9899,4.28,ok,52681.0,HOTH
1667779200,4.42,4.41,4.5,4.36,ok,32894.0,HOTH
1667865600,4.37,4.32,4.4899,4.3075,ok,18409.0,HOTH
1667952000,4.26,4.03,4.32,3.9298,ok,25044.0,HOTH
1668038400,4.05,4.05,4.26,4.02,ok,33319.0,HOTH
1668124800,4.05,4.16,4.2489,4.04,ok,10109.0,HOTH
1668384000,4.06,4.12,4.189,4.06,ok,21223.0,HOTH
1668470400,4.0501,3.99,4.36,3.99,ok,29200.0,HOTH
1668556800,4.0,3.77,4.0799,3.75,ok,27723.0,HOTH
1668643200,3.77,3.81,3.9,3.75,ok,18248.0,HOTH
1668729600,3.8,3.76,3.93,3.75,ok,7531.0,HOTH
1668988800,3.81,3.65,3.85,3.6,ok,47271.0,HOTH
1669075200,3.545,3.47,3.77,3.47,ok,36594.0,HOTH
1669161600,3.55,3.655,3.7899,3.51,ok,31176.0,HOTH
1669334400,3.7,3.99,3.99,3.65,ok,2177.0,HOTH
