t,o,c,h,l,s,v,Ticker
1652140800,0.575,0.5626,0.587,0.5497,ok,5634588.0,IDEX
1652227200,0.5542,0.5311,0.5799,0.5305,ok,6153402.0,IDEX
1652313600,0.5112,0.5421,0.5728,0.5071,ok,5421955.0,IDEX
1652400000,0.5652,0.6235,0.63,0.5652,ok,5619916.0,IDEX
1652659200,0.6243,0.5925,0.6386,0.5902,ok,4509777.0,IDEX
1652745600,0.6197,0.6162,0.64,0.6001,ok,5054819.0,IDEX
1652832000,0.62,0.5922,0.6292,0.58,ok,4671853.0,IDEX
1652918400,0.5904,0.601,0.63,0.582,ok,5265021.0,IDEX
1653004800,0.63,0.5725,0.63,0.5601,ok,9223441.0,IDEX
1653264000,0.58,0.5614,0.5962,0.547,ok,5095283.0,IDEX
1653350400,0.5478,0.5358,0.5568,0.52,ok,5995075.0,IDEX
1653436800,0.53,0.5529,0.5623,0.5235,ok,6058345.0,IDEX
1653523200,0.557,0.5872,0.5976,0.553,ok,6535254.0,IDEX
1653609600,0.59,0.6323,0.6349,0.59,ok,7253275.0,IDEX
1653955200,0.6545,0.6,0.661,0.5908,ok,18163323.0,IDEX
1654041600,0.6299,0.611,0.6459,0.6026,ok,4619914.0,IDEX
1654128000,0.619,0.6289,0.6326,0.6101,ok,7069267.0,IDEX
1654214400,0.62,0.61,0.6258,0.5906,ok,6361660.0,IDEX
1654473600,0.61,0.5771,0.6145,0.572,ok,10301848.0,IDEX
1654560000,0.5785,0.6808,0.6957,0.5651,ok,13962561.0,IDEX
1654646400,0.6621,0.748,0.75,0.661,ok,9041043.0,IDEX
1654732800,0.75,0.7354,0.7515,0.7031,ok,5182478.0,IDEX
1654819200,0.711,0.7082,0.745,0.6742,ok,5864360.0,IDEX
1655078400,0.65,0.6382,0.6784,0.6305,ok,6069583.0,IDEX
1655164800,0.6401,0.6432,0.68,0.6291,ok,3935258.0,IDEX
1655251200,0.625,0.68,0.6882,0.62,ok,5150875.0,IDEX
1655337600,0.6502,0.6672,0.6889,0.64,ok,4367683.0,IDEX
1655424000,0.6832,0.6977,0.72,0.6701,ok,4505231.0,IDEX
1655769600,0.702,0.6837,0.7299,0.6692,ok,6744166.0,IDEX
1655856000,0.6795,0.7822,0.7968,0.6702,ok,11410566.0,IDEX
1655942400,0.8045,0.86,0.8909,0.8013,ok,11726570.0,IDEX
1656028800,0.841,0.7762,0.86,0.7729,ok,59404178.0,IDEX
1656288000,0.8,0.708,0.8,0.7,ok,8394591.0,IDEX
1656374400,0.71,0.7152,0.7251,0.6874,ok,8348417.0,IDEX
1656460800,0.71,0.6938,0.7209,0.6731,ok,4744551.0,IDEX
1656547200,0.6815,0.6626,0.6898,0.6608,ok,2648356.0,IDEX
1656633600,0.67,0.6285,0.69,0.61,ok,7120744.0,IDEX
1656979200,0.6164,0.6575,0.6646,0.6073,ok,7456693.0,IDEX
1657065600,0.645,0.6931,0.7097,0.645,ok,7248553.0,IDEX
1657152000,0.69,0.7386,0.7529,0.69,ok,5407951.0,IDEX
1657238400,0.703,0.7284,0.7492,0.703,ok,3696091.0,IDEX
1657497600,0.72,0.692,0.72,0.6817,ok,3715036.0,IDEX
1657584000,0.6873,0.7,0.7185,0.681,ok,3571726.0,IDEX
1657670400,0.6705,0.6964,0.7025,0.67,ok,3626339.0,IDEX
1657756800,0.69,0.702,0.7095,0.6847,ok,2981433.0,IDEX
1657843200,0.69,0.7123,0.7299,0.69,ok,2338547.0,IDEX
1658102400,0.72,0.7005,0.7473,0.7,ok,1969349.0,IDEX
1658188800,0.6998,0.7101,0.7293,0.6998,ok,2158217.0,IDEX
1658275200,0.7384,0.765,0.77,0.73,ok,5535015.0,IDEX
1658361600,0.74,0.727,0.7448,0.6999,ok,3972073.0,IDEX
1658448000,0.7197,0.7,0.7198,0.69,ok,4198899.0,IDEX
1658707200,0.71,0.695,0.71,0.675,ok,3480256.0,IDEX
1658793600,0.6887,0.6529,0.69,0.65,ok,3391977.0,IDEX
1658880000,0.655,0.664,0.67,0.6408,ok,1834223.0,IDEX
1658966400,0.68,0.663,0.6987,0.6425,ok,5507795.0,IDEX
1659052800,0.6531,0.6815,0.6989,0.65,ok,3062789.0,IDEX
1659312000,0.69,0.6989,0.6999,0.6801,ok,3405441.0,IDEX
1659398400,0.69,0.7247,0.7304,0.6814,ok,4111648.0,IDEX
1659484800,0.72,0.739,0.7477,0.7003,ok,4803226.0,IDEX
1659571200,0.7308,0.722,0.75,0.7219,ok,2901345.0,IDEX
1659657600,0.72,0.71,0.7337,0.6953,ok,3513558.0,IDEX
1659916800,0.7298,0.7285,0.7348,0.7106,ok,2406201.0,IDEX
1660003200,0.71,0.6772,0.7185,0.676,ok,3713419.0,IDEX
1660089600,0.6986,0.6936,0.7042,0.685,ok,2238323.0,IDEX
1660176000,0.6986,0.6879,0.7199,0.68,ok,3682731.0,IDEX
1660262400,0.6945,0.7106,0.72,0.6905,ok,3301696.0,IDEX
1660521600,0.71,0.7081,0.72,0.7,ok,2218318.0,IDEX
1660608000,0.7,0.684,0.7021,0.68,ok,4781120.0,IDEX
1660694400,0.68,0.6768,0.6867,0.666,ok,2887626.0,IDEX
1660780800,0.6711,0.653,0.6742,0.6455,ok,3216808.0,IDEX
1660867200,0.64,0.6102,0.6457,0.604,ok,5003102.0,IDEX
1661126400,0.6102,0.5906,0.6102,0.59,ok,3636387.0,IDEX
1661212800,0.5907,0.6302,0.64,0.58,ok,3307621.0,IDEX
1661299200,0.63,0.607,0.6301,0.605,ok,1777740.0,IDEX
1661385600,0.6,0.6199,0.6269,0.6,ok,1984769.0,IDEX
1661472000,0.6284,0.6007,0.63,0.5908,ok,1995939.0,IDEX
1661731200,0.592,0.6348,0.6794,0.59,ok,3188519.0,IDEX
1661817600,0.6348,0.6021,0.6372,0.5981,ok,2283708.0,IDEX
1661904000,0.59,0.5924,0.6,0.58,ok,2437775.0,IDEX
1661990400,0.5876,0.58,0.59,0.56,ok,3454610.0,IDEX
1662076800,0.58,0.607,0.61,0.58,ok,4271753.0,IDEX
1662422400,0.6564,0.6016,0.67,0.591,ok,8835555.0,IDEX
1662508800,0.59,0.5526,0.6014,0.5526,ok,5796763.0,IDEX
1662595200,0.5789,0.5649,0.5789,0.54,ok,8403399.0,IDEX
1662681600,0.5279,0.5365,0.55,0.5158,ok,10219105.0,IDEX
1662940800,0.543,0.5122,0.543,0.5101,ok,8647421.0,IDEX
1663027200,0.508,0.4997,0.51,0.478,ok,5942348.0,IDEX
1663113600,0.49,0.5422,0.5422,0.4832,ok,6682022.0,IDEX
1663200000,0.53,0.5135,0.5369,0.5,ok,4386934.0,IDEX
1663286400,0.4909,0.51,0.51,0.4801,ok,5623283.0,IDEX
1663545600,0.49,0.45,0.5,0.45,ok,7971454.0,IDEX
1663632000,0.456,0.4105,0.4594,0.41,ok,5770156.0,IDEX
1663718400,0.4159,0.4,0.4225,0.385,ok,6757533.0,IDEX
1663804800,0.39,0.371,0.3905,0.365,ok,6862897.0,IDEX
1663891200,0.37,0.3505,0.3708,0.3465,ok,6104537.0,IDEX
1664150400,0.361,0.3301,0.3719,0.3301,ok,6626191.0,IDEX
1664236800,0.347,0.3294,0.35,0.327,ok,7054766.0,IDEX
1664323200,0.329,0.3349,0.3399,0.3223,ok,7593353.0,IDEX
1664409600,0.3314,0.295,0.3367,0.29,ok,15145854.0,IDEX
1664496000,0.3037,0.275,0.3059,0.275,ok,10461222.0,IDEX
1664755200,0.28,0.26,0.2819,0.252,ok,11793944.0,IDEX
1664841600,0.2674,0.2875,0.29,0.259,ok,13596997.0,IDEX
1664928000,0.2889,0.2629,0.289,0.2591,ok,12489482.0,IDEX
1665014400,0.26,0.2726,0.283,0.26,ok,7738888.0,IDEX
1665100800,0.269,0.256,0.27,0.2501,ok,10748365.0,IDEX
1665360000,0.26,0.225,0.2602,0.22,ok,14724036.0,IDEX
1665446400,0.225,0.207,0.225,0.203,ok,10299340.0,IDEX
1665532800,0.207,0.2139,0.2139,0.2,ok,6686981.0,IDEX
1665619200,0.2143,0.2085,0.216,0.2025,ok,10093510.0,IDEX
1665705600,0.2107,0.2127,0.215,0.204,ok,9696910.0,IDEX
1665964800,0.218,0.233,0.2356,0.2117,ok,6457802.0,IDEX
1666051200,0.2356,0.24,0.25,0.2249,ok,6056068.0,IDEX
1666137600,0.2404,0.2475,0.2593,0.233,ok,8774200.0,IDEX
1666224000,0.25,0.2457,0.27,0.24,ok,8527256.0,IDEX
1666310400,0.2498,0.2583,0.265,0.2462,ok,6749480.0,IDEX
1666569600,0.2586,0.278,0.278,0.255,ok,6076893.0,IDEX
1666656000,0.3507,0.3121,0.375,0.3075,ok,45445245.0,IDEX
1666742400,0.32,0.29,0.334,0.2822,ok,21474774.0,IDEX
