t,o,c,h,l,s,v,Ticker
1652140800,2.86,2.89,2.91,2.68,ok,33263.0,IMNM
1652227200,2.702,2.3,2.81,2.09,ok,141577.0,IMNM
1652313600,2.34,2.54,2.75,2.3,ok,49821.0,IMNM
1652400000,2.66,2.24,2.68,2.23,ok,35558.0,IMNM
1652659200,2.28,2.45,2.46,2.28,ok,29712.0,IMNM
1652745600,2.45,2.75,2.79,2.45,ok,54337.0,IMNM
1652832000,2.76,2.84,2.87,2.6151,ok,50513.0,IMNM
1652918400,2.78,3.35,3.84,2.77,ok,236555.0,IMNM
1653004800,3.33,3.3,3.4187,3.16,ok,53480.0,IMNM
1653264000,3.35,3.31,3.44,3.1484,ok,32408.0,IMNM
1653350400,3.175,3.34,3.45,3.1035,ok,126466.0,IMNM
1653436800,3.31,3.0,3.31,2.9437,ok,64834.0,IMNM
1653523200,3.1,3.25,3.29,3.0,ok,22204.0,IMNM
1653609600,3.15,3.42,3.4899,3.12,ok,26994.0,IMNM
1653955200,3.58,3.89,3.94,3.4292,ok,28886.0,IMNM
1654041600,3.88,3.62,3.99,3.55,ok,18765.0,IMNM
1654128000,3.66,3.75,3.87,3.66,ok,12119.0,IMNM
1654214400,3.71,3.86,3.86,3.5,ok,19748.0,IMNM
1654473600,3.86,3.94,3.9899,3.785,ok,17812.0,IMNM
1654560000,3.68,3.92,3.97,3.61,ok,16770.0,IMNM
1654646400,3.92,4.11,4.3799,3.9001,ok,70836.0,IMNM
1654732800,4.207,3.96,4.2399,3.9,ok,45482.0,IMNM
1654819200,3.9,3.37,3.9,3.28,ok,46877.0,IMNM
1655078400,3.26,3.08,3.28,3.0,ok,25906.0,IMNM
1655164800,3.25,2.98,3.25,2.95,ok,18906.0,IMNM
1655251200,2.952,2.97,3.18,2.91,ok,35222.0,IMNM
1655337600,2.86,2.62,3.16,2.62,ok,49186.0,IMNM
1655424000,2.65,2.54,2.77,2.51,ok,32375.0,IMNM
1655769600,2.6,2.71,3.11,2.6,ok,11459.0,IMNM
1655856000,2.8,2.91,2.95,2.8,ok,29862.0,IMNM
1655942400,2.95,2.92,3.115,2.75,ok,24132.0,IMNM
1656028800,2.9696,2.95,3.26,2.94,ok,28365.0,IMNM
1656288000,3.43,2.84,3.43,2.8301,ok,11741.0,IMNM
1656374400,2.8,2.79,2.915,2.5807,ok,11994.0,IMNM
1656460800,2.75,2.62,2.76,2.62,ok,5511.0,IMNM
1656547200,2.58,3.21,3.61,2.58,ok,499363.0,IMNM
1656633600,3.32,3.39,3.47,3.16,ok,35664.0,IMNM
1656979200,3.02,3.42,3.56,3.0,ok,13037.0,IMNM
1657065600,3.51,3.85,3.95,3.48,ok,54404.0,IMNM
1657152000,3.85,4.12,4.25,3.8464,ok,54958.0,IMNM
