t,o,c,h,l,s,v,Ticker
1652140800,8.26,8.88,9.03,8.25,ok,215021.0,INFU
1652227200,8.87,8.05,8.93,8.0,ok,162595.0,INFU
1652313600,7.98,8.23,8.35,7.98,ok,98987.0,INFU
1652400000,8.24,8.42,8.53,8.15,ok,114525.0,INFU
1652659200,8.4,8.09,8.4895,8.0836,ok,70687.0,INFU
1652745600,8.27,8.58,8.64,8.1,ok,65881.0,INFU
1652832000,8.55,8.45,8.74,8.26,ok,91504.0,INFU
1652918400,8.39,8.45,8.64,8.26,ok,60799.0,INFU
1653004800,8.57,8.49,8.6,8.275,ok,63390.0,INFU
1653264000,8.57,8.86,8.86,8.32,ok,84182.0,INFU
1653350400,8.8,8.59,8.8,8.44,ok,62612.0,INFU
1653436800,8.49,8.73,8.89,8.49,ok,54405.0,INFU
1653523200,8.73,9.35,9.51,8.73,ok,127761.0,INFU
1653609600,9.35,9.61,9.76,9.3,ok,70799.0,INFU
1653955200,9.6,9.67,9.74,9.5115,ok,73618.0,INFU
1654041600,9.74,9.05,9.85,9.0,ok,160770.0,INFU
1654128000,9.1,9.45,9.55,9.1,ok,92830.0,INFU
1654214400,9.39,9.47,9.56,9.25,ok,86382.0,INFU
1654473600,9.41,9.56,9.73,9.33,ok,104404.0,INFU
1654560000,9.38,10.04,10.15,9.36,ok,205280.0,INFU
1654646400,9.94,10.12,10.47,9.72,ok,73905.0,INFU
1654732800,10.18,9.79,10.18,9.7,ok,54225.0,INFU
1654819200,9.64,9.36,9.895,9.31,ok,60522.0,INFU
1655078400,9.35,9.2,9.68,9.13,ok,137317.0,INFU
1655164800,9.2,8.94,9.2,8.86,ok,56977.0,INFU
1655251200,9.05,8.88,9.12,8.745,ok,109008.0,INFU
1655337600,8.62,8.78,8.82,8.47,ok,108214.0,INFU
1655424000,8.92,8.76,9.0,8.67,ok,187790.0,INFU
1655769600,8.75,8.6,9.0299,8.5409,ok,219354.0,INFU
1655856000,8.57,8.55,9.05,8.55,ok,110877.0,INFU
1655942400,8.73,8.86,9.025,8.59,ok,179116.0,INFU
1656028800,8.9,9.61,9.78,8.9,ok,2225904.0,INFU
1656288000,9.74,9.17,9.74,9.11,ok,107272.0,INFU
1656374400,9.13,9.02,9.19,8.95,ok,159884.0,INFU
1656460800,9.06,9.52,9.55,8.95,ok,81791.0,INFU
1656547200,9.37,9.63,9.71,9.335,ok,102592.0,INFU
1656633600,9.53,9.67,9.97,9.53,ok,64725.0,INFU
1656979200,9.4,9.53,9.59,9.31,ok,62610.0,INFU
1657065600,9.7,9.58,9.72,9.32,ok,86813.0,INFU
1657152000,9.64,9.8,9.8,9.57,ok,40460.0,INFU
1657238400,9.77,10.05,10.09,9.75,ok,55454.0,INFU
1657497600,9.8,9.75,10.01,9.75,ok,52780.0,INFU
1657584000,9.67,9.56,9.72,9.5,ok,31242.0,INFU
1657670400,9.52,9.65,9.67,9.4407,ok,36742.0,INFU
1657756800,9.54,9.5,9.71,9.49,ok,46512.0,INFU
1657843200,9.5,9.73,9.79,9.36,ok,38141.0,INFU
1658102400,9.81,9.73,9.93,9.73,ok,46753.0,INFU
1658188800,9.81,9.75,9.9,9.65,ok,82147.0,INFU
1658275200,9.67,9.59,9.88,9.57,ok,50349.0,INFU
1658361600,9.55,9.92,9.96,9.55,ok,29796.0,INFU
1658448000,10.0,9.88,10.12,9.8,ok,34088.0,INFU
1658707200,9.83,9.98,10.19,9.83,ok,33457.0,INFU
1658793600,9.91,9.71,9.95,9.67,ok,18519.0,INFU
1658880000,9.73,9.77,9.82,9.475,ok,23226.0,INFU
1658966400,9.8,9.8,9.88,9.64,ok,36061.0,INFU
1659052800,9.75,9.77,9.84,9.66,ok,32820.0,INFU
1659312000,9.67,9.89,10.14,9.61,ok,62638.0,INFU
1659398400,9.8,9.86,9.96,9.79,ok,18820.0,INFU
1659484800,9.91,9.93,10.06,9.67,ok,45617.0,INFU
1659571200,9.4,8.01,9.4,7.6,ok,500530.0,INFU
1659657600,8.0,7.89,8.31,7.79,ok,102240.0,INFU
1659916800,8.2,8.18,8.27,7.92,ok,144366.0,INFU
1660003200,8.23,8.1,8.23,8.05,ok,86993.0,INFU
1660089600,8.24,8.22,8.4882,8.1101,ok,42170.0,INFU
1660176000,8.36,7.96,8.36,7.93,ok,47064.0,INFU
1660262400,7.95,7.97,8.09,7.85,ok,70676.0,INFU
1660521600,8.0,8.11,8.19,7.91,ok,42952.0,INFU
1660608000,8.22,7.96,8.3645,7.96,ok,50897.0,INFU
1660694400,8.13,8.0,8.2,7.92,ok,71976.0,INFU
1660780800,8.0,8.15,8.42,8.0,ok,38146.0,INFU
1660867200,8.06,7.85,8.1,7.83,ok,66014.0,INFU
1661126400,7.74,7.7,7.78,7.58,ok,40571.0,INFU
1661212800,7.665,7.99,7.99,7.5714,ok,30612.0,INFU
1661299200,7.89,7.85,7.91,7.76,ok,54263.0,INFU
1661385600,7.9,7.94,7.97,7.9,ok,20716.0,INFU
1661472000,7.95,7.7,7.95,7.635,ok,42431.0,INFU
1661731200,7.4,7.56,7.79,7.35,ok,38665.0,INFU
1661817600,7.5635,7.64,7.7,7.53,ok,34248.0,INFU
1661904000,7.66,7.71,7.77,7.59,ok,33497.0,INFU
1661990400,7.55,7.78,7.78,7.52,ok,49356.0,INFU
1662076800,7.68,7.71,7.77,7.45,ok,35021.0,INFU
1662422400,7.65,7.65,7.74,7.535,ok,37866.0,INFU
1662508800,7.63,7.8,7.87,7.62,ok,17952.0,INFU
1662595200,7.82,7.78,7.83,7.7,ok,24990.0,INFU
1662681600,7.85,7.66,8.01,7.6,ok,31221.0,INFU
1662940800,8.43,7.62,8.74,7.49,ok,41543.0,INFU
1663027200,7.41,7.41,7.48,7.331,ok,24013.0,INFU
1663113600,7.44,7.35,7.548,7.35,ok,54724.0,INFU
1663200000,7.37,7.56,7.6,7.26,ok,57344.0,INFU
1663286400,7.5,7.22,7.54,7.05,ok,123105.0,INFU
1663545600,7.1,7.5,7.54,7.08,ok,39947.0,INFU
1663632000,7.3,7.39,7.55,7.18,ok,38223.0,INFU
1663718400,7.25,7.05,7.32,7.03,ok,48724.0,INFU
1663804800,7.1,6.95,7.33,6.9,ok,36405.0,INFU
1663891200,6.95,6.73,6.96,6.73,ok,46597.0,INFU
1664150400,6.78,6.75,6.91,6.66,ok,65011.0,INFU
1664236800,6.7,6.52,6.79,6.52,ok,55786.0,INFU
1664323200,6.61,6.83,6.925,6.55,ok,55227.0,INFU
1664409600,6.8,7.04,7.11,6.65,ok,35867.0,INFU
1664496000,7.046,6.99,7.56,6.74,ok,23563.0,INFU
1664755200,6.29,6.97,7.12,6.1,ok,42419.0,INFU
1664841600,6.91,7.12,7.34,6.8201,ok,29575.0,INFU
1664928000,7.35,7.21,7.4,7.007,ok,22965.0,INFU
1665014400,7.24,7.32,7.39,7.14,ok,24521.0,INFU
1665100800,7.27,6.96,7.4,6.96,ok,33574.0,INFU
1665360000,6.89,7.16,7.4,6.89,ok,30431.0,INFU
1665446400,7.2,7.39,7.52,7.13,ok,38406.0,INFU
1665532800,7.0493,7.22,7.305,7.0,ok,16705.0,INFU
1665619200,7.095,7.27,7.35,7.04,ok,28530.0,INFU
1665705600,7.22,7.33,7.34,7.1,ok,12349.0,INFU
1665964800,7.57,7.32,7.59,7.27,ok,85601.0,INFU
1666051200,7.2605,7.68,7.71,7.2605,ok,46654.0,INFU
1666137600,7.78,7.81,8.05,7.7,ok,95207.0,INFU
1666224000,7.885,7.83,7.99,7.77,ok,57037.0,INFU
1666310400,7.9,7.87,7.94,7.6,ok,14239.0,INFU
1666569600,7.13,7.54,7.88,7.04,ok,77230.0,INFU
1666656000,7.65,7.86,7.93,7.65,ok,43560.0,INFU
1666742400,8.24,7.89,8.24,7.79,ok,26177.0,INFU
1666828800,7.91,7.55,7.955,7.48,ok,12831.0,INFU
