t,o,c,h,l,s,v,Ticker
1652140800,1.5036,1.555,1.6,1.5036,ok,3701.0,IPDN
1652227200,1.5,1.5982,1.9,1.5,ok,31668.5,IPDN
1652313600,1.6758,1.5,1.6758,1.44,ok,23855.0,IPDN
1652400000,1.6398,1.5614,1.6398,1.4506,ok,11000.0,IPDN
1652659200,1.618,1.6,1.6644,1.52,ok,22255.5,IPDN
1652745600,1.6798,1.66,1.6898,1.62,ok,5688.5,IPDN
1652832000,1.66,1.58,1.67,1.5744,ok,6423.0,IPDN
1652918400,1.72,1.7,1.72,1.63,ok,2084.0,IPDN
1653004800,1.7396,1.62,1.7396,1.5724,ok,3691.0,IPDN
1653264000,1.5826,1.655,1.655,1.5826,ok,856.5,IPDN
1653350400,1.7176,1.72,1.72,1.6416,ok,5532.5,IPDN
1653436800,1.7158,1.7002,1.72,1.659,ok,1658.0,IPDN
1653523200,1.7,1.7,1.8,1.7,ok,4549.5,IPDN
1653609600,1.84,1.84,1.84,1.7018,ok,5518.5,IPDN
1653955200,1.9,1.7234,2.1,1.7018,ok,65377.5,IPDN
1654041600,1.7444,1.7798,1.9398,1.74,ok,11976.5,IPDN
1654128000,1.78,1.8086,1.96,1.7018,ok,30626.0,IPDN
1654214400,1.7574,1.7574,1.86,1.7574,ok,7100.5,IPDN
1654473600,1.7,1.7202,1.8892,1.6016,ok,18960.0,IPDN
1654560000,1.68,1.71,1.836,1.68,ok,6697.0,IPDN
1654646400,1.68,1.6406,1.9332,1.536,ok,70346.5,IPDN
1654732800,1.5802,1.6796,1.6998,1.58,ok,10109.0,IPDN
1654819200,1.67,1.66,1.7774,1.56,ok,50149.0,IPDN
1655078400,1.6198,1.5938,1.6636,1.54,ok,17965.5,IPDN
1655164800,1.5088,1.438,1.6806,1.438,ok,39564.0,IPDN
1655251200,1.438,1.44,1.5398,1.438,ok,6966.0,IPDN
1655337600,1.464,1.5,1.5454,1.44,ok,8365.0,IPDN
1655424000,1.66,1.5,1.66,1.5,ok,9212.5,IPDN
1655769600,1.5,1.469,1.58,1.469,ok,9954.0,IPDN
1655856000,1.42,1.3904,1.4898,1.3206,ok,6218.5,IPDN
1655942400,1.4392,1.3902,1.4392,1.3638,ok,3131.5,IPDN
1656028800,1.32,1.471,1.5244,1.32,ok,6263.0,IPDN
1656288000,1.4204,1.463,1.463,1.4204,ok,697.5,IPDN
1656374400,1.4308,1.4458,1.46,1.4308,ok,857.0,IPDN
1656460800,1.36,1.4426,1.5,1.36,ok,1385.0,IPDN
1656547200,1.42,1.42,1.46,1.4158,ok,5393.0,IPDN
1656633600,1.4452,1.4854,1.4854,1.4452,ok,790.0,IPDN
1656979200,1.48,1.48,1.48,1.48,ok,1656.0,IPDN
1657065600,1.48,1.48,1.48,1.48,ok,244.0,IPDN
1657152000,1.5998,1.6,1.6,1.52,ok,3103.5,IPDN
1657238400,1.56,1.6196,1.64,1.4842,ok,5525.5,IPDN
1657497600,1.498,1.58,1.58,1.498,ok,777.5,IPDN
