t,o,c,h,l,s,v,Ticker,RSI
1652140800,16.49,16.27,16.72,16.07,ok,104755.0,KNOP,
1652227200,16.56,16.57,16.82,16.4114,ok,89833.0,KNOP,
1652313600,16.6,15.7,16.61,14.93,ok,360934.0,KNOP,
1652400000,16.05,16.67,16.95,16.05,ok,210626.0,KNOP,
1652659200,16.79,16.62,16.97,16.5,ok,109770.0,KNOP,
1652745600,16.87,16.88,17.01,16.5343,ok,108962.0,KNOP,
1652832000,16.98,16.52,16.98,16.43,ok,111497.0,KNOP,
1652918400,16.46,16.63,16.73,16.09,ok,78589.0,KNOP,
1653004800,16.7,16.53,16.7984,16.27,ok,86429.0,KNOP,
1653264000,16.72,16.72,17.0,16.44,ok,154745.0,KNOP,
1653350400,16.55,16.66,16.69,16.3,ok,67445.0,KNOP,
1653436800,16.59,16.99,17.19,16.59,ok,107470.0,KNOP,
1653523200,17.17,17.06,17.17,17.0,ok,81097.0,KNOP,
1653609600,16.93,17.05,17.21,16.86,ok,109158.0,KNOP,60.59782608695656
1653955200,17.18,17.3,17.39,17.05,ok,91747.0,KNOP,63.10432569974558
1654041600,17.39,17.32,17.4786,17.14,ok,97658.0,KNOP,60.27397260273975
1654128000,17.25,17.45,17.48,17.12,ok,69142.0,KNOP,80.06872852233688
1654214400,17.43,17.63,17.8,17.37,ok,119239.0,KNOP,72.64150943396234
1654473600,17.8,17.8,17.8,17.577,ok,66919.0,KNOP,76.33928571428585
1654560000,17.77,17.96,18.0,17.65,ok,129810.0,KNOP,75.23364485981324
1654646400,17.98,17.17,17.9899,17.13,ok,185716.0,KNOP,62.64591439688725
1654732800,17.0,16.86,17.2,16.78,ok,146300.0,KNOP,54.151624548736486
1654819200,16.6,16.88,17.0069,16.3701,ok,176414.0,KNOP,56.50557620817842
1655078400,16.01,15.6,16.1812,15.54,ok,376015.0,KNOP,35.185185185185176
1655164800,15.72,16.05,16.5,15.72,ok,152930.0,KNOP,42.68585131894485
1655251200,16.0,16.63,16.83,16.0,ok,157320.0,KNOP,45.92760180995476
1655337600,16.25,15.87,16.4,15.8,ok,216243.0,KNOP,38.35616438356164
1655424000,15.92,16.03,16.12,15.4,ok,623754.0,KNOP,40.304182509505715
1655769600,16.15,16.89,16.96,16.15,ok,121530.0,KNOP,46.50766609880749
1655856000,16.62,16.69,16.76,16.24,ok,149150.0,KNOP,44.79338842975207
1655942400,16.51,16.3,16.73,16.0601,ok,97400.0,KNOP,40.887480190174344
1656028800,16.4,16.65,16.96,16.4,ok,120095.0,KNOP,42.438271604938265
1656288000,16.77,17.47,17.49,16.77,ok,214992.0,KNOP,47.68583450210377
1656374400,17.5,17.15,17.7183,17.1001,ok,102353.0,KNOP,44.44444444444443
1656460800,17.29,16.56,17.29,16.41,ok,116251.0,KNOP,45.698166431593776
1656547200,16.22,16.37,16.59,16.2,ok,74264.0,KNOP,46.484935437589684
1656633600,16.5,16.89,17.0,16.41,ok,109379.0,KNOP,50.066934404283806
1656979200,16.7,17.09,17.11,16.32,ok,173194.0,KNOP,61.65884194053209
1657065600,16.88,16.64,17.01,16.22,ok,110372.0,KNOP,54.616588419405325
1657152000,16.65,16.96,17.31,16.65,ok,89973.0,KNOP,52.69168026101144
1657238400,17.09,17.11,17.2,16.9402,ok,52578.0,KNOP,61.23188405797103
1657497600,17.12,17.34,17.37,16.88,ok,65664.0,KNOP,61.71735241502684
1657584000,17.25,17.41,17.65,17.2,ok,164551.0,KNOP,55.41666666666667
1657670400,17.33,17.47,17.77,17.21,ok,104837.0,KNOP,58.369098712446345
1657756800,17.29,17.67,17.69,17.06,ok,120473.0,KNOP,65.32438478747207
1657843200,17.89,17.8,17.98,17.7,ok,165334.0,KNOP,63.52941176470592
1658102400,17.97,17.94,18.12,17.81,ok,160032.0,KNOP,56.58263305322133
1658188800,18.0,18.07,18.26,17.8707,ok,143170.0,KNOP,63.60946745562134
1658275200,18.07,18.19,18.35,17.9,ok,130635.0,KNOP,78.00687285223376
1658361600,18.25,18.39,18.46,17.83,ok,133987.0,KNOP,84.58904109589042
1658448000,18.47,18.41,18.48,18.24,ok,243917.0,KNOP,81.40495867768597
1658707200,18.42,18.41,18.699,18.304,ok,204317.0,KNOP,79.72972972972975
1658793600,18.49,18.35,18.6444,18.2482,ok,254130.0,KNOP,96.7213114754099
1658880000,17.65,17.57,17.86,17.33,ok,173504.0,KNOP,63.31877729257641
1658966400,17.73,17.64,17.73,17.36,ok,86714.0,KNOP,61.990950226244365
1659052800,17.8,17.49,17.8499,17.41,ok,110768.0,KNOP,53.52112676056334
1659312000,17.34,17.1,17.41,17.03,ok,251365.0,KNOP,43.67346938775513
