t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP
1652140800,5.31,5.299,5.34,5.2504,ok,9235.0,KTCC,,5.296466666666666,48912.869666666666,9235.0,5.296466666666666
1652227200,5.33,5.08,5.33,5.08,ok,7654.0,KTCC,,5.163333333333333,39520.15333333333,16889.0,2.339993684252077
1652313600,5.13,5.05,5.13,5.01,ok,24538.0,KTCC,,5.0633333333333335,124244.07333333333,41427.0,2.999108632856189
1652400000,5.105,5.0001,5.105,5.0,ok,10632.0,KTCC,,5.035033333333334,53532.47440000001,52059.0,1.0283039320770666
1652659200,5.01,5.06,5.09,5.01,ok,6623.0,KTCC,,5.053333333333334,33468.22666666667,58682.0,0.5703320722992855
1652745600,5.04,5.04,5.155,5.02,ok,4257.0,KTCC,,5.071666666666666,21590.085,62939.0,0.34303190390695754
1652832000,5.08,5.1,5.15,5.06,ok,2331.0,KTCC,,5.1033333333333335,11895.87,65270.0,0.18225631990194577
1652918400,5.27,5.16,5.27,5.11,ok,5284.0,KTCC,,5.18,27371.12,70554.0,0.3879456869915242
1653004800,5.06,5.03,5.19,5.03,ok,3153.0,KTCC,,5.083333333333333,16027.749999999998,73707.0,0.21745220942379961
1653264000,5.04,5.12,5.13,5.0,ok,18578.0,KTCC,,5.083333333333333,94438.16666666666,92285.0,1.0233317079337558
1653350400,5.007,5.11,5.11,4.98,ok,10957.0,KTCC,,5.066666666666666,55515.46666666667,103242.0,0.5377217282372161
1653436800,5.1477,5.13,5.23,4.9701,ok,3597.0,KTCC,,5.110033333333334,18380.789900000003,106839.0,0.17204195003697154
1653523200,5.2465,5.08,5.26,5.08,ok,3991.0,KTCC,,5.14,20513.739999999998,110830.0,0.18509194261481546
1653609600,5.01,5.19,5.19,4.97,ok,24181.0,KTCC,44.00308098591549,5.116666666666667,123726.11666666668,135011.0,0.9164150822278679
1653955200,5.06,5.03,5.1435,5.03,ok,3898.0,KTCC,37.415793413173645,5.067833333333334,19754.414333333334,138909.0,0.14221119101954038
1654041600,5.16,5.04,5.16,5.03,ok,3849.0,KTCC,47.673877645964176,5.076666666666667,19540.09,142758.0,0.13687562168144693
1654128000,5.03,4.98,5.07,4.98,ok,4749.0,KTCC,46.06653180490001,5.010000000000001,23792.49,147507.0,0.161297362159084
1654214400,4.9843,5.03,5.07,4.98,ok,26847.0,KTCC,51.6799640409035,5.026666666666667,134950.92,174354.0,0.7740052995629582
1654473600,5.08,5.0,5.08,5.0,ok,12466.0,KTCC,46.51162790697676,5.026666666666666,62662.426666666666,186820.0,0.3354160511008814
1654560000,4.98,5.03,5.11,4.98,ok,5762.0,KTCC,49.425287356321846,5.04,29040.48,192582.0,0.15079540143938686
1654646400,5.05,5.0,5.05,4.98,ok,11227.0,KTCC,44.04761904761907,5.010000000000001,56247.270000000004,203809.0,0.27598030508956917
1654732800,5.06,4.96,5.06,4.94,ok,18504.0,KTCC,37.80487804878047,4.986666666666667,92273.28000000001,222313.0,0.41506020790507087
1654819200,5.0439,4.955,5.0439,4.955,ok,2214.0,KTCC,44.60431654676257,4.984633333333333,11035.9782,224527.0,0.049152120680363606
1655078400,5.08,5.03,5.08,4.97,ok,18616.0,KTCC,43.38235294117648,5.026666666666667,93576.42666666668,243143.0,0.38486169318741104
1655164800,4.99,4.94,5.01,4.9001,ok,8948.0,KTCC,38.81578947368421,4.950033333333334,44292.89826666667,252091.0,0.17570202136001153
1655251200,4.93,4.86,5.0153,4.81,ok,37664.0,KTCC,33.536585365853696,4.895099999999999,184369.04639999996,289755.0,0.6362928902003415
1655337600,4.984,4.74,5.01,4.74,ok,10664.0,KTCC,30.8988764044944,4.83,51507.12,300419.0,0.17145094018687235
1655424000,4.82,4.69,4.9731,4.57,ok,20909.0,KTCC,19.87951807228916,4.744366666666667,99199.96263333334,321328.0,0.3087187006215871
1655769600,4.73,4.6,4.73,4.59,ok,8090.0,KTCC,21.710526315789465,4.64,37537.6,329418.0,0.11395127163664402
1655856000,4.65,4.43,4.71,4.4,ok,32889.0,KTCC,16.84782608695653,4.513333333333333,148439.02,362307.0,0.4097050843621569
1655942400,4.35,4.36,4.5,4.34,ok,9148.0,KTCC,16.666666666666686,4.3999999999999995,40251.2,371455.0,0.10836090508944556
1656028800,4.4252,4.475,4.475,4.3958,ok,5704.0,KTCC,22.110552763819072,4.4486,25374.8144,377159.0,0.06727882511089488
1656288000,4.41,4.56,4.72,4.37,ok,3500.0,KTCC,29.047619047619023,4.55,15925.0,380659.0,0.04183534344386971
1656374400,4.5251,4.55,4.5807,4.51,ok,3256.0,KTCC,26.69902912621356,4.5469,14804.7064,383915.0,0.03856245887761613
1656460800,4.5399,4.47,4.54,4.3936,ok,8189.0,KTCC,25.462962962962933,4.467866666666667,36587.360133333335,392104.0,0.09331034657471828
1656547200,4.44,4.41,4.44,4.3536,ok,7647.0,KTCC,24.999999999999982,4.4012,33655.9764,399751.0,0.08419235073833461
1656633600,4.36,4.27,4.54,4.27,ok,3302.0,KTCC,22.26720647773276,4.359999999999999,14396.719999999998,403053.0,0.03571917340895613
1656979200,4.26,4.27,4.4043,4.26,ok,4886.0,KTCC,17.241379310344783,4.3114333333333335,21065.663266666666,407939.0,0.051639248188250365
1657065600,4.26,4.25,4.29,4.25,ok,6950.0,KTCC,18.348623853210952,4.263333333333333,29630.166666666664,414889.0,0.0714170938893696
1657152000,4.25,4.27,4.36,4.24,ok,12979.0,KTCC,21.3592233009708,4.29,55679.91,427868.0,0.1301333822580796
