t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP
1652140800,4.76,4.21,4.855,4.2,ok,809803.0,LIDR,,4.421666666666667,3580678.9316666666,809803.0,4.421666666666667
1652227200,4.13,4.03,4.328,4.0,ok,787989.0,LIDR,,4.1193333333333335,3245989.3540000003,1597792.0,2.0315468809457053
1652313600,3.95,4.3,4.43,3.8401,ok,788255.0,LIDR,,4.190033333333333,3302814.7251666663,2386047.0,1.3842203129974666
1652400000,4.31,4.92,4.97,4.29,ok,966819.0,LIDR,,4.726666666666667,4569831.14,3352866.0,1.3629626534433525
1652659200,4.85,5.5,5.9,4.62,ok,2301784.0,LIDR,,5.34,12291526.56,5654650.0,2.1737024501958566
1652745600,5.76,5.6,5.8,5.3148,ok,788299.0,LIDR,,5.571599999999999,4392086.708399999,6442949.0,0.6816888832117093
1652832000,5.45,5.43,5.64,5.24,ok,703192.0,LIDR,,5.4366666666666665,3823020.5066666664,7146141.0,0.5349769206438365
1652918400,5.35,5.37,5.54,5.34,ok,615889.0,LIDR,,5.416666666666667,3336065.416666667,7762030.0,0.42979290426172884
1653004800,5.49,5.24,5.56,5.11,ok,764011.0,LIDR,,5.303333333333334,4051805.0033333334,8526041.0,0.47522701372575304
1653264000,5.16,5.08,5.195,4.93,ok,596776.0,LIDR,,5.068333333333333,3024659.6933333334,9122817.0,0.3315488728244065
1653350400,5.02,4.87,5.05,4.75,ok,644260.0,LIDR,,4.890000000000001,3150431.4000000004,9767077.0,0.3225562161535125
1653436800,4.87,5.17,5.21,4.87,ok,531076.0,LIDR,,5.083333333333333,2699636.333333333,10298153.0,0.26214762330034647
1653523200,5.23,5.3,5.38,5.02,ok,561488.0,LIDR,,5.233333333333333,2938453.8666666667,10859641.0,0.27058480723871686
1653609600,5.36,5.51,5.66,5.33,ok,845477.0,LIDR,70.83333333333334,5.5,4650123.5,11705118.0,0.397272671663797
1653955200,5.42,5.86,6.02,5.38,ok,1698481.0,LIDR,73.77521613832855,5.753333333333333,9771927.353333334,13403599.0,0.729052499506538
1654041600,5.65,5.74,6.06,5.64,ok,845892.0,LIDR,75.0733137829912,5.813333333333333,4917452.159999999,14249491.0,0.34509668871681093
1654128000,5.73,5.91,6.33,5.72,ok,953300.0,LIDR,74.32024169184291,5.986666666666667,5707089.333333334,15202791.0,0.3753974736173992
1654214400,5.89,5.69,5.95,5.51,ok,613620.0,LIDR,63.2302405498282,5.716666666666668,3507861.0000000005,15816411.0,0.22178615616399955
1654473600,5.65,3.67,5.65,3.65,ok,3313817.0,LIDR,28.965517241379303,4.323333333333333,14326735.496666666,19130228.0,0.7489056323148195
1654560000,3.7,3.5,3.93,3.26,ok,2103091.0,LIDR,26.24434389140272,3.563333333333333,7494014.263333333,21233319.0,0.3529365457813417
1654646400,3.44,3.28,3.55,3.27,ok,888452.0,LIDR,25.950782997762857,3.3666666666666667,2991121.7333333334,22121771.0,0.13521167601514966
1654732800,3.34,3.0,3.34,2.99,ok,1076365.0,LIDR,24.733475479744143,3.11,3347495.15,23198136.0,0.14430017782463211
1654819200,2.94,3.0,3.1186,2.9,ok,820547.0,LIDR,25.438596491228083,3.0061999999999998,2466728.3913999996,24018683.0,0.10270040165815918
1655078400,2.87,2.53,2.89,2.51,ok,1346594.0,LIDR,23.81930184804929,2.643333333333333,3559496.806666666,25365277.0,0.14032950661909452
1655164800,2.57,2.64,2.72,2.545,ok,671663.0,LIDR,26.62473794549267,2.6350000000000002,1769832.0050000001,26036940.0,0.06797388652429971
1655251200,2.74,2.89,2.94,2.67,ok,665800.0,LIDR,25.847457627118654,2.8333333333333335,1886433.3333333335,26702740.0,0.07064568405090015
1655337600,2.73,2.91,2.9561,2.71,ok,619492.0,LIDR,24.07809110629067,2.8587000000000002,1770941.7804,27322232.0,0.06481687807936043
1655424000,2.92,2.98,3.07,2.89,ok,1786193.0,LIDR,21.700223713646537,2.98,5322855.14,29108425.0,0.18286304188563962
1655769600,2.97,2.67,2.98,2.65,ok,923605.0,LIDR,13.995485327313771,2.766666666666667,2555307.166666667,30032030.0,0.08508606200335665
1655856000,2.66,2.48,2.6701,2.47,ok,853688.0,LIDR,13.777777777777786,2.5400333333333336,2168395.976266667,30885718.0,0.07020707681999384
1655942400,2.46,2.47,2.5,2.36,ok,636295.0,LIDR,10.368663594470064,2.4433333333333334,1554680.7833333334,31522013.0,0.049320479099267345
1656028800,2.52,2.33,2.57,2.22,ok,3424012.0,LIDR,10.563380281690144,2.3733333333333335,8126321.813333334,34946025.0,0.23253923195365808
1656288000,2.35,2.255,2.3803,2.18,ok,937515.0,LIDR,19.438444924406056,2.2717666666666667,2129815.3265,35883540.0,0.05935354556713189
