t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP,Price % Change,Spike
1652140800,5.75,5.5,6.16,5.46,ok,80960.0,LOOP,,5.706666666666667,462011.7333333333,80960.0,5.706666666666667,,0.0
1652227200,5.5,5.1,5.73,4.35,ok,371764.0,LOOP,,5.06,1881125.84,452724.0,4.155127274012422,,0.0
1652313600,5.0,5.02,5.5171,4.62,ok,127464.0,LOOP,,5.052366666666667,643994.8648,580188.0,1.1099761884078954,,0.0
1652400000,5.15,5.63,5.78,5.05,ok,65270.0,LOOP,,5.486666666666667,358114.7333333334,645458.0,0.5548226737190234,,0.0
1652659200,5.71,5.42,5.97,5.39,ok,90046.0,LOOP,,5.593333333333334,503657.2933333334,735504.0,0.6847784557709181,,0.0
1652745600,5.6,5.45,5.7528,5.41,ok,87985.0,LOOP,,5.5376,487225.736,823489.0,0.5916602844725309,,0.0
1652832000,5.33,5.33,5.61,5.24,ok,35479.0,LOOP,,5.3933333333333335,191350.07333333333,858968.0,0.2227674061587082,-0.030909090909090886,0.0
1652918400,5.28,5.34,5.54,5.28,ok,44270.0,LOOP,,5.386666666666667,238467.7333333333,903238.0,0.2640142834262213,0.04705882352941182,0.0
1653004800,5.4,5.3,5.555,5.2,ok,31519.0,LOOP,,5.351666666666667,168679.18166666667,934757.0,0.1804524402242151,0.055776892430278835,0.0
1653264000,5.41,5.49,5.49,5.2,ok,38999.0,LOOP,,5.3933333333333335,210334.6066666667,973756.0,0.2160033998934709,-0.0248667850799289,0.0
1653350400,5.35,5.31,5.485,5.21,ok,45933.0,LOOP,,5.335,245052.555,1019689.0,0.2403208772478667,-0.02029520295202958,0.0
1653436800,5.53,5.47,5.69,5.25,ok,52737.0,LOOP,,5.47,288471.39,1072426.0,0.2689895526591112,0.003669724770642091,0.0
1653523200,5.49,5.55,5.74,5.33,ok,72971.0,LOOP,,5.54,404259.34,1145397.0,0.3529425517964514,0.0412757973733584,0.0
1653609600,5.55,5.83,6.02,5.55,ok,62138.0,LOOP,56.90376569037656,5.8,360400.4,1207535.0,0.298459589163047,0.09176029962546828,0.0
1653955200,5.86,5.32,5.995,5.1,ok,112961.0,LOOP,46.896551724137936,5.471666666666667,618084.9383333334,1320496.0,0.4680702844486718,0.0037735849056603765,0.0
1654041600,5.44,5.43,5.625,5.3531,ok,42526.0,LOOP,56.32183908045977,5.469366666666667,232590.28686666663,1363022.0,0.1706430907693835,-0.010928961748634003,0.0
1654128000,5.46,5.85,5.96,5.42,ok,69642.0,LOOP,64.0677966101695,5.743333333333332,399977.2199999999,1432664.0,0.2791842469692823,0.10169491525423724,0.0
1654214400,5.79,5.58,5.79,5.38,ok,52079.0,LOOP,49.04214559386973,5.583333333333333,290774.4166666666,1484743.0,0.1958415811131398,0.02010968921389411,0.0
1654473600,5.71,5.94,5.96,5.52,ok,123047.0,LOOP,59.42028985507248,5.806666666666668,714492.9133333334,1607790.0,0.4443944254743053,0.07027027027027044,0.0
1654560000,5.8,5.82,5.87,5.62,ok,110987.0,LOOP,56.49122807017544,5.7700000000000005,640394.9900000001,1718777.0,0.3725875957148601,-0.0017152658662091813,0.0
1654646400,5.75,5.9,6.06,5.73,ok,39487.0,LOOP,60.142348754448406,5.896666666666666,232841.67666666664,1758264.0,0.1324270284022573,0.10902255639097747,0.0
1654732800,5.81,5.78,6.08,5.67,ok,72639.0,LOOP,57.53424657534247,5.843333333333334,424453.89,1830903.0,0.2318276227631939,0.06445672191528562,0.0
1654819200,5.64,5.62,5.82,5.36,ok,65577.0,LOOP,55.26315789473684,5.6000000000000005,367231.2,1896480.0,0.1936383194128069,-0.03931623931623929,0.0
1655078400,5.41,5.25,5.62,5.18,ok,56074.0,LOOP,46.27329192546584,5.3500000000000005,299995.9,1952554.0,0.153642818585299,-0.05913978494623662,0.0
1655164800,5.36,5.62,5.8,5.33,ok,65123.0,LOOP,54.54545454545455,5.583333333333333,363603.4166666666,2017677.0,0.180208931690586,-0.05387205387205396,0.0
1655251200,5.57,5.58,5.72,5.33,ok,48944.0,LOOP,51.671732522796354,5.543333333333334,271312.9066666667,2066621.0,0.131283339647989,-0.04123711340206193,0.0
1655337600,5.47,5.46,5.58,5.323,ok,38905.0,LOOP,48.64864864864865,5.4543333333333335,212200.83833333332,2105526.0,0.1007828154738214,-0.07457627118644072,0.0
1655424000,5.39,5.48,5.78,5.328,ok,87520.0,LOOP,44.29967426710099,5.529333333333334,483927.25333333336,2193046.0,0.2206644335473735,-0.05190311418685123,0.0
1655769600,5.54,5.09,5.7716,5.01,ok,66456.0,LOOP,46.10169491525424,5.290533333333333,351587.6832,2259502.0,0.1556040593015629,-0.09430604982206414,0.0
1655856000,4.99,4.55,5.17,4.51,ok,79308.0,LOOP,36.98224852071007,4.743333333333333,376184.28,2338810.0,0.1608443097130591,-0.13333333333333341,0.0
