t,o,c,h,l,s,v,Ticker
1652140800,2.5,2.15,2.5,2.05,ok,133964.0,LSF
1652227200,2.2,2.29,2.3243,1.875,ok,164382.0,LSF
1652313600,2.29,2.2,2.48,2.13,ok,114395.0,LSF
1652400000,2.15,2.61,2.865,2.15,ok,265174.0,LSF
1652659200,2.56,2.95,3.1347,2.56,ok,105809.0,LSF
1652745600,3.0,3.14,3.14,2.854,ok,73851.0,LSF
1652832000,3.1,3.41,3.43,2.99,ok,79033.0,LSF
1652918400,3.34,3.25,3.5159,3.2,ok,75423.0,LSF
1653004800,3.15,2.8,3.2012,2.66,ok,104927.0,LSF
1653264000,2.9,2.74,2.93,2.715,ok,44394.0,LSF
1653350400,2.67,2.5,2.67,2.4,ok,60477.0,LSF
1653436800,2.45,2.63,2.75,2.45,ok,35793.0,LSF
1653523200,2.57,2.73,2.8417,2.523,ok,58301.0,LSF
1653609600,2.73,2.62,2.81,2.61,ok,38562.0,LSF
1653955200,2.64,2.39,2.65,2.26,ok,51648.0,LSF
1654041600,2.34,2.48,2.55,2.34,ok,46442.0,LSF
1654128000,2.47,2.67,2.74,2.4,ok,34182.0,LSF
1654214400,2.547,2.74,2.79,2.53,ok,48169.0,LSF
1654473600,2.93,2.72,2.93,2.46,ok,70940.0,LSF
1654560000,2.72,2.92,3.0,2.59,ok,124234.0,LSF
1654646400,2.85,3.01,3.0472,2.71,ok,216528.0,LSF
1654732800,3.0,2.92,3.0,2.82,ok,59875.0,LSF
1654819200,2.88,2.85,2.99,2.75,ok,36877.0,LSF
1655078400,2.79,2.74,2.85,2.51,ok,63855.0,LSF
1655164800,2.72,2.69,2.73,2.55,ok,36209.0,LSF
1655251200,2.7,2.77,2.81,2.6,ok,65858.0,LSF
1655337600,2.6,2.36,2.63,2.33,ok,51215.0,LSF
1655424000,2.4,2.15,2.4429,2.1,ok,226493.0,LSF
1655769600,2.16,2.24,2.285,2.155,ok,62738.0,LSF
1655856000,2.22,2.06,2.34,2.06,ok,62483.0,LSF
1655942400,2.125,2.25,2.31,2.11,ok,123368.0,LSF
1656028800,2.26,2.02,2.35,2.0,ok,785198.0,LSF
1656288000,2.01,2.0,2.08,1.9,ok,114747.0,LSF
1656374400,2.01,1.93,2.09,1.93,ok,40824.0,LSF
1656460800,1.93,1.88,1.93,1.82,ok,52751.0,LSF
1656547200,1.97,1.91,2.0,1.85,ok,59844.0,LSF
1656633600,2.01,1.99,2.11,1.8,ok,119808.0,LSF
1656979200,2.03,2.0,2.03,1.8409,ok,77012.0,LSF
1657065600,1.9901,2.02,2.1,1.955,ok,30448.0,LSF
1657152000,2.08,1.92,2.08,1.92,ok,41086.0,LSF
1657238400,2.02,1.99,2.02,1.91,ok,40018.0,LSF
1657497600,2.05,2.24,2.57,1.95,ok,213934.0,LSF
1657584000,2.38,2.12,2.6,2.12,ok,191007.0,LSF
1657670400,2.4,2.17,2.4,2.1,ok,107450.0,LSF
1657756800,2.25,2.21,2.3324,2.15,ok,30885.0,LSF
1657843200,2.26,2.27,2.35,2.2001,ok,75695.0,LSF
1658102400,2.26,2.04,2.38,2.04,ok,86458.0,LSF
1658188800,2.25,2.13,2.31,2.04,ok,51174.0,LSF
1658275200,2.3,2.2,2.3,2.2,ok,40022.0,LSF
1658361600,2.17,2.15,2.228,2.1401,ok,23694.0,LSF
