t,o,c,h,l,s,v,Ticker,RSI
1652140800,8.42,8.35,8.7,8.1297,ok,131927.0,MEC,
1652227200,8.43,8.15,8.52,8.1,ok,67370.0,MEC,
1652313600,8.05,8.17,8.37,7.96,ok,226074.0,MEC,
1652400000,8.21,8.17,8.3509,8.11,ok,83700.0,MEC,
1652659200,8.06,8.0,8.1775,7.925,ok,112520.0,MEC,
1652745600,8.13,8.79,8.88,8.13,ok,617071.0,MEC,
1652832000,8.77,8.98,9.18,8.7547,ok,141098.0,MEC,
1652918400,8.86,8.63,8.9499,8.62,ok,58750.0,MEC,
1653004800,8.74,8.43,8.74,8.215,ok,45752.0,MEC,
1653264000,8.43,8.62,8.7,8.38,ok,57573.0,MEC,
1653350400,8.42,8.32,8.42,7.95,ok,82536.0,MEC,
1653436800,8.31,8.44,8.52,8.31,ok,57492.0,MEC,
1653523200,8.53,9.05,9.14,8.53,ok,50298.0,MEC,
1653609600,9.1,9.17,9.4,9.01,ok,40577.0,MEC,62.57668711656443
1653955200,9.05,9.07,9.23,8.92,ok,70078.0,MEC,60.71428571428574
1654041600,8.98,8.53,8.98,8.5,ok,64235.0,MEC,55.13513513513512
1654128000,8.62,9.14,9.16,8.62,ok,51986.0,MEC,61.30536130536131
1654214400,9.09,9.24,9.26,8.93,ok,46050.0,MEC,62.18678815489749
1654473600,9.32,9.07,9.385,9.03,ok,87109.0,MEC,62.18678815489749
1654560000,9.02,9.31,9.35,9.0002,ok,144753.0,MEC,56.77083333333336
1654646400,9.2,9.27,9.42,9.07,ok,100908.0,MEC,53.92953929539294
1654732800,9.27,9.23,9.385,9.19,ok,62899.0,MEC,58.87573964497041
1654819200,9.15,8.85,9.15,8.59,ok,49470.0,MEC,55.898876404494374
1655078400,8.64,8.36,8.75,8.29,ok,74121.0,MEC,46.63212435233161
1655164800,8.36,8.31,8.4399,8.094,ok,51262.0,MEC,49.86149584487535
1655251200,8.4,8.32,8.58,8.23,ok,71192.0,MEC,48.2857142857143
1655337600,8.21,7.76,8.21,7.68,ok,63759.0,MEC,31.30434782608694
1655424000,7.79,7.5,7.8,7.48,ok,71402.0,MEC,26.740947075208922
1655769600,7.58,7.49,7.74,7.39,ok,81033.0,MEC,27.428571428571445
1655856000,7.46,7.49,7.67,7.35,ok,86990.0,MEC,32.43243243243245
1655942400,7.58,7.31,7.63,7.01,ok,91391.0,MEC,13.833992094861642
1656028800,7.4,7.71,7.75,7.35,ok,1029815.0,MEC,22.968197879858664
1656288000,7.8,8.0,8.12,7.6367,ok,46975.0,MEC,31.864406779661024
1656374400,8.02,7.84,8.24,7.84,ok,41098.0,MEC,24.390243902439025
1656460800,7.83,7.65,7.96,7.56,ok,36824.0,MEC,23.178807947019877
1656547200,7.53,7.74,7.98,7.51,ok,32227.0,MEC,25.732899022801305
1656633600,7.71,7.93,8.11,7.65,ok,90334.0,MEC,34.02777777777777
1656979200,7.82,7.67,7.845,7.56,ok,41622.0,MEC,36.9811320754717
1657065600,7.56,7.51,7.66,7.35,ok,20048.0,MEC,35.50724637681158
1657152000,7.51,7.78,7.81,7.51,ok,18712.0,MEC,41.05960264900662
1657238400,7.72,7.62,7.776,7.57,ok,16587.0,MEC,47.32824427480917
1657497600,7.52,7.33,7.6022,7.19,ok,33461.0,MEC,46.79245283018868
1657584000,7.21,7.31,7.6,7.21,ok,16893.0,MEC,46.616541353383454
1657670400,7.22,7.16,7.25,7.06,ok,28433.0,MEC,44.12811387900356
1657756800,7.22,7.0,7.27,6.8,ok,78030.0,MEC,44.44444444444445
1657843200,6.86,6.81,6.99,6.58,ok,207226.0,MEC,32.55813953488371
1658102400,6.82,6.76,6.925,6.7,ok,115884.0,MEC,23.5042735042735
1658188800,6.79,6.98,7.61,6.75,ok,207263.0,MEC,32.08333333333336
1658275200,7.02,7.41,7.58,7.02,ok,46739.0,MEC,45.45454545454545
1658361600,7.34,7.26,7.36,7.1263,ok,27734.0,MEC,41.11111111111111
1658448000,7.22,7.03,7.2939,6.97,ok,31894.0,MEC,33.57664233576644
1658707200,6.99,6.86,7.0606,6.86,ok,18449.0,MEC,34.71698113207549
1658793600,6.81,6.87,6.91,6.62,ok,68979.0,MEC,37.20000000000001
1658880000,6.95,7.0,7.05,6.75,ok,28117.0,MEC,33.474576271186436
1658966400,6.96,6.96,7.0657,6.95,ok,12493.0,MEC,35.26785714285714
1659052800,6.9,7.14,7.1984,6.9,ok,35397.0,MEC,45.53990610328638
1659312000,7.02,7.16,7.17,6.92,ok,120523.0,MEC,46.47887323943663
1659398400,7.05,7.27,7.64,7.05,ok,185430.0,MEC,52.63157894736841
1659484800,7.37,7.1,7.58,7.1,ok,87499.0,MEC,52.38095238095237
1659571200,7.06,7.11,7.3,6.976,ok,116680.0,MEC,57.812500000000014
1659657600,7.09,6.92,7.275,6.79,ok,63757.0,MEC,53.883495145631066
1659916800,6.91,7.12,7.275,6.8701,ok,71203.0,MEC,53.4313725490196
1660003200,7.21,7.05,7.265,6.96,ok,36616.0,MEC,39.285714285714285
1660089600,7.2,7.35,7.43,7.02,ok,425379.0,MEC,52.459016393442624
1660176000,7.45,7.65,7.92,7.45,ok,121849.0,MEC,66.31578947368419
1660262400,7.76,7.75,7.94,7.6233,ok,96813.0,MEC,74.31693989071036
1660521600,7.7,7.78,7.9395,7.6398,ok,85633.0,MEC,74.59459459459458
1660608000,7.87,7.73,7.96,7.68,ok,99488.0,MEC,70.62146892655366
1660694400,7.73,8.1,8.44,7.72,ok,98887.0,MEC,77.14285714285712
1660780800,8.21,8.42,8.46,7.9411,ok,27806.0,MEC,78.57142857142856
1660867200,8.35,7.65,8.35,7.61,ok,18476.0,MEC,58.19397993311038
1661126400,7.71,7.63,7.79,7.4037,ok,33764.0,MEC,56.20689655172414
