t,o,c,h,l,s,v,Ticker,RSI
1652140800,2.01,2.37,2.39,1.88,ok,253547.0,MHLD,
1652227200,2.41,2.355,2.41,2.265,ok,127771.0,MHLD,
1652313600,2.34,2.19,2.42,2.14,ok,205145.0,MHLD,
1652400000,2.18,2.3,2.34,2.18,ok,185956.0,MHLD,
1652659200,2.28,2.17,2.29,2.17,ok,202843.0,MHLD,
1652745600,2.21,2.18,2.27,2.17,ok,109222.0,MHLD,
1652832000,2.14,2.12,2.17,2.11,ok,173249.0,MHLD,
1652918400,2.11,2.12,2.15,2.11,ok,205156.0,MHLD,
1653004800,2.17,2.06,2.17,2.02,ok,167668.0,MHLD,
1653264000,2.09,2.0,2.11,2.0,ok,203738.0,MHLD,
1653350400,2.0,2.08,2.1,2.0,ok,219866.0,MHLD,
1653436800,2.1099,2.17,2.1866,2.08,ok,122951.0,MHLD,
1653523200,2.19,2.28,2.305,2.19,ok,158075.0,MHLD,
1653609600,2.3,2.34,2.37,2.295,ok,123173.0,MHLD,48.42105263157893
1653955200,2.3,2.44,2.45,2.3,ok,195763.0,MHLD,53.33333333333332
1654041600,2.45,2.31,2.46,2.27,ok,177274.0,MHLD,48.06866952789699
1654128000,2.34,2.34,2.37,2.25,ok,186690.0,MHLD,57.28155339805825
1654214400,2.33,2.3,2.395,2.28,ok,124716.0,MHLD,50.0
1654473600,2.3,2.21,2.38,2.19,ok,356833.0,MHLD,52.17391304347826
1654560000,2.18,2.5,2.52,2.18,ok,268943.0,MHLD,63.33333333333333
1654646400,2.45,2.35,2.49,2.33,ok,163545.0,MHLD,58.91472868217054
1654732800,2.28,2.47,2.69,2.28,ok,252144.0,MHLD,62.411347517730505
1654819200,2.42,2.45,2.515,2.4,ok,140384.0,MHLD,64.23357664233578
1655078400,2.36,2.49,2.5,2.35,ok,180940.0,MHLD,68.14814814814815
1655164800,2.47,2.45,2.47,2.37,ok,175278.0,MHLD,64.12213740458017
1655251200,2.46,2.33,2.51,2.28,ok,198965.0,MHLD,55.97014925373135
1655337600,2.26,2.15,2.28,2.12,ok,320890.0,MHLD,45.390070921985824
1655424000,2.16,2.08,2.26,2.04,ok,338807.0,MHLD,40.845070422535215
1655769600,2.08,2.01,2.14,1.99,ok,406908.0,MHLD,34.53237410071942
1655856000,1.98,2.13,2.15,1.98,ok,356885.0,MHLD,43.47826086956522
1655942400,2.15,2.16,2.3,2.12,ok,325854.0,MHLD,43.47826086956523
1656028800,2.17,2.4,2.6884,2.09,ok,9060648.0,MHLD,53.164556962025316
1656288000,2.33,2.19,2.34,2.15,ok,664245.0,MHLD,49.411764705882355
1656374400,2.18,2.16,2.225,2.15,ok,131911.0,MHLD,38.19444444444445
