t,o,c,h,l,s,v,Ticker
1652140800,0.4,0.429,0.4597,0.3847,ok,2462357.0,MREO
1652227200,0.38,0.33,0.38,0.3031,ok,6458138.0,MREO
1652313600,0.3118,0.36,0.371,0.301,ok,5004153.0,MREO
1652400000,0.35,0.39,0.4215,0.35,ok,1011552.0,MREO
1652659200,0.4084,0.4367,0.44,0.39,ok,1016697.0,MREO
1652745600,0.437,0.43,0.4569,0.43,ok,529788.0,MREO
1652832000,0.4214,0.4835,0.51,0.4,ok,1013967.0,MREO
1652918400,0.4806,0.49,0.5076,0.47,ok,610818.0,MREO
1653004800,0.49,0.5329,0.57,0.49,ok,900019.0,MREO
1653264000,0.53,0.521,0.5496,0.5067,ok,569988.0,MREO
1653350400,0.52,0.4738,0.55,0.4311,ok,1294826.0,MREO
1653436800,0.4882,0.4867,0.4901,0.4508,ok,265833.0,MREO
1653523200,0.4801,0.479,0.5424,0.4601,ok,411305.0,MREO
1653609600,0.53,0.521,0.54,0.4643,ok,1235874.0,MREO
1653955200,0.5256,0.5054,0.55,0.481,ok,654782.0,MREO
1654041600,0.51,0.5271,0.5395,0.5,ok,475232.0,MREO
1654128000,0.5395,0.5001,0.5395,0.441,ok,1836270.0,MREO
1654214400,0.5028,0.57,0.58,0.4975,ok,1101861.0,MREO
1654473600,0.57,0.554,0.58,0.533,ok,521261.0,MREO
1654560000,0.55,0.625,0.65,0.525,ok,695185.0,MREO
1654646400,0.62,0.6398,0.6398,0.6,ok,270075.0,MREO
1654732800,0.6308,0.69,0.7098,0.6308,ok,2065986.0,MREO
1654819200,0.62,0.6571,0.665,0.61,ok,623783.0,MREO
1655078400,0.5875,0.5988,0.6224,0.5701,ok,1202299.0,MREO
1655164800,0.5711,0.6355,0.6544,0.5601,ok,920216.0,MREO
1655251200,0.6404,0.6895,0.69,0.635,ok,732947.0,MREO
1655337600,0.702,0.8,0.8,0.6429,ok,1201842.0,MREO
1655424000,1.19,1.3,1.58,1.18,ok,137044569.0,MREO
1655769600,1.5,1.69,1.85,1.291,ok,55211414.0,MREO
1655856000,1.655,1.45,1.68,1.34,ok,22392340.0,MREO
1655942400,1.39,1.41,1.45,1.21,ok,9208976.0,MREO
1656028800,1.38,1.53,1.62,1.25,ok,7910012.0,MREO
1656288000,1.44,1.55,1.71,1.33,ok,6159498.0,MREO
1656374400,1.46,1.51,1.54,1.4,ok,2750532.0,MREO
1656460800,1.48,1.35,1.48,1.31,ok,3065143.0,MREO
1656547200,1.31,1.12,1.32,1.11,ok,4476680.0,MREO
1656633600,1.16,1.39,1.4,1.13,ok,4212989.0,MREO
1656979200,1.32,1.38,1.45,1.28,ok,2967706.0,MREO
1657065600,1.36,1.29,1.4296,1.245,ok,3212337.0,MREO
1657152000,1.32,1.32,1.4,1.29,ok,1861510.0,MREO
1657238400,1.32,1.37,1.3889,1.3,ok,2001453.0,MREO
1657497600,1.39,1.55,1.64,1.3008,ok,4699632.0,MREO
1657584000,1.55,1.55,1.68,1.48,ok,3082371.0,MREO
1657670400,1.54,1.54,1.65,1.42,ok,2131960.0,MREO
1657756800,1.54,1.53,1.57,1.46,ok,1648117.0,MREO
1657843200,1.53,1.73,1.83,1.52,ok,5911640.0,MREO
1658102400,1.79,1.67,1.81,1.63,ok,3361135.0,MREO
1658188800,1.69,1.7,1.72,1.6,ok,1848898.0,MREO
1658275200,1.7,1.68,1.73,1.625,ok,1525869.0,MREO
1658361600,1.66,1.59,1.66,1.4801,ok,1711636.0,MREO
1658448000,1.6,1.56,1.65,1.51,ok,969623.0,MREO
1658707200,1.51,1.42,1.54,1.394,ok,1840441.0,MREO
1658793600,1.42,1.41,1.48,1.35,ok,903287.0,MREO
1658880000,1.39,1.33,1.402,1.31,ok,1462917.0,MREO
1658966400,1.35,1.29,1.37,1.27,ok,1089575.0,MREO
1659052800,1.325,1.21,1.325,1.16,ok,1934885.0,MREO
1659312000,1.2,1.18,1.22,1.1199,ok,1061754.0,MREO
1659398400,1.15,1.18,1.2025,1.1407,ok,824412.0,MREO
1659484800,1.15,1.14,1.23,1.11,ok,1182268.0,MREO
1659571200,1.17,1.18,1.2,1.11,ok,1078111.0,MREO
1659657600,1.17,1.29,1.3,1.15,ok,1455588.0,MREO
1659916800,1.29,1.18,1.3,1.17,ok,1884863.0,MREO
1660003200,1.18,1.17,1.22,1.14,ok,1215870.0,MREO
1660089600,1.2,1.21,1.21,1.145,ok,847555.0,MREO
1660176000,1.2,1.15,1.21,1.14,ok,729185.0,MREO
1660262400,1.23,1.35,1.44,1.2,ok,3608944.0,MREO
1660521600,1.3,1.3,1.3138,1.2,ok,1429539.0,MREO
1660608000,1.26,1.2,1.3,1.18,ok,953652.0,MREO
1660694400,1.16,1.18,1.21,1.16,ok,516947.0,MREO
1660780800,1.17,1.17,1.1999,1.14,ok,731871.0,MREO
1660867200,1.18,1.21,1.25,1.15,ok,950025.0,MREO
1661126400,1.18,1.16,1.23,1.13,ok,1482716.0,MREO
1661212800,1.15,1.25,1.28,1.14,ok,2501511.0,MREO
1661299200,1.28,1.38,1.38,1.25,ok,1125810.0,MREO
1661385600,1.42,1.38,1.43,1.35,ok,1450357.0,MREO
1661472000,1.38,1.32,1.4,1.28,ok,845258.0,MREO
1661731200,1.3,1.33,1.35,1.295,ok,730125.0,MREO
1661817600,1.31,1.2,1.335,1.17,ok,1021725.0,MREO
1661904000,1.22,1.2,1.27,1.19,ok,922085.0,MREO
1661990400,1.15,1.14,1.16,1.08,ok,801451.0,MREO
1662076800,1.14,1.07,1.16,1.07,ok,591668.0,MREO
1662422400,1.08,0.9783,1.1,0.9382,ok,1169445.0,MREO
1662508800,0.9435,0.9792,1.02,0.91,ok,691449.0,MREO
1662595200,0.9752,1.01,1.11,0.963,ok,561675.0,MREO
1662681600,1.03,1.07,1.09,1.03,ok,421164.0,MREO
1662940800,1.07,1.07,1.11,1.04,ok,553776.0,MREO
1663027200,1.05,1.03,1.06,1.01,ok,441485.0,MREO
1663113600,1.03,1.08,1.13,1.03,ok,694476.0,MREO
1663200000,1.08,1.07,1.12,1.07,ok,418089.0,MREO
1663286400,1.09,1.06,1.09,1.04,ok,325162.0,MREO
1663545600,1.04,1.0,1.0701,1.0,ok,291780.0,MREO
1663632000,1.0,0.9789,1.0065,0.9534,ok,528113.0,MREO
1663718400,0.9904,0.93,0.997,0.87,ok,952766.0,MREO
1663804800,0.9175,0.8711,0.9399,0.8301,ok,558045.0,MREO
1663891200,0.85,0.8417,0.87,0.821,ok,494671.0,MREO
1664150400,0.82,0.8236,0.9,0.8037,ok,554448.0,MREO
1664236800,0.8277,0.8564,0.89,0.8237,ok,319911.0,MREO
1664323200,0.85,0.8859,0.9061,0.8232,ok,245110.0,MREO
1664409600,0.8672,0.88,0.9074,0.8405,ok,125574.0,MREO
1664496000,0.89,0.8611,0.91,0.85,ok,291082.0,MREO
1664755200,0.865,0.8901,0.97,0.865,ok,460244.0,MREO
1664841600,0.94,0.96,1.03,0.9067,ok,810287.0,MREO
1664928000,0.95,0.9652,1.0,0.9422,ok,216277.0,MREO
1665014400,0.99,0.9432,0.99,0.9,ok,201403.0,MREO
1665100800,0.91,0.9627,0.99,0.9,ok,271416.0,MREO
1665360000,0.99,0.99,1.02,0.96,ok,652986.0,MREO
1665446400,0.99,0.9807,1.01,0.9601,ok,219980.0,MREO
1665532800,1.0,0.995,1.0112,0.8836,ok,629101.0,MREO
1665619200,0.99,1.01,1.02,0.94,ok,330636.0,MREO
1665705600,1.03,0.9999,1.05,0.945,ok,306846.0,MREO
1665964800,1.06,1.0,1.09,0.975,ok,618771.0,MREO
1666051200,1.04,1.0,1.05,0.9601,ok,625544.0,MREO
1666137600,1.0,0.9665,1.0399,0.95,ok,280060.0,MREO
1666224000,0.97,0.976,1.01,0.967,ok,204127.0,MREO
