t,o,c,h,l,s,v,Ticker
1652140800,28.499999999999996,23.810000000000002,28.499999999999996,23.5025,ok,2337406.92,MULN
1652227200,22.5,19.994999999999997,23.25,19.8,ok,2468252.48,MULN
1652313600,19.5,21.654999999999998,24.0,18.925,ok,2856971.68,MULN
1652400000,25.5,24.73,27.0,23.075000000000003,ok,4583254.44,MULN
1652659200,25.75,29.25,29.5,24.745,ok,2656080.24,MULN
1652745600,30.0,28.499999999999996,31.25,27.0,ok,2266729.92,MULN
1652832000,26.75,26.25,28.499999999999996,25.75,ok,1633043.2,MULN
1652918400,25.25,25.5,27.250000000000004,24.575,ok,1717496.84,MULN
1653004800,25.75,27.500000000000004,27.500000000000004,24.5,ok,2048580.88,MULN
1653264000,26.75,26.25,26.75,25.0,ok,1238717.24,MULN
1653350400,25.5,25.0,26.0,23.8675,ok,1235329.84,MULN
1653436800,24.8,25.5,26.0,24.75,ok,1081282.12,MULN
1653523200,25.0,24.5,26.25,24.5,ok,1315006.6,MULN
1653609600,25.0,24.154999999999998,25.75,23.75,ok,1494255.4,MULN
1653955200,30.375000000000004,35.0,39.0,29.25,ok,12507477.96,MULN
1654041600,37.25,35.5,42.0,35.0,ok,9328673.16,MULN
1654128000,32.0,30.75,33.25,30.0,ok,3569838.88,MULN
1654214400,32.25,31.75,35.0,31.0,ok,3823584.88,MULN
1654473600,35.75,34.5,38.5,33.75,ok,4830982.04,MULN
1654560000,32.75,33.5,34.25,32.0,ok,2183713.68,MULN
1654646400,32.5,32.0,34.5,31.0,ok,2039650.88,MULN
1654732800,31.75,30.0,32.0,29.5,ok,1676546.56,MULN
1654819200,28.249999999999996,28.499999999999996,30.25,28.000000000000004,ok,1728340.28,MULN
1655078400,25.0,26.25,27.750000000000004,25.0,ok,1726657.64,MULN
1655164800,26.75,26.75,27.0,25.624999999999996,ok,1307310.24,MULN
1655251200,28.000000000000004,28.999999999999996,29.25,27.0,ok,1627775.92,MULN
1655337600,28.249999999999996,31.25,32.0,27.500000000000004,ok,2271521.68,MULN
1655424000,30.875000000000004,33.0,34.75,30.25,ok,2342340.4,MULN
1655769600,34.75,38.0,40.75,34.625,ok,4094140.52,MULN
1655856000,41.25,40.0,42.75,37.75,ok,3746739.28,MULN
1655942400,38.0,36.5,39.25,34.0,ok,2925294.96,MULN
1656028800,36.0,36.5,36.5,34.25,ok,1955675.16,MULN
1656288000,38.0,32.75,38.0,32.5,ok,2345705.44,MULN
1656374400,31.25,30.5,31.75,28.999999999999996,ok,2099010.36,MULN
1656460800,29.25,28.249999999999996,29.25,27.500000000000004,ok,2244068.84,MULN
