t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP
1652140800,3.17,3.0,3.2,2.96,ok,48553.0,NURO,,3.0533333333333332,148248.49333333332,48553.0,3.053333333333333
1652227200,2.97,2.81,3.01,2.76,ok,89757.0,NURO,,2.86,256705.02,138310.0,1.8560120020244377
1652313600,2.75,2.9,2.95,2.7,ok,36226.0,NURO,,2.85,103244.1,174536.0,0.5915346977127928
1652400000,2.95,3.15,3.1752,2.88,ok,27990.0,NURO,,3.0684,85884.516,202526.0,0.4240666186069937
1652659200,3.12,3.31,3.3463,3.0801,ok,22847.0,NURO,,3.2454666666666667,74149.17693333334,225373.0,0.3290064778537506
1652745600,3.3,3.38,3.48,3.19,ok,48746.0,NURO,,3.35,163299.1,274119.0,0.5957233902064432
1652832000,3.27,3.12,3.29,3.0417,ok,10082.0,NURO,,3.1505666666666663,31764.01313333333,284201.0,0.11176601466333098
1652918400,4.66,5.5,5.89,4.02,ok,80975938.0,NURO,,5.136666666666667,415946401.52666664,81260139.0,5.118701575524829
1653004800,4.74,4.31,4.88,4.14,ok,9061281.0,NURO,,4.4433333333333325,40262291.90999999,90321420.0,0.44576681710717114
1653264000,3.95,4.48,4.71,3.86,ok,3279826.0,NURO,,4.3500000000000005,14267243.100000001,93601246.0,0.1524257818106396
1653350400,4.42,4.38,4.5399,4.12,ok,1144199.0,NURO,,4.346633333333333,4973413.513366667,94745445.0,0.05249237589592478
1653436800,4.25,4.06,4.43,3.8201,ok,727926.0,NURO,,4.103366666666666,2986947.2841999996,95473371.0,0.03128565853404296
1653523200,3.96,4.01,4.22,3.91,ok,477618.0,NURO,,4.046666666666666,1932760.8399999996,95950989.0,0.020143209154415278
1653609600,4.09,4.1,4.36,3.9001,ok,420499.0,NURO,60.338345864661655,4.120033333333334,1732469.8966333335,96371488.0,0.017976996439375652
1653955200,4.09,4.39,4.69,4.0119,ok,867890.0,NURO,62.38859180035651,4.363966666666666,3787443.030333333,97239378.0,0.038949683844474337
1654041600,4.27,4.21,4.4,4.02,ok,232523.0,NURO,62.5,4.21,978921.83,97471901.0,0.010043118272618895
1654128000,4.19,4.26,4.28,4.0915,ok,153654.0,NURO,62.23021582733812,4.210500000000001,646960.1670000001,97625555.0,0.006626955073392414
1654214400,4.18,4.36,4.4754,4.12,ok,152153.0,NURO,61.18299445471349,4.318466666666667,657067.6587333333,97777708.0,0.006720014941783391
1654473600,4.31,4.17,4.38,4.0423,ok,147825.0,NURO,57.90441176470588,4.197433333333334,620485.5825,97925533.0,0.006336300283400041
