t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP
1652140800,5.76,6.0,6.45,5.76,ok,2131.6666666666665,OBLG,,6.07,12939.216666666667,2131.6666666666665,6.07
1652227200,5.8905,5.55,6.75,5.4015,ok,5591.266666666666,OBLG,,5.9005,32991.26896666666,7722.9333333333325,4.271857277890957
1652313600,4.95,5.202,5.8500000000000005,4.5,ok,16156.8,OBLG,,5.184,83756.8512,23879.73333333333,3.507444996594044
1652400000,7.800000000000001,5.559,7.800000000000001,4.95,ok,12662.666666666666,OBLG,,6.103000000000001,77280.25466666667,36542.399999999994,2.1148105944510127
1652659200,6.0045,5.55,6.0045,5.151,ok,9310.2,OBLG,,5.5685,51843.84870000001,45852.59999999999,1.1306632273851434
1652745600,6.45,5.877,6.45,5.4255,ok,7355.066666666667,OBLG,,5.9175,43523.607,53207.66666666666,0.8179950320442545
1652832000,5.55,5.3595,5.61,4.893,ok,5789.666666666667,OBLG,,5.2875000000000005,30612.862500000003,58997.33333333332,0.5188855287244623
1652918400,5.3475,5.3235,5.355,5.1000000000000005,ok,3743.0666666666666,OBLG,,5.2595,19686.659133333334,62740.39999999999,0.31377962418686106
1653004800,4.545,4.35,5.0595,4.055999999999999,ok,19513.066666666666,OBLG,,4.488499999999999,87584.39973333331,82253.46666666665,1.064811044235623
1653264000,4.35,4.4715,4.6935,4.35,ok,2305.4666666666667,OBLG,,4.505,10386.127333333334,84558.9333333333,0.12282708548830643
1653350400,4.35,4.107,4.65,4.1055,ok,6386.6,OBLG,,4.2875000000000005,27382.547500000004,90945.53333333331,0.30108732662699955
1653436800,4.311,5.1675,5.25,4.0605,ok,25949.8,OBLG,,4.8260000000000005,125233.7348,116895.33333333331,1.0713322014565738
1653523200,5.22,5.3265,5.667000000000001,4.890000000000001,ok,19784.0,OBLG,,5.2945,104746.388,136679.3333333333,0.7663659563259992
1653609600,5.4,5.247,5.4,4.95,ok,1940.4,OBLG,42.16114928169894,5.199000000000001,10088.139600000002,138619.7333333333,0.07277563848533353
1653955200,5.3085,5.1165,5.6985,4.9515,ok,9368.866666666669,OBLG,41.045910611128,5.2555000000000005,49238.07876666668,147988.59999999998,0.33271534947061254
1654041600,4.95,4.953,5.271,4.95,ok,4127.866666666667,OBLG,43.576500968366695,5.058,20878.7496,152116.46666666665,0.1372550260830846
1654128000,5.25,4.566,5.265,4.1325,ok,30472.466666666667,OBLG,43.213828425096025,4.6545,141834.0961,182588.93333333332,0.7767945926989369
1654214400,4.4745,4.683,5.3535,4.227,ok,25319.466666666667,OBLG,40.14844804318488,4.7545,120381.40426666668,207908.4,0.5790117391440975
1654473600,4.729500000000001,4.125,4.729500000000001,3.8955,ok,41967.066666666666,OBLG,35.73573573573573,4.25,178360.03333333333,249875.46666666667,0.7137956987640777
1654560000,4.5,4.092,4.5,3.9,ok,17029.0,OBLG,31.01467772814296,4.164000000000001,70908.75600000001,266904.4666666667,0.2656709229544554
1654646400,3.783,4.35,4.95,3.7605,ok,31768.466666666667,OBLG,38.6355960824046,4.3534999999999995,138304.01963333332,298672.93333333335,0.46306177827965206
1654732800,4.332,4.4985,4.8645,4.0305,ok,28904.6,OBLG,40.94202898550725,4.4645,129044.5867,327577.5333333333,0.3939360107724115
1654819200,4.8,4.629,4.95,3.7605,ok,37980.8,OBLG,53.75909458367017,4.4464999999999995,168881.6272,365558.3333333333,0.46198270371805683
1655078400,4.7145,5.6145000000000005,6.15,4.050000000000001,ok,100195.46666666666,OBLG,62.49180327868853,5.2715000000000005,528180.4025333334,465753.8,1.134033479776941
1655164800,5.25,4.6215,5.25,4.4445,ok,35170.26666666667,OBLG,54.943787835110975,4.771999999999999,167832.51253333333,500924.06666666665,0.3350458157264288
1655251200,4.95,4.335,4.95,3.783,ok,41264.8,OBLG,40.6027768371148,4.356000000000001,179749.46880000003,542188.8666666667,0.3315255621257685
1655337600,4.29,4.08,4.3335,3.9,ok,19037.666666666668,OBLG,36.2280411004309,4.1045,78140.10283333334,561226.5333333333,0.13923094898815666
1655424000,4.254,4.5,4.5,4.1265,ok,6119.266666666666,OBLG,42.32429099876696,4.3755,26774.8513,567345.8,0.04719317795249387
1655769600,4.6935,5.130000000000001,5.133,4.5,ok,8838.666666666666,OBLG,50.125803746156,4.921,43495.07866666667,576184.4666666667,0.07548811393388252
1655856000,5.0205,5.2185,5.771999999999999,4.563000000000001,ok,23496.466666666667,OBLG,52.50921462999715,5.1845,121817.43143333333,599680.9333333333,0.20313707617183982
1655942400,5.1000000000000005,5.013,5.763,4.65,ok,8306.2,OBLG,54.3746330005872,5.142,42710.48040000001,607987.1333333333,0.07024898728668273
1656028800,5.2305,4.875,5.307,4.875,ok,10782.2,OBLG,51.87134502923977,5.019,54115.861800000006,618769.3333333333,0.08745724599581536
1656288000,4.95,4.9515,5.6385000000000005,4.875,ok,12793.0,OBLG,58.88996450467893,5.155,65947.91500000001,631562.3333333333,0.10442027891678153
1656374400,5.1000000000000005,4.68,5.247,4.65,ok,16863.0,OBLG,56.01596071209331,4.859,81937.317,648425.3333333333,0.12636353453186078
1656460800,4.68,4.896000000000001,5.023499999999999,4.5,ok,15412.666666666666,OBLG,55.634674922600624,4.8065,74080.98233333333,663837.9999999999,0.1115949709617909
1656547200,4.8495,4.65,5.007,4.35,ok,12099.666666666666,OBLG,51.53262518968134,4.669,56493.34366666666,675937.6666666665,0.08357774163593981
1656633600,4.7145,4.342499999999999,4.8660000000000005,4.2165,ok,21513.666666666668,OBLG,47.20187518312336,4.475,96273.65833333333,697451.3333333331,0.13803638151096806
1656979200,4.8660000000000005,4.65,4.8660000000000005,4.2,ok,12531.066666666668,OBLG,39.1421816953732,4.572,57292.0368,709982.3999999998,0.0806950099044709
1657065600,4.95,4.4625,4.95,4.251,ok,7728.266666666666,OBLG,47.81353135313532,4.5545,35198.39053333333,717710.6666666665,0.04904259079331876
1657152000,4.611,4.395,4.611,4.2525,ok,10958.666666666666,OBLG,50.87796312554872,4.4195,48431.827333333335,728669.3333333331,0.06646612546706145
1657238400,4.484999999999999,4.404000000000001,4.540500000000001,4.398000000000001,ok,4932.266666666666,OBLG,55.10879848628193,4.447500000000001,21936.256,733601.5999999999,0.02990213761802047
1657497600,4.95,4.425,4.95,4.3965000000000005,ok,14393.2,OBLG,48.64718614718615,4.5905,66071.9846,747994.7999999998,0.0883321442876341
1657584000,4.5,4.305,4.8,4.158,ok,28998.266666666663,OBLG,31.76392572944297,4.421,128201.33693333332,776993.0666666664,0.16499675792902832
1657670400,4.3035,4.419,4.6035,4.2,ok,11873.4,OBLG,32.52459016393446,4.4075,52332.0105,788866.4666666664,0.0663382368389006
1657756800,4.287,4.2765,4.425,4.050000000000001,ok,8583.466666666667,OBLG,33.445718138907665,4.250500000000001,36484.025066666676,797449.9333333331,0.04575086603138055
1657843200,4.215000000000001,4.3305,4.605,4.050000000000001,ok,3257.4,OBLG,37.281009110021046,4.328500000000001,14099.655900000003,800707.3333333331,0.01760900058365063
1658102400,4.6545000000000005,4.575,4.7055,4.329000000000001,ok,4124.866666666667,OBLG,41.845354126055895,4.5365,18712.457633333335,804832.1999999998,0.023250135411248877
1658188800,4.293,4.7235000000000005,4.878,4.2405,ok,9933.8,OBLG,50.99519560741251,4.614000000000001,45834.5532,814765.9999999999,0.0562548672870493
1658275200,4.38,4.5225,4.71,4.38,ok,3763.466666666666,OBLG,41.39599170697995,4.5375000000000005,17076.73,818529.4666666666,0.020862694252831625
1658361600,4.521,4.6845,4.863,4.521,ok,3096.6,OBLG,50.82674335010783,4.6895,14521.5057,821626.0666666665,0.01767410539798681
1658448000,4.6770000000000005,4.8,4.848,4.548,ok,4423.266666666666,OBLG,62.07442596991291,4.732,20930.897866666666,826049.3333333333,0.025338556696371646
1658707200,4.7025,4.716,4.95,4.653,ok,1478.8,OBLG,51.97486535008977,4.773,7058.312399999999,827528.1333333333,0.00852939267643831
1658793600,4.74,4.5120000000000005,4.7625,4.395,ok,757.2,OBLG,51.46666666666667,4.5565,3450.1818,828285.3333333333,0.004165450794734182
1658880000,4.5105,4.44,4.5105,4.35,ok,1477.0666666666666,OBLG,51.32978723404258,4.4334999999999996,6548.575066666665,829762.3999999999,0.00789210871288777
1658966400,4.35,4.2465,4.495500000000001,4.2,ok,6473.266666666666,OBLG,45.80335731414866,4.314,27925.6724,836235.6666666666,0.033394500513611196
1659052800,4.242,4.275,4.4670000000000005,4.242,ok,5613.466666666666,OBLG,46.01910828025479,4.328,24295.083733333333,841849.1333333333,0.028859189576089524
1659312000,4.242,4.364999999999999,4.632000000000001,4.242,ok,3476.4666666666667,OBLG,51.61812297734627,4.413,15341.647400000002,845325.6,0.018148802544250407
1659398400,4.545,4.65,4.65,4.4415,ok,3419.0666666666666,OBLG,55.70370370370373,4.5805,15661.034866666665,848744.6666666666,0.018451997970335796
1659484800,4.6515,4.7835,4.95,4.581,ok,9340.266666666666,OBLG,62.57440476190475,4.7715000000000005,44567.08240000001,858084.9333333333,0.05193784515814053
1659571200,4.8,4.656000000000001,4.8,4.65,ok,3441.6666666666665,OBLG,57.78894472361812,4.702,16182.716666666665,861526.6,0.01878376902891526
1659657600,4.6665,4.65,4.797,4.515,ok,1850.2666666666669,OBLG,52.0259319286872,4.654,8611.141066666667,863376.8666666667,0.00997379174625403
1659916800,4.7355,4.7025,4.8,4.509,ok,2934.6666666666665,OBLG,49.401709401709375,4.6705000000000005,13706.360666666667,866311.5333333333,0.015821514708373195
1660003200,4.65,4.764,4.8,4.608,ok,10844.2,OBLG,57.474466109563615,4.724,51228.00080000001,877155.7333333333,0.05840240091155232
1660089600,4.8,4.95,5.73,4.2,ok,80413.0,OBLG,58.09698078682526,4.96,398848.48,957568.7333333333,0.4165220376521623
1660176000,5.04,4.515,5.04,4.515,ok,11487.466666666667,OBLG,42.72588055130167,4.69,53876.218666666675,969056.2,0.0555965883781216
1660262400,4.446,4.3695,4.6185,4.2525,ok,10784.866666666669,OBLG,41.42538975501114,4.4135,47599.00903333334,979841.0666666667,0.04857829565692832
1660521600,4.92,4.473000000000001,4.92,4.272,ok,19008.266666666663,OBLG,48.98437500000001,4.555000000000001,86582.65466666665,998849.3333333333,0.08668239721172495
1660608000,4.35,4.395,4.563000000000001,4.137,ok,15672.666666666666,OBLG,48.83177570093456,4.364999999999999,68411.18999999999,1014521.9999999999,0.06743194331911974
1660694400,4.173,4.0515,4.3335,4.050000000000001,ok,6842.4,OBLG,45.30346820809248,4.1450000000000005,28361.748000000003,1021364.3999999999,0.027768490853998833
1660780800,4.055999999999999,3.993,4.1385,3.993,ok,3109.266666666667,OBLG,43.304843304843295,4.0415,12566.101233333335,1024473.6666666666,0.0122659094539928
1660867200,4.0200000000000005,3.9,4.047,3.9,ok,8000.6,OBLG,38.97581792318636,3.949,31594.3694,1032474.2666666666,0.030600636180504646
1661126400,3.975,3.828,4.395,3.828,ok,6087.266666666666,OBLG,28.322784810126574,4.0169999999999995,24452.550199999994,1038561.5333333333,0.023544633047902212
1661212800,3.972,3.9675,4.317,3.7725,ok,4217.866666666667,OBLG,28.548895899053637,4.019,16951.606133333335,1042779.4,0.01625617664995428
1661299200,3.888,3.973500000000001,4.074,3.765,ok,5047.466666666666,OBLG,30.83403538331932,3.9375000000000004,19874.4,1047826.8666666667,0.018967255595596807
1661385600,3.813,4.2,4.326,3.813,ok,7253.0,OBLG,38.75562218890555,4.1129999999999995,29831.588999999996,1055079.8666666667,0.028274247232342217
1661472000,3.906,3.8265,4.3485,3.8265,ok,5227.666666666667,OBLG,31.13695090439279,4.0005,20913.2805,1060307.5333333334,0.019723787526298185
1661731200,4.614,4.050000000000001,4.614,3.825,ok,15731.066666666668,OBLG,35.62801932367152,4.163,65488.43053333334,1076038.6,0.06086067036380789
1661817600,4.2165,3.8985,4.2165,3.8955,ok,3871.6666666666665,OBLG,28.53643600734847,4.0035,15500.217499999999,1079910.2666666668,0.01435324580054614
1661904000,3.9,3.8325,3.9,3.7545,ok,2469.0666666666666,OBLG,33.597692862292746,3.829,9454.056266666666,1082379.3333333335,0.008734512915681438
1661990400,3.7845,3.7785,3.8565,3.765,ok,979.6666666666666,OBLG,35.14328808446457,3.8000000000000003,3722.7333333333336,1083359.0000000002,0.0034362878171809463
1662076800,3.822000000000001,3.8925,3.9,3.753,ok,1183.6666666666667,OBLG,35.483870967741936,3.8485,4555.341166666667,1084542.666666667,0.004200241545745241
1662422400,3.9,3.675,3.9,3.2985,ok,6050.266666666666,OBLG,33.16970546984574,3.6245,21929.19153333333,1090592.9333333336,0.020107586307485083
1662508800,3.4845,3.6435,3.7515,3.4845,ok,5281.8,OBLG,38.83415435139575,3.6265,19154.4477,1095874.7333333336,0.01747868357338408
1662595200,3.642,3.7725,3.825,3.45,ok,2053.133333333333,OBLG,44.18972332015811,3.6824999999999997,7560.663499999999,1097927.866666667,0.006886302579197975
1662681600,4.050000000000001,3.7605,4.050000000000001,3.7515,ok,1329.8666666666666,OBLG,46.16019818331958,3.8540000000000005,5125.3061333333335,1099257.7333333336,0.004662515421011972
1662940800,3.75,3.5295,3.813,3.4575,ok,3509.0666666666666,OBLG,42.44495064540624,3.6,12632.64,1102766.8000000003,0.011455404714759273
1663027200,3.5295,3.5925,3.7485,3.5295,ok,1142.0,OBLG,40.12638230647711,3.6235,4138.037,1103908.8000000003,0.003748531581594421
1663113600,3.75,3.5295,3.75,3.5295,ok,818.4,OBLG,38.65030674846624,3.603,2948.6952,1104727.2000000002,0.0026691614002081233
1663200000,3.5415,3.5415,3.6345,3.5295,ok,539.0666666666667,OBLG,31.09388458225668,3.5685000000000002,1923.6594000000002,1105266.2666666668,0.001740448847499432
1663286400,3.5295,3.3645,3.5865,3.198,ok,5336.2,OBLG,35.0485436893204,3.3829999999999996,18052.364599999997,1110602.4666666668,0.016254569156668536
1663545600,2.7825,3.015,3.234,2.7825,ok,10473.066666666668,OBLG,19.030520646319545,3.0105000000000004,31529.167200000007,1121075.5333333334,0.028124034699297397
1663632000,3.0705,2.91,3.1485,2.8545,ok,2053.266666666667,OBLG,19.575253924284382,2.971,6100.255266666668,1123128.8,0.005431483251668613
1663718400,2.91,2.7615000000000003,2.91,2.76,ok,4671.266666666666,OBLG,18.62917398945517,2.8104999999999998,13128.594966666666,1127800.0666666667,0.011640888624408072
1663804800,3.0,2.7285,3.372,2.595,ok,11673.6,OBLG,18.861209964412797,2.8985000000000003,33835.9296,1139473.6666666667,0.02969434975972825
1663891200,2.6085,2.4015,2.7315,2.4,ok,5650.666666666667,OBLG,10.742496050552916,2.5109999999999997,14188.823999999999,1145124.3333333335,0.012390640550531191
1664150400,2.475,2.34,2.475,2.3295,ok,1736.0666666666666,OBLG,11.703958691910486,2.3815,4134.442766666666,1146860.4000000001,0.003605009612910748
1664236800,2.5650000000000004,2.25,2.6565000000000003,2.25,ok,8608.066666666668,OBLG,11.323896752706077,2.3855,20534.543033333335,1155468.4666666668,0.017771616989749668
1664323200,2.253,2.2575,2.3760000000000003,2.25,ok,1926.0,OBLG,4.910714285714249,2.2944999999999998,4419.206999999999,1157394.4666666668,0.0038182375389502745
1664409600,2.25,2.1405,2.25,1.941,ok,2399.4666666666667,OBLG,4.621848739495775,2.1105,5064.0744,1159793.9333333333,0.004366357035034212
1664496000,2.1405,2.247,2.247,2.1405,ok,4411.0,OBLG,11.38211382113819,2.2114999999999996,9754.926499999998,1164204.9333333333,0.008379045836947147
1664755200,2.1,6.0,7.95,2.1,ok,1563479.4666666666,OBLG,72.49789739276703,5.3500000000000005,8364615.1466666665,2727684.4,3.0665626663651655
1664841600,4.2945,3.585,4.9485,3.3165,ok,244192.86666666667,OBLG,50.36027263875365,3.9500000000000006,964561.8233333335,2971877.2666666666,0.32456314200862363
1664928000,3.45,3.165,3.75,2.9250000000000003,ok,88766.66666666667,OBLG,47.67893471425929,3.28,291154.6666666667,3060643.933333333,0.09512856542890027
1665014400,3.6,3.03,3.6,3.0165,ok,35144.666666666664,OBLG,47.92712400074363,3.2155,113007.67566666666,3095788.5999999996,0.03650367976245751
1665100800,3.06,2.616,3.285,2.5650000000000004,ok,50672.66666666666,OBLG,47.54703061600885,2.8220000000000005,142998.26533333334,3146461.266666666,0.045447330576811606
1665360000,2.772,2.532,2.85,2.424,ok,25755.866666666665,OBLG,47.67011834319527,2.602,67016.76506666666,3172217.133333333,0.021126159480844283
1665446400,2.7,3.51,4.752000000000001,2.5875,ok,1125337.2,OBLG,54.18553933903707,3.6165000000000003,4069781.9838,4297554.333333333,0.946999541630771
1665532800,3.3525,2.7255,3.51,2.5500000000000003,ok,87130.06666666667,OBLG,49.98452491488703,2.9285,255160.40023333335,4384684.399999999,0.05819356125912583
1665619200,3.225,3.4485,4.3335,2.6085,ok,346584.6,OBLG,55.188819506393095,3.4635,1200395.7621,4731268.999999999,0.2537153905432137
1665705600,3.39,3.495,3.8775,3.03,ok,162384.86666666667,OBLG,55.73257891602144,3.4675,563069.5251666666,4893653.866666665,0.11506116707641278
1665964800,3.75,5.3955,6.2115,3.6,ok,612525.2,OBLG,63.23362362741386,5.069,3104890.2388,5506179.0666666655,0.5638919841158817
1666051200,5.1000000000000005,6.75,6.9,4.68,ok,606730.8,OBLG,66.97653327287156,6.109999999999999,3707125.188,6112909.866666665,0.6064419840728773
1666137600,6.75,4.332,9.6765,4.153499999999999,ok,720515.0666666667,OBLG,57.05456301303718,6.053999999999999,4361998.213599999,6833424.933333332,0.6383326452189803
1666224000,4.6035,3.8565,5.130000000000001,3.8175,ok,224533.8,OBLG,55.06084331666824,4.268000000000001,958310.2584,7057958.7333333315,0.13577725438859423
1666310400,3.9375,3.9375,4.065,3.588,ok,76873.06666666667,OBLG,41.567521157856,3.8635,296999.0930666667,7134831.799999998,0.04162664256032872
1666569600,4.2045,4.117500000000001,4.2045,3.528,ok,45489.66666666666,OBLG,52.66396518084947,3.9500000000000006,179684.18333333332,7180321.466666665,0.025024531863578035
