t,o,c,h,l,s,v,Ticker
1652140800,1.3,1.3,1.31,1.15,ok,112366.0,OLB
1652227200,1.3,1.02,1.315,0.96,ok,197730.0,OLB
1652313600,1.0,1.0442,1.1188,0.9661,ok,151543.0,OLB
1652400000,1.06,1.12,1.17,1.06,ok,133941.0,OLB
1652659200,1.19,1.17,1.19,1.15,ok,58183.0,OLB
1652745600,1.3,1.27,1.33,1.2504,ok,40284.0,OLB
1652832000,1.24,1.18,1.259,1.1746,ok,35255.0,OLB
1652918400,1.18,1.185,1.25,1.11,ok,48292.0,OLB
1653004800,1.2,1.15,1.26,1.07,ok,90098.0,OLB
1653264000,1.12,1.14,1.19,1.06,ok,49439.0,OLB
1653350400,1.11,1.07,1.1352,1.06,ok,41108.0,OLB
1653436800,1.06,0.99,1.07,0.9858,ok,216785.0,OLB
1653523200,0.98,0.9808,1.03,0.96,ok,321368.0,OLB
1653609600,0.979,1.06,1.06,0.9651,ok,327398.0,OLB
1653955200,1.1,1.03,1.18,1.0,ok,224746.0,OLB
1654041600,1.03,1.02,1.0736,0.9601,ok,69730.0,OLB
1654128000,1.03,1.03,1.04,0.9612,ok,95042.0,OLB
1654214400,1.01,1.03,1.03,0.9732,ok,47658.0,OLB
1654473600,1.06,0.995,1.06,0.9622,ok,79560.0,OLB
1654560000,1.07,1.03,1.07,0.9879,ok,76059.0,OLB
1654646400,1.03,1.12,1.12,1.02,ok,68572.0,OLB
1654732800,1.15,1.09,1.15,1.07,ok,48024.0,OLB
1654819200,1.04,1.06,1.0899,1.0,ok,28807.0,OLB
1655078400,0.9941,0.9296,1.02,0.9,ok,97482.0,OLB
1655164800,0.93,0.8922,0.98,0.89,ok,67156.0,OLB
1655251200,0.8942,0.9427,0.9609,0.8902,ok,48193.0,OLB
1655337600,0.9251,0.9724,1.03,0.9,ok,33597.0,OLB
1655424000,1.03,0.9144,1.0902,0.9144,ok,129757.0,OLB
1655769600,0.9783,0.9508,0.9979,0.95,ok,40725.0,OLB
1655856000,0.95,0.9075,0.9657,0.9075,ok,55212.0,OLB
1655942400,0.9001,0.905,0.98,0.9,ok,40915.0,OLB
1656028800,0.905,0.9,0.98,0.9,ok,45814.0,OLB
1656288000,0.91,0.88,0.95,0.88,ok,45968.0,OLB
1656374400,0.87,0.905,0.93,0.8607,ok,62181.0,OLB
1656460800,0.8536,0.862,0.93,0.85,ok,32909.0,OLB
1656547200,0.84,0.8825,0.8825,0.83,ok,22193.0,OLB
1656633600,0.8687,0.89,0.9,0.86,ok,26436.0,OLB
1656979200,0.9,0.8625,0.9,0.8535,ok,34634.0,OLB
1657065600,0.9056,0.9,0.9219,0.87,ok,36476.0,OLB
1657152000,0.9,0.91,0.975,0.8904,ok,107086.0,OLB
1657238400,0.95,0.971,1.0827,0.902,ok,140497.0,OLB
1657497600,0.96,0.9209,0.9699,0.901,ok,43650.0,OLB
1657584000,0.9288,0.9004,0.9547,0.8699,ok,38112.0,OLB
1657670400,0.9861,1.15,1.39,0.9505,ok,11492931.0,OLB
1657756800,1.08,1.11,1.17,1.03,ok,656704.0,OLB
1657843200,1.11,1.09,1.12,1.03,ok,169183.0,OLB
1658102400,1.1,1.08,1.1627,1.05,ok,331626.0,OLB
1658188800,1.1,1.17,1.195,1.04,ok,720487.0,OLB
1658275200,1.18,1.45,1.63,1.18,ok,2412802.0,OLB
1658361600,1.46,1.41,1.56,1.2817,ok,1203043.0,OLB
1658448000,1.38,1.39,1.455,1.31,ok,389139.0,OLB
1658707200,1.35,1.52,1.53,1.23,ok,430477.0,OLB
1658793600,1.51,1.41,1.51,1.38,ok,126003.0,OLB
1658880000,1.41,1.46,1.499,1.35,ok,210342.0,OLB
1658966400,1.42,1.51,1.58,1.4,ok,524874.0,OLB
1659052800,1.51,1.5,1.55,1.45,ok,116876.0,OLB
1659312000,1.47,1.49,1.5,1.42,ok,48710.0,OLB
1659398400,1.45,1.48,1.5287,1.45,ok,84776.0,OLB
1659484800,1.47,1.52,1.54,1.43,ok,122191.0,OLB
1659571200,1.47,1.56,1.6,1.47,ok,115840.0,OLB
1659657600,1.52,1.55,1.5999,1.455,ok,80069.0,OLB
1659916800,1.57,1.62,1.68,1.53,ok,234120.0,OLB
1660003200,1.62,1.57,1.67,1.55,ok,101160.0,OLB
1660089600,1.58,1.61,1.6236,1.5,ok,81116.0,OLB
1660176000,1.66,1.68,1.68,1.58,ok,127047.0,OLB
1660262400,1.74,1.67,1.74,1.6,ok,60767.0,OLB
1660521600,1.66,1.64,1.69,1.58,ok,112604.0,OLB
1660608000,1.6,1.45,1.6129,1.42,ok,125028.0,OLB
1660694400,1.4201,1.36,1.4368,1.32,ok,69647.0,OLB
1660780800,1.34,1.38,1.43,1.33,ok,48568.0,OLB
1660867200,1.38,1.2,1.38,1.2,ok,100975.0,OLB
1661126400,1.16,1.13,1.18,1.07,ok,103839.0,OLB
1661212800,1.05,1.12,1.2016,1.05,ok,231559.0,OLB
1661299200,1.12,1.125,1.1699,1.1,ok,44702.0,OLB
1661385600,1.11,1.21,1.22,1.11,ok,183993.0,OLB
1661472000,1.29,1.69,2.03,1.29,ok,38380303.0,OLB
1661731200,2.44,2.0,2.5,1.93,ok,51565908.0,OLB
1661817600,1.74,1.5,1.76,1.48,ok,3781737.0,OLB
1661904000,1.51,1.58,1.605,1.4,ok,1186496.0,OLB
1661990400,1.48,1.48,1.4982,1.34,ok,491786.0,OLB
1662076800,1.49,1.36,1.49,1.35,ok,177171.0,OLB
1662422400,1.34,1.4,1.43,1.28,ok,211402.0,OLB
1662508800,1.36,1.42,1.47,1.3301,ok,83113.0,OLB
1662595200,1.42,1.54,1.58,1.41,ok,328072.0,OLB
1662681600,1.55,1.49,1.58,1.46,ok,172171.0,OLB
1662940800,1.48,1.52,1.56,1.48,ok,120940.0,OLB
1663027200,1.52,1.41,1.52,1.38,ok,140917.0,OLB
1663113600,1.4,1.38,1.41,1.35,ok,83346.0,OLB
1663200000,1.39,1.44,1.4663,1.3565,ok,66891.0,OLB
1663286400,1.45,1.36,1.48,1.36,ok,62153.0,OLB
1663545600,1.38,1.29,1.4,1.29,ok,43320.0,OLB
1663632000,1.27,1.27,1.28,1.25,ok,39715.0,OLB
1663718400,1.28,1.18,1.3,1.16,ok,97032.0,OLB
1663804800,1.18,1.08,1.1899,1.07,ok,136344.0,OLB
1663891200,1.05,1.06,1.07,0.9598,ok,233613.0,OLB
1664150400,1.01,1.08,1.1325,1.01,ok,77831.0,OLB
1664236800,1.11,1.08,1.12,1.045,ok,85516.0,OLB
1664323200,1.06,1.11,1.14,1.0356,ok,63631.0,OLB
1664409600,1.09,1.04,1.1,1.03,ok,42668.0,OLB
1664496000,1.02,1.06,1.1,1.01,ok,48323.0,OLB
1664755200,1.1,1.12,1.13,1.0406,ok,26901.0,OLB
1664841600,1.12,1.19,1.2,1.12,ok,58922.0,OLB
1664928000,1.2,1.14,1.2,1.0901,ok,17020.0,OLB
1665014400,1.1,1.07,1.13,1.07,ok,31253.0,OLB
1665100800,1.0612,1.04,1.1,1.04,ok,23517.0,OLB
1665360000,1.04,1.07,1.08,1.0018,ok,41308.0,OLB
1665446400,1.08,1.04,1.08,1.0,ok,32135.0,OLB
1665532800,1.07,1.05,1.0833,1.007,ok,49615.0,OLB
1665619200,1.02,1.04,1.05,1.0,ok,22521.0,OLB
1665705600,1.04,1.0,1.0405,1.0,ok,40429.0,OLB
1665964800,1.06,1.02,1.06,0.99,ok,38298.0,OLB
1666051200,1.04,0.961,1.06,0.94,ok,81756.0,OLB
1666137600,0.98,0.9502,1.0151,0.95,ok,51671.0,OLB
1666224000,0.987,0.9595,1.02,0.954,ok,16890.0,OLB
1666310400,0.96,0.99,0.9976,0.94,ok,37826.0,OLB
1666569600,0.96,0.925,0.9801,0.91,ok,30747.0,OLB
1666656000,0.92,0.9899,0.9999,0.92,ok,25807.0,OLB
1666742400,0.9898,1.07,1.22,0.9801,ok,370024.0,OLB
1666828800,1.04,1.06,1.1099,1.0201,ok,48577.0,OLB
1666915200,1.03,1.055,1.07,1.0,ok,28451.0,OLB
1667174400,1.02,1.05,1.07,1.0,ok,30069.0,OLB
1667260800,1.04,1.01,1.04,1.0,ok,31892.0,OLB
1667347200,1.01,0.9925,1.0298,0.941,ok,74927.0,OLB
1667433600,1.01,0.9341,1.01,0.9327,ok,28569.0,OLB
1667520000,0.9401,0.946,0.9975,0.9238,ok,45767.0,OLB
1667779200,1.0002,0.942,1.0002,0.89,ok,59928.0,OLB
1667865600,0.945,0.9117,0.9972,0.8443,ok,115465.0,OLB
1667952000,0.89,0.9001,0.9054,0.8301,ok,95396.0,OLB
1668038400,0.9107,0.9199,0.9373,0.8567,ok,22455.0,OLB
1668124800,0.9,0.92,0.9213,0.86,ok,28645.0,OLB
1668384000,0.92,0.89,0.9377,0.89,ok,47002.0,OLB
1668470400,0.88,0.91,0.95,0.88,ok,42629.0,OLB
1668556800,0.98,0.891,0.98,0.8752,ok,50279.0,OLB
1668643200,0.8911,0.88,0.9108,0.86,ok,54221.0,OLB
1668729600,0.87,0.92,0.98,0.8474,ok,70700.0,OLB
1668988800,0.9024,0.85,0.9024,0.85,ok,36820.0,OLB
1669075200,0.8608,0.8506,0.8999,0.84,ok,34017.0,OLB
1669161600,0.8499,0.82,0.8499,0.82,ok,47434.0,OLB
1669334400,0.825,0.83,0.85,0.7903,ok,38489.0,OLB
1669593600,0.83,0.85,0.89,0.8016,ok,135504.0,OLB
1669680000,0.8245,0.8089,0.846,0.8,ok,46641.0,OLB
1669766400,0.84,0.8285,0.8599,0.7981,ok,75739.0,OLB
1669852800,0.84,0.8244,0.8699,0.8,ok,17125.0,OLB
1669939200,0.81,0.85,0.869,0.81,ok,114174.0,OLB
1670198400,0.86,0.83,0.87,0.8181,ok,27748.0,OLB
1670284800,0.824,0.79,0.8989,0.7073,ok,158846.0,OLB
1670371200,0.8166,0.8601,0.87,0.74,ok,94072.0,OLB
1670457600,0.86,0.8651,0.869,0.7901,ok,38564.0,OLB
1670544000,0.8651,0.7824,0.8651,0.76,ok,91353.0,OLB
1670803200,0.78,0.844,0.8599,0.78,ok,79680.0,OLB
1670889600,0.844,0.9052,0.9335,0.8,ok,76704.0,OLB
1670976000,0.92,0.9401,0.963,0.9,ok,93614.0,OLB
1671062400,0.9345,0.8815,0.9345,0.8502,ok,22559.0,OLB
1671148800,0.87,0.91,0.94,0.85,ok,57030.0,OLB
1671408000,0.8636,0.82,0.903,0.8156,ok,26328.0,OLB
1671494400,0.8,0.8202,0.88,0.8,ok,43030.0,OLB
