t,o,c,h,l,s,v,Ticker,RSI
1652140800,2.12,1.99,2.26,1.99,ok,308693.0,PALT,
1652227200,2.0,1.94,2.08,1.76,ok,343278.0,PALT,
1652313600,1.94,2.01,2.01,1.8806,ok,39543.0,PALT,
1652400000,2.02,2.4,2.44,2.0,ok,215436.0,PALT,
1652659200,2.4,2.26,2.58,2.17,ok,328907.0,PALT,
1652745600,2.21,2.25,2.41,2.19,ok,93308.0,PALT,
1652832000,2.21,2.04,2.27,2.01,ok,38003.0,PALT,
1652918400,2.04,2.17,2.27,2.04,ok,224741.0,PALT,
1653004800,2.16,1.97,2.16,1.92,ok,139836.0,PALT,
1653264000,1.97,2.24,2.27,1.96,ok,185314.0,PALT,
1653350400,2.31,2.19,2.52,2.145,ok,775241.0,PALT,
1653436800,2.1291,2.06,2.38,2.02,ok,282352.0,PALT,
1653523200,2.04,2.01,2.17,1.995,ok,104241.0,PALT,
1653609600,2.02,2.05,2.18,2.01,ok,161286.0,PALT,51.72413793103448
1653955200,2.05,2.03,2.1,1.99,ok,33045.0,PALT,51.13636363636364
1654041600,2.087,1.94,2.0994,1.91,ok,139490.0,PALT,50.0
1654128000,1.95,1.97,2.05,1.91,ok,79497.0,PALT,48.86363636363637
1654214400,1.95,2.02,2.04,1.92,ok,51303.0,PALT,36.61971830985916
1654473600,2.03,1.97,2.05,1.93,ok,40860.0,PALT,39.09774436090226
1654560000,2.0078,2.03,2.12,1.99,ok,54854.0,PALT,42.028985507246375
1654646400,2.05,1.93,2.0699,1.885,ok,100819.0,PALT,45.66929133858267
1654732800,1.8884,1.945,2.0,1.882,ok,1263638.0,PALT,40.25974025974027
1654819200,2.35,2.23,2.46,2.02,ok,17709469.0,PALT,60.48387096774193
1655078400,2.0,2.12,2.32,1.995,ok,789588.0,PALT,44.444444444444436
1655164800,2.01,2.05,2.15,1.9701,ok,284165.0,PALT,43.636363636363626
1655251200,2.09,2.07,2.15,2.0004,ok,205009.0,PALT,50.50505050505049
1655337600,2.0,2.04,2.08,1.98,ok,129328.0,PALT,51.54639175257734
1655424000,2.02,2.06,2.24,2.005,ok,726683.0,PALT,50.5263157894737
1655769600,2.09,2.03,2.19,2.0,ok,301865.0,PALT,50.0
1655856000,1.95,2.05,2.05,1.95,ok,130611.0,PALT,56.17977528089887
1655942400,2.05,2.03,2.05,1.98,ok,71634.0,PALT,53.40909090909089
1656028800,2.0799,2.08,2.09,2.04,ok,69575.0,PALT,53.409090909090914
1656288000,2.09,2.08,2.14,2.03,ok,133976.0,PALT,56.62650602409639
1656374400,2.06,2.04,2.33,2.03,ok,740464.0,PALT,50.61728395061729
1656460800,2.06,2.07,2.15,2.04,ok,67641.0,PALT,59.459459459459445
1656547200,2.02,1.98,2.11,1.95,ok,246873.0,PALT,52.14723926380368
1656633600,2.0074,1.95,2.0499,1.89,ok,121332.0,PALT,25.000000000000014
1656979200,1.91,2.01,2.05,1.91,ok,42401.0,PALT,39.215686274509785
1657065600,1.9401,1.98,2.01,1.94,ok,15608.0,PALT,42.553191489361716
1657152000,1.92,2.03,2.08,1.92,ok,67288.0,PALT,45.99999999999999
1657238400,2.015,2.04,2.06,2.0001,ok,51365.0,PALT,50.0
1657497600,2.04,1.97,2.15,1.96,ok,258716.0,PALT,41.50943396226415
1657584000,1.97,2.05,2.06,1.97,ok,34159.0,PALT,51.72413793103448
1657670400,2.0198,2.05,2.06,1.98,ok,40804.0,PALT,50.0
1657756800,2.0,2.04,2.15,1.9938,ok,79948.0,PALT,50.909090909090935
1657843200,2.0415,2.04,2.09,1.98,ok,26426.0,PALT,45.99999999999999
1658102400,1.99,2.11,2.14,1.99,ok,81631.0,PALT,52.63157894736841
1658188800,2.0922,2.05,2.1,2.01,ok,44621.0,PALT,50.84745762711862
1658275200,2.0401,2.03,2.07,2.02,ok,27080.0,PALT,46.55172413793103
1658361600,2.03,2.09,2.19,1.99,ok,381494.0,PALT,60.0
1658448000,2.12,2.05,2.14,2.0101,ok,93777.0,PALT,58.92857142857143
1658707200,2.02,2.03,2.15,2.01,ok,349649.0,PALT,51.92307692307693
1658793600,2.03,1.8,2.06,1.8,ok,290657.0,PALT,37.49999999999999
1658880000,1.8,1.84,1.91,1.8,ok,98903.0,PALT,36.61971830985916
1658966400,1.8737,1.86,1.93,1.76,ok,67565.0,PALT,37.49999999999999
1659052800,1.88,1.91,2.03,1.83,ok,407299.0,PALT,45.71428571428571
1659312000,1.83,1.9001,1.99,1.83,ok,441171.0,PALT,38.10128591839974
1659398400,1.94,1.81,1.99,1.79,ok,490884.0,PALT,33.33333333333333
1659484800,1.86,1.88,1.98,1.82,ok,291937.0,PALT,39.74358974358972
1659571200,1.94,1.93,1.99,1.8556,ok,92533.0,PALT,43.37349397590361
1659657600,1.88,1.9,1.94,1.8556,ok,64785.0,PALT,36.708860759493675
1659916800,1.9,1.81,1.95,1.8,ok,274394.0,PALT,35.365853658536594
1660003200,1.8,1.81,2.05,1.63,ok,1275676.0,PALT,36.25000000000001
1660089600,1.8,1.75,1.94,1.74,ok,180249.0,PALT,28.75
1660176000,1.72,1.69,1.86,1.69,ok,490579.0,PALT,28.048780487804876
1660262400,1.71,1.75,1.81,1.71,ok,117634.0,PALT,33.720930232558146
1660521600,1.775,1.75,1.8,1.75,ok,51610.0,PALT,46.031746031746025
1660608000,1.76,1.75,1.78,1.73,ok,200150.0,PALT,42.37288135593219
1660694400,1.72,1.75,1.78,1.72,ok,285566.0,PALT,40.350877192982445
1660780800,1.75,1.75,1.89,1.74,ok,186509.0,PALT,34.61538461538463
1660867200,1.72,1.78,1.8,1.72,ok,77833.0,PALT,38.8816885761896
1661126400,1.78,1.77,1.84,1.75,ok,21800.0,PALT,45.65217391304348
1661212800,1.78,1.8,1.84,1.75,ok,63964.0,PALT,40.476190476190496
1661299200,1.77,1.73,1.81,1.73,ok,120476.0,PALT,27.27272727272728
1661385600,1.76,1.77,1.77,1.73,ok,32746.0,PALT,35.55555555555557
1661472000,1.79,1.8,1.83,1.76,ok,90128.0,PALT,48.717948717948715
1661731200,1.8,1.75,1.83,1.75,ok,24879.0,PALT,43.18181818181818
1661817600,1.7752,1.76,1.79,1.75,ok,36084.0,PALT,51.282051282051285
1661904000,1.77,1.78,1.93,1.765,ok,260585.0,PALT,62.85714285714286
1661990400,1.7798,1.7499,1.8199,1.7,ok,113756.0,PALT,49.9843798812871
1662076800,1.72,1.65,1.78,1.6394,ok,230790.0,PALT,38.095238095238095
1662422400,1.7,1.68,1.7,1.6383,ok,12561.0,PALT,42.22222222222222
1662508800,1.68,1.7,1.7,1.63,ok,8688.0,PALT,44.68085106382978
1662595200,1.68,1.69,1.69,1.61,ok,29838.0,PALT,43.75
1662681600,1.7,1.71,1.74,1.67,ok,50449.0,PALT,42.55319148936171
1662940800,1.67,1.67,1.72,1.66,ok,26370.0,PALT,40.0
1663027200,1.675,1.71,1.73,1.67,ok,21573.0,PALT,41.1764705882353
1663113600,1.7,1.68,1.755,1.68,ok,44123.0,PALT,44.68085106382978
1663200000,1.697,1.7,1.7409,1.697,ok,5880.0,PALT,42.22222222222222
1663286400,1.7143,1.64,1.73,1.64,ok,71400.0,PALT,33.33333333333333
1663545600,1.67,1.59,1.67,1.57,ok,21037.0,PALT,33.33333333333336
1663632000,1.6,1.55,1.63,1.55,ok,9157.0,PALT,29.411764705882362
1663718400,1.53,1.55,1.62,1.53,ok,94582.0,PALT,26.53061224489798
1663804800,1.55,1.52,1.5742,1.5,ok,31870.0,PALT,26.53602776076751
1663891200,1.5,1.42,1.5,1.42,ok,12321.0,PALT,26.53061224489798
1664150400,1.49,1.55,1.61,1.45,ok,77268.0,PALT,38.98305084745764
1664236800,1.5201,1.525,1.5899,1.5,ok,11525.0,PALT,35.294117647058826
1664323200,1.5296,1.55,1.58,1.5296,ok,6066.0,PALT,38.52459016393444
1664409600,1.53,1.58,1.59,1.4741,ok,16097.0,PALT,39.51612903225808
1664496000,1.585,1.51,1.585,1.5,ok,50125.0,PALT,37.69230769230771
1664755200,1.545,1.53,1.545,1.5,ok,5820.0,PALT,35.71428571428574
1664841600,1.5898,1.55,1.74,1.51,ok,624644.0,PALT,39.51612903225808
1664928000,1.53,1.43,1.5699,1.41,ok,161988.0,PALT,31.25000000000003
1665014400,1.45,1.49,1.51,1.43,ok,30674.0,PALT,39.58333333333335
1665100800,1.49,1.44,1.49,1.43,ok,38699.0,PALT,39.58333333333334
1665360000,1.485,1.455,1.485,1.44,ok,24382.0,PALT,43.165467625899296
1665446400,1.455,1.4,1.4689,1.35,ok,98273.0,PALT,40.00000000000001
1665532800,1.37,1.43,1.53,1.37,ok,38861.0,PALT,44.0
1665619200,1.43,1.4,1.52,1.4,ok,123121.0,PALT,48.529411764705884
1665705600,1.4105,1.43,1.49,1.41,ok,56558.0,PALT,39.65517241379312
1665964800,1.42,1.45,1.52,1.42,ok,62176.0,PALT,43.47826086956523
1666051200,1.4706,1.49,1.54,1.46,ok,48196.0,PALT,44.91525423728814
1666137600,1.5,1.47,1.5339,1.47,ok,18059.0,PALT,40.517241379310356
1666224000,1.48,1.51,1.53,1.48,ok,15268.0,PALT,50.0
1666310400,1.5,1.48,1.53,1.46,ok,27772.0,PALT,45.535714285714285
1666569600,1.45,1.5,1.52,1.45,ok,25454.0,PALT,45.535714285714285
1666656000,1.52,1.46,1.53,1.45,ok,61865.0,PALT,53.125
1666742400,1.5022,1.49,1.52,1.49,ok,22169.0,PALT,50.0
1666828800,1.48,1.51,1.52,1.48,ok,14819.0,PALT,58.33333333333332
1666915200,1.49,1.5,1.52,1.49,ok,7979.0,PALT,55.42168674698793
1667174400,1.5,1.46,1.52,1.46,ok,8591.0,PALT,57.49999999999999
1667260800,1.5,1.48,1.55,1.47,ok,94500.0,PALT,56.41025641025641
1667347200,1.505,1.48,1.56,1.47,ok,99063.0,PALT,61.111111111111114
1667433600,1.46,1.51,1.55,1.46,ok,31433.0,PALT,61.111111111111114
1667520000,1.5078,1.53,1.54,1.4985,ok,12778.0,PALT,61.111111111111114
1667779200,1.51,1.45,1.55,1.45,ok,61695.0,PALT,45.0
1667865600,1.41,1.46,1.53,1.39,ok,197177.0,PALT,48.717948717948715
1667952000,1.4519,1.5,1.52,1.42,ok,21747.0,PALT,48.717948717948715
1668038400,1.5031,1.53,1.55,1.5031,ok,13416.0,PALT,56.41025641025641
1668124800,1.5284,1.56,1.64,1.5052,ok,87631.0,PALT,57.49999999999999
1668384000,1.55,1.56,1.58,1.54,ok,5382.0,PALT,63.888888888888886
1668470400,1.5,1.54,1.57,1.4905,ok,7028.0,PALT,57.142857142857146
1668556800,1.535,1.49,1.55,1.44,ok,115999.0,PALT,47.368421052631575
1668643200,1.6,1.73,1.75,1.58,ok,116661.0,PALT,68.85245901639342
1668729600,1.76,1.58,1.93,1.46,ok,876934.0,PALT,58.33333333333334
1668988800,1.56,1.5,1.63,1.49,ok,50492.0,PALT,51.28205128205128
1669075200,1.4938,1.51,1.58,1.49,ok,38212.0,PALT,51.89873417721519
1669161600,1.5008,1.4515,1.53,1.4466,ok,57243.0,PALT,46.42638973732438
1669334400,1.42,1.48,1.52,1.42,ok,12756.0,PALT,46.977025392986704
1669593600,1.48,1.48,1.51,1.48,ok,3054.0,PALT,52.00803212851405
1669680000,1.48,1.49,1.53,1.48,ok,29857.0,PALT,52.00803212851405
1669766400,1.52,1.52,1.5299,1.5,ok,10342.0,PALT,51.356852103120765
1669852800,1.5,1.51,1.5407,1.48,ok,13323.0,PALT,48.60529986052998
1669939200,1.52,1.51,1.54,1.51,ok,23885.0,PALT,46.360989810771464
1670198400,1.5,1.5,1.5499,1.5,ok,5360.0,PALT,45.69583931133428
1670284800,1.5004,1.5193,1.52,1.5,ok,7104.0,PALT,48.51357173632056
1670371200,1.5188,1.51,1.52,1.5,ok,14847.0,PALT,51.525320317266626
1670457600,1.5,1.5146,1.5146,1.5,ok,6257.0,PALT,24.36934792955735
1670544000,1.5155,1.52,1.58,1.5019,ok,47791.0,PALT,39.11465892597968
1670803200,1.53,1.52,1.54,1.51,ok,30817.0,PALT,55.11247443762781
1670889600,1.51,1.51,1.53,1.502,ok,28047.0,PALT,50.0
1670976000,1.51,1.51,1.5219,1.51,ok,3339.0,PALT,71.33479212253826
1671062400,1.5,1.54,1.54,1.5,ok,19763.0,PALT,71.64502164502161
1671148800,1.52,1.54,1.54,1.51,ok,5529.0,PALT,71.64502164502161
1671408000,1.51,1.5101,1.52,1.505,ok,27496.0,PALT,56.34069400630914
1671494400,1.5001,1.5,1.5206,1.5,ok,4078.0,PALT,42.784992784992795
1671580800,1.52,1.51,1.64,1.51,ok,41437.0,PALT,50.0
1671667200,1.52,1.53,1.53,1.48,ok,34111.0,PALT,56.305170239596464
1671753600,1.49,1.48,1.51,1.48,ok,15065.0,PALT,44.96475327291038
1672099200,1.47,1.43,1.47,1.42,ok,59775.0,PALT,30.527692978630597
1672185600,1.37,1.43,1.47,1.37,ok,20438.0,PALT,31.818181818181827
1672272000,1.43,1.3818,1.43,1.38,ok,33652.0,PALT,24.810318664643432
1672358400,1.3127,1.32,1.38,1.31,ok,57687.0,PALT,18.75
1672704000,1.31,1.4,1.415,1.28,ok,151278.0,PALT,34.999999999999986
1672790400,1.38,1.49,1.5001,1.37,ok,87380.0,PALT,47.916666666666664
1672876800,1.41,1.4932,1.56,1.41,ok,31251.0,PALT,48.26158940397352
1672963200,1.46,1.56,1.64,1.44,ok,41688.0,PALT,51.92307692307693
1673222400,1.49,1.64,1.64,1.49,ok,16526.0,PALT,58.33333333333332
1673308800,1.61,1.6801,1.7599,1.5309,ok,24406.0,PALT,63.929859062602425
1673395200,1.65,1.8,1.89,1.62,ok,40888.0,PALT,70.83333333333334
1673481600,1.9,2.08,2.115,1.8725,ok,61886.0,PALT,78.7878787878788
1673568000,2.13,2.2,2.3324,2.12,ok,75049.0,PALT,80.73394495412845
1673913600,2.21,2.37,2.38,2.21,ok,60480.0,PALT,86.77685950413223
1674000000,2.39,2.32,2.4,2.28,ok,29719.0,PALT,86.77685950413222
1674086400,2.35,2.36,2.44,2.32,ok,42513.0,PALT,87.19999999999999
1674172800,2.44,2.59,2.6,2.36,ok,85266.0,PALT,92.1916468780556
1674432000,2.59,2.99,3.16,2.59,ok,233140.0,PALT,97.17514124293784
1674518400,2.98,3.08,3.4,2.66,ok,940198.0,PALT,97.19101123595505
1674604800,3.29,3.43,3.46,2.73,ok,387639.0,PALT,97.54901960784312
1674691200,3.44,3.56,3.76,3.16,ok,848236.0,PALT,97.69244969540335
1674777600,3.66,3.89,4.0,3.55,ok,830806.0,PALT,97.94238683127571
1675036800,3.99,4.05,4.14,3.74,ok,977457.0,PALT,98.00796812749003
1675123200,3.99,4.2,4.43,3.9,ok,1129393.0,PALT,98.09153021107674
1675209600,4.39,4.25,4.6,4.11,ok,1196243.0,PALT,98.0392156862745
1675296000,4.28,3.8,4.48,3.58,ok,1168511.0,PALT,81.61764705882351
1675382400,3.78,3.635,3.9,3.53,ok,350438.0,PALT,75.94936708860757
1675641600,3.69,4.09,4.25,3.69,ok,697100.0,PALT,78.1967213114754
1675728000,4.08,3.81,4.37,3.77,ok,709314.0,PALT,72.71341463414635
1675814400,3.74,3.16,3.86,3.11,ok,734045.0,PALT,60.282776349614394
1675900800,3.17,2.945,3.32,2.945,ok,205993.0,PALT,54.58064516129032
1675987200,2.93,3.21,3.28,2.85,ok,152971.0,PALT,52.94117647058823
1676246400,3.25,3.09,3.63,3.05,ok,515259.0,PALT,50.132625994694955
1676332800,3.05,3.065,3.33,3.05,ok,387329.0,PALT,44.70246734397677
1676419200,3.04,3.12,3.22,3.0131,ok,355383.0,PALT,43.47181008902078
1676505600,3.1,3.09,3.24,3.07,ok,187582.0,PALT,36.97068403908794
1676592000,3.07,3.53,3.64,3.07,ok,503164.0,PALT,42.23880597014925
1676937600,3.46,3.78,4.1,3.45,ok,754141.0,PALT,43.91304347826087
1677024000,3.9,3.34,4.27,3.282,ok,850850.0,PALT,38.151041666666664
1677110400,3.46,3.37,3.65,3.31,ok,369669.0,PALT,43.71345029239767
1677196800,3.4,3.55,3.78,2.87,ok,1394495.0,PALT,48.7627365356623
1677456000,3.58,3.55,3.99,3.505,ok,956295.0,PALT,40.939597315436245
1677542400,3.6,2.64,3.71,2.584,ok,974431.0,PALT,33.7950138504155
1677628800,2.61,2.2,2.709,2.18,ok,396584.0,PALT,35.882352941176464
1677715200,2.257,1.87,2.36,1.84,ok,558500.0,PALT,34.708392603129454
1677801600,1.83,1.88,2.06,1.75,ok,298944.0,PALT,29.601226993865026
1678060800,1.84,1.67,1.91,1.66,ok,391654.0,PALT,28.80597014925374
1678147200,1.7,1.69,1.72,1.63,ok,59543.0,PALT,29.44693572496263
1678233600,1.7,1.68,1.81,1.65,ok,261211.0,PALT,28.181818181818173
1678320000,1.67,1.6,1.8165,1.56,ok,160649.0,PALT,27.761194029850742
1678406400,1.52,1.6,1.62,1.5,ok,294204.0,PALT,16.838487972508588
1678665600,1.58,1.48,1.7,1.48,ok,191342.0,PALT,8.633093525179845
