t,o,c,h,l,s,v,Ticker
1652140800,12.27,11.96,12.75,11.16,ok,157519.0,PFSW
1652227200,11.9,11.95,12.12,10.89,ok,125872.0,PFSW
1652313600,11.88,12.34,12.35,11.76,ok,159451.0,PFSW
1652400000,12.43,12.56,12.61,12.26,ok,171062.0,PFSW
1652659200,12.61,12.6,12.71,12.34,ok,116775.0,PFSW
1652745600,12.71,12.75,13.19,12.53,ok,166569.0,PFSW
1652832000,12.71,12.6,12.845,12.3,ok,75438.0,PFSW
1652918400,12.42,12.51,12.61,12.095,ok,101313.0,PFSW
1653004800,12.39,12.5,12.61,12.28,ok,82539.0,PFSW
1653264000,12.32,12.48,12.57,12.3,ok,64951.0,PFSW
1653350400,12.46,12.25,12.46,12.16,ok,91966.0,PFSW
1653436800,12.36,12.43,12.55,12.22,ok,55370.0,PFSW
1653523200,12.47,12.55,12.65,12.23,ok,69986.0,PFSW
1653609600,12.54,12.67,12.95,12.42,ok,82152.0,PFSW
1653955200,12.75,12.93,13.0,12.7,ok,151868.0,PFSW
1654041600,12.81,12.87,13.08,12.52,ok,193140.0,PFSW
1654128000,12.84,12.88,13.01,12.62,ok,94555.0,PFSW
1654214400,12.89,12.95,13.0,12.71,ok,81165.0,PFSW
1654473600,13.05,12.94,13.1,12.75,ok,131716.0,PFSW
1654560000,12.84,12.38,12.9,12.38,ok,158510.0,PFSW
1654646400,12.6,12.72,12.73,12.28,ok,125183.0,PFSW
1654732800,12.61,12.2,12.79,12.16,ok,132731.0,PFSW
1654819200,12.09,12.22,12.34,12.04,ok,70495.0,PFSW
1655078400,12.18,11.67,12.22,10.96,ok,182556.0,PFSW
1655164800,11.22,12.06,12.21,11.21,ok,190395.0,PFSW
1655251200,11.95,12.4,12.49,11.87,ok,127054.0,PFSW
1655337600,12.35,12.0,12.36,11.9,ok,201217.0,PFSW
1655424000,12.01,12.23,12.37,11.98,ok,117988.0,PFSW
1655769600,12.35,12.2,12.59,12.2,ok,198049.0,PFSW
1655856000,12.13,12.07,12.32,12.0,ok,144842.0,PFSW
1655942400,12.15,12.0,12.3,11.98,ok,129664.0,PFSW
1656028800,12.13,11.69,12.27,11.67,ok,2481646.0,PFSW
1656288000,11.84,11.83,12.21,11.65,ok,293964.0,PFSW
1656374400,11.89,11.77,12.2,11.75,ok,163985.0,PFSW
1656460800,11.9,11.81,11.92,11.45,ok,140170.0,PFSW
1656547200,11.83,11.76,11.83,11.59,ok,249320.0,PFSW
1656633600,11.7,11.78,11.84,11.65,ok,101200.0,PFSW
1656979200,11.64,11.74,11.89,11.45,ok,189165.0,PFSW
1657065600,11.7,11.58,11.72,11.5,ok,100016.0,PFSW
1657152000,11.56,11.59,11.73,11.56,ok,98599.0,PFSW
1657238400,11.57,11.73,11.83,11.405,ok,68219.0,PFSW
1657497600,11.71,11.67,11.84,11.51,ok,43364.0,PFSW
1657584000,11.66,11.57,11.7,11.46,ok,58475.0,PFSW
1657670400,11.55,11.51,11.64,11.3,ok,88389.0,PFSW
1657756800,11.38,10.99,11.53,10.91,ok,129738.0,PFSW
1657843200,11.14,11.01,11.31,10.92,ok,97242.0,PFSW
1658102400,11.02,10.75,11.09,10.695,ok,78305.0,PFSW
1658188800,10.99,10.89,11.19,10.82,ok,123625.0,PFSW
1658275200,10.94,10.95,11.22,10.51,ok,72870.0,PFSW
1658361600,10.86,11.07,11.14,10.6,ok,87183.0,PFSW
1658448000,11.13,10.88,11.35,10.84,ok,58149.0,PFSW
1658707200,10.87,10.88,11.03,10.8656,ok,49170.0,PFSW
1658793600,10.81,10.77,10.91,10.73,ok,29834.0,PFSW
1658880000,10.73,10.91,10.97,10.605,ok,55616.0,PFSW
1658966400,10.9217,10.92,11.0,10.83,ok,36314.0,PFSW
1659052800,10.85,10.91,10.97,10.77,ok,61546.0,PFSW
1659312000,10.82,11.03,11.12,10.72,ok,55870.0,PFSW
1659398400,11.04,11.2,11.38,11.03,ok,38748.0,PFSW
1659484800,11.27,11.34,11.54,10.81,ok,247734.0,PFSW
1659571200,11.31,11.29,11.475,11.27,ok,46464.0,PFSW
1659657600,11.13,11.01,11.2,10.98,ok,52910.0,PFSW
1659916800,11.06,10.85,11.19,10.77,ok,59669.0,PFSW
1660003200,10.65,11.06,11.3,10.65,ok,59172.0,PFSW
1660089600,11.11,10.92,11.22,10.88,ok,26287.0,PFSW
1660176000,11.02,10.7,11.02,10.62,ok,34463.0,PFSW
1660262400,10.6299,10.57,10.78,10.54,ok,99256.0,PFSW
1660521600,10.52,10.53,10.61,10.45,ok,42270.0,PFSW
1660608000,10.56,10.49,10.63,10.41,ok,97540.0,PFSW
1660694400,10.39,10.42,10.4699,10.35,ok,32911.0,PFSW
1660780800,10.43,10.49,10.575,10.35,ok,30309.0,PFSW
1660867200,10.45,10.52,10.58,10.425,ok,40419.0,PFSW
1661126400,10.5,10.29,10.5,10.25,ok,32524.0,PFSW
1661212800,10.35,10.06,10.455,9.91,ok,58840.0,PFSW
1661299200,10.11,10.02,10.12,9.96,ok,38041.0,PFSW
1661385600,10.13,10.01,10.22,9.96,ok,25727.0,PFSW
