t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP
1652140800,5.8953,6.3,7.26,5.8953,ok,188659.0,PRTG,,6.4851,1223472.4809,188659.0,6.4851
1652227200,6.35,5.66,6.68,5.35,ok,71587.0,PRTG,,5.896666666666666,422124.6766666666,260246.0,1.6220217665849488
1652313600,5.53,6.0,6.06,5.53,ok,23475.0,PRTG,,5.863333333333333,137641.75,283721.0,0.4851306389023019
1652400000,6.0,6.2,6.55,5.905,ok,37320.0,PRTG,,6.218333333333334,232068.2,321041.0,0.7228615659682097
1652659200,6.49,6.03,6.49,5.87,ok,12659.0,PRTG,,6.13,77599.67,333700.0,0.2325432124662871
1652745600,6.25,6.43,6.58,6.15,ok,24691.0,PRTG,,6.386666666666667,157693.18666666668,358391.0,0.44000319948510613
1652832000,6.26,6.53,6.8,6.23,ok,24818.0,PRTG,,6.5200000000000005,161813.36000000002,383209.0,0.42225876740890744
1652918400,6.55,6.62,6.99,6.43,ok,28520.0,PRTG,,6.68,190513.6,411729.0,0.46271600980256433
1653004800,6.9,8.14,8.63,6.77,ok,61219.0,PRTG,,7.846666666666667,480365.08666666667,472948.0,1.0156826684258453
1653264000,8.05,8.77,9.7,8.05,ok,127482.0,PRTG,,8.84,1126940.88,600430.0,1.8768896957180685
1653350400,8.52,7.38,8.65,7.11,ok,77464.0,PRTG,,7.713333333333334,597505.6533333333,677894.0,0.8814145771069419
1653436800,7.22,8.18,8.75,7.22,ok,33335.0,PRTG,,8.049999999999999,268346.74999999994,711229.0,0.3773000679106166
1653523200,8.1,9.34,9.54,8.08,ok,42299.0,PRTG,,8.986666666666666,380127.0133333333,753528.0,0.504463023714226
1653609600,9.38,9.84,10.435,9.026,ok,41670.0,PRTG,72.29219143576827,9.767,406990.88999999996,795198.0,0.511810756566289
1653955200,9.6,10.0,10.5135,9.6,ok,30115.0,PRTG,72.8395061728395,10.037833333333333,302289.35083333333,825313.0,0.36627237282501707
1654041600,10.21,9.7,10.58,9.6,ok,26013.0,PRTG,76.03092783505154,9.959999999999999,259089.47999999998,851326.0,0.3043363881756225
1654128000,9.9029,9.59,10.0295,9.42,ok,14912.0,PRTG,73.83798140770253,9.679833333333333,144345.67466666666,866238.0,0.16663512183333756
1654214400,9.36,9.68,9.97,9.03,ok,31932.0,PRTG,73.45013477088949,9.56,305269.92000000004,898170.0,0.33987988910785266
1654473600,9.9,8.86,9.9,8.65,ok,28688.0,PRTG,67.53407682775712,9.136666666666667,262112.69333333333,926858.0,0.2827970339937006
1654560000,8.65,10.96,11.285,8.65,ok,70125.0,PRTG,73.18321392016377,10.298333333333334,722170.625,996983.0,0.7243560070733402
1654646400,10.93,11.07,11.45,10.53,ok,33694.0,PRTG,73.21063394683027,11.016666666666666,371195.56666666665,1030677.0,0.3601473271128265
1654732800,11.39,11.95,11.99,10.8,ok,47465.0,PRTG,75.21286660359507,11.579999999999998,549644.7,1078142.0,0.5098073352118737
1654819200,11.83,11.0,11.83,10.2501,ok,27867.0,PRTG,64.3,11.0267,307281.0489,1106009.0,0.27782870564344414
1655078400,11.0,11.73,11.81,10.01,ok,32407.0,PRTG,64.65346534653466,11.183333333333332,362418.28333333327,1138416.0,0.3183531181337343
1655164800,10.96,9.81,11.6899,9.56,ok,31316.0,PRTG,61.42991533396049,10.353299999999999,324223.94279999996,1169732.0,0.2771779713643809
1655251200,10.3906,8.93,10.3906,8.56,ok,39471.0,PRTG,53.50140056022409,9.293533333333334,366825.0542,1209203.0,0.3033610189521528
1655337600,8.93,8.33,8.93,8.2095,ok,30410.0,PRTG,45.02463054187192,8.489833333333332,258175.8316666666,1239613.0,0.2082713166663036
1655424000,8.2,7.46,8.605,7.36,ok,56396.0,PRTG,38.68821292775666,7.808333333333334,440358.76666666666,1296009.0,0.3397806393834199
1655769600,7.75,7.76,8.1,7.48,ok,52667.0,PRTG,39.49343339587242,7.78,409749.26,1348676.0,0.303815935035546
1655856000,7.6,7.19,7.935,7.05,ok,42445.0,PRTG,38.51784080512352,7.391666666666667,313739.2916666667,1391121.0,0.2255298364891815
1655942400,7.28,6.89,7.45,6.5,ok,46094.0,PRTG,37.85971223021583,6.946666666666666,320199.6533333333,1437215.0,0.22279175581477603
1656028800,7.02,6.7,7.51,6.01,ok,520598.0,PRTG,36.72014260249555,6.739999999999999,3508830.5199999996,1957813.0,1.7922194407739653
1656288000,6.56,7.57,7.67,6.51,ok,32246.0,PRTG,44.27684117125112,7.25,233783.5,1990059.0,0.11747566278185723
1656374400,7.45,7.01,7.69,7.01,ok,22020.0,PRTG,29.70195272353544,7.236666666666667,159351.40000000002,2012079.0,0.079197387378925
1656460800,7.02,7.29,7.61,7.02,ok,30775.0,PRTG,30.909090909090907,7.306666666666666,224862.66666666663,2042854.0,0.11007280337540844
1656547200,7.01,6.98,7.31,6.77,ok,39239.0,PRTG,23.365487674169344,7.02,275457.77999999997,2082093.0,0.13229849963474252
1656633600,7.05,7.09,7.32,6.96,ok,28681.0,PRTG,26.97290930506479,7.123333333333334,204304.32333333336,2110774.0,0.09679118812972558
1656979200,7.03,7.53,7.73,6.745,ok,38659.0,PRTG,24.390243902439025,7.335000000000001,283563.765,2149433.0,0.1319249146170176
1657065600,7.34,7.72,7.76,7.14,ok,26944.0,PRTG,33.848531684698614,7.539999999999999,203157.75999999998,2176377.0,0.09334676850564033
1657152000,7.6,7.61,7.99,7.3,ok,35666.0,PRTG,38.42105263157895,7.633333333333333,272250.4666666667,2212043.0,0.1230764802793918
1657238400,7.62,8.37,8.5,7.5468,ok,33314.0,PRTG,50.34129692832765,8.138933333333334,271140.4250666667,2245357.0,0.12075604238732045
1657497600,8.18,8.66,9.15,8.18,ok,34767.0,PRTG,61.36363636363637,8.663333333333332,301198.11,2280124.0,0.1320972499741242
1657584000,8.54,8.52,9.12,8.175,ok,18779.0,PRTG,57.421875,8.605,161593.295,2298903.0,0.07029148032779113
1657670400,8.56,9.0,9.11,8.52,ok,24360.0,PRTG,67.99204771371768,8.876666666666667,216235.6,2323263.0,0.09307409449554356
1657756800,8.66,8.9,9.2,8.65,ok,24755.0,PRTG,70.80745341614907,8.916666666666666,220732.0833333333,2348018.0,0.09400783270542785
1657843200,9.14,9.01,9.14,8.5,ok,12098.0,PRTG,74.31578947368422,8.883333333333333,107470.56666666667,2360116.0,0.04553613748928725
1658102400,8.99,9.1,9.4,8.6,ok,18085.0,PRTG,69.26952141057934,9.033333333333333,163367.83333333334,2378201.0,0.06869387126375498
1658188800,9.05,9.375,9.7201,8.78,ok,20353.0,PRTG,82.08955223880598,9.2917,189113.9701,2398554.0,0.07884499164913528
1658275200,9.26,9.95,11.065,9.26,ok,36114.0,PRTG,83.41708542713569,10.091666666666667,364450.45,2434668.0,0.1496920524687555
1658361600,10.0,9.85,10.18,9.68,ok,21178.0,PRTG,88.0636604774536,9.903333333333334,209732.79333333336,2455846.0,0.08540144346727496
1658448000,9.71,9.72,10.15,9.645,ok,19489.0,PRTG,84.69656992084437,9.838333333333333,191739.27833333332,2475335.0,0.07745993101270467
1658707200,9.2,9.5,9.9964,9.18,ok,15911.0,PRTG,77.59103641456585,9.5588,152090.0668,2491246.0,0.0610497986951108
1658793600,9.37,9.98,10.0,9.1446,ok,28183.0,PRTG,79.27461139896374,9.7082,273606.2006,2519429.0,0.10859849616718709
1658880000,9.95,10.09,10.4006,9.7932,ok,15580.0,PRTG,82.12435233160622,10.094600000000002,157273.86800000002,2535009.0,0.062040753306990236
1658966400,10.1,9.97,10.39,9.9,ok,12091.0,PRTG,74.84472049689444,10.086666666666666,121957.88666666666,2547100.0,0.04788107520971562
1659052800,9.97,10.12,10.12,9.97,ok,11052.0,PRTG,73.70129870129871,10.07,111293.64,2558152.0,0.04350548364600696
1659312000,10.48,10.12,10.5,9.87,ok,24328.0,PRTG,77.21088435374153,10.163333333333332,247253.5733333333,2582480.0,0.09574268661648233
1659398400,10.08,9.48,10.08,8.8442,ok,34230.0,PRTG,57.741935483871,9.468066666666667,324091.922,2616710.0,0.12385473438019498
1659484800,9.62,9.36,9.8116,9.2172,ok,10398.0,PRTG,57.37179487179487,9.462933333333334,98395.58080000001,2627108.0,0.03745395347279214
1659571200,9.5,9.43,9.91,9.3701,ok,20330.0,PRTG,56.81818181818182,9.570033333333333,194558.77766666666,2647438.0,0.07348945571781725
1659657600,9.6,9.26,9.6,9.26,ok,3767.0,PRTG,52.53164556962026,9.373333333333333,35309.346666666665,2651205.0,0.01331822573760485
1659916800,9.48,8.75,9.48,8.3588,ok,28854.0,PRTG,40.79528718703976,8.862933333333332,255731.07839999997,2680059.0,0.09541994351616885
1660003200,8.78,8.35,9.1284,8.3,ok,20335.0,PRTG,25.15527950310557,8.592799999999999,174734.58799999996,2700394.0,0.0647070716347318
1660089600,8.2,8.11,8.51,7.6326,ok,35922.0,PRTG,24.107142857142836,8.084200000000001,290400.63240000006,2736316.0,0.10612832450638013
1660176000,8.19,7.99,8.39,7.86,ok,8345.0,PRTG,24.179104477611915,8.08,67427.6,2744661.0,0.024566822642213375
1660262400,7.37,7.71,8.0048,7.37,ok,16912.0,PRTG,23.75366568914953,7.694933333333334,130136.71253333334,2761573.0,0.0471241254652089
1660521600,7.83,8.44,8.83,7.7464,ok,6998.0,PRTG,28.96174863387975,8.338799999999999,58354.922399999996,2768571.0,0.021077632612636624
1660608000,8.2,7.77,8.506,7.77,ok,10300.0,PRTG,22.51184834123221,8.015333333333333,82557.93333333332,2778871.0,0.029709163661549357
1660694400,7.73,8.11,8.15,7.7,ok,16337.0,PRTG,29.05405405405402,7.986666666666667,130478.17333333334,2795208.0,0.04667923579688286
1660780800,8.1,7.85,8.125,7.85,ok,1857.0,PRTG,25.05494505494505,7.941666666666666,14747.675,2797065.0,0.005272553551669339
1660867200,7.805,7.41,7.896,7.1343,ok,21851.0,PRTG,22.845691382765523,7.4801,163447.6651,2818916.0,0.057982453219606406
1661126400,7.5819,7.55,7.83,7.41,ok,10731.0,PRTG,28.507795100222708,7.596666666666667,81519.83,2829647.0,0.028809187153026508
1661212800,7.68,7.99,8.16,7.68,ok,2054.0,PRTG,35.75883575883576,7.9433333333333325,16315.606666666665,2831701.0,0.005761768868488115
1661299200,7.89,8.02,8.2458,7.6587,ok,7427.0,PRTG,35.22012578616351,7.974833333333333,59229.087166666664,2839128.0,0.020861717811478265
1661385600,8.0148,8.2,8.2,8.0,ok,6603.0,PRTG,38.91213389121338,8.133333333333333,53704.399999999994,2845731.0,0.018871917268357408
1661472000,8.0001,8.18,8.18,7.49,ok,11597.0,PRTG,43.35664335664335,7.95,92196.15000000001,2857328.0,0.032266561626806585
1661731200,7.61,7.95,8.58,7.48,ok,10714.0,PRTG,45.14563106796117,8.003333333333334,85747.71333333333,2868042.0,0.029897649104627246
1661817600,8.06,7.5,8.27,7.2,ok,10165.0,PRTG,42.956120092378754,7.656666666666666,77830.01666666666,2878207.0,0.027041146334042917
1661904000,8.06,7.71,8.17,7.2252,ok,7488.0,PRTG,46.83257918552036,7.701733333333333,57670.5792,2885695.0,0.019984987741254706
1661990400,7.84,7.78,8.11,7.44,ok,6850.0,PRTG,50.83135391923991,7.776666666666667,53270.16666666667,2892545.0,0.018416365749423663
1662076800,7.6501,8.69,8.91,7.6501,ok,24789.0,PRTG,52.8473804100228,8.416699999999999,208641.57629999996,2917334.0,0.07151789143786758
1662422400,8.7,9.0,9.7374,8.4,ok,37150.0,PRTG,65.2605459057072,9.0458,336051.47,2954484.0,0.11374286339002004
1662508800,8.99,9.3,9.54,8.6,ok,13919.0,PRTG,64.91228070175441,9.146666666666667,127312.45333333332,2968403.0,0.04288920787822049
1662595200,9.03,8.62,9.34,8.6,ok,5986.0,PRTG,58.73015873015872,8.853333333333332,52996.05333333332,2974389.0,0.01781745875651548
1662681600,8.4,8.26,8.6,8.02,ok,11883.0,PRTG,59.81524249422632,8.293333333333331,98549.67999999998,2986272.0,0.03300090547679514
1662940800,8.22,8.03,8.95,8.03,ok,12223.0,PRTG,55.42986425339366,8.336666666666666,101899.07666666666,2998495.0,0.033983407231516695
1663027200,8.03,8.06,8.36,7.5,ok,9669.0,PRTG,50.87281795511222,7.973333333333334,77094.16,3008164.0,0.025628310158621673
1663113600,8.134,7.91,8.3269,7.91,ok,19213.0,PRTG,48.66828087167071,8.048966666666667,154644.79656666666,3027377.0,0.05108210723892884
1663200000,7.91,7.85,8.0977,7.66,ok,11014.0,PRTG,45.63591022443891,7.869233333333334,86671.73593333334,3038391.0,0.028525537343065243
1663286400,7.8165,7.6,7.8165,7.12,ok,37981.0,PRTG,43.16037735849056,7.5121666666666655,285319.60216666665,3076372.0,0.09274548141988896
1663545600,7.5299,7.28,7.5299,6.76,ok,15658.0,PRTG,42.26327944572749,7.189966666666667,112580.49806666667,3092030.0,0.0364098983731292
1663632000,7.5629,7.71,7.81,7.0001,ok,4615.0,PRTG,52.43619489559165,7.5066999999999995,34643.4205,3096645.0,0.011187404594327086
1663718400,7.11,7.22,7.62,7.11,ok,7445.0,PRTG,44.66230936819173,7.316666666666666,54472.58333333333,3104090.0,0.017548648181377902
1663804800,7.16,6.87,7.269,6.7325,ok,9097.0,PRTG,40.6570841889117,6.957166666666667,63289.345166666666,3113187.0,0.020329438985408413
1663891200,6.8888,6.81,7.17,6.8,ok,9721.0,PRTG,26.6169154228856,6.926666666666666,67334.12666666666,3122908.0,0.021561354566534352
1664150400,6.85,6.47,6.85,6.2501,ok,15722.0,PRTG,18.76543209876546,6.523366666666667,102560.37073333334,3138630.0,0.032676795523312194
1664236800,6.65,5.89,6.65,5.89,ok,33759.0,PRTG,10.62355658198615,6.1433333333333335,207392.79,3172389.0,0.06537432515369332
1664323200,5.85,6.24,6.46,5.85,ok,10495.0,PRTG,20.25000000000001,6.183333333333333,64894.08333333333,3182884.0,0.020388453783842995
1664409600,6.22,6.46,6.5,6.22,ok,5430.0,PRTG,26.683937823834214,6.3933333333333335,34715.8,3188314.0,0.010888450761123278
1664496000,6.83,6.82,6.8604,6.55,ok,2660.0,PRTG,34.837092731829586,6.7434666666666665,17937.621333333333,3190974.0,0.005621362422048357
1664755200,7.5499,7.53,7.7899,7.27,ok,15525.0,PRTG,44.3254817987152,7.529966666666667,116902.7325,3206499.0,0.03645805986529233
1664841600,7.74,7.12,8.03,7.12,ok,6759.0,PRTG,41.98782961460447,7.423333333333333,50174.31,3213258.0,0.015614777898320022
1664928000,7.0,6.48,7.0,6.41,ok,12807.0,PRTG,37.56805807622505,6.63,84910.41,3226065.0,0.026320117542578965
1665014400,6.67,6.23,6.71,6.2,ok,14384.0,PRTG,37.56805807622505,6.38,91769.92,3240449.0,0.028320124772832408
1665100800,6.4,6.6,7.3101,6.2552,ok,75307.0,PRTG,43.88489208633093,6.721766666666667,506196.0823666667,3315756.0,0.15266385173295824
1665360000,6.6796,6.52,6.89,6.41,ok,9722.0,PRTG,38.579654510556615,6.6066666666666665,64230.01333333333,3325478.0,0.019314520599244177
1665446400,6.56,6.475,6.6,6.1423,ok,3827.0,PRTG,42.1825813221406,6.4057666666666675,24514.869033333336,3329305.0,0.007363359329750004
1665532800,6.61,6.85,6.85,6.3296,ok,5802.0,PRTG,49.79123173277661,6.676533333333334,38737.2464,3335107.0,0.011614993581915064
1665619200,6.7,6.63,7.28,6.4,ok,36327.0,PRTG,48.18181818181818,6.77,245933.78999999998,3371434.0,0.07294634567961288
1665705600,7.21,6.76,7.21,6.65,ok,17698.0,PRTG,53.05907172995781,6.873333333333332,121644.25333333331,3389132.0,0.035892450731731106
1665964800,6.76,7.13,7.76,6.76,ok,16033.0,PRTG,63.686534216335545,7.216666666666666,115704.81666666665,3405165.0,0.03397921001380745
