t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP,Price % Change,Spike
1652140800,4.46,4.04,4.46,3.96,ok,597694.0,QUAD,,4.153333333333333,2482422.413333333,597694.0,4.153333333333333,,0
1652227200,4.08,4.17,4.31,4.03,ok,346789.0,QUAD,,4.17,1446110.13,944483.0,1.531112926331125,,0
1652313600,4.13,4.29,4.33,4.0613,ok,348985.0,QUAD,,4.2271,1475194.4935,1293468.0,1.1404955464688729,,0
1652400000,4.36,4.53,4.61,4.33,ok,247085.0,QUAD,,4.490000000000001,1109411.6500000004,1540553.0,0.7201385801072734,,0
1652659200,4.52,4.63,4.67,4.45,ok,312604.0,QUAD,,4.583333333333333,1432768.3333333333,1853157.0,0.7731499993434626,,0
1652745600,4.7,4.7,4.79,4.6,ok,241013.0,QUAD,,4.696666666666666,1131957.7233333332,2094170.0,0.5405280962545224,,0
1652832000,4.63,4.27,4.63,4.23,ok,195624.0,QUAD,,4.376666666666666,856181.0399999999,2289794.0,0.3739118191418092,0.05693069306930676,0
1652918400,4.19,4.14,4.28,4.13,ok,143651.0,QUAD,,4.183333333333334,600940.0166666667,2433445.0,0.2469503180333505,-0.007194244604316613,0
1653004800,4.19,4.08,4.19,3.885,ok,341388.0,QUAD,,4.051666666666667,1383190.38,2774833.0,0.4984769822183894,-0.04895104895104896,0
1653264000,4.07,3.89,4.15,3.89,ok,160849.0,QUAD,,3.976666666666667,639642.8566666667,2935682.0,0.2178856077281758,-0.14128035320088306,0
1653350400,3.89,3.83,3.89,3.7,ok,243066.0,QUAD,,3.806666666666666,925271.24,3178748.0,0.2910804002078805,-0.17278617710583155,0
1653436800,3.81,4.0,4.0,3.81,ok,150290.0,QUAD,,3.936666666666667,591641.6333333334,3329038.0,0.1777215019273836,-0.14893617021276595,0
1653523200,4.03,4.16,4.23,4.03,ok,230058.0,QUAD,,4.140000000000001,952440.12,3559096.0,0.2676073137673162,-0.025761124121779777,0
1653609600,4.22,4.23,4.33,4.16,ok,154741.0,QUAD,54.92227979274613,4.24,656101.8400000001,3713837.0,0.1766641454646502,0.021739130434782705,0
1653955200,4.25,4.02,4.28,4.02,ok,354352.0,QUAD,49.53271028037382,4.1066666666666665,1455205.5466666666,4068189.0,0.3577035252459182,-0.014705882352941346,0
1654041600,4.06,4.12,4.25,3.995,ok,317670.0,QUAD,48.81516587677726,4.121666666666667,1309329.85,4385859.0,0.2985344148090488,0.059125964010282805,0
1654128000,4.12,4.11,4.25,4.06,ok,256297.0,QUAD,45.50000000000001,4.14,1061069.5799999998,4642156.0,0.2285725813609021,0.07310704960835523,0
1654214400,4.06,3.82,4.07,3.78,ok,404907.0,QUAD,32.6829268292683,3.89,1575088.23,5047063.0,0.3120801602833172,-0.04500000000000004,0
1654473600,3.89,3.57,3.915,3.45,ok,722193.0,QUAD,25.90909090909093,3.645,2632393.485,5769256.0,0.4562795419374699,-0.14182692307692313,0
1654560000,3.53,3.5,3.59,3.39,ok,493379.0,QUAD,22.727272727272748,3.4933333333333336,1723537.3066666669,6262635.0,0.2752096053285345,-0.17257683215130037,0
1654646400,3.5,3.51,3.62,3.39,ok,429693.0,QUAD,28.651685393258447,3.5066666666666664,1506790.12,6692328.0,0.2251518634472189,-0.12686567164179097,0
1654732800,3.5,3.3,3.5341,3.29,ok,531700.0,QUAD,27.41935483870969,3.3747,1794327.9899999998,7224028.0,0.2483833105298041,-0.19902912621359226,0
1654819200,3.28,3.12,3.32,3.09,ok,584185.0,QUAD,25.757575757575765,3.176666666666667,1855761.016666667,7808213.0,0.2376678270260643,-0.24087591240875916,0
1655078400,3.06,2.86,3.12,2.83,ok,388147.0,QUAD,24.878048780487816,2.936666666666667,1139858.3566666667,8196360.0,0.1390688496682267,-0.25130890052356025,0
1655164800,2.91,3.0,3.04,2.79,ok,443304.0,QUAD,30.51643192488264,2.9433333333333334,1304791.44,8639664.0,0.1510234009100353,-0.15966386554621848,0
1655251200,2.98,3.35,3.35,2.98,ok,468095.0,QUAD,35.930735930735935,3.2266666666666666,1510386.5333333332,9107759.0,0.1658351448839756,-0.042857142857142816,0
1655337600,3.24,3.25,3.34,3.16,ok,454298.0,QUAD,29.777777777777786,3.25,1476468.5,9562057.0,0.1544090879190534,-0.07407407407407407,0
1655424000,3.2,3.41,3.53,3.2,ok,617557.0,QUAD,32.47863247863249,3.3800000000000003,2087342.66,10179614.0,0.2050512583286557,0.03333333333333344,0
1655769600,3.53,3.48,3.62,3.4,ok,517443.0,QUAD,37.72727272727274,3.5,1811050.5,10697057.0,0.1693036224823332,0.11538461538461542,0
1655856000,3.38,3.17,3.47,3.11,ok,487225.0,QUAD,30.29045643153528,3.25,1583481.25,11184282.0,0.1415809481556348,0.10839160839160833,0
1655942400,3.12,3.07,3.2,2.94,ok,424550.0,QUAD,29.19999999999999,3.0700000000000003,1303368.5000000002,11608832.0,0.1122738704462257,0.023333333333333206,0
1656028800,3.02,2.94,3.32,2.76,ok,4587846.0,QUAD,31.196581196581207,3.0066666666666664,13794123.64,16196678.0,0.8516637572223142,-0.12238805970149258,0
1656288000,2.99,2.98,3.12,2.785,ok,862371.0,QUAD,36.15023474178405,2.9616666666666664,2554055.445,17059049.0,0.1497185127377264,-0.08307692307692305,0
1656374400,3.0,2.87,3.18,2.87,ok,595274.0,QUAD,35.483870967741936,2.973333333333334,1769948.026666667,17654323.0,0.1002557858869279,-0.15835777126099704,0
1656460800,2.8,2.73,2.8499,2.62,ok,839468.0,QUAD,33.04347826086958,2.7333,2294517.8844,18493791.0,0.1240696342031766,-0.2155172413793104,0
1656547200,2.71,2.75,2.925,2.7,ok,1231617.0,QUAD,36.966824644549774,2.7916666666666665,3438264.125,19725408.0,0.1743063628899336,-0.13249211356466872,0
1656633600,2.75,2.79,2.935,2.75,ok,478340.0,QUAD,41.6243654822335,2.8250000000000006,1351310.5000000002,20203748.0,0.066884149416237,-0.0912052117263843,0
1656979200,2.73,2.73,2.79,2.61,ok,707395.0,QUAD,46.32768361581922,2.7100000000000004,1917040.45,20911143.0,0.0916755459039231,-0.0714285714285714,0
1657065600,2.72,2.67,2.73,2.66,ok,399169.0,QUAD,40.23668639053255,2.686666666666667,1072434.0466666669,21310312.0,0.0503246525281594,-0.10402684563758391,0
1657152000,2.68,2.74,2.7975,2.67,ok,303842.0,QUAD,28.36879432624116,2.7358333333333333,831261.0716666667,21614154.0,0.0384591074749752,-0.04529616724738672,0
1657238400,2.73,2.74,2.8269,2.66,ok,175630.0,QUAD,30.534351145038173,2.7423,481630.149,21789784.0,0.0221034843209092,0.00366300366300365,0
1657497600,2.7,2.6,2.75,2.55,ok,347738.0,QUAD,18.604651162790702,2.6333333333333333,915710.0666666668,22137522.0,0.0413646146423554,-0.054545454545454564,0
