t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP
1652140800,4.74,4.41,4.925,4.25,ok,5558455.0,REAL,,4.528333333333333,25170537.058333334,5558455.0,4.528333333333333
1652227200,4.65,3.44,4.65,3.39,ok,8805276.0,REAL,,3.8266666666666667,33694856.16,14363731.0,2.3458289604560263
1652313600,3.37,3.22,4.02,2.77,ok,14403864.0,REAL,,3.3366666666666664,48060892.879999995,28767595.0,1.6706607862075364
1652400000,3.34,3.75,3.91,3.32,ok,6334662.0,REAL,,3.66,23184862.92,35102257.0,0.6604949339867234
1652659200,3.68,3.74,3.9599,3.66,ok,5422673.0,REAL,,3.786633333333333,20533674.337566666,40524930.0,0.5066924073050013
1652745600,3.83,3.71,4.07,3.515,ok,5320235.0,REAL,,3.7650000000000006,20030684.775000002,45845165.0,0.4369203333655796
1652832000,3.55,3.28,3.66,3.225,ok,5167064.0,REAL,,3.388333333333333,17507735.186666667,51012229.0,0.3432066296625985
1652918400,3.32,3.34,3.605,3.14,ok,4850745.0,REAL,,3.361666666666667,16306587.775,55862974.0,0.2919033235681294
1653004800,3.42,3.26,3.42,3.01,ok,4520968.0,REAL,,3.23,14602726.64,60383942.0,0.24183129084219113
1653264000,3.06,3.19,3.235,3.01,ok,4500129.0,REAL,,3.1449999999999996,14152905.704999998,64884071.0,0.21812604367873276
1653350400,3.1,2.66,3.1,2.65,ok,5696560.0,REAL,,2.8033333333333332,15969356.533333333,70580631.0,0.22625692498177485
1653436800,2.68,2.78,2.91,2.65,ok,5075731.0,REAL,,2.78,14110532.18,75656362.0,0.18650820376480698
1653523200,2.84,2.88,3.0601,2.81,ok,6412765.0,REAL,,2.9167,18704111.6755,82069127.0,0.22790679466469774
1653609600,2.97,3.27,3.28,2.94,ok,6468847.0,REAL,33.89830508474576,3.1633333333333336,20463119.343333334,88537974.0,0.2311225163491242
1653955200,3.29,3.28,3.37,3.11,ok,5390359.0,REAL,34.08450704225352,3.2533333333333334,17536634.613333333,93928333.0,0.186702287299545
1654041600,3.31,2.96,3.445,2.94,ok,4736514.0,REAL,41.72413793103448,3.1149999999999998,14754241.11,98664847.0,0.1495389853490575
1654128000,2.91,3.36,3.47,2.91,ok,4946756.0,REAL,52.27272727272727,3.2466666666666666,16060467.813333333,103611603.0,0.15500646016772207
1654214400,3.25,2.94,3.26,2.92,ok,5826399.0,REAL,36.36363636363635,3.0399999999999996,17712252.959999997,109438002.0,0.16184737144598088
1654473600,3.01,2.9,3.14,2.88,ok,3794962.0,REAL,35.999999999999986,2.973333333333333,11283687.013333332,113232964.0,0.09965019562089121
1654560000,2.82,3.06,3.23,2.76,ok,7268763.0,REAL,39.61661341853035,3.016666666666667,21927435.050000004,120501727.0,0.18196780739914212
1654646400,3.08,3.1,3.2,2.983,ok,5307782.0,REAL,46.71532846715329,3.094333333333333,16424046.768666666,125809509.0,0.13054694274871279
1654732800,3.1,3.07,3.18,2.975,ok,6456299.0,REAL,45.018450184501845,3.0749999999999997,19853119.424999997,132265808.0,0.15010016364168732
1654819200,2.98,2.71,3.01,2.66,ok,6653405.0,REAL,40.80267558528429,2.793333333333333,18585177.966666665,138919213.0,0.1337840718019808
1655078400,2.61,2.41,2.63,2.385,ok,5502298.0,REAL,37.88819875776397,2.475,13618187.55,144421511.0,0.09429473113600093
1655164800,2.51,2.42,2.53,2.3228,ok,3712828.0,REAL,45.55555555555555,2.4242666666666666,9000885.159466667,148134339.0,0.060761638525059794
1655251200,2.47,2.53,2.66,2.46,ok,6689475.0,REAL,45.35315985130112,2.5500000000000003,17058161.25,154823814.0,0.11017789065705358
1655337600,2.37,2.25,2.48,2.23,ok,5077329.0,REAL,39.02439024390244,2.32,11779403.28,159901143.0,0.07366678598413771
1655424000,2.35,2.59,2.59,2.265,ok,10254500.0,REAL,37.94326241134751,2.481666666666667,25448250.833333336,170155643.0,0.14955866514126326
1655769600,2.69,2.7,2.855,2.6,ok,5030445.0,REAL,40.06849315068493,2.7183333333333337,13674426.325000001,175186088.0,0.07805657675853804
1655856000,2.61,2.78,2.86,2.58,ok,3771062.0,REAL,46.64179104477612,2.7399999999999998,10332709.879999999,178957150.0,0.05773845794929121
1655942400,2.86,3.14,3.14,2.75,ok,4444253.0,REAL,45.833333333333336,3.0100000000000002,13377201.530000001,183401403.0,0.07293947216968673
1656028800,3.17,3.63,3.65,3.16,ok,8926201.0,REAL,62.73062730627306,3.4800000000000004,31063179.480000004,192327604.0,0.16151181023395894
1656288000,3.71,3.31,3.75,3.22,ok,4119083.0,REAL,56.85618729096991,3.426666666666667,14114724.413333336,196446687.0,0.07185015247079904
1656374400,3.31,2.97,3.39,2.91,ok,3546895.0,REAL,48.58044164037855,3.0900000000000003,10959905.55,199993582.0,0.05480128632327812
1656460800,2.93,2.61,2.93,2.59,ok,3962542.0,REAL,42.97994269340974,2.7099999999999995,10738488.819999998,203956124.0,0.052650975167580646
1656547200,2.57,2.49,2.68,2.43,ok,5520412.0,REAL,41.899441340782126,2.5333333333333337,13985043.733333334,209476536.0,0.06676186269059431
1656633600,2.53,2.47,2.575,2.4,ok,4805827.0,REAL,46.2962962962963,2.481666666666667,11926460.671666669,214282363.0,0.05565768691689604
1656979200,2.4,2.77,2.805,2.25,ok,7161240.0,REAL,55.55555555555556,2.608333333333333,18678900.999999996,221443603.0,0.0843506009970403
1657065600,2.77,2.7,2.92,2.65,ok,3282061.0,REAL,54.24242424242424,2.7566666666666664,9047548.156666666,224725664.0,0.04026041349984248
1657152000,2.79,3.06,3.06,2.65,ok,3056619.0,REAL,57.46478873239438,2.9233333333333333,8935516.21,227782283.0,0.03922831965820626
1657238400,3.01,2.93,3.12,2.875,ok,2908124.0,REAL,60.00000000000001,2.975,8651668.9,230690407.0,0.037503375248715914
1657497600,2.87,2.52,2.9025,2.4814,ok,4727154.0,REAL,48.9913544668588,2.6346333333333334,12454317.5002,235417561.0,0.05290309460049159
1657584000,2.53,2.48,2.66,2.455,ok,3329659.0,REAL,46.764705882352935,2.5316666666666667,8429586.701666666,238747220.0,0.03530758055179309
