t,o,c,h,l,s,v,Ticker,RSI
1652140800,1.65,1.58,1.6933,1.58,ok,486098.0,REE,
1652227200,1.65,1.285,1.65,1.25,ok,1631598.0,REE,
1652313600,1.26,1.41,1.4877,1.25,ok,2261739.0,REE,
1652400000,1.44,1.59,1.615,1.365,ok,1366035.0,REE,
1652659200,1.605,1.79,1.85,1.55,ok,1162165.0,REE,
1652745600,1.9,1.87,1.96,1.6,ok,2132223.0,REE,
1652832000,1.81,1.87,1.87,1.76,ok,907144.0,REE,
1652918400,1.8,1.76,1.87,1.71,ok,1897247.0,REE,
1653004800,1.8,1.64,1.8,1.57,ok,608938.0,REE,
1653264000,1.68,1.75,1.7881,1.55,ok,545646.0,REE,
1653350400,1.73,1.58,1.73,1.56,ok,356866.0,REE,
1653436800,1.6,1.6,1.645,1.54,ok,211513.0,REE,
1653523200,1.56,1.61,1.65,1.56,ok,1096527.0,REE,
1653609600,1.6,1.66,1.67,1.58,ok,1226634.0,REE,52.72108843537414
1653955200,1.6,1.6,1.7,1.58,ok,1735969.0,REE,50.653594771241835
1654041600,1.66,1.47,1.67,1.46,ok,1106327.0,REE,56.77655677655678
1654128000,1.5,1.59,1.6,1.41,ok,1097295.0,REE,56.61764705882353
1654214400,1.57,1.48,1.59,1.405,ok,704260.0,REE,45.736434108527135
1654473600,1.53,1.5,1.59,1.44,ok,838627.0,REE,36.936936936936945
1654560000,1.46,1.49,1.5,1.38,ok,751728.0,REE,31.730769230769226
1654646400,1.49,1.5,1.55,1.46,ok,1038015.0,REE,32.38095238095238
1654732800,1.49,1.44,1.5,1.42,ok,506724.0,REE,34.0
1654819200,1.42,1.38,1.42,1.36,ok,651845.0,REE,36.17021276595746
1655078400,1.36,1.45,1.505,1.31,ok,1448300.0,REE,33.33333333333333
1655164800,1.46,1.2,1.46,1.2,ok,1875257.0,REE,30.612244897959187
1655251200,1.22,1.33,1.33,1.21,ok,846337.0,REE,37.61467889908257
1655337600,1.28,1.29,1.29,1.19,ok,1801082.0,REE,35.71428571428572
1655424000,1.25,1.53,1.53,1.23,ok,2622469.0,REE,45.0381679389313
1655769600,1.59,1.55,1.59,1.5,ok,1644256.0,REE,48.031496062992126
1655856000,1.54,1.52,1.56,1.5,ok,761255.0,REE,52.136752136752136
1655942400,1.57,1.65,1.74,1.53,ok,2897407.0,REE,52.542372881355924
