t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP,Price % Change,Spike
1652140800,2.23,2.4,2.455,2.2,ok,151536.0,RPHM,,2.3516666666666666,356362.16,151536.0,2.3516666666666666,,0.0
1652227200,2.45,2.31,2.715,2.2054,ok,150011.0,RPHM,,2.410133333333333,361546.5114666666,301547.0,1.198972337535,,0.0
1652313600,2.25,2.12,2.38,2.1,ok,215384.0,RPHM,,2.2,473844.8000000001,516931.0,0.9166499977753318,,0.0
1652400000,2.26,2.14,2.46,2.035,ok,82674.0,RPHM,,2.2116666666666664,182847.33,599605.0,0.3049463063183262,,0.0
1652659200,2.08,2.09,2.52,2.05,ok,148224.0,RPHM,,2.22,329057.28,747829.0,0.44001674179525,,0.0
1652745600,2.12,2.16,2.3,2.12,ok,78894.0,RPHM,,2.1933333333333334,173040.84,826723.0,0.2093093333559124,,0.0
1652832000,2.13,2.11,2.18,2.08,ok,83411.0,RPHM,,2.123333333333333,177109.35666666666,910134.0,0.1945970117220834,-0.12083333333333335,0.0
1652918400,2.11,2.02,2.25,2.0,ok,471029.0,RPHM,,2.09,984450.61,1381163.0,0.7127693183208643,-0.1255411255411255,0.0
1653004800,2.1,2.0,2.1,1.92,ok,81826.0,RPHM,,2.0066666666666664,164197.50666666665,1462989.0,0.1122342728938267,-0.05660377358490576,0.0
1653264000,2.01,1.96,2.0952,1.93,ok,65661.0,RPHM,,1.9950666666666663,130998.0724,1528650.0,0.0856952686357243,-0.0841121495327104,0.0
1653350400,2.01,2.07,2.25,1.97,ok,166413.0,RPHM,,2.0966666666666662,348912.5899999999,1695063.0,0.2058404849849238,-0.009569377990430672,0.0
1653436800,2.05,2.03,2.3,2.0001,ok,107298.0,RPHM,,2.110033333333333,226402.3566,1802361.0,0.1256143228798226,-0.06018518518518534,0.0
1653523200,2.0,2.12,2.14,2.0,ok,59116.0,RPHM,,2.086666666666667,123355.38666666669,1861477.0,0.0662674782802402,0.004739336492891155,0.0
1653609600,2.1,2.08,2.16,2.055,ok,13387.0,RPHM,32.22222222222224,2.098333333333333,28090.38833333333,1874864.0,0.0149826271843362,0.02970297029702973,0.0
1653955200,2.1,2.07,2.255,2.05,ok,107907.0,RPHM,31.868131868131897,2.125,229302.375,1982771.0,0.1156474323055965,0.03499999999999992,0.0
1654041600,2.16,2.09,2.2271,2.08,ok,24293.0,RPHM,36.90476190476191,2.1323666666666665,51801.58343333333,2007064.0,0.0258096320961032,0.06632653061224492,0.0
1654128000,2.11,2.11,2.16,2.1,ok,30994.0,RPHM,49.25373134328357,2.123333333333333,65810.59333333332,2038058.0,0.0322908343792636,0.019323671497584627,0.0
1654214400,2.1,2.22,2.25,2.1,ok,41397.0,RPHM,55.26315789473684,2.19,90659.43,2079455.0,0.0435976878557121,0.09359605911330071,0.0
1654473600,2.22,2.2,2.29,2.15,ok,79820.0,RPHM,57.53424657534248,2.2133333333333334,176668.26666666666,2159275.0,0.0818183263672606,0.037735849056603765,0.0
1654560000,2.22,2.36,2.47,2.22,ok,81951.0,RPHM,62.19512195121948,2.35,192584.85,2241226.0,0.0859283490375357,0.13461538461538458,0.0
1654646400,2.5,2.3,2.5,2.26,ok,40022.0,RPHM,61.44578313253011,2.353333333333333,94185.10666666666,2281248.0,0.0412866582969789,0.11111111111111116,0.0
1654732800,2.3,2.5,2.68,2.3,ok,96851.0,RPHM,75.531914893617,2.4933333333333336,241481.8266666667,2378099.0,0.1015440596319441,0.19617224880382778,0.0
1654819200,2.53,2.37,2.55,2.31,ok,41151.0,RPHM,67.61904761904762,2.41,99173.91,2419250.0,0.0409936591918983,0.12322274881516604,0.0
1655078400,2.37,2.18,2.41,2.14,ok,50793.0,RPHM,59.16666666666666,2.2433333333333336,113945.63000000002,2470043.0,0.0461310309172755,-0.018018018018018056,0.0
1655164800,2.2,2.17,2.37,2.02,ok,68063.0,RPHM,54.54545454545455,2.186666666666667,148831.09333333335,2538106.0,0.0586386436710418,-0.01363636363636378,0.0
1655251200,2.25,2.21,2.44,2.13,ok,32250.0,RPHM,58.18181818181818,2.26,72885.00000000001,2570356.0,0.028355994266942,-0.06355932203389825,0.0
1655337600,2.17,2.03,2.25,2.0,ok,84238.0,RPHM,46.21848739495797,2.0933333333333333,176338.21333333332,2654594.0,0.066427564189979,-0.11739130434782608,0.0
1655424000,2.06,2.08,2.2,2.05,ok,37950.0,RPHM,50.0,2.11,80074.5,2692544.0,0.0297393468778968,-0.16799999999999993,0.0
1655769600,2.12,2.18,2.405,2.1,ok,54975.0,RPHM,54.26356589147288,2.228333333333333,122502.625,2747519.0,0.0445866343417461,-0.08016877637130804,0.0
1655856000,2.25,2.3,2.56,2.17,ok,138354.0,RPHM,57.55395683453237,2.3433333333333333,324209.54,2885873.0,0.1123436616926663,0.05504587155963292,0.0
1655942400,2.29,2.31,2.4,2.16,ok,115260.0,RPHM,57.2463768115942,2.2900000000000005,263945.4000000001,3001133.0,0.087948584751159,0.06451612903225823,0.0
1656028800,2.29,2.25,2.355,2.1899,ok,1018611.0,RPHM,51.127819548872175,2.2649666666666666,2307119.9613,4019744.0,0.5739469879922702,0.018099547511312153,0.0
1656288000,2.22,2.24,2.35,2.19,ok,44963.0,RPHM,51.51515151515152,2.26,101616.38,4064707.0,0.0249996814038502,0.10344827586206917,0.0
1656374400,2.25,2.23,2.29,2.15,ok,107623.0,RPHM,44.44444444444445,2.223333333333333,239281.8033333333,4172330.0,0.0573496831107159,0.07211538461538458,0.0
1656460800,2.12,2.33,2.43,2.11,ok,94115.0,RPHM,51.23966942148762,2.29,215523.35,4266445.0,0.0505159096156167,0.0688073394495412,0.0
1656547200,2.37,2.65,2.75,2.27,ok,171742.0,RPHM,55.639097744360896,2.556666666666666,439087.0466666667,4438187.0,0.0989338769787453,0.15217391304347827,0.0
1656633600,2.61,2.65,2.8,2.61,ok,84058.0,RPHM,61.66666666666666,2.686666666666667,225835.8266666667,4522245.0,0.0499388747550534,0.1471861471861471,0.0
1656979200,2.55,2.91,3.05,2.55,ok,170529.0,RPHM,78.74015748031493,2.8366666666666664,483733.92999999993,4692774.0,0.1030805936957543,0.29333333333333345,0.0
1657065600,2.95,2.83,3.08,2.73,ok,75993.0,RPHM,74.62686567164178,2.8800000000000003,218859.84000000003,4768767.0,0.0458944293147474,0.263392857142857,0.0
1657152000,2.79,3.04,3.0676,2.77,ok,99182.0,RPHM,77.48344370860926,2.9592000000000005,293499.37440000003,4867949.0,0.0602922040473308,0.36322869955156944,0.0
1657238400,3.0,3.07,3.15,2.97,ok,102626.0,RPHM,88.23529411764704,3.063333333333333,314377.6466666666,4970575.0,0.0632477422967496,0.31759656652360513,0.0
1657497600,2.87,2.86,3.0052,2.85,ok,35353.0,RPHM,75.6578947368421,2.9050666666666665,102702.82186666668,5005928.0,0.0205162403188113,0.0792452830188679,0.0
1657584000,2.86,2.97,2.9999,2.86,ok,5870.0,RPHM,75.81699346405229,2.9433,17277.171000000002,5011798.0,0.0034472999510355,0.12075471698113227,0.0
1657670400,2.9,2.92,2.9925,2.85,ok,50334.0,RPHM,71.23287671232876,2.920833333333333,147017.22499999998,5062132.0,0.0290425506486199,0.0034364261168384758,0.0
1657756800,2.93,3.01,3.12,2.85,ok,38050.0,RPHM,72.7272727272727,2.9933333333333336,113896.33333333334,5100182.0,0.0223318174397175,0.06360424028268552,0.0
1657843200,3.03,2.96,3.1,2.87,ok,14475.0,RPHM,73.20261437908496,2.9766666666666666,43087.25,5114657.0,0.008424269701761,-0.02631578947368418,0.0
1658102400,2.87,2.94,3.04,2.87,ok,4088.0,RPHM,72.7272727272727,2.95,12059.6,5118745.0,0.0023559681132777,-0.04234527687296419,0.0
1658188800,2.96,3.09,3.31,2.9599,ok,55112.0,RPHM,75.59523809523809,3.1199666666666666,171947.6029333333,5173857.0,0.0332339303025447,0.08041958041958042,0.0
1658275200,3.15,3.24,3.25,3.13,ok,34978.0,RPHM,76.30057803468208,3.206666666666667,112162.78666666668,5208835.0,0.0215331809640095,0.09090909090909083,0.0
