t,o,c,h,l,s,v,Ticker
1652140800,12.9,14.1,14.399999999999999,12.7,ok,84841.4,SIEN
1652227200,14.0,12.8,14.5,12.7,ok,33365.1,SIEN
1652313600,13.0,12.9,13.763000000000002,12.3,ok,55431.1,SIEN
1652400000,13.700000000000001,11.899999999999999,14.5,11.799999999999999,ok,128628.9,SIEN
1652659200,11.799999999999999,11.7,12.5,11.45,ok,49394.6,SIEN
1652745600,11.899999999999999,13.0,13.5,11.899999999999999,ok,58008.6,SIEN
1652832000,12.6,13.200000000000001,13.4,12.5,ok,33031.8,SIEN
1652918400,13.200000000000001,13.0,13.4,12.7,ok,28887.7,SIEN
1653004800,13.4,12.8,13.401,12.2,ok,35930.0,SIEN
1653264000,12.9,12.5,13.35,12.3,ok,27471.2,SIEN
1653350400,12.3,11.200000000000001,12.372,11.100000000000001,ok,39218.5,SIEN
1653436800,12.3,11.0,12.3,10.9,ok,60025.5,SIEN
1653523200,10.9,10.5,11.299999999999999,10.5,ok,67904.0,SIEN
1653609600,11.0,9.999,11.100000000000001,9.721,ok,378872.9,SIEN
1653955200,10.1,9.7,10.549999999999999,9.7,ok,154273.2,SIEN
1654041600,10.5,9.6,11.100000000000001,9.399999999999999,ok,221933.6,SIEN
1654128000,9.932,10.1,10.2,9.745000000000001,ok,77079.9,SIEN
1654214400,10.1,10.4,10.700000000000001,9.850999999999999,ok,91766.4,SIEN
1654473600,10.5,10.2,10.600000000000001,10.0,ok,78653.0,SIEN
1654560000,10.2,11.7,11.799999999999999,10.0,ok,107040.3,SIEN
1654646400,11.799999999999999,12.2,12.7,11.761999999999999,ok,80546.8,SIEN
1654732800,12.2,12.1,12.3,11.5,ok,36679.3,SIEN
1654819200,11.5,11.100000000000001,11.5,10.8,ok,37011.1,SIEN
1655078400,10.5,10.600000000000001,10.9,10.3,ok,32538.9,SIEN
1655164800,10.600000000000001,9.879,10.600000000000001,9.529,ok,66992.1,SIEN
1655251200,10.1,10.1,10.2,9.681,ok,58173.0,SIEN
1655337600,9.7,8.956,9.858,8.801,ok,70659.8,SIEN
1655424000,9.313,8.74,9.468,8.0,ok,95812.1,SIEN
1655769600,9.31,9.0,9.807,8.9,ok,61616.8,SIEN
1655856000,8.793,9.252,9.553,8.776,ok,53856.3,SIEN
1655942400,9.41,10.1,10.1,9.201,ok,56606.5,SIEN
1656028800,10.0,9.948,11.200000000000001,9.801,ok,694113.5,SIEN
1656288000,10.1,9.478,10.798000000000002,9.357,ok,50420.1,SIEN
1656374400,9.5,8.81,9.775,8.6,ok,50235.7,SIEN
1656460800,8.91,8.374,8.91,8.101,ok,45293.9,SIEN
1656547200,8.5,8.377,8.5,8.100000000000001,ok,43879.7,SIEN
1656633600,8.6,8.4,8.6,8.102,ok,27883.9,SIEN
1656979200,8.484,8.777000000000001,8.99,8.299999999999999,ok,28748.4,SIEN
1657065600,8.667,8.484,9.203,8.219999999999999,ok,163883.6,SIEN
1657152000,8.7,8.69,8.772,8.05,ok,60884.0,SIEN
1657238400,8.7,8.899000000000001,9.0,8.5,ok,41643.0,SIEN
1657497600,8.8,8.512,9.05,8.119,ok,42902.4,SIEN
1657584000,8.7,8.416,8.838000000000001,8.25,ok,18762.9,SIEN
1657670400,8.299999999999999,8.19,8.537,8.103,ok,20634.1,SIEN
1657756800,8.100000000000001,8.33,8.45,8.100000000000001,ok,37689.0,SIEN
1657843200,8.472,8.368,8.499,8.0,ok,28972.7,SIEN
1658102400,8.9,8.263,8.9,8.120000000000001,ok,22702.0,SIEN
1658188800,8.699,8.41,8.699,8.201,ok,25332.4,SIEN
1658275200,8.299999999999999,8.43,8.849,8.299999999999999,ok,27055.7,SIEN
1658361600,8.415000000000001,8.725000000000001,9.0,8.405000000000001,ok,40766.4,SIEN
1658448000,8.725000000000001,8.507,8.998000000000001,8.505,ok,14377.4,SIEN
1658707200,8.7,8.439,8.858,8.309999999999999,ok,14507.5,SIEN
1658793600,8.318999999999999,7.94,8.408,7.9,ok,28443.3,SIEN
1658880000,7.9,7.231,7.94,7.2299999999999995,ok,51233.2,SIEN
1658966400,7.27,7.376,7.667000000000001,7.015000000000001,ok,26345.5,SIEN
1659052800,7.401,7.4,7.5729999999999995,7.1,ok,19739.3,SIEN
1659312000,7.557,9.313,9.8,7.4,ok,64581.2,SIEN
1659398400,9.9,9.896,12.8,9.501,ok,112268.5,SIEN
1659484800,10.1,10.600000000000001,11.100000000000001,10.0,ok,57096.9,SIEN
1659571200,10.5,10.600000000000001,11.0,9.82,ok,49019.6,SIEN
1659657600,10.600000000000001,13.899999999999999,14.2,10.201,ok,121976.7,SIEN
1659916800,14.2,13.799999999999999,16.5,13.200000000000001,ok,154223.2,SIEN
1660003200,13.600000000000001,10.8,15.3,10.8,ok,119165.6,SIEN
1660089600,11.100000000000001,13.0,13.100000000000001,11.100000000000001,ok,58027.8,SIEN
1660176000,13.600000000000001,12.2,14.399999999999999,11.799999999999999,ok,234233.7,SIEN
1660262400,10.3,9.821,11.0,9.0,ok,333367.8,SIEN
1660521600,10.1,11.100000000000001,11.100000000000001,10.0,ok,98121.1,SIEN
1660608000,10.9,10.0,11.0,9.738,ok,70301.2,SIEN
1660694400,10.3,9.801,10.4,9.75,ok,44655.0,SIEN
1660780800,9.7,9.114,9.898,9.0,ok,71263.0,SIEN
1660867200,9.0,8.847000000000001,9.1,8.7,ok,31924.5,SIEN
1661126400,8.954,8.149,9.096,8.0,ok,58911.9,SIEN
1661212800,8.299999999999999,6.6000000000000005,8.299999999999999,6.29,ok,394028.8,SIEN
1661299200,7.0,6.997999999999999,7.128,6.6000000000000005,ok,120478.7,SIEN
1661385600,7.002000000000001,7.180999999999999,7.396000000000001,6.800000000000001,ok,81235.6,SIEN
1661472000,7.199999999999999,6.5569999999999995,7.199999999999999,6.4,ok,112725.3,SIEN
1661731200,6.800000000000001,6.800000000000001,6.915,6.5,ok,77076.7,SIEN
1661817600,7.0,6.8999999999999995,7.0,6.65,ok,71985.0,SIEN
1661904000,7.057,6.454,7.057,6.316000000000001,ok,47656.7,SIEN
1661990400,6.53,6.298,6.53,6.0,ok,60685.0,SIEN
1662076800,6.4,6.2,6.5,6.089,ok,41240.8,SIEN
1662422400,6.4,6.122,6.4,6.0409999999999995,ok,14292.8,SIEN
1662508800,6.276000000000001,6.5,6.6000000000000005,6.15,ok,40450.0,SIEN
1662595200,6.5,6.15,6.5,6.106,ok,53266.3,SIEN
