t,o,c,h,l,s,v,Ticker
1652140800,93.68,85.86,96.98,82.58,ok,1557092.0,SI
1652227200,78.89,71.51,84.9,70.0101,ok,2670919.0,SI
1652313600,66.11,63.7,70.41,56.15,ok,4756399.0,SI
1652400000,71.59,75.87,81.92,71.5,ok,3217056.0,SI
1652659200,75.51,69.98,76.64,69.4101,ok,1451841.0,SI
1652745600,74.45,79.41,79.88,72.14,ok,1719276.0,SI
1652832000,76.505,73.34,79.7,71.82,ok,1057809.0,SI
1652918400,74.5,71.77,75.8199,69.0566,ok,1842447.0,SI
1653004800,73.21,70.39,73.915,66.06,ok,1144985.0,SI
1653264000,71.43,72.97,75.77,69.78,ok,1028777.0,SI
1653350400,71.5,67.14,71.75,64.6,ok,1222463.0,SI
1653436800,66.1,71.27,74.14,66.1,ok,865645.0,SI
1653523200,67.57,74.72,76.25,65.5,ok,855679.0,SI
1653609600,76.42,79.15,80.3,75.66,ok,1014981.0,SI
1653955200,82.03,78.5,84.19,78.19,ok,1326782.0,SI
1654041600,78.5,71.45,81.0,70.53,ok,922765.0,SI
1654128000,70.3,79.64,80.09,70.3,ok,990736.0,SI
1654214400,76.02,76.96,79.9599,74.6,ok,752295.0,SI
1654473600,79.94,79.87,84.1,78.01,ok,903974.0,SI
1654560000,77.26,84.22,84.445,76.19,ok,791291.0,SI
1654646400,83.28,83.34,86.86,81.5929,ok,622340.0,SI
1654732800,82.13,75.69,82.4399,75.11,ok,875647.0,SI
1654819200,73.55,74.01,75.65,70.6,ok,1062465.0,SI
1655078400,63.34,61.66,65.85,60.27,ok,2305368.0,SI
1655164800,62.65,65.01,65.17,59.22,ok,1273170.0,SI
1655251200,65.41,64.4,67.88,61.64,ok,1914085.0,SI
1655337600,62.11,58.93,62.97,57.84,ok,1542988.0,SI
1655424000,59.77,58.01,61.16,57.7,ok,2019801.0,SI
1655769600,61.03,59.6,63.78,59.43,ok,1082586.0,SI
1655856000,57.52,56.32,59.42,54.55,ok,1489991.0,SI
1655942400,56.64,59.86,60.67,55.55,ok,1196998.0,SI
1656028800,60.69,63.45,65.27,60.33,ok,1642950.0,SI
1656288000,64.0,62.64,64.13,59.28,ok,891419.0,SI
1656374400,63.99,58.57,64.94,57.57,ok,894992.0,SI
1656460800,58.0,57.5,58.63,55.82,ok,731192.0,SI
1656547200,55.3,53.53,56.17,51.05,ok,1247275.0,SI
