t,o,c,h,l,s,v,Ticker,RSI
1652140800,1.35,1.28,1.42,1.22,ok,185070.0,SLGG,
1652227200,1.18,1.02,1.26,0.9753,ok,432441.0,SLGG,
1652313600,1.01,1.09,1.13,1.0,ok,154870.0,SLGG,
1652400000,1.15,1.19,1.21,1.14,ok,126584.0,SLGG,
1652659200,1.22,1.27,1.31,1.2,ok,101900.0,SLGG,
1652745600,1.3,1.35,1.37,1.2,ok,190429.0,SLGG,
1652832000,1.35,1.24,1.37,1.2001,ok,181868.0,SLGG,
1652918400,1.24,1.26,1.345,1.22,ok,72519.0,SLGG,
1653004800,1.32,1.22,1.32,1.17,ok,98333.0,SLGG,
1653264000,1.18,1.23,1.25,1.17,ok,43824.0,SLGG,
1653350400,1.23,1.21,1.25,1.17,ok,136921.0,SLGG,
1653436800,1.2,1.13,1.22,1.1,ok,125850.0,SLGG,
1653523200,1.15,1.17,1.22,1.0901,ok,162108.0,SLGG,
1653609600,1.21,1.14,1.31,1.13,ok,307511.0,SLGG,42.553191489361694
1653955200,1.14,1.18,1.2,1.09,ok,64168.0,SLGG,44.897959183673464
1654041600,1.19,1.15,1.2,1.15,ok,45413.0,SLGG,58.66666666666665
1654128000,1.14,1.21,1.28,1.14,ok,99840.0,SLGG,58.10810810810809
1654214400,1.18,1.19,1.21,1.1501,ok,78785.0,SLGG,50.0
1654473600,1.2,1.18,1.27,1.16,ok,72627.0,SLGG,42.37288135593221
1654560000,1.17,1.19,1.21,1.17,ok,68267.0,SLGG,34.61538461538461
1654646400,1.17,1.195,1.25,1.16,ok,91914.0,SLGG,44.57831325301206
1654732800,1.21,1.18,1.22,1.15,ok,83678.0,SLGG,40.243902439024396
1654819200,1.16,1.18,1.19,1.15,ok,57684.0,SLGG,44.5945945945946
1655078400,1.14,1.08,1.15,1.04,ok,116657.0,SLGG,33.695652173913075
1655164800,1.08,1.08,1.14,1.05,ok,44844.0,SLGG,35.22727272727275
1655251200,1.06,1.06,1.11,1.04,ok,95414.0,SLGG,40.789473684210556
1655337600,1.1,1.0,1.1,1.0,ok,121981.0,SLGG,28.75000000000003
1655424000,1.01,1.02,1.09,1.0,ok,121737.0,SLGG,34.615384615384656
1655769600,1.01,1.01,1.07,1.01,ok,67033.0,SLGG,26.388888888888914
1655856000,1.03,0.967,1.06,0.95,ok,296780.0,SLGG,25.46916890080432
1655942400,0.967,1.05,1.06,0.967,ok,72522.0,SLGG,29.79797979797982
1656028800,1.07,1.07,1.09,1.05,ok,108815.0,SLGG,34.84848484848487
1656288000,1.05,1.04,1.05,1.02,ok,50123.0,SLGG,33.17307692307695
1656374400,1.04,1.05,1.1,1.035,ok,71209.0,SLGG,33.17307692307695
1656460800,1.01,1.06,1.06,1.01,ok,76358.0,SLGG,33.96674584323041
1656547200,1.02,1.02,1.05,1.0,ok,75619.0,SLGG,32.06278026905831
1656633600,1.01,1.0,1.05,0.9518,ok,153683.0,SLGG,30.686695278969964
1656979200,1.0,1.03,1.04,0.9892,ok,57660.0,SLGG,43.68686868686869
1657065600,0.9928,1.03,1.04,0.99,ok,72179.0,SLGG,43.68686868686869
1657152000,1.02,1.0,1.04,0.9974,ok,145737.0,SLGG,42.61083743842365
1657238400,1.0,0.99,1.02,0.97,ok,104488.0,SLGG,48.59550561797753
1657497600,1.0,0.9849,1.01,0.972,ok,87433.0,SLGG,44.854881266490764
1657584000,0.99,0.97,1.0,0.96,ok,91266.0,SLGG,44.21965317919075
1657670400,0.96,0.9599,0.97,0.935,ok,161429.0,SLGG,48.86617694027467
1657756800,0.94,0.8162,0.96,0.7529,ok,529712.0,SLGG,18.726591760299627
1657843200,0.8734,0.823,0.9101,0.8,ok,143590.0,SLGG,15.751525235718233
1658102400,0.82,0.8699,0.8899,0.82,ok,76568.0,SLGG,27.47019867549669
1658188800,0.85,0.9416,0.9599,0.85,ok,117188.0,SLGG,37.659380692167574
1658275200,0.96,0.98,1.04,0.94,ok,167050.0,SLGG,41.445680068434555
1658361600,1.01,1.02,1.02,0.971,ok,38417.0,SLGG,50.0
1658448000,1.01,1.0,1.02,0.9661,ok,56439.0,SLGG,50.0
