t,o,c,h,l,s,v,Ticker
1652140800,30.25,27.04,30.25,26.66,ok,15248.0,SNDA
1652227200,26.7101,25.49,26.95,25.48,ok,6414.0,SNDA
1652313600,25.34,24.77,26.15,22.9289,ok,33743.0,SNDA
1652400000,24.11,27.5,28.1,24.11,ok,7907.0,SNDA
1652659200,27.5,27.41,27.64,27.0,ok,3739.0,SNDA
1652745600,27.29,27.44,27.44,27.29,ok,1040.0,SNDA
1652832000,25.1809,25.0,26.25,25.0,ok,7670.0,SNDA
1652918400,25.11,26.03,26.23,25.11,ok,4526.0,SNDA
1653004800,25.66,24.85,25.66,24.73,ok,5112.0,SNDA
1653264000,24.29,24.59,25.2472,24.29,ok,1819.0,SNDA
1653350400,25.0,24.5,26.4,22.9,ok,37022.0,SNDA
1653436800,23.6,24.65,25.445,23.6,ok,16003.0,SNDA
1653523200,24.98,25.63,26.35,24.85,ok,29134.0,SNDA
1653609600,25.82,25.73,25.9,24.4,ok,16325.0,SNDA
1653955200,25.75,26.05,28.9,25.345,ok,31026.0,SNDA
1654041600,26.05,26.58,27.0,26.05,ok,3773.0,SNDA
1654128000,26.26,25.99,26.8,25.94,ok,6655.0,SNDA
1654214400,26.26,26.04,26.26,25.46,ok,8382.0,SNDA
1654473600,26.0,27.1,28.2,25.75,ok,24069.0,SNDA
1654560000,26.5675,27.05,27.64,26.5675,ok,1867.0,SNDA
1654646400,26.94,26.5,27.91,26.5,ok,2079.0,SNDA
1654732800,26.24,24.9,26.52,24.7,ok,10493.0,SNDA
1654819200,24.9,25.7,26.225,24.645,ok,10481.0,SNDA
1655164800,25.71,26.275,26.31,25.71,ok,831.0,SNDA
1655251200,26.48,24.4,27.35,24.4,ok,5631.0,SNDA
1655337600,24.04,24.06,25.16,23.98,ok,2583.0,SNDA
1655424000,24.1,22.36,24.1474,22.36,ok,6013.0,SNDA
1655769600,22.49,23.92,25.88,22.07,ok,17133.0,SNDA
