t,o,c,h,l,s,v,Ticker,RSI
1652140800,1.14,1.1,1.1499,1.0587,ok,18637.0,SSY,
1652227200,1.075,1.05,1.1525,1.04,ok,28083.0,SSY,
1652313600,1.01,0.98,1.03,0.97,ok,37771.0,SSY,
1652400000,0.96,1.09,1.15,0.96,ok,18808.0,SSY,
1652659200,1.23,1.1,1.23,1.0401,ok,30756.0,SSY,
1652745600,1.16,1.14,1.2397,1.05,ok,15215.0,SSY,
1652832000,1.0921,1.05,1.1012,1.05,ok,9714.0,SSY,
1652918400,1.06,1.1,1.1,1.0107,ok,37919.0,SSY,
1653004800,1.1,1.01,1.12,1.0,ok,15640.0,SSY,
1653264000,1.0,0.98,1.0399,0.9645,ok,40908.0,SSY,
1653350400,1.11,1.04,1.11,0.9626,ok,7464.0,SSY,
1653436800,1.0,1.05,1.0598,0.97,ok,104504.0,SSY,
1653523200,1.111,1.1,1.16,1.012,ok,57205.0,SSY,
1653609600,1.11,1.0874,1.11,1.05,ok,7621.0,SSY,49.063336306868855
1653955200,1.06,1.1273,1.1273,1.06,ok,15623.0,SSY,51.9157894736842
1654041600,1.13,1.1712,1.18,1.13,ok,4962.0,SSY,58.578708946772366
1654128000,1.185,1.12,1.185,1.1128,ok,13784.0,SSY,60.1803374054683
1654214400,1.12,1.19,1.19,1.1115,ok,4487.0,SSY,57.720815318097586
1654473600,1.15,1.17,1.18,1.11,ok,22752.0,SSY,55.32238442822383
1654560000,1.17,1.16,1.1732,1.14,ok,7584.0,SSY,51.59337157425112
1654646400,1.14,1.16,1.16,1.14,ok,7729.0,SSY,60.230654761904745
1654732800,1.17,1.1699,1.17,1.1501,ok,3285.0,SSY,57.02512562814068
1654819200,1.17,1.105,1.174,1.1,ok,8763.0,SSY,60.05503810330228
1655078400,1.1,1.028,1.1,1.02,ok,18202.0,SSY,54.620716211012706
1655164800,1.15,1.0339,1.15,1.0,ok,9291.0,SSY,49.344508918977006
1655251200,1.03,1.05,1.15,1.03,ok,6176.0,SSY,50.0
1655337600,1.04,0.98,1.05,0.98,ok,10810.0,SSY,37.78998778998778
1655424000,1.0,1.01,1.05,1.0,ok,7615.0,SSY,42.39386792452831
1655769600,1.01,1.01,1.02,1.0,ok,5894.0,SSY,37.49200255918107
1655856000,1.01,1.01,1.03,1.0,ok,4077.0,SSY,31.035294117647055
1655942400,1.11,1.01,1.11,1.01,ok,26755.0,SSY,35.28624933119315
1656028800,1.08,1.06,1.08,1.05,ok,5898.0,SSY,31.628038439796526
1656288000,1.06,1.06,1.06,1.056,ok,2869.0,SSY,33.523067705212725
1656374400,1.06,1.02,1.0662,1.01,ok,7917.0,SSY,30.758658603628376
1656460800,1.055,1.0019,1.055,1.0019,ok,1902.0,SSY,29.3008641005499
1656547200,1.02,1.0002,1.02,1.0,ok,5461.0,SSY,27.294621354027313
1656633600,1.0014,1.0,1.05,1.0,ok,1576.0,SSY,33.00970873786409
1656979200,0.98,0.97,0.9952,0.9549,ok,6450.0,SSY,38.93129770992366
1657065600,0.98,0.9841,1.01,0.98,ok,4879.0,SSY,40.78460399703922
1657152000,0.99,0.9705,1.0,0.9705,ok,16148.0,SSY,35.15128875607023
