t,o,c,h,l,s,v,Ticker
1661212800,27.0,15.4,46.21,10.1,ok,22104087.0,STBX
1661299200,13.11,9.83,15.39,9.31,ok,19156257.0,STBX
1661385600,8.53,7.09,9.3999,6.98,ok,9194432.0,STBX
1661472000,6.38,5.32,6.6207,4.91,ok,5647188.0,STBX
1661731200,5.8,6.44,7.3,5.78,ok,23224390.0,STBX
1661817600,6.17,5.07,6.18,4.9,ok,3017643.0,STBX
1661904000,5.11,5.22,5.64,4.5507,ok,3669105.0,STBX
1661990400,4.97,4.75,5.11,4.55,ok,1288636.0,STBX
1662076800,4.67,4.15,4.7899,4.15,ok,989930.0,STBX
1662422400,4.12,3.61,4.151,3.6,ok,915698.0,STBX
1662508800,3.57,3.4,3.9999,3.39,ok,1325462.0,STBX
1662595200,3.3,3.67,4.6,3.3,ok,10060326.0,STBX
1662681600,3.51,3.3,3.7193,3.3,ok,1441454.0,STBX
1662940800,3.35,3.28,3.49,3.18,ok,910892.0,STBX
1663027200,3.22,3.0,3.23,2.95,ok,779616.0,STBX
1663113600,2.95,3.13,3.4,2.92,ok,1744627.0,STBX
1663200000,3.06,3.14,3.45,3.04,ok,1312611.0,STBX
1663286400,3.05,2.84,3.11,2.84,ok,475472.0,STBX
1663545600,2.8,2.6,2.87,2.57,ok,427924.0,STBX
1663632000,2.56,2.56,2.79,2.52,ok,486355.0,STBX
1663718400,2.57,2.31,2.5888,2.31,ok,354154.0,STBX
1663804800,2.31,2.07,2.35,2.06,ok,474502.0,STBX
1663891200,2.07,2.13,2.15,1.86,ok,704632.0,STBX
1664150400,2.02,2.11,2.12,1.9901,ok,156971.0,STBX
1664236800,2.11,1.98,2.2169,1.98,ok,170705.0,STBX
1664323200,2.0,2.04,2.1007,1.9212,ok,182329.0,STBX
1664409600,2.04,1.98,2.08,1.92,ok,204260.0,STBX
1664496000,1.97,1.9,2.05,1.895,ok,212241.0,STBX
1664755200,1.92,1.72,1.99,1.67,ok,329372.0,STBX
1664841600,1.72,1.83,1.85,1.72,ok,179056.0,STBX
1664928000,1.81,1.84,1.84,1.73,ok,74739.0,STBX
1665014400,1.81,1.79,1.9599,1.75,ok,283726.0,STBX
1665100800,1.7849,1.7253,1.7849,1.7,ok,146028.0,STBX
1665360000,1.74,1.6,1.74,1.58,ok,100044.0,STBX
1665446400,1.55,1.58,1.6715,1.53,ok,234619.0,STBX
1665532800,1.56,1.47,1.6396,1.46,ok,114629.0,STBX
1665619200,1.44,1.52,1.56,1.37,ok,101533.0,STBX
1665705600,1.53,1.43,1.5395,1.41,ok,215521.0,STBX
1665964800,1.42,1.52,1.6,1.41,ok,159177.0,STBX
1666051200,1.58,1.55,1.6,1.5,ok,63737.0,STBX
1666137600,1.55,1.56,1.6,1.5104,ok,93922.0,STBX
1666224000,1.57,1.73,1.73,1.53,ok,222392.0,STBX
1666310400,1.75,1.7,1.97,1.67,ok,480382.0,STBX
1666569600,1.68,1.6,1.68,1.5639,ok,150499.0,STBX
1666656000,1.61,1.65,1.75,1.59,ok,121129.0,STBX
1666742400,1.66,1.68,1.72,1.64,ok,80142.0,STBX
1666828800,1.67,1.62,1.68,1.59,ok,75249.0,STBX
1666915200,1.65,1.67,1.7325,1.62,ok,104092.0,STBX
1667174400,1.7,1.7,1.75,1.64,ok,66940.0,STBX
1667260800,1.71,1.68,1.73,1.675,ok,53816.0,STBX
1667347200,1.68,1.69,1.8,1.67,ok,166755.0,STBX
1667433600,1.66,1.7088,1.75,1.66,ok,154719.0,STBX
1667520000,1.7,1.6984,1.74,1.68,ok,98022.0,STBX
1667779200,1.81,1.7075,1.82,1.68,ok,149424.0,STBX
1667865600,1.7,1.71,1.75,1.6997,ok,147195.0,STBX
1667952000,1.68,1.54,1.71,1.53,ok,180175.0,STBX
1668038400,1.61,1.58,1.62,1.55,ok,65444.0,STBX
1668124800,1.71,1.74,1.7877,1.6,ok,146495.0,STBX
1668384000,1.77,2.11,2.3,1.71,ok,624252.0,STBX
1668470400,2.11,2.16,2.38,2.02,ok,364227.0,STBX
1668556800,2.15,2.02,2.23,2.0,ok,151484.0,STBX
1668643200,1.97,2.08,2.1291,1.97,ok,69906.0,STBX
1668729600,2.1,2.07,2.1472,2.03,ok,50642.0,STBX
1668988800,2.07,2.11,2.195,2.01,ok,49926.0,STBX
1669075200,2.11,2.49,2.5252,2.11,ok,403619.0,STBX
1669161600,2.48,2.57,2.58,2.3001,ok,149775.0,STBX
1669334400,2.58,2.4,2.58,2.4,ok,31456.0,STBX
1669593600,2.56,2.56,2.68,2.42,ok,310160.0,STBX
1669680000,2.6,2.34,2.65,2.32,ok,252917.0,STBX
1669766400,2.4,2.24,2.4,2.1,ok,276068.0,STBX
1669852800,2.28,2.3201,2.38,2.23,ok,137357.0,STBX
1669939200,2.28,2.46,2.55,2.28,ok,109056.0,STBX
1670198400,2.531,2.38,2.5512,2.34,ok,213001.0,STBX
1670284800,2.44,2.21,2.44,2.2,ok,129825.0,STBX
1670371200,2.22,2.22,2.24,2.19,ok,81847.0,STBX
1670457600,2.2793,2.29,2.3798,2.25,ok,101387.0,STBX
1670544000,2.28,2.22,2.33,2.21,ok,116141.0,STBX
1670803200,2.18,2.13,2.21,2.1,ok,101832.0,STBX
1670889600,2.19,2.19,2.22,2.14,ok,37272.0,STBX
1670976000,2.15,2.35,2.44,2.15,ok,166179.0,STBX
1671062400,2.3,2.36,2.4486,2.3,ok,89341.0,STBX
1671148800,2.3,2.35,2.4009,2.3,ok,73896.0,STBX
1671408000,2.35,2.36,2.7333,2.35,ok,384344.0,STBX
1671494400,2.45,2.43,2.58,2.35,ok,343290.0,STBX
1671580800,2.44,2.46,2.5,2.3,ok,135782.0,STBX
1671667200,2.42,2.48,2.49,2.3,ok,119175.0,STBX
1671753600,2.46,2.45,2.4804,2.4,ok,80155.0,STBX
1672099200,2.38,2.45,2.5736,2.38,ok,133555.0,STBX
1672185600,2.45,2.7,2.72,2.45,ok,233090.0,STBX
1672272000,2.6228,2.84,2.93,2.6228,ok,234303.0,STBX
1672358400,2.84,2.73,2.88,2.6968,ok,230231.0,STBX
1672704000,2.69,2.78,2.78,2.62,ok,114940.0,STBX
1672790400,2.72,2.69,2.8,2.68,ok,115612.0,STBX
1672876800,2.7,2.8,2.86,2.64,ok,439079.0,STBX
1672963200,2.78,3.03,3.0975,2.76,ok,186531.0,STBX
1673222400,3.07,2.89,3.07,2.8,ok,157971.0,STBX
1673308800,2.85,2.9704,3.0,2.8328,ok,55541.0,STBX
1673395200,2.9696,2.99,3.15,2.91,ok,106502.0,STBX
1673481600,2.9301,2.9146,2.94,2.8577,ok,56845.0,STBX
1673568000,2.9182,2.96,3.01,2.9,ok,50477.0,STBX
1673913600,2.93,2.93,3.0292,2.9,ok,32060.0,STBX
1674000000,2.92,3.03,3.0619,2.91,ok,1174603.0,STBX
1674086400,3.77,2.97,3.85,2.97,ok,3599255.0,STBX
1674172800,2.79,2.88,2.98,2.68,ok,441581.0,STBX
1674432000,2.9365,2.83,2.9743,2.71,ok,237698.0,STBX
1674518400,2.76,3.04,3.05,2.76,ok,357128.0,STBX
1674604800,3.03,2.86,3.04,2.856,ok,94876.0,STBX
1674691200,3.0,2.93,3.0,2.8,ok,139041.0,STBX
1674777600,2.95,2.9446,3.0,2.8501,ok,62484.0,STBX
1675036800,2.92,2.9,2.932,2.84,ok,34419.0,STBX
1675123200,2.9,2.99,3.0527,2.88,ok,85312.0,STBX
1675209600,3.05,3.43,3.5,3.04,ok,185462.0,STBX
1675296000,3.32,3.1601,3.37,3.0701,ok,136325.0,STBX
1675382400,3.09,3.24,3.33,3.09,ok,134373.0,STBX
1675641600,3.3,3.38,3.38,3.22,ok,85892.0,STBX
1675728000,3.29,3.24,3.31,3.11,ok,103330.0,STBX
1675814400,3.28,3.3,3.4,3.19,ok,56092.0,STBX
1675900800,3.46,3.16,3.47,3.12,ok,153016.0,STBX
1675987200,3.21,3.08,3.2295,3.02,ok,66835.0,STBX
1676246400,3.085,3.25,3.3064,3.085,ok,60140.0,STBX
1676332800,3.21,3.34,3.4003,3.11,ok,125568.0,STBX
1676419200,3.34,3.3,3.3554,3.2,ok,55822.0,STBX
1676505600,3.19,3.0,3.25,2.9738,ok,244050.0,STBX
1676592000,3.06,2.92,3.19,2.8,ok,289322.0,STBX
1676937600,2.99,2.9,3.075,2.9,ok,159700.0,STBX
1677024000,2.85,2.9,2.985,2.84,ok,143496.0,STBX
1677110400,2.91,2.92,2.95,2.85,ok,55854.0,STBX
1677196800,2.86,3.01,3.06,2.86,ok,65291.0,STBX
1677456000,3.02,2.97,3.26,2.9,ok,274846.0,STBX
1677542400,2.93,3.03,3.22,2.93,ok,123509.0,STBX
1677628800,3.0,2.97,3.08,2.95,ok,21859.0,STBX
1677715200,2.88,2.96,3.07,2.88,ok,104568.0,STBX
1677801600,2.95,3.16,3.24,2.95,ok,86155.0,STBX
1678060800,3.1,3.45,3.45,3.05,ok,377398.0,STBX
1678147200,3.37,3.5,3.75,3.34,ok,527351.0,STBX
1678233600,3.5,3.46,3.57,3.2,ok,684946.0,STBX
1678320000,3.34,3.39,3.5495,3.26,ok,583106.0,STBX
1678406400,3.3568,3.05,3.42,2.81,ok,888388.0,STBX
1678665600,2.99,2.99,3.11,2.85,ok,614677.0,STBX
1678752000,2.98,2.26,3.08,2.12,ok,912408.0,STBX
1678838400,2.48,2.19,2.55,1.91,ok,678374.0,STBX
1678924800,2.1,1.9,2.23,1.89,ok,1082081.0,STBX
1679011200,2.0,2.17,2.44,1.9301,ok,787590.0,STBX
1679270400,2.17,1.99,2.4499,1.91,ok,912216.0,STBX
1679356800,2.12,2.47,2.81,2.06,ok,917375.0,STBX
1679443200,2.4,2.92,3.02,2.3,ok,340111.0,STBX
1679529600,3.02,3.43,3.5399,2.72,ok,711777.0,STBX
1679616000,3.58,3.34,3.9,3.22,ok,955154.0,STBX
1679875200,3.43,3.11,3.43,2.95,ok,336947.0,STBX
1679961600,3.16,3.29,3.35,3.05,ok,371269.0,STBX
1680048000,3.27,3.5,3.59,3.2101,ok,197301.0,STBX
1680134400,3.5,3.57,3.64,3.42,ok,123064.0,STBX
1680220800,3.61,3.54,3.69,3.46,ok,482767.0,STBX
1680480000,3.54,3.54,3.6,3.3701,ok,282904.0,STBX
1680566400,3.58,3.66,3.71,3.411,ok,286407.0,STBX
1680652800,3.57,3.44,3.68,3.405,ok,304174.0,STBX
1680739200,3.42,3.52,3.58,3.4,ok,401503.0,STBX
1681084800,3.45,3.28,3.57,3.28,ok,372799.0,STBX
1681171200,3.24,3.81,3.81,3.24,ok,410912.0,STBX
1681257600,3.79,3.69,3.8,3.57,ok,350871.0,STBX
1681344000,3.76,3.63,3.88,3.6,ok,194736.0,STBX
1681430400,3.62,3.53,3.75,3.422,ok,360582.0,STBX
1681689600,3.54,3.34,3.645,3.28,ok,401485.0,STBX
1681776000,3.34,3.36,3.54,3.305,ok,300017.0,STBX
1681862400,3.31,3.32,3.56,3.18,ok,501731.0,STBX
1681948800,3.27,3.41,3.48,3.27,ok,491058.0,STBX
1682035200,3.3272,3.47,3.6917,3.3117,ok,532539.0,STBX
1682294400,3.48,3.4,3.58,3.3303,ok,509177.0,STBX
1682380800,3.38,3.3,3.53,3.3,ok,503052.0,STBX
1682467200,3.395,3.15,3.48,3.03,ok,616375.0,STBX
1682553600,3.12,3.09,3.21,3.0,ok,417215.0,STBX
1682640000,3.2,3.2,3.35,3.1,ok,419142.0,STBX
1682899200,3.21,3.12,3.29,3.04,ok,400766.0,STBX
1682985600,3.07,3.03,3.2,2.89,ok,493807.0,STBX
1683072000,3.04,2.81,3.14,2.75,ok,446835.0,STBX
1683158400,2.82,2.89,2.95,2.75,ok,381561.0,STBX
1683244800,2.84,3.1,3.1,2.84,ok,390425.0,STBX
1683504000,3.1,3.33,3.43,3.0245,ok,408882.0,STBX
1683590400,3.34,3.28,3.4,3.17,ok,406256.0,STBX
