t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP
1652140800,3.93,3.96,4.03,3.9288,ok,21654.0,TAIT,,3.9729333333333336,86029.8984,21654.0,3.9729333333333336
1652227200,4.07,4.17,4.21,3.95,ok,81151.0,TAIT,,4.11,333530.61000000004,102805.0,3.2443033899129423
1652313600,4.16,4.06,4.17,3.7931,ok,17814.0,TAIT,,4.0077,71393.1678,120619.0,0.5918898996012236
1652400000,4.0003,3.7,4.0003,3.66,ok,42791.0,TAIT,,3.786766666666667,162039.53243333334,163410.0,0.9916133188503357
1652659200,3.72,3.68,3.72,3.6208,ok,19566.0,TAIT,,3.6736,71877.6576,182976.0,0.39282560335781747
1652745600,3.59,3.62,3.69,3.59,ok,36386.0,TAIT,,3.633333333333333,132202.46666666665,219362.0,0.6026680403473101
1652832000,3.61,3.64,3.7,3.6,ok,6262.0,TAIT,,3.646666666666667,22835.42666666667,225624.0,0.10121009585268709
1652918400,3.62,3.61,3.65,3.59,ok,3709.0,TAIT,,3.6166666666666667,13414.216666666667,229333.0,0.05849230885510008
1653004800,3.62,3.57,3.64,3.57,ok,10041.0,TAIT,,3.5933333333333333,36080.659999999996,239374.0,0.1507292354223934
1653264000,3.59,3.3939,3.62,3.3735,ok,16138.0,TAIT,,3.4624666666666664,55877.287066666664,255512.0,0.21868752570003233
1653350400,3.35,3.2198,3.4303,3.21,ok,43315.0,TAIT,,3.2866999999999997,142363.4105,298827.0,0.4764074548149933
1653436800,3.16,3.21,3.3105,3.16,ok,18602.0,TAIT,,3.2268333333333334,60025.55366666667,317429.0,0.18909914868101738
1653523200,3.24,3.24,3.34,3.23,ok,31741.0,TAIT,,3.27,103793.07,349170.0,0.2972565512501074
1653609600,3.36,3.34,3.405,3.2601,ok,21878.0,TAIT,26.86567164179104,3.335033333333333,72963.85926666667,371048.0,0.196642642641024
1653955200,3.4,3.45,3.6105,3.35,ok,18835.0,TAIT,32.413793103448285,3.470166666666666,65360.58916666666,389883.0,0.16764154673752552
1654041600,3.49,3.48,3.5,3.43,ok,11620.0,TAIT,22.834645669291334,3.47,40321.4,401503.0,0.10042614874608659
