t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP,Price % Change,Spike
1652140800,0.2803,0.289,0.29,0.2803,ok,539431.0,TRX,,0.2864333333333333,154511.0194333333,539431.0,0.2864333333333333,,0
1652227200,0.29,0.28,0.2925,0.275,ok,846928.0,TRX,,0.2825,239257.16000000003,1386359.0,0.1725795122331229,,0
1652313600,0.275,0.27,0.2791,0.2632,ok,804948.0,TRX,,0.2707666666666666,217953.0868,2191307.0,0.0994625978012209,,0
1652400000,0.298,0.2961,0.313,0.272,ok,959987.0,TRX,,0.2937,281948.1819,3151294.0,0.0894706053767119,,0
1652659200,0.305,0.2911,0.3092,0.2911,ok,523052.0,TRX,,0.2971333333333333,155416.18426666668,3674346.0,0.0422976454222511,,0
1652745600,0.3004,0.2999,0.3054,0.285,ok,302108.0,TRX,,0.2967666666666667,89655.58413333334,3976454.0,0.0225466166924937,,0
1652832000,0.3,0.308,0.3099,0.293,ok,452681.0,TRX,,0.3036333333333333,137449.04096666668,4429135.0,0.0310329310275407,0.06574394463667832,0
1652918400,0.3061,0.305,0.31,0.3,ok,310023.0,TRX,,0.305,94557.015,4739158.0,0.0199522816078299,0.08928571428571419,0
1653004800,0.31,0.3058,0.31,0.299,ok,435572.0,TRX,,0.3049333333333333,132820.42186666667,5174730.0,0.0256671211573679,0.1325925925925926,0
1653264000,0.3097,0.3155,0.3177,0.306,ok,320702.0,TRX,,0.3130666666666666,100401.10613333332,5495432.0,0.0182699205691806,0.06551840594393799,0
1653350400,0.3175,0.3248,0.3248,0.309,ok,450618.0,TRX,,0.3195333333333333,143987.4716,5946050.0,0.0242156509951984,0.11576777739608368,0
1653436800,0.31,0.33,0.33,0.31,ok,532072.0,TRX,,0.3233333333333333,172036.6133333333,6478122.0,0.0265565565658277,0.10036678892964335,0
1653523200,0.3,0.318,0.3279,0.3,ok,430000.0,TRX,,0.3152999999999999,135579.0,6908122.0,0.0196260286080645,0.032467532467532534,0
1653609600,0.327,0.33,0.34,0.3175,ok,980479.0,TRX,67.22689075630255,0.3291666666666666,322741.00416666665,7888601.0,0.0409123245258147,0.08196721311475419,0
1653955200,0.3209,0.3449,0.3499,0.3209,ok,924415.0,TRX,70.87378640776701,0.3385666666666667,312976.1051666667,8813016.0,0.0355129396300502,0.12786134728580767,0
1654041600,0.35,0.3271,0.35,0.3129,ok,1090288.0,TRX,66.5031534688157,0.33,359795.04000000004,9903304.0,0.0363308083847572,0.03676703645007917,0
1654128000,0.3368,0.3321,0.3429,0.33,ok,527692.0,TRX,72.54901960784315,0.335,176776.82,10430996.0,0.0169472617955178,0.022475369458128114,0
1654214400,0.3299,0.3497,0.3497,0.3181,ok,435482.0,TRX,70.74303405572758,0.3391666666666666,147700.97833333333,10866478.0,0.0135923505604422,0.05969696969696958,0
1654473600,0.3328,0.3245,0.3399,0.3162,ok,556190.0,TRX,61.178045515394906,0.3268666666666666,181799.9713333333,11422668.0,0.0159157187561901,0.020440251572326984,0
1654560000,0.32,0.354,0.354,0.32,ok,1305653.0,TRX,65.9024103468548,0.3426666666666667,447403.7613333333,12728321.0,0.0351502575503346,0.07272727272727253,0
1654646400,0.3532,0.3582,0.3629,0.345,ok,661074.0,TRX,65.1022864019254,0.3553666666666666,234923.6638,13389395.0,0.0175455025264397,0.03856190200058007,0
1654732800,0.365,0.3628,0.3674,0.3449,ok,438535.0,TRX,67.22288438617403,0.3583666666666666,157156.32616666667,13827930.0,0.0113651375272124,0.10914093549373294,0
1654819200,0.34,0.3672,0.3696,0.34,ok,704711.0,TRX,67.91131855309219,0.3589333333333333,252944.26826666665,14532641.0,0.0174052512730939,0.10569105691056913,0
1655078400,0.36,0.3515,0.376,0.3451,ok,1039979.0,TRX,60.1465614430665,0.3575333333333333,371827.15846666665,15572620.0,0.0238769814242347,0.005147269087789397,0
1655164800,0.3515,0.35,0.3613,0.3355,ok,537966.0,TRX,57.42924528301887,0.3489333333333334,187714.26960000003,16110586.0,0.011651610289036,0.07858243451463776,0
1655251200,0.3614,0.36,0.3649,0.3455,ok,1218396.0,TRX,58.60091743119265,0.3567999999999999,434723.6928,17328982.0,0.0250865107252116,0.016949152542372836,0
1655337600,0.37,0.3994,0.3994,0.3517,ok,2267796.0,TRX,70.1684836471754,0.3835,869699.7660000001,19596778.0,0.0443797325254182,0.11501954215522048,0
1655424000,0.4,0.402,0.41,0.394,ok,1373468.0,TRX,68.71101871101871,0.4019999999999999,552134.1359999999,20970246.0,0.0263294067222673,0.10804851157662632,0
1655769600,0.4,0.3977,0.4,0.3804,ok,1038376.0,TRX,64.52145214521451,0.3927,407770.2552,22008622.0,0.0185277504061817,0.08306100217864909,0
1655856000,0.4,0.4,0.4,0.38,ok,471531.0,TRX,71.91822008418518,0.3933333333333333,185468.86,22480153.0,0.0082503379759025,0.13798008534850648,0
1655942400,0.382,0.36,0.3949,0.3576,ok,772758.0,TRX,56.92995529061102,0.3708333333333333,286564.425,23252911.0,0.0123238086190584,0.028571428571428692,0
