t,o,c,h,l,s,v,Ticker,RSI
1652140800,14.175,12.23,14.22,12.2,ok,32308.8,TTOO,
1652227200,12.05,10.69,12.85,10.685,ok,53484.18,TTOO,
1652313600,11.0,11.75,12.25,10.55,ok,35454.54,TTOO,
1652400000,12.5,11.35,13.425,11.005,ok,103259.76,TTOO,
1652659200,11.7,10.69,12.0,10.69,ok,21207.96,TTOO,
1652745600,11.435,11.24,11.78,10.5,ok,35571.68,TTOO,
1652832000,11.25,10.395,11.5,9.995,ok,45660.36,TTOO,
1652918400,10.5,10.6,11.135,10.25,ok,20197.26,TTOO,
1653004800,11.675,10.84,12.0,10.55,ok,52140.82,TTOO,
1653264000,11.5,10.5,11.5,10.305,ok,29963.08,TTOO,
1653350400,11.0,10.195,11.0,10.0,ok,27230.52,TTOO,
1653436800,10.29,9.745,10.495,9.61,ok,20494.8,TTOO,
1653523200,10.0,9.925,10.445,9.75,ok,22767.1,TTOO,
1653609600,10.0,10.445,10.495,10.0,ok,34914.82,TTOO,37.76559287183003
1653955200,10.5,10.12,10.95,9.63,ok,75321.2,TTOO,36.15485564304463
1654041600,10.245,9.83,10.3,9.61,ok,31867.9,TTOO,43.249607535321836
1654128000,9.935,10.0,10.0,9.46,ok,29109.64,TTOO,34.03284671532849
1654214400,10.0,9.62,10.0,9.5,ok,22629.28,TTOO,34.15750915750917
1654473600,9.715,9.5,10.06,9.45,ok,18413.98,TTOO,37.90650406504066
1654560000,9.075,9.015,9.69,8.975,ok,59051.0,TTOO,27.085478887744614
1654646400,9.5,9.395,9.5,9.0,ok,32129.16,TTOO,38.61047835990888
1654732800,9.39,9.45,9.98,9.205,ok,46021.72,TTOO,36.43867924528301
1654819200,9.985,9.23,9.995,9.0,ok,68319.1,TTOO,30.92417061611374
1655078400,9.0,8.450000000000001,9.175,8.325000000000001,ok,48555.74,TTOO,28.004291845493555
1655164800,8.5,7.51,8.545,7.5,ok,65335.42,TTOO,24.64589235127478
1655251200,7.515,8.5,8.559999999999999,7.515,ok,75287.32,TTOO,39.331619537275074
1655337600,8.5,8.045,8.6,7.785,ok,133124.44,TTOO,34.6153846153846
1655424000,8.0,8.5,9.685,8.0,ok,228130.78,TTOO,33.91232423490487
1655769600,9.145,8.41,9.4,8.254999999999999,ok,140786.34,TTOO,35.283993115318424
1655856000,8.75,8.5,9.35,8.23,ok,71914.14,TTOO,38.14616755793225
1655942400,8.5,8.905000000000001,9.0,8.254999999999999,ok,34241.04,TTOO,40.633019674935845
1656028800,9.115,7.5,9.25,7.5,ok,53477.6,TTOO,34.570596797671044
1656288000,8.649999999999999,9.05,9.24,8.4,ok,44724.14,TTOO,47.28915662650603
1656374400,9.0,8.3,9.435,8.275,ok,43090.6,TTOO,45.82603619381203
1656460800,8.555,8.75,9.24,7.875,ok,220882.42,TTOO,46.265199768384484
1656547200,8.870000000000001,8.075000000000001,9.15,7.85,ok,121524.44,TTOO,42.57158292814696
1656633600,8.57,8.5,8.7,8.21,ok,58245.3,TTOO,46.14164904862579
1656979200,8.5,9.45,9.5,8.200000000000001,ok,111900.16,TTOO,55.19210799584631
1657065600,8.790000000000001,7.95,8.9,7.555000000000001,ok,299716.7,TTOO,52.15897939156035
1657152000,7.99,8.04,8.6,7.745,ok,277818.52,TTOO,47.52421959095801
1657238400,7.979999999999999,7.56,8.535,7.435,ok,722517.48,TTOO,47.39667203435319
1657497600,8.515,7.635,8.834999999999999,7.46,ok,1284979.96,TTOO,45.159485170677115
1657584000,7.95,7.649999999999999,8.125,7.505000000000001,ok,715497.24,TTOO,45.711060948081254
1657670400,7.000000000000001,7.449999999999999,7.5,6.65,ok,294845.24,TTOO,44.14715719063544
1657756800,7.249999999999999,7.02,7.32,6.944999999999999,ok,220301.78,TTOO,39.5219566425792
1657843200,7.000000000000001,6.9750000000000005,7.049999999999999,6.77,ok,256705.82,TTOO,46.561886051080556
1658102400,6.959999999999999,7.055,7.199999999999999,6.9,ok,344337.48,TTOO,33.81995133819949
1658188800,7.199999999999999,7.21,7.340000000000001,7.000000000000001,ok,252025.14,TTOO,40.21543985637341
1658275200,7.265000000000001,7.205,7.55,7.1,ok,272572.4,TTOO,34.92682926829265
1658361600,7.21,7.175,7.245,7.005,ok,175451.02,TTOO,39.95535714285711
1658448000,7.06,6.865,7.109999999999999,6.81,ok,177659.38,TTOO,31.271477663230215
1658707200,6.9,6.825,7.124999999999999,6.565,ok,331114.64,TTOO,12.011577424023088
1658793600,6.75,6.575,6.959999999999999,6.510000000000001,ok,508865.16,TTOO,18.820861678004462
1658880000,6.705,6.72,6.99,6.525,ok,642614.54,TTOO,20.796460176991104
1658966400,6.58,6.135,6.7,5.75,ok,452284.44,TTOO,19.873150105708206
1659052800,6.145,6.03,6.15,5.875,ok,250724.88,TTOO,16.492693110647124
1659312000,6.015000000000001,5.975,6.16,5.815,ok,247835.02,TTOO,15.605749486652968
1659398400,5.970000000000001,6.055,6.4,5.72,ok,341552.7,TTOO,19.870410367170606
1659484800,6.075,6.04,6.444999999999999,5.96,ok,605051.78,TTOO,24.210526315789465
1659571200,6.25,6.465,6.800000000000001,6.05,ok,786544.1,TTOO,38.81578947368419
1659657600,6.78,6.61,6.94,6.205,ok,770627.24,TTOO,40.511727078891276
1659916800,6.6000000000000005,6.494999999999999,6.7250000000000005,6.36,ok,348265.4,TTOO,34.49023861171365
1660003200,7.6,6.05,8.05,6.02,ok,6438340.58,TTOO,28.96174863387978
1660089600,6.65,7.9,8.0,6.370000000000001,ok,4973924.86,TTOO,57.9408543263965
1660176000,11.4,9.975,15.0,9.13,ok,10292649.1,TTOO,74.56556082148498
1660262400,10.35,9.64,10.545,8.605,ok,2786775.48,TTOO,71.24528301886792
1660521600,10.14,10.26,11.0,9.55,ok,2670337.24,TTOO,76.34024303073625
1660608000,8.415000000000001,8.1,8.495,7.505000000000001,ok,2056184.82,TTOO,57.658157602663714
1660694400,7.445,7.195,7.625,7.109999999999999,ok,1231894.42,TTOO,55.68060021436228
1660780800,7.000000000000001,7.39,7.555000000000001,6.5600000000000005,ok,1015928.36,TTOO,57.21868365180467
1660867200,7.000000000000001,6.6000000000000005,7.175,6.550000000000001,ok,758395.78,TTOO,53.07730182176268
1661126400,6.375,6.235,6.5,6.125,ok,535995.8,TTOO,50.862068965517246
1661212800,6.15,6.23,6.65,6.11,ok,554816.18,TTOO,50.91083413231064
1661299200,6.15,6.4,6.7,6.15,ok,456249.46,TTOO,49.680589680589684
1661385600,6.404999999999999,6.529999999999999,6.800000000000001,6.3100000000000005,ok,496086.34,TTOO,49.60629921259842
1661472000,6.5,6.305,6.6000000000000005,6.239999999999999,ok,472576.7,TTOO,49.07497565725414
1661731200,6.165,6.135,6.39,5.855,ok,482671.2,TTOO,50.425212606303155
1661817600,6.275,6.095,6.375,6.005,ok,620306.14,TTOO,38.97373243738544
1661904000,6.239999999999999,6.125,6.39,6.05,ok,701650.58,TTOO,18.648208469055348
1661990400,6.0,5.8500000000000005,6.02,5.755,ok,655969.76,TTOO,18.832236842105246
1662076800,5.8500000000000005,5.745,5.9,5.655,ok,358427.28,TTOO,9.433962264150935
1662422400,5.65,5.6000000000000005,5.74,5.505,ok,409914.26,TTOO,14.788732394366178
1662508800,5.5,5.2,5.535,5.005,ok,592829.04,TTOO,17.241379310344797
1662595200,5.025,5.65,5.949999999999999,5.025,ok,441781.38,TTOO,23.636363636363626
1662681600,5.505,5.8500000000000005,5.925,5.4,ok,317046.2,TTOO,36.16236162361623
1662940800,5.815,5.955,6.095,5.695,ok,296019.14,TTOO,44.28571428571428
1663027200,6.135,5.84,6.5,5.6000000000000005,ok,510220.2,TTOO,42.382812499999986
1663113600,5.69,5.835,6.48,5.69,ok,603589.7,TTOO,38.204592901878904
1663200000,5.8500000000000005,5.82,6.239999999999999,5.82,ok,199019.22,TTOO,34.42982456140352
1663286400,5.655,5.5,6.0,5.5,ok,183292.24,TTOO,33.052631578947384
1663545600,5.135,5.12,5.595,5.1,ok,237464.72,TTOO,30.367504835589955
1663632000,5.11,5.075,5.375,5.050000000000001,ok,227085.32,TTOO,30.30888030888032
1663718400,5.06,5.07,5.3,4.95,ok,363107.7,TTOO,29.434697855750485
1663804800,5.0,4.47,5.025,4.45,ok,668401.92,TTOO,26.124567474048433
1663891200,5.285,5.3,5.59,4.66,ok,963586.26,TTOO,43.84508990318118
1664150400,5.12,4.8950000000000005,5.19,4.72,ok,299443.32,TTOO,40.903225806451616
1664236800,4.77,4.99,5.185,4.77,ok,163524.06,TTOO,47.05882352941176
1664323200,4.95,5.395,5.41,4.925,ok,185340.44,TTOO,46.38297872340424
1664409600,5.485,5.295,5.72,5.08,ok,201007.04,TTOO,41.89781021897809
1664496000,5.285,5.65,5.65,5.175,ok,153367.72,TTOO,45.85034013605442
1664755200,5.275,5.43,5.5,5.244999999999999,ok,136566.54,TTOO,44.57671957671957
1664841600,5.185,5.325,5.48,5.155,ok,273219.76,TTOO,43.427835051546396
1664928000,5.25,4.955,5.25,4.88,ok,224665.74,TTOO,39.78748524203069
1665014400,4.955,5.325,5.5,4.875,ok,316893.38,TTOO,47.95799299883314
1665100800,5.215,5.050000000000001,5.3,5.050000000000001,ok,165615.92,TTOO,49.162679425837325
1665360000,5.0,4.455,5.029999999999999,4.38,ok,238620.16,TTOO,43.446088794926
1665446400,4.130000000000001,4.0,4.46,3.995,ok,221552.94,TTOO,39.67181467181467
1665532800,3.845,2.8000000000000003,3.86,2.56,ok,1027155.18,TTOO,35.55363321799308
1665619200,2.35,2.55,2.8,2.0613,ok,1120046.0,TTOO,23.557692307692307
1665705600,2.9,2.32,2.925,2.1801,ok,3029694.0,TTOO,24.37810945273631
1665964800,2.27,2.11,2.3799,2.06,ok,784598.0,TTOO,21.984435797665355
