t,o,c,h,l,s,v,Ticker,RSI
1683057600,7.1,7.1,7.1,7.1,ok,2399,UONE,
1683118800,7.04,7.04,7.04,7.04,ok,369,UONE,
1683129600,7.09,7.11,7.11,7.09,ok,925,UONE,
1683133200,7.14,7.14,7.14,7.14,ok,329,UONE,
1683136800,7.17,7.16,7.2,7.16,ok,336,UONE,
1683140400,7.19,7.07,7.25,7.07,ok,4712,UONE,
1683205200,7.17,7.17,7.17,7.17,ok,1356,UONE,
1683212400,7.39,7.405,7.55,7.39,ok,5980,UONE,
1683216000,7.27,7.25,7.27,7.25,ok,1539,UONE,
1683219600,7.24,7.76,7.83,7.24,ok,43319,UONE,
1683223200,7.58,7.585,7.68,7.55,ok,10354,UONE,
1683226800,7.6,7.53,7.6,7.51,ok,4306,UONE,
1683291600,7.72,7.72,7.72,7.72,ok,282,UONE,
1683306000,7.52,7.46,7.53,7.46,ok,1589,UONE,59.23076923076924
1683309600,7.45,7.55,7.55,7.43,ok,5448,UONE,61.02941176470589
1683313200,7.45,7.45,7.45,7.45,ok,451,UONE,59.85576923076925
1683324000,7.45,7.45,7.45,7.45,ok,126,UONE,58.45771144278607
1683550800,7.65,7.57,7.65,7.57,ok,380,UONE,60.23809523809526
1683554400,7.4,7.4,7.4,7.4,ok,100,UONE,55.33333333333335
1683558000,7.39,7.39,7.39,7.39,ok,304,UONE,57.373271889400904
1683561600,7.37,7.37,7.37,7.37,ok,512,UONE,54.78468899521532
1683565200,7.37,7.37,7.37,7.37,ok,221,UONE,49.056603773584904
1683568800,7.32,7.31,7.32,7.31,ok,255,UONE,51.704545454545446
1683572400,7.33,7.35,7.35,7.3,ok,2163,UONE,34.108527131782935
1683637200,7.26,7.34,7.34,7.26,ok,339,UONE,39.1111111111111
1683640800,7.26,7.29,7.29,7.25,ok,2956,UONE,39.28571428571426
1683651600,7.31,7.36,7.36,7.31,ok,400,UONE,32.00000000000003
1683655200,7.39,7.39,7.39,7.39,ok,100,UONE,45.45454545454543
1683658800,7.31,7.2,7.32,7.2,ok,3115,UONE,29.885057471264375
1683730800,7.4,7.4,7.41,7.4,ok,5877,UONE,47.42268041237114
1683734400,7.32,7.32,7.32,7.32,ok,100,UONE,43.80952380952382
1683745200,7.27,7.26,7.27,7.21,ok,8857,UONE,34.343434343434325
1683810000,7.17,7.17,7.17,7.17,ok,712,UONE,37.36263736263734
1683813600,7.23,7.29,7.29,7.225,ok,2543,UONE,45.09803921568629
1683824400,7.28,7.2,7.29,7.2,ok,2518,UONE,42.201834862385326
1683828000,7.16,7.17,7.17,7.16,ok,1065,UONE,41.07142857142856
1683831600,7.145,7.21,7.23,7.12,ok,2622,UONE,45.454545454545475
1683896400,7.17,7.13,7.29,7.13,ok,3846,UONE,40.350877192982466
1683903600,7.24,7.26,7.26,7.24,ok,536,UONE,46.82539682539682
1683910800,7.27,7.24,7.27,7.24,ok,418,UONE,47.967479674796756
1683914400,7.19,7.17,7.19,7.17,ok,787,UONE,42.276422764227625
1683918000,7.1,6.94,7.11,6.925,ok,4053,UONE,34.265734265734295
1684152000,6.96,6.96,6.96,6.96,ok,200,UONE,40.47619047619047
1684159200,7.03,7.03,7.03,7.03,ok,212,UONE,33.6283185840708
1684173600,7.3,7.23,7.3,7.23,ok,1556,UONE,46.400000000000006
1684177200,7.26,7.27,7.28,7.25,ok,1823,UONE,50.40650406504064
1684242000,7.29,7.29,7.29,7.29,ok,166,UONE,55.17241379310346
1684256400,7.05,7.055,7.055,7.04,ok,520,UONE,40.78431372549018
1684260000,7.1,7.12,7.12,6.96,ok,1337,UONE,46.8
1684263600,7.1,6.99,7.1,6.97,ok,4988,UONE,43.33333333333334
1684328400,7.06,7.06,7.06,7.06,ok,412,UONE,44.56521739130433
1684332000,7.11,7.1197,7.2,7.07,ok,1906,UONE,49.62123997940722
1684335600,7.1293,7.1067,7.1293,7.07,ok,4194,UONE,43.831978755934664
1684339200,7.15,7.15,7.15,7.15,ok,90,UONE,46.44549763033175
1684342800,7.1045,7.1899,7.19,7.07,ok,4205,UONE,50.805081317258676
1684346400,7.24,7.13,7.24,7.13,ok,288,UONE,58.913492212422575
1684350000,7.13,7.2,7.2,7.1,ok,3017,UONE,60.75461552249508
1684353600,7.1,7.1,7.1,7.1,ok,193,UONE,53.05463431663464
1684364400,7.11,7.03,7.11,7.03,ok,1589,UONE,40.15554242961211
