t,o,c,h,l,s,v,Ticker
1652140800,8.13,7.87,8.13,7.85,ok,29846.0,USAP
1652227200,7.8,7.56,7.815,7.5,ok,17825.0,USAP
1652313600,7.3514,7.44,7.58,7.32,ok,25078.0,USAP
1652400000,7.5,7.49,7.68,7.39,ok,29230.0,USAP
1652659200,7.5,7.37,7.625,7.23,ok,8189.0,USAP
1652745600,7.5,7.63,8.07,7.5,ok,8679.0,USAP
1652832000,7.73,7.68,7.753,7.5,ok,6689.0,USAP
1652918400,7.69,8.38,8.94,7.69,ok,15860.0,USAP
1653004800,8.38,8.09,8.5665,8.005,ok,21286.0,USAP
1653264000,8.12,7.94,8.46,7.8167,ok,26840.0,USAP
1653350400,8.35,7.83,8.35,7.81,ok,3910.0,USAP
1653436800,7.81,8.2,8.22,7.8,ok,3540.0,USAP
1653523200,8.09,7.92,8.2,7.91,ok,20490.0,USAP
1653609600,7.93,8.04,8.22,7.91,ok,38191.0,USAP
1653955200,7.9601,8.14,8.23,7.96,ok,11964.0,USAP
1654041600,8.22,8.2,8.22,7.7,ok,41007.0,USAP
1654128000,8.0,8.2,8.33,7.85,ok,7266.0,USAP
1654214400,8.17,7.99,8.17,7.82,ok,10504.0,USAP
1654473600,7.92,8.07,8.1,7.865,ok,6657.0,USAP
1654560000,7.94,7.89,8.08,7.89,ok,17153.0,USAP
1654646400,8.0,7.82,8.0,7.68,ok,10926.0,USAP
1654732800,7.7525,7.76,7.78,7.7,ok,2064.0,USAP
1654819200,7.68,7.76,7.79,7.55,ok,20091.0,USAP
1655078400,7.7286,7.45,7.73,7.4,ok,43934.0,USAP
1655164800,7.54,7.12,7.585,7.02,ok,67197.0,USAP
1655251200,7.27,7.18,7.28,7.15,ok,10554.0,USAP
1655337600,7.1001,7.16,7.18,6.97,ok,37566.0,USAP
1655424000,7.08,7.0,7.4327,6.97,ok,9066.0,USAP
1655769600,7.36,7.02,7.36,6.95,ok,13200.0,USAP
1655856000,6.87,7.32,7.48,6.87,ok,18716.0,USAP
1655942400,7.3,7.05,7.3659,7.05,ok,8758.0,USAP
1656028800,7.12,7.17,7.17,7.11,ok,1808.0,USAP
1656288000,7.1,7.145,7.3,7.065,ok,2629.0,USAP
1656374400,7.13,7.19,7.24,7.02,ok,24381.0,USAP
1656460800,7.201,7.32,7.5,7.15,ok,41914.0,USAP
1656547200,7.2616,7.4,7.405,7.201,ok,5090.0,USAP
1656633600,7.2,7.2,7.24,7.1831,ok,2094.0,USAP
1656979200,7.14,7.08,7.4482,7.07,ok,4308.0,USAP
1657065600,7.07,7.09,7.2592,7.07,ok,4945.0,USAP
1657152000,7.1,7.34,7.34,7.1,ok,8810.0,USAP
1657238400,7.4578,7.1939,7.4578,7.05,ok,23938.0,USAP
1657497600,7.05,7.07,7.1599,7.0,ok,3269.0,USAP
1657584000,7.01,7.022,7.1,6.935,ok,9300.0,USAP
1657670400,7.025,7.4,7.42,7.025,ok,28249.0,USAP
1657756800,7.4,7.32,7.46,7.1963,ok,10746.0,USAP
1657843200,7.33,7.25,7.48,6.99,ok,32866.0,USAP
1658102400,7.27,7.25,7.47,7.25,ok,14288.0,USAP
1658188800,7.3717,7.53,7.8401,7.24,ok,24725.0,USAP
1658275200,7.25,7.43,7.7,7.24,ok,30590.0,USAP
1658361600,7.49,7.7,7.727,7.43,ok,24776.0,USAP
1658448000,7.63,7.42,7.8661,7.41,ok,3483.0,USAP
