t,o,c,h,l,s,v,Ticker,RSI
1652140800,1.2,1.13,1.21,1.13,ok,694390.0,VHC,
1652227200,1.13,1.08,1.29,1.08,ok,626501.0,VHC,
1652313600,1.09,1.12,1.14,1.055,ok,441158.0,VHC,
1652400000,1.12,1.19,1.21,1.12,ok,1894371.0,VHC,
1652659200,1.26,1.2,1.3,1.19,ok,317570.0,VHC,
1652745600,1.21,1.26,1.3,1.19,ok,379939.0,VHC,
1652832000,1.35,1.29,1.3599,1.26,ok,351359.0,VHC,
1652918400,1.28,1.22,1.31,1.22,ok,292954.0,VHC,
1653004800,1.24,1.22,1.26,1.17,ok,345022.0,VHC,
1653264000,1.21,1.21,1.25,1.2,ok,143813.0,VHC,
1653350400,1.2,1.13,1.26,1.12,ok,248224.0,VHC,
1653436800,1.13,1.22,1.25,1.13,ok,247455.0,VHC,
1653523200,1.27,1.29,1.32,1.26,ok,185313.0,VHC,
1653609600,1.3,1.39,1.4,1.3,ok,292639.0,VHC,69.11764705882354
1653955200,1.35,1.21,1.38,1.21,ok,639875.0,VHC,54.651162790697676
1654041600,1.29,1.2,1.33,1.19,ok,190497.0,VHC,57.3170731707317
1654128000,1.17,1.24,1.26,1.17,ok,195041.0,VHC,57.3170731707317
1654214400,1.21,1.22,1.36,1.21,ok,511548.0,VHC,51.94805194805195
1654473600,1.23,1.36,1.46,1.22,ok,574927.0,VHC,58.88888888888889
1654560000,1.43,1.49,1.55,1.36,ok,643776.0,VHC,61.855670103092784
1654646400,1.52,1.46,1.585,1.43,ok,466651.0,VHC,58.76288659793814
1654732800,1.43,1.5,1.54,1.4,ok,354940.0,VHC,64.8936170212766
1654819200,1.45,1.45,1.48,1.35,ok,270806.0,VHC,61.616161616161605
1655078400,1.4,1.36,1.435,1.32,ok,358366.0,VHC,57.00934579439252
1655164800,1.35,1.27,1.37,1.25,ok,294008.0,VHC,56.48148148148149
1655251200,1.27,1.17,1.3,1.14,ok,632116.0,VHC,47.706422018348626
1655337600,1.12,1.03,1.16,1.02,ok,750667.0,VHC,38.793103448275865
1655424000,1.04,1.05,1.09,1.03,ok,1488773.0,VHC,34.25925925925927
1655769600,1.06,1.12,1.2,0.9901,ok,891043.0,VHC,45.36082474226805
1655856000,1.1,1.15,1.23,1.0986,ok,845148.0,VHC,47.474747474747474
1655942400,1.17,1.26,1.28,1.13,ok,631726.0,VHC,50.94339622641509
1656028800,1.27,1.25,1.3356,1.2,ok,9081539.0,VHC,51.42857142857143
1656288000,1.27,1.18,1.27,1.155,ok,272674.0,VHC,40.81632653061223
1656374400,1.18,1.13,1.21,1.11,ok,252240.0,VHC,30.0
