t,o,c,h,l,s,v,Ticker,RSI
1652140800,8.49,8.4,8.67,8.16,ok,18579.0,VNCE,
1652227200,8.38,8.0,8.3861,7.91,ok,18406.0,VNCE,
1652313600,8.1,8.0,8.16,7.805,ok,27867.0,VNCE,
1652400000,8.36,8.0,8.36,7.881,ok,19134.0,VNCE,
1652659200,7.99,7.7,8.0,7.7,ok,11493.0,VNCE,
1652745600,7.7639,8.14,8.35,7.7639,ok,10915.0,VNCE,
1652832000,8.11,8.15,8.33,8.01,ok,4166.0,VNCE,
1652918400,7.9,8.0,8.25,7.8801,ok,12748.0,VNCE,
1653004800,7.98,8.36,8.48,7.98,ok,8832.0,VNCE,
1653264000,8.2579,8.2444,8.42,8.02,ok,5158.0,VNCE,
1653350400,8.14,8.0,8.2227,8.0,ok,1754.0,VNCE,
1653436800,8.0,8.0,8.0846,7.9911,ok,8670.0,VNCE,
1653523200,8.06,8.01,8.06,7.97,ok,22528.0,VNCE,
1653609600,8.25,8.0,8.25,7.85,ok,36020.0,VNCE,40.196078431372534
1653955200,7.83,7.77,8.0,7.75,ok,21104.0,VNCE,36.123348017621126
1654041600,7.98,8.0,8.0,7.5,ok,7304.0,VNCE,50.0
1654128000,7.98,7.74,7.98,7.74,ok,5678.0,VNCE,44.49152542372882
1654473600,7.84,8.0,8.0,7.75,ok,3998.0,VNCE,50.0
1654560000,8.1179,7.9,8.1199,7.63,ok,10625.0,VNCE,54.132231404958674
1654646400,7.6779,8.0,8.0,7.45,ok,16532.0,VNCE,46.634615384615365
1654732800,8.3,7.75,8.3,7.55,ok,14145.0,VNCE,41.37931034482757
1654819200,7.5,7.86,7.99,7.5,ok,10077.0,VNCE,46.929824561403514
1655078400,7.5423,7.6,7.75,7.5,ok,6015.0,VNCE,32.56880733944955
1655164800,7.6,7.32,7.6,7.32,ok,13825.0,VNCE,30.284934311550927
1655251200,7.42,7.5,7.5,7.386,ok,5349.0,VNCE,39.03508771929824
1655337600,7.33,7.43,7.4656,7.09,ok,8744.0,VNCE,37.872340425531895
1655424000,7.2726,7.4,7.41,7.2,ok,5058.0,VNCE,37.130801687763714
1655769600,7.31,7.5,7.5,7.2318,ok,5231.0,VNCE,39.83739837398374
1655856000,7.28,7.55,7.55,7.28,ok,1307.0,VNCE,45.17543859649123
1655942400,7.34,7.43,7.53,7.34,ok,5632.0,VNCE,36.8663594470046
1656028800,7.7099,7.73,7.85,7.46,ok,12982.0,VNCE,49.7737556561086
1656288000,7.49,7.68,7.78,7.48,ok,4328.0,VNCE,41.99999999999999
1656374400,7.48,7.68,7.8,7.47,ok,6171.0,VNCE,44.21052631578945
1656460800,7.76,7.57,7.78,7.36,ok,7854.0,VNCE,38.743455497382215
1656547200,7.62,7.85,7.85,7.5,ok,6796.0,VNCE,52.57731958762886
1656633600,7.61,7.72,7.9,7.5,ok,7126.0,VNCE,46.428571428571416
1656979200,7.48,7.6,7.6499,7.33,ok,15405.0,VNCE,50.0
1657065600,7.3901,7.57,7.57,7.38,ok,8460.0,VNCE,57.961783439490446
1657152000,7.56,7.49,7.58,7.47,ok,10846.0,VNCE,49.65986394557824
1657238400,7.4502,7.5,7.5,7.4502,ok,6743.0,VNCE,52.48226950354612
1657497600,7.4,7.5,7.5,7.22,ok,7725.0,VNCE,53.623188405797094
1657584000,7.32,7.5,7.5,7.16,ok,10100.0,VNCE,50.0
1657670400,7.19,7.52,7.52,7.19,ok,4373.0,VNCE,48.79999999999999
1657756800,7.265,7.33,7.53,7.0001,ok,5551.0,VNCE,46.21212121212122
1657843200,7.33,7.46,7.46,7.24,ok,3544.0,VNCE,38.26086956521734
1658102400,7.63,7.59,7.69,7.33,ok,7076.0,VNCE,46.341463414634134
1658188800,7.7,7.6,7.72,7.3853,ok,15177.0,VNCE,46.77419354838709
1658275200,7.5,7.74,7.74,7.5,ok,22311.0,VNCE,56.69291338582678
1658361600,7.7,7.77,7.77,7.6,ok,7928.0,VNCE,46.078431372549005
1658448000,7.77,7.69,7.77,7.4791,ok,20007.0,VNCE,48.45360824742271
1658707200,7.61,7.72,7.74,7.4704,ok,6801.0,VNCE,56.818181818181856
1658793600,7.51,7.55,7.6,6.86,ok,23507.0,VNCE,49.01960784313723
1658880000,7.37,7.55,7.55,6.96,ok,11999.0,VNCE,53.19148936170212
1658966400,7.4,7.5,7.6,7.34,ok,5187.0,VNCE,50.0
1659052800,7.0,6.95,7.2,6.78,ok,15882.0,VNCE,32.02614379084963
1659312000,7.01,7.04,7.04,6.9,ok,6221.0,VNCE,35.80246913580244
1659398400,6.95,7.02,7.2,6.93,ok,5100.0,VNCE,34.567901234567884
1659484800,6.93,7.18,7.33,6.93,ok,2922.0,VNCE,45.28301886792451
1659571200,7.03,7.19,7.23,6.9911,ok,6579.0,VNCE,40.816326530612244
1659657600,7.06,7.48,7.48,7.03,ok,6837.0,VNCE,46.62576687116566
1659916800,7.29,7.32,7.45,7.11,ok,8606.0,VNCE,42.13483146067418
1660003200,7.18,7.16,7.445,7.06,ok,7615.0,VNCE,33.88888888888887
1660089600,7.16,7.51,7.52,7.08,ok,17364.0,VNCE,43.86792452830189
1660176000,7.35,7.5,7.53,7.2,ok,11415.0,VNCE,45.36585365853658
1660262400,7.28,7.64,7.64,7.21,ok,29346.0,VNCE,48.14814814814815
1660521600,7.39,7.69,7.69,7.35,ok,7251.0,VNCE,53.43137254901962
1660608000,7.48,7.64,7.75,7.48,ok,15824.0,VNCE,52.15311004784689
1660694400,7.39,7.65,7.66,7.39,ok,11307.0,VNCE,53.65853658536585
1660780800,7.3589,7.57,7.67,7.3589,ok,6356.0,VNCE,69.62025316455693
1660867200,7.58,7.62,7.62,7.37,ok,20049.0,VNCE,68.83116883116881
1661126400,7.0,7.0,7.3,6.76,ok,67608.0,VNCE,49.53271028037384
1661212800,7.0,7.0,7.0,6.8449,ok,10950.0,VNCE,45.454545454545475
1661299200,6.9,7.0,7.04,6.68,ok,15726.0,VNCE,45.17766497461928
1661385600,7.05,6.94,7.31,6.94,ok,19486.0,VNCE,34.482758620689665
1661472000,6.86,6.93,6.96,6.81,ok,2463.0,VNCE,37.73584905660377
1661731200,6.85,6.97,6.97,6.85,ok,4490.0,VNCE,43.537414965986386
1661817600,6.97,6.98,6.99,6.825,ok,4281.0,VNCE,26.548672566371764
1661904000,6.88,7.15,7.2,6.88,ok,5360.0,VNCE,36.43410852713182
1661990400,7.355,7.61,7.61,7.0,ok,7147.0,VNCE,49.068322981366485
1662076800,7.4,7.64,7.65,7.33,ok,13252.0,VNCE,48.42767295597482
1662422400,7.53,7.64,7.64,7.4856,ok,2894.0,VNCE,50.0
1662508800,7.48,7.64,7.64,7.44,ok,2023.0,VNCE,49.67320261437906
1662595200,7.7,7.77,7.77,7.57,ok,8229.0,VNCE,56.32911392405061
1662681600,7.67,7.5,7.77,7.33,ok,33980.0,VNCE,46.66666666666666
1662940800,7.78,7.38,7.78,7.27,ok,19246.0,VNCE,64.61538461538461
1663027200,6.55,6.71,6.99,6.55,ok,10100.0,VNCE,42.639593908629436
1663113600,6.58,6.42,6.79,6.41,ok,17481.0,VNCE,37.16814159292036
1663200000,6.49,6.5,6.64,6.28,ok,4977.0,VNCE,40.35087719298245
1663286400,6.5,6.58,6.58,6.4015,ok,10243.0,VNCE,42.55319148936171
1663545600,6.49,6.67,6.67,6.38,ok,27523.0,VNCE,43.75
1663632000,6.41,7.0,7.0,6.37,ok,11010.0,VNCE,50.367647058823515
1663718400,6.72,6.86,6.87,6.35,ok,39673.0,VNCE,44.609665427509285
