t,o,c,h,l,s,v,Ticker
1652140800,6.27,6.32,6.44,6.135,ok,313295.0,VRA
1652227200,6.31,6.125,6.52,6.12,ok,353141.0,VRA
1652313600,6.07,6.39,6.585,6.06,ok,457630.0,VRA
1652400000,6.43,6.63,6.76,6.43,ok,304807.0,VRA
1652659200,6.59,6.41,6.64,6.38,ok,272685.0,VRA
1652745600,6.51,6.62,6.72,6.46,ok,274966.0,VRA
1652832000,6.56,6.4,6.56,6.31,ok,288413.0,VRA
1652918400,6.36,6.06,6.42,6.04,ok,306218.0,VRA
1653004800,6.1,5.97,6.205,5.87,ok,586095.0,VRA
1653264000,6.06,6.16,6.26,6.0,ok,336787.0,VRA
1653350400,6.1,5.85,6.1,5.81,ok,401809.0,VRA
1653436800,5.8,5.95,6.0475,5.71,ok,646039.0,VRA
1653523200,6.04,6.55,6.69,6.04,ok,559882.0,VRA
1653609600,6.59,6.56,6.72,6.5,ok,219872.0,VRA
1653955200,6.5,6.81,6.88,6.3481,ok,218317.0,VRA
1654041600,6.89,6.51,6.89,6.5,ok,267571.0,VRA
1654128000,6.52,6.85,6.88,6.52,ok,242703.0,VRA
1654214400,6.78,6.74,6.95,6.7,ok,266102.0,VRA
1654473600,6.02,6.09,6.38,5.975,ok,1377840.0,VRA
1654560000,5.99,6.27,6.41,5.92,ok,953693.0,VRA
1654646400,5.91,5.73,6.13,5.557,ok,1117073.0,VRA
1654732800,5.65,5.77,5.845,5.5601,ok,685108.0,VRA
1654819200,5.65,5.34,5.74,5.3,ok,876220.0,VRA
1655078400,5.19,4.86,5.29,4.84,ok,1112833.0,VRA
1655164800,4.86,4.84,5.1083,4.65,ok,806626.0,VRA
1655251200,4.89,4.76,4.99,4.74,ok,924991.0,VRA
1655337600,4.71,4.67,4.71,4.28,ok,1405896.0,VRA
1655424000,4.64,4.65,4.8,4.64,ok,5829999.0,VRA
1655769600,4.79,4.67,4.9,4.59,ok,1018053.0,VRA
1655856000,4.56,4.63,4.695,4.56,ok,489973.0,VRA
1655942400,4.67,4.77,4.83,4.64,ok,682389.0,VRA
1656028800,4.84,4.88,5.12,4.79,ok,3577816.0,VRA
1656288000,4.9,4.84,4.97,4.73,ok,397529.0,VRA
1656374400,4.82,4.68,4.95,4.67,ok,443767.0,VRA
1656460800,4.65,4.53,4.68,4.48,ok,524767.0,VRA
1656547200,4.45,4.34,4.9,4.325,ok,604144.0,VRA
1656633600,4.33,4.38,4.47,4.27,ok,448934.0,VRA
1656979200,4.29,4.34,4.4,4.235,ok,446899.0,VRA
1657065600,4.35,4.34,4.405,4.24,ok,316731.0,VRA
1657152000,4.34,4.39,4.42,4.18,ok,460527.0,VRA
1657238400,4.38,4.35,4.42,4.23,ok,399138.0,VRA
1657497600,4.33,4.13,4.36,4.105,ok,415504.0,VRA
1657584000,4.11,4.06,4.255,4.05,ok,275438.0,VRA
1657670400,4.01,4.21,4.23,4.005,ok,529128.0,VRA
1657756800,4.15,4.33,4.39,4.145,ok,458375.0,VRA
1657843200,4.34,4.34,4.39,4.27,ok,333388.0,VRA
1658102400,4.4,4.3,4.51,4.25,ok,850457.0,VRA
1658188800,4.37,4.49,4.6,4.37,ok,389334.0,VRA
1658275200,4.47,4.53,4.565,4.42,ok,334957.0,VRA
1658361600,4.54,4.55,4.6,4.48,ok,324420.0,VRA
1658448000,4.51,4.32,4.61,4.27,ok,274237.0,VRA
1658707200,4.32,4.43,4.51,4.32,ok,241378.0,VRA
1658793600,4.43,4.22,4.43,4.21,ok,266807.0,VRA
1658880000,4.27,4.2,4.27,4.105,ok,430583.0,VRA
1658966400,4.19,4.26,4.29,4.17,ok,581953.0,VRA
1659052800,4.29,4.19,4.29,4.15,ok,289522.0,VRA
1659312000,4.18,4.22,4.28,4.09,ok,395147.0,VRA
1659398400,4.19,4.13,4.2,4.12,ok,208646.0,VRA
1659484800,4.19,4.15,4.27,4.15,ok,252368.0,VRA
1659571200,4.18,4.22,4.245,4.1121,ok,270392.0,VRA
1659657600,4.19,4.15,4.305,4.12,ok,223956.0,VRA
1659916800,4.16,4.37,4.39,4.16,ok,341408.0,VRA
