t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP
1652140800,2.52,1.91,2.56,1.9,ok,532344.0,WEJO,,2.1233333333333335,1130343.76,532344.0,2.1233333333333335
1652227200,1.91,1.83,2.0299,1.8,ok,150049.0,WEJO,,1.8866333333333334,283087.4450333333,682393.0,0.4148451772414625
1652313600,1.85,1.92,2.0624,1.78,ok,194798.0,WEJO,,1.9207999999999998,374167.9984,877191.0,0.4265524821846097
1652400000,2.04,2.19,2.19,1.99,ok,114061.0,WEJO,,2.123333333333333,242189.52333333332,991252.0,0.24432689501088856
1652659200,1.98,1.9,2.12,1.9,ok,289146.0,WEJO,,1.9733333333333334,570581.4400000001,1280398.0,0.4456281874854538
1652745600,2.12,1.96,2.17,1.94,ok,492853.0,WEJO,,2.023333333333333,997205.9033333332,1773251.0,0.5623602655987975
1652832000,2.0,1.97,2.01,1.92,ok,198023.0,WEJO,,1.9666666666666666,389445.23333333334,1971274.0,0.19756017343775312
1652918400,2.0,2.08,2.19,2.0,ok,251652.0,WEJO,,2.09,525952.6799999999,2222926.0,0.23660377358490564
1653004800,2.08,2.06,2.23,1.98,ok,180043.0,WEJO,,2.09,376289.87,2402969.0,0.15659372634436816
1653264000,2.12,2.11,2.15,2.0,ok,138078.0,WEJO,,2.0866666666666664,288122.75999999995,2541047.0,0.11338741865065854
1653350400,2.1,1.87,2.1,1.8593,ok,241556.0,WEJO,,1.9431,469367.4636,2782603.0,0.16867927749664613
1653436800,1.9,1.85,1.9199,1.84,ok,123634.0,WEJO,,1.8699666666666666,231191.45886666665,2906237.0,0.07955010512448457
1653523200,1.93,1.84,1.93,1.81,ok,186991.0,WEJO,,1.86,347803.26,3093228.0,0.11244022749050507
1653609600,1.92,1.88,1.9892,1.85,ok,291151.0,WEJO,48.83720930232558,1.9063999999999999,555050.2664,3384379.0,0.16400357832264056
1653955200,1.89,1.84,1.91,1.83,ok,275113.0,WEJO,47.36842105263158,1.86,511710.18000000005,3659492.0,0.13983093281799772
1654041600,1.9,1.83,1.9,1.76,ok,209919.0,WEJO,50.0,1.83,384151.77,3869411.0,0.09927913318073475
1654128000,1.83,1.95,2.0,1.81,ok,555449.0,WEJO,51.16279069767442,1.92,1066462.08,4424860.0,0.24101600502614773
1654214400,1.92,2.06,2.09,1.92,ok,243237.0,WEJO,44.24778761061947,2.0233333333333334,492149.53,4668097.0,0.10542829979754063
1654473600,2.18,2.51,2.58,2.16,ok,1078063.0,WEJO,73.64341085271319,2.4166666666666665,2605318.9166666665,5746160.0,0.45340173553584767
1654560000,2.39,2.14,2.45,2.055,ok,565582.0,WEJO,55.625000000000014,2.2150000000000003,1252764.1300000001,6311742.0,0.19848151746380002
1654646400,2.09,2.24,2.32,2.08,ok,423395.0,WEJO,57.98816568047339,2.2133333333333334,937114.2666666667,6735137.0,0.13913811503265142
1654732800,2.44,1.95,2.44,1.88,ok,7677526.0,WEJO,46.524064171122994,2.0900000000000003,16046029.340000002,14412663.0,1.1133285597533227
1654819200,1.77,1.57,1.7707,1.54,ok,1808364.0,WEJO,39.01345291479821,1.6269,2942027.3916,16221027.0,0.18137121599020828
1655078400,1.5,1.38,1.5,1.35,ok,734585.0,WEJO,34.599156118143455,1.4100000000000001,1035764.8500000001,16955612.0,0.06108684546449872
1655164800,1.39,1.2,1.43,1.19,ok,1098242.0,WEJO,35.497835497835496,1.2733333333333334,1398428.1466666667,18053854.0,0.07745870475448992
