t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP
1652140800,4.08,4.34,4.4081,4.08,ok,38628.0,WHLM,,4.276033333333333,165174.6156,38628.0,4.276033333333333
1652227200,4.19,4.2,4.4318,4.19,ok,19043.0,WHLM,,4.273933333333333,81388.51246666665,57671.0,1.4112554397646417
1652313600,4.18,4.345,4.48,4.17,ok,60655.0,WHLM,,4.331666666666667,262737.2416666667,118326.0,2.220452323805983
1652400000,4.3809,4.54,4.54,4.355,ok,6470.0,WHLM,,4.478333333333333,28974.816666666662,124796.0,0.2321774469267177
1652659200,4.36,4.59,4.64,4.29,ok,11068.0,WHLM,,4.506666666666667,49879.78666666667,135864.0,0.3671302675224244
1652745600,4.5981,4.5878,4.61,4.5001,ok,4651.0,WHLM,,4.565966666666666,21236.310966666664,140515.0,0.15113198567175506
1652832000,4.6114,4.45,4.635,4.35,ok,11905.0,WHLM,,4.478333333333333,53314.55833333333,152420.0,0.3497871561037484
1652918400,4.42,4.43,4.44,4.35,ok,2759.0,WHLM,,4.406666666666666,12157.993333333332,155179.0,0.07834818714731588
1653004800,4.35,4.41,4.44,4.34,ok,5816.0,WHLM,,4.396666666666667,25571.013333333336,160995.0,0.15883110241518889
1653264000,4.3035,4.38,4.5102,4.23,ok,1798.0,WHLM,,4.3734,7863.3732,162793.0,0.04830289508762662
1653350400,4.5,4.5,4.5,4.44,ok,1974.0,WHLM,,4.48,8843.52,164767.0,0.053672883526434303
1653436800,4.455,4.5,4.51,4.39,ok,1988.0,WHLM,,4.466666666666666,8879.733333333332,166755.0,0.053250177405974826
1653523200,4.39,4.68,4.7,4.39,ok,9457.0,WHLM,,4.59,43407.63,176212.0,0.24633753660363653
1653609600,4.69,4.4701,4.7,4.4701,ok,6182.0,WHLM,55.2044163533083,4.546733333333334,28107.90546666667,182394.0,0.15410542817563447
1653955200,4.76,4.55,4.76,4.3625,ok,5640.0,WHLM,57.8959241991277,4.5575,25704.3,188034.0,0.1367002776093685
1654041600,4.5768,4.59,4.6985,4.51,ok,3668.0,WHLM,65.85623678646935,4.5995,16870.966,191702.0,0.08800620755130359
1654128000,4.59,4.8,4.81,4.4851,ok,6268.0,WHLM,67.57028112449801,4.698366666666666,29449.362266666663,197970.0,0.14875669175464296
1654214400,4.68,4.65,4.68,4.564,ok,8307.0,WHLM,54.40070411265805,4.631333333333333,38472.486,206277.0,0.1865088497505781
1654473600,4.5742,4.65,4.6619,4.51,ok,4444.0,WHLM,52.50041673612272,4.6073,20474.841200000003,210721.0,0.09716564177277064
1654560000,4.82,4.64,4.82,4.6,ok,7961.0,WHLM,52.16131169261345,4.6866666666666665,37310.55333333333,218682.0,0.17061556659136706
1654646400,4.6799,4.68,4.68,4.6799,ok,1424.0,WHLM,60.36222742836546,4.679966666666666,6664.272533333333,220106.0,0.030277559600071478
1654732800,4.64,4.61,4.65,4.55,ok,1855.0,WHLM,57.7599586135541,4.603333333333333,8539.183333333332,221961.0,0.03847154830503256
1654819200,4.35,4.61,4.61,4.35,ok,3580.0,WHLM,58.77346902965435,4.523333333333333,16193.533333333333,225541.0,0.07179862345796699
1655078400,4.51,4.53,4.605,4.43,ok,6734.0,WHLM,56.30358043368636,4.521666666666667,30448.90333333334,232275.0,0.13108988626986692
1655164800,4.37,4.57,4.75,4.37,ok,2877.0,WHLM,53.15372139124169,4.5633333333333335,13128.710000000001,235152.0,0.05583073926651698
1655251200,4.23,4.6,4.63,4.23,ok,2794.0,WHLM,54.386734514827154,4.486666666666666,12535.746666666666,237946.0,0.05268315780331111
1655337600,4.521,4.35,4.521,4.2,ok,19112.0,WHLM,36.36138204661925,4.357,83270.984,257058.0,0.3239385041508142
1655424000,4.202,4.36,4.59,4.202,ok,5158.0,WHLM,44.54896524408356,4.384,22612.672000000002,262216.0,0.0862368123989383
1655769600,4.38,4.51,4.56,4.31,ok,5601.0,WHLM,48.14814814814815,4.46,24980.46,267817.0,0.09327436271782598
1655856000,4.4499,4.51,4.57,4.4499,ok,8120.0,WHLM,46.15384615384615,4.509966666666666,36620.929333333326,275937.0,0.13271482017030456
1655942400,4.41,4.41,4.41,4.41,ok,998.0,WHLM,29.032258064516128,4.41,4401.18,276935.0,0.015892465741058372
1656028800,4.495,4.46,4.495,4.2353,ok,4096.0,WHLM,38.55421686746985,4.396766666666667,18009.15626666667,281031.0,0.06408245448604129
1656288000,4.28,4.4,4.4,4.2399,ok,1686.0,WHLM,35.955056179775255,4.346633333333334,7328.423800000001,282717.0,0.025921411871235197
1656374400,4.54,4.44,4.6,4.44,ok,791.0,WHLM,39.13043478260871,4.493333333333333,3554.2266666666665,283508.0,0.012536600965992729
1656460800,4.4101,4.41,4.55,4.31,ok,5748.0,WHLM,35.164835164835154,4.423333333333333,25425.319999999996,289256.0,0.08789902370218766
1656547200,4.4699,4.39,4.51,4.39,ok,989.0,WHLM,37.20930232558135,4.43,4381.2699999999995,290245.0,0.015095074850557286
1656633600,4.2827,4.45,4.45,4.28,ok,1847.0,WHLM,41.30434782608694,4.3933333333333335,8114.486666666667,292092.0,0.027780585112453154
1657065600,4.38,4.41,4.5799,4.365,ok,4876.0,WHLM,43.18181818181817,4.4516333333333336,21706.164133333335,296968.0,0.07309260301895604
1657152000,4.41,4.5799,4.5799,4.3801,ok,2145.0,WHLM,50.490147539360336,4.5133,9681.0285,299113.0,0.03236578985199574
1657238400,4.4874,4.59,4.67,4.4874,ok,2432.0,WHLM,49.49494949494951,4.582466666666666,11144.558933333332,301545.0,0.03695819507315105
1657497600,4.5411,4.6,4.6,4.5411,ok,667.0,WHLM,66.66666666666666,4.5803666666666665,3055.1045666666664,302212.0,0.010109143801922712
1657584000,4.5766,4.61,4.61,4.5753,ok,1837.0,WHLM,66.66666666666666,4.598433333333333,8447.322033333334,304049.0,0.02778276538759652
1657670400,4.6,4.687,4.7,4.4614,ok,1891.0,WHLM,63.07237813884789,4.616133333333334,8729.108133333335,305940.0,0.028532091695539434
1657843200,4.5084,4.5084,4.5084,4.5084,ok,142.0,WHLM,49.906498363721376,4.5084,640.1928,306082.0,0.0020915728464921167
1658102400,4.56,4.76,4.76,4.56,ok,1106.0,WHLM,67.37490071485303,4.693333333333333,5190.826666666667,307188.0,0.0168978822957494
1658188800,4.77,4.76,4.78,4.56,ok,15356.0,WHLM,65.67070622649392,4.7,72173.2,322544.0,0.22376233940175602
1658275200,4.7,4.64,4.7,4.45,ok,13159.0,WHLM,61.79709005112067,4.596666666666667,60487.53666666667,335703.0,0.18018169830673741
1658361600,4.64,4.45,4.64,4.36,ok,6173.0,WHLM,50.42837559972583,4.483333333333333,27675.61666666667,341876.0,0.08095220684302691
1658448000,4.42,4.72,4.74,4.4,ok,15524.0,WHLM,61.01478112563955,4.62,71720.88,357400.0,0.2006739787353106
1658707200,4.58,4.71,4.71,4.58,ok,7830.0,WHLM,61.45147437732609,4.666666666666667,36540.0,365230.0,0.10004654601210196
1658793600,4.6287,4.645,4.65,4.4518,ok,5819.0,WHLM,56.953359007274265,4.5822666666666665,26664.209733333333,371049.0,0.07186169409790441
