t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP
1652140800,1.6,1.53,1.6,1.49,ok,34361.0,WTT,,1.54,52915.94,34361.0,1.54
1652227200,1.47,1.51,1.56,1.47,ok,56853.0,WTT,,1.5133333333333334,86037.54000000001,91214.0,0.943249281908479
1652313600,1.52,1.5,1.54,1.49,ok,72785.0,WTT,,1.51,109905.35,163999.0,0.6701586595040214
1652400000,1.49,1.52,1.52,1.44,ok,78879.0,WTT,,1.4933333333333334,117792.64,242878.0,0.48498686583387546
1652659200,1.52,1.4,1.52,1.39,ok,108913.0,WTT,,1.4366666666666668,156471.67666666667,351791.0,0.44478590034044835
1652745600,1.41,1.5,1.54,1.41,ok,42511.0,WTT,,1.4833333333333334,63057.98333333334,394302.0,0.15992306235660317
1652832000,1.52,1.51,1.54,1.5,ok,9413.0,WTT,,1.5166666666666666,14276.383333333333,403715.0,0.035362528846669884
1652918400,1.52,1.51,1.55,1.51,ok,16809.0,WTT,,1.5233333333333334,25605.710000000003,420524.0,0.060890008655867446
1653004800,1.53,1.5,1.53,1.4993,ok,9270.0,WTT,,1.5097666666666667,13995.537,429794.0,0.032563360586699674
1653264000,1.49,1.4506,1.49,1.45,ok,11923.0,WTT,,1.4635333333333334,17449.707933333335,441717.0,0.03950427068311461
1653350400,1.46,1.4,1.46,1.4,ok,39510.0,WTT,,1.42,56104.2,481227.0,0.11658572773348128
1653436800,1.4,1.455,1.5,1.4,ok,6431.0,WTT,,1.4516666666666669,9335.668333333335,487658.0,0.019143884306898142
1653523200,1.442,1.5,1.51,1.442,ok,15395.0,WTT,,1.484,22846.18,503053.0,0.0454150556700785
1653609600,1.5,1.53,1.55,1.47,ok,1711173.0,WTT,50.0,1.5166666666666666,2595279.05,2214226.0,1.1720931151562668
1653955200,1.41,1.445,1.48,1.4,ok,45067.0,WTT,42.97520661157026,1.4416666666666667,64971.59166666667,2259293.0,0.028757488146365553
1654041600,1.44,1.44,1.44,1.41,ok,18991.0,WTT,44.06779661016949,1.4299999999999997,27157.129999999994,2278284.0,0.01191999329319786
1654128000,1.435,1.44,1.45,1.4202,ok,12029.0,WTT,44.82758620689656,1.4367333333333334,17282.465266666666,2290313.0,0.007545896681661706
1654214400,1.44,1.445,1.445,1.4237,ok,14318.0,WTT,43.36283185840709,1.4379,20587.8522,2304631.0,0.008933253175888028
1654473600,1.45,1.41,1.45,1.4,ok,37218.0,WTT,51.04166666666666,1.42,52849.56,2341849.0,0.02256744990817085
1654560000,1.4,1.4,1.43,1.4,ok,52983.0,WTT,37.17948717948719,1.4100000000000001,74706.03000000001,2394832.0,0.0311946850551521
1654646400,1.41,1.44,1.44,1.4073,ok,20637.0,WTT,41.66666666666667,1.4291,29492.3367,2415469.0,0.012209776527870985
1654732800,1.4103,1.4,1.44,1.4,ok,23866.0,WTT,38.04347826086957,1.4133333333333333,33730.613333333335,2439335.0,0.013827790497546805
1654819200,1.4,1.38,1.4007,1.37,ok,23998.0,WTT,37.2340425531915,1.3835666666666668,33202.83286666667,2463333.0,0.013478824367905871
1655078400,1.38,1.33,1.39,1.32,ok,61087.0,WTT,37.18657033574164,1.3466666666666667,82263.82666666666,2524420.0,0.03258721871426572
1655164800,1.315,1.28,1.33,1.27,ok,87222.0,WTT,37.23404255319152,1.2933333333333332,112807.12,2611642.0,0.04319394465244471
1655251200,1.29,1.27,1.29,1.26,ok,71477.0,WTT,28.235294117647072,1.2733333333333332,91014.04666666666,2683119.0,0.03392098772610035
1655337600,1.28,1.28,1.3,1.2638,ok,10890.0,WTT,21.794871794871824,1.2812666666666666,13952.993999999999,2694009.0,0.005179267775274692
1655424000,1.27,1.18,1.29,1.17,ok,164961.0,WTT,11.956521739130466,1.2133333333333332,200152.67999999996,2858970.0,0.07000866745716114
1655769600,1.18,1.28,1.3,1.18,ok,22462.0,WTT,32.63157894736844,1.2533333333333332,28152.37333333333,2881432.0,0.009770271633456326
1655856000,1.29,1.27,1.29,1.26,ok,4667.0,WTT,32.291666666666686,1.2733333333333332,5942.646666666666,2886099.0,0.0020590584961453734
1655942400,1.29,1.26,1.3,1.25,ok,4289.0,WTT,31.63265306122452,1.2699999999999998,5447.029999999999,2890388.0,0.001884532457234115
1656028800,1.29,1.3,1.3,1.25,ok,25918.0,WTT,36.19047619047621,1.2833333333333332,33261.43333333333,2916306.0,0.01140533035056449
1656288000,1.25,1.34,1.34,1.25,ok,6302.0,WTT,43.396226415094354,1.3099999999999998,8255.619999999999,2922608.0,0.002824744201069729
1656374400,1.3497,1.35,1.35,1.32,ok,9523.0,WTT,45.28301886792456,1.3399999999999999,12760.819999999998,2932131.0,0.004352063396894612
1656460800,1.34,1.33,1.34,1.33,ok,3036.0,WTT,39.21568627450981,1.3333333333333333,4048.0,2935167.0,0.0013791378821034715
1656547200,1.34,1.32,1.34,1.2919,ok,11491.0,WTT,41.666666666666686,1.3173000000000001,15137.094300000002,2946658.0,0.0051370380614241635
1656633600,1.3638,1.33,1.37,1.302,ok,2270.0,WTT,44.680851063829806,1.3340000000000003,3028.1800000000007,2948928.0,0.0010268748507932376
1656979200,1.32,1.28,1.33,1.2327,ok,55193.0,WTT,44.68085106382978,1.2809,70696.7137,3004121.0,0.02353324439994261
1657065600,1.2612,1.24,1.2612,1.2,ok,15878.0,WTT,45.65217391304348,1.2337333333333333,19589.217866666666,3019999.0,0.0064864981301870185
1657152000,1.25,1.24,1.26,1.21,ok,56323.0,WTT,46.66666666666666,1.2366666666666666,69652.77666666666,3076322.0,0.022641575448430516
1657238400,1.22,1.26,1.2869,1.22,ok,1468.0,WTT,47.82608695652174,1.2556333333333332,1843.269733333333,3077790.0,0.000598893924969973
1657497600,1.25,1.26,1.265,1.24,ok,6739.0,WTT,61.11111111111112,1.255,8457.445,3084529.0,0.0027418918739295366
1657584000,1.24,1.24,1.255,1.2,ok,5214.0,WTT,42.85714285714285,1.2316666666666667,6421.91,3089743.0,0.002078460894643988
1657670400,1.26,1.24,1.2699,1.21,ok,19997.0,WTT,44.44444444444444,1.2399666666666667,24795.613433333332,3109740.0,0.007973532653319355
1657756800,1.23,1.25,1.25,1.23,ok,2318.0,WTT,48.14814814814815,1.2433333333333334,2882.0466666666666,3112058.0,0.0009260902806652918
1657843200,1.2607,1.26,1.2607,1.26,ok,1397.0,WTT,41.66666666666667,1.260233333333333,1760.5459666666663,3113455.0,0.000565463758643265
1658102400,1.11,1.2801,1.2801,1.11,ok,18674.0,WTT,36.392548841435705,1.2234,22845.7716,3132129.0,0.0072940072391654365
1658188800,1.29,1.24,1.29,1.24,ok,5029.0,WTT,28.017585931254985,1.2566666666666668,6319.776666666668,3137158.0,0.0020144910350918467
1658275200,1.26,1.25,1.3,1.23,ok,7931.0,WTT,33.34721065778518,1.26,9993.06,3145089.0,0.003177353645636101
1658361600,1.25,1.27,1.27,1.21,ok,5570.0,WTT,40.00799360511591,1.25,6962.5,3150659.0,0.002209855144590386
