t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP
1652140800,1.14,1.12,1.155,1.05,ok,1593168.0,WWR,,1.1083333333333334,1765761.2000000002,1593168.0,1.1083333333333334
1652227200,1.1,1.06,1.2,1.05,ok,1489406.0,WWR,,1.1033333333333333,1643311.2866666666,3082574.0,0.5330971086717355
1652313600,1.05,1.07,1.11,1.0,ok,1214710.0,WWR,,1.0600000000000003,1287592.6000000003,4297284.0,0.29962939382177217
1652400000,1.1,1.17,1.17,1.1,ok,1119287.0,WWR,,1.1466666666666667,1283449.0933333335,5416571.0,0.236948632877393
1652659200,1.17,1.14,1.19,1.12,ok,489344.0,WWR,,1.1500000000000001,562745.6000000001,5905915.0,0.09528508283644449
1652745600,1.15,1.17,1.2,1.129,ok,622985.0,WWR,,1.1663333333333332,726608.1716666666,6528900.0,0.11129105541004865
1652832000,1.13,1.15,1.22,1.12,ok,731378.0,WWR,,1.1633333333333333,850836.4066666666,7260278.0,0.11719060987288181
1652918400,1.13,1.19,1.2299,1.13,ok,571060.0,WWR,,1.1832999999999998,675735.2979999998,7831338.0,0.08628605967460476
1653004800,1.26,1.16,1.26,1.12,ok,730752.0,WWR,,1.18,862287.36,8562090.0,0.10070991545288592
1653264000,1.2,1.18,1.2,1.15,ok,817581.0,WWR,,1.1766666666666665,962020.3099999999,9379671.0,0.10256439804765007
1653350400,1.18,1.13,1.18,1.1,ok,644801.0,WWR,,1.1366666666666667,732923.8033333333,10024472.0,0.0731134570811643
1653436800,1.11,1.13,1.15,1.1,ok,418861.0,WWR,,1.1266666666666667,471916.7266666667,10443333.0,0.04518832509378631
1653523200,1.13,1.18,1.21,1.13,ok,586071.0,WWR,,1.1733333333333331,687656.6399999999,11029404.0,0.06234757925269578
1653609600,1.19,1.25,1.25,1.18,ok,681374.0,WWR,62.74509803921567,1.2266666666666666,835818.7733333333,11710778.0,0.07137175457799075
1653955200,1.26,1.23,1.28,1.21,ok,575349.0,WWR,60.37735849056602,1.24,713432.76,12286127.0,0.05806815768712142
1654041600,1.27,1.22,1.27,1.2,ok,362645.0,WWR,66.66666666666666,1.2299999999999998,446053.3499999999,12648772.0,0.03526455769777492
1654128000,1.22,1.28,1.31,1.21,ok,550425.0,WWR,69.81132075471697,1.2666666666666666,697205.0,13199197.0,0.052821773930641386
1654214400,1.25,1.25,1.26,1.21,ok,376128.0,WWR,58.69565217391305,1.24,466398.72,13575325.0,0.034356357582599306
1654473600,1.27,1.25,1.295,1.22,ok,491837.0,WWR,62.7906976744186,1.255,617255.4349999999,14067162.0,0.043879172998789656
1654560000,1.25,1.24,1.265,1.21,ok,612027.0,WWR,58.53658536585366,1.2383333333333333,757893.4349999999,14679189.0,0.051630470525313076
1654646400,1.28,1.24,1.295,1.22,ok,775063.0,WWR,61.53846153846154,1.2516666666666667,970120.5216666667,15454252.0,0.06277369630485298
1654732800,1.25,1.15,1.25,1.15,ok,500172.0,WWR,45.45454545454546,1.1833333333333333,591870.2,15954424.0,0.03709755989937336
1654819200,1.12,1.1,1.14,1.1,ok,581601.0,WWR,43.47826086956525,1.1133333333333335,647515.7800000001,16536025.0,0.03915788588853731
1655078400,1.07,1.05,1.08,1.0,ok,850663.0,WWR,36.73469387755104,1.0433333333333332,887525.0633333332,17386688.0,0.051046240855839434
1655164800,1.07,1.04,1.08,1.04,ok,381876.0,WWR,40.00000000000002,1.0533333333333335,402242.72000000003,17768564.0,0.02263788565018535
1655251200,1.08,1.14,1.14,1.06,ok,672611.0,WWR,50.909090909090914,1.1133333333333333,748840.2466666666,18441175.0,0.04060697036206568
1655337600,1.1,1.09,1.1,1.0403,ok,790167.0,WWR,41.81818181818184,1.0767666666666666,850825.4867,19231342.0,0.04424160761635876
